 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -2.1268 -2.0516 -1.9769 -1.9054 -1.8323 -1.6528 -1.5003 -1.3810 -1.2919 -1.2249
 -1.1713 -1.1258 -1.0856 -1.0489 -1.0147 -0.9826 -0.9533 -0.9268 -0.9066 -0.8961
 -0.8968
 -2.9871 -2.9118 -2.8181 -2.7081 -2.6063 -2.5092 -2.4146 -2.3237 -2.2378 -2.1572
 -2.0812 -2.0085 -1.9377 -1.8685 -1.8011 -1.6364 -1.4924 -1.3763 -1.2879 -1.2253
 -1.1745 -1.1375 -1.1030 -1.0716 -1.0420 -1.0137 -0.9870 -0.9644 -0.9462 -0.9320
 -0.9214
 -2.8920 -2.7739 -2.6761 -2.5968 -2.5100 -2.4275 -2.3465 -2.2661 -2.1872 -2.1112
 -2.0386 -1.9692 -1.9022 -1.8370 -1.7736 -1.6201 -1.4841 -1.3722 -1.2855 -1.2221
 -1.1765 -1.1421 -1.1137 -1.0884 -1.0646 -1.0413 -1.0188 -0.9972 -0.9773 -0.9606
 -0.9503
 -2.7505 -2.6477 -2.5606 -2.4876 -2.4116 -2.3397 -2.2708 -2.2019 -2.1329 -2.0642
 -1.9970 -1.9321 -1.8694 -1.8085 -1.7493 -1.6061 -1.4775 -1.3690 -1.2836 -1.2192
 -1.1733 -1.1412 -1.1176 -1.0984 -1.0809 -1.0638 -1.0469 -1.0301 -1.0137 -0.9986
 -0.9848
 -2.6115 -2.5333 -2.4576 -2.3844 -2.3206 -2.2625 -2.2051 -2.1297 -2.0708 -2.0113
 -1.9516 -1.8925 -1.8349 -1.7787 -1.7239 -1.5918 -1.4697 -1.3653 -1.2810 -1.2165
 -1.1694 -1.1370 -1.1154 -1.1007 -1.0892 -1.0787 -1.0683 -1.0574 -1.0461 -1.0350
 -1.0250
 -2.4751 -2.4306 -2.3673 -2.2871 -2.2369 -2.1960 -2.1224 -2.0719 -2.0202 -1.9508
 -1.8996 -1.8481 -1.7966 -1.7458 -1.6974 -1.5772 -1.4607 -1.3611 -1.2777
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.3687 -5.1171 -4.9416 -4.6155 -4.1476 -3.7603 -3.6007 -3.5618 -3.4790 -3.3089
 -3.1096 -2.9054 -2.7239 -2.5696 -2.4171 -2.0582
 -4.8566 -4.5159 -4.2691 -3.9972 -3.6978 -3.4524 -3.3103 -3.2250 -3.1294 -3.0019
 -2.8585 -2.7040 -2.5491 -2.4035 -2.2640 -1.9487 -1.6831 -1.4730 -1.3043
 -4.4704 -4.0744 -3.7799 -3.5393 -3.3430 -3.1866 -3.0608 -2.9540 -2.8547 -2.7550
 -2.6488 -2.5308 -2.4002 -2.2661 -2.1385 -1.8585 -1.6273 -1.4423 -1.2975 -1.1873
 -1.1073
 -4.2101 -3.7926 -3.4740 -3.2418 -3.0832 -2.9629 -2.8522 -2.7488 -2.6549 -2.5682
 -2.4805 -2.3858 -2.2772 -2.1574 -2.0406 -1.7876 -1.5832 -1.4192 -1.2925 -1.1943
 -1.1155 -1.0501 -0.9941
 -4.0757 -3.6705 -3.3514 -3.1047 -2.9184 -2.7813 -2.6845 -2.6094 -2.5300 -2.4415
 -2.3536 -2.2690 -2.1801 -2.0774 -1.9703 -1.7360 -1.5508 -1.4037 -1.2893 -1.1998
 -1.1273 -1.0664 -1.0136 -0.9667 -0.9257
 -3.9803 -3.5992 -3.2932 -3.0495 -2.8564 -2.7050 -2.5871 -2.4943 -2.4197 -2.3513
 -2.2730 -2.1869 -2.1035 -2.0158 -1.9199 -1.7003 -1.5276 -1.3931 -1.2890 -1.2073
 -1.1408 -1.0845 -1.0352 -0.9913 -0.9518 -0.9164
 -3.8807 -3.5332 -3.2494 -3.0177 -2.8280 -2.6721 -2.5444 -2.4393 -2.3509 -2.2732
 -2.2009 -2.1266 -2.0479 -1.9687 -1.8821 -1.6758 -1.5115 -1.3850 -1.2888 -1.2144
 -1.1541 -1.1027 -1.0576 -1.0169 -0.9797 -0.9457 -0.9154 -0.8905 -0.8734 -0.8676
 -3.7641 -3.4540 -3.1978 -2.9848 -2.8053 -2.6527 -2.5221 -2.4100 -2.3138 -2.2289
 -2.1507 -2.0757 -2.0010 -1.9288 -1.8526 -1.6593 -1.5005 -1.3787 -1.2872 -1.2186
 -1.1644 -1.1187 -1.0785 -1.0420 -1.0082 -0.9766 -0.9479 -0.9220 -0.9022 -0.8919
 -0.8928
 -3.6371 -3.3620 -3.1330 -2.9406 -2.7758 -2.6318 -2.5041 -2.3904 -2.2895 -2.2000
 -2.1186 -2.0418 -1.9676 -1.8953 -1.8255 -1.6476 -1.4937 -1.3738 -1.2844 -1.2188
 -1.1696 -1.1299 -1.0954 -1.0641 -1.0349 -1.0071 -0.9810 -0.9570 -0.9363 -0.9212
 -0.9174
 -3.5045 -3.2615 -3.0564 -2.8830 -2.7334 -2.6004 -2.4797 -2.3692 -2.2681 -2.1762
 -2.0926 -2.0152 -1.9415 -1.8701 -1.8017 -1.6345 -1.4877 -1.3697 -1.2804 -1.2155
 -1.1691 -1.1343 -1.1059 -1.0807 -1.0571 -1.0343 -1.0124 -0.9914 -0.9722 -0.9561
 -0.9462
 -3.3814 -3.1676 -2.9807 -2.8211 -2.6837 -2.5613 -2.4493 -2.3445 -2.2465 -2.1551
 -2.0707 -1.9929 -1.9201 -1.8507 -1.7838 -1.6240 -1.4830 -1.3676 -1.2783 -1.2124
 -1.1659 -1.1335 -1.1098 -1.0906 -1.0733 -1.0566 -1.0402 -1.0240 -1.0082 -0.9938
 -0.9804
 -3.2718 -3.0810 -2.9098 -2.7596 -2.6292 -2.5147 -2.4103 -2.3124 -2.2194 -2.1312
 -2.0481 -1.9705 -1.8984 -1.8308 -1.7662 -1.6138 -1.4777 -1.3648 -1.2763 -1.2096
 -1.1618 -1.1293 -1.1078 -1.0931 -1.0817 -1.0715 -1.0615 -1.0511 -1.0404 -1.0299
 -1.0204
 -3.1756 -3.0017 -2.8453 -2.7028 -2.5767 -2.4654 -2.3655 -2.2733 -2.1858 -2.1022
 -2.0222 -1.9466 -1.8755 -1.8092 -1.7489 -1.6039 -1.4718 -1.3613 -1.2744
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.1812 -5.6748 -5.2604 -4.9531 -4.6394 -4.3354 -4.0277 -3.7291 -3.4523 -3.2140
 -3.0039 -2.8153 -2.6446 -2.4893 -2.3142 -2.0041
 -5.7910 -5.2797 -4.8362 -4.4566 -4.1344 -3.8536 -3.5985 -3.3597 -3.1433 -2.9548
 -2.7848 -2.6249 -2.4716 -2.3283 -2.1858 -1.9025 -1.6658 -1.4689 -1.3137
 -5.3918 -4.8793 -4.4347 -4.0600 -3.7487 -3.4901 -3.2709 -3.0743 -2.9003 -2.7477
 -2.6084 -2.4735 -2.3380 -2.2061 -2.0834 -1.8216 -1.6101 -1.4368 -1.2983 -1.1897
 -1.1027
 -4.9836 -4.4736 -4.0559 -3.7633 -3.4824 -3.2450 -3.0449 -2.8729 -2.7233 -2.5927
 -2.4747 -2.3611 -2.2438 -2.1227 -2.0070 -1.7614 -1.5683 -1.4130 -1.2884 -1.1899
 -1.1097 -1.0445 -0.9888
