 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F140M
 -1.2185 -1.2583 -1.3065 -1.3555 -1.4033 -1.4491 -1.4924 -1.5330 -1.5710 -1.6055
 -1.6358 -1.6615 -1.6844 -1.7060 -1.7264 -1.7814 -1.8588 -1.9540 -2.0555 -2.1595
 -2.2646 -2.3695 -2.4729 -2.5743 -2.6736 -2.7710 -2.8671 -2.9624 -3.0570 -3.1508
 -3.2438
 -1.2160 -1.2494 -1.2902 -1.3316 -1.3760 -1.4205 -1.4644 -1.5071 -1.5483 -1.5871
 -1.6229 -1.6549 -1.6835 -1.7102 -1.7359 -1.7987 -1.8710 -1.9599 -2.0591 -2.1619
 -2.2659 -2.3699 -2.4732 -2.5748 -2.6742 -2.7713 -2.8665 -2.9600 -3.0521 -3.1433
 -3.2355
 -1.2338 -1.2584 -1.2899 -1.3231 -1.3615 -1.4009 -1.4421 -1.4836 -1.5253 -1.5661
 -1.6054 -1.6423 -1.6763 -1.7078 -1.7377 -1.8102 -1.8840 -1.9682 -2.0634 -2.1643
 -2.2670 -2.3700 -2.4726 -2.5741 -2.6739 -2.7713 -2.8665 -2.9594 -3.0504 -3.1400
 -3.2285
 -1.2669 -1.2852 -1.3056 -1.3313 -1.3614 -1.3951 -1.4313 -1.4692 -1.5083 -1.5481
 -1.5879 -1.6271 -1.6648 -1.7006 -1.7345 -1.8152 -1.8943 -1.9773 -2.0686
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F140M
 -1.5939 -1.5966 -1.5785 -1.5680 -1.5563 -1.5478 -1.5480 -1.5512 -1.5554 -1.5593
 -1.5657 -1.5738 -1.5851 -1.6008 -1.6207 -1.6845 -1.7643 -1.8618 -1.9745
 -1.5244 -1.5813 -1.6013 -1.5820 -1.5718 -1.5660 -1.5650 -1.5691 -1.5740 -1.5790
 -1.5863 -1.5957 -1.6081 -1.6248 -1.6453 -1.7094 -1.7882 -1.8826 -1.9904 -2.1045
 -1.4930 -1.5239 -1.5596 -1.5951 -1.5836 -1.5742 -1.5736 -1.5785 -1.5859 -1.5923
 -1.6007 -1.6111 -1.6243 -1.6414 -1.6624 -1.7274 -1.8065 -1.8991 -2.0034 -2.1140
 -2.2266
 -1.4599 -1.4972 -1.5239 -1.5470 -1.5771 -1.5864 -1.5788 -1.5816 -1.5913 -1.6007
 -1.6102 -1.6216 -1.6354 -1.6527 -1.6739 -1.7399 -1.8198 -1.9118 -2.0139 -2.1219
 -2.2319 -2.3421
 -1.4174 -1.4652 -1.5003 -1.5261 -1.5463 -1.5666 -1.5870 -1.5899 -1.5932 -1.6048
 -1.6159 -1.6284 -1.6427 -1.6601 -1.6814 -1.7481 -1.8291 -1.9213 -2.0222 -2.1285
 -2.2367 -2.3447 -2.4523 -2.5596
 -1.3667 -1.4243 -1.4693 -1.5039 -1.5306 -1.5525 -1.5726 -1.5921 -1.6066 -1.6124
 -1.6207 -1.6326 -1.6473 -1.6648 -1.6860 -1.7532 -1.8353 -1.9280 -2.0284 -2.1337
 -2.2408 -2.3476 -2.4532 -2.5582 -2.6626 -2.7667 -2.8705 -2.9744 -3.0775 -3.1767
 -1.3115 -1.3757 -1.4299 -1.4737 -1.5093 -1.5390 -1.5642 -1.5867 -1.6078 -1.6267
 -1.6380 -1.6437 -1.6530 -1.6683 -1.6887 -1.7560 -1.8391 -1.9325 -2.0329 -2.1374
 -2.2440 -2.3502 -2.4548 -2.5581 -2.6604 -2.7618 -2.8626 -2.9633 -3.0640 -3.1642
 -3.2609
 -1.2580 -1.3232 -1.3835 -1.4357 -1.4795 -1.5167 -1.5490 -1.5775 -1.6037 -1.6276
 -1.6486 -1.6636 -1.6729 -1.6818 -1.6954 -1.7574 -1.8411 -1.9353 -2.0357 -2.1399
 -2.2459 -2.3520 -2.4564 -2.5589 -2.6598 -2.7594 -2.8580 -2.9559 -3.0535 -3.1510
 -3.2485
 -1.2114 -1.2737 -1.3349 -1.3919 -1.4427 -1.4870 -1.5261 -1.5611 -1.5928 -1.6219
 -1.6482 -1.6706 -1.6886 -1.7032 -1.7162 -1.7635 -1.8430 -1.9378 -2.0386 -2.1425
 -2.2481 -2.3541 -2.4588 -2.5614 -2.6619 -2.7605 -2.8578 -2.9542 -3.0498 -3.1445
 -3.2383
 -1.1768 -1.2328 -1.2897 -1.3467 -1.4007 -1.4505 -1.4955 -1.5364 -1.5739 -1.6084
 -1.6399 -1.6682 -1.6925 -1.7138 -1.7334 -1.7808 -1.8477 -1.9386 -2.0391 -2.1426
 -2.2476 -2.3531 -2.4578 -2.5608 -2.6615 -2.7598 -2.8562 -2.9508 -3.0441 -3.1364
 -3.2281
