 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.5009 -2.4790 -2.4561 -2.4257 -2.3875 -2.3429 -2.2939 -2.2433 -2.1940 -2.1475
 -2.1046 -2.0659 -2.0314 -2.0013 -1.9752 -1.9184 -1.8677 -1.8285 -1.8080 -1.8067
 -1.8192 -1.8372 -1.8558 -1.8738 -1.8910 -1.9075 -1.9239 -1.9415 -1.9604 -1.9805
 -2.0017
 -2.4146 -2.3944 -2.3748 -2.3508 -2.3230 -2.2891 -2.2505 -2.2084 -2.1648 -2.1219
 -2.0813 -2.0441 -2.0102 -1.9793 -1.9517 -1.8959 -1.8520 -1.8187 -1.7993 -1.7972
 -1.8101 -1.8315 -1.8553 -1.8787 -1.9008 -1.9215 -1.9412 -1.9601 -1.9787 -1.9980
 -2.0182
 -2.3423 -2.3166 -2.2962 -2.2754 -2.2546 -2.2284 -2.1988 -2.1657 -2.1300 -2.0928
 -2.0560 -2.0213 -1.9894 -1.9603 -1.9336 -1.8778 -1.8361 -1.8065 -1.7895 -1.7867
 -1.7985 -1.8208 -1.8480 -1.8766 -1.9042 -1.9300 -1.9544 -1.9771 -1.9986 -2.0197
 -2.0410
 -2.2806 -2.2456 -2.2202 -2.2005 -2.1829 -2.1638 -2.1413 -2.1157 -2.0877 -2.0577
 -2.0266 -1.9957 -1.9664 -1.9395 -1.9149 -1.8626 -1.8221 -1.7942 -1.7790
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  G   
 -3.5457 -3.4784 -3.3180 -3.1440 -2.9721 -2.8244 -2.7150 -2.6219 -2.5344 -2.4511
 -2.3724 -2.2976 -2.2270 -2.1604 -2.0982 -1.9651 -1.8650 -1.7970 -1.7578
 -3.2791 -3.2724 -3.2476 -3.1171 -2.9614 -2.8124 -2.6895 -2.5920 -2.5042 -2.4229
 -2.3465 -2.2743 -2.2063 -2.1425 -2.0834 -1.9586 -1.8669 -1.8055 -1.7699 -1.7518
 -3.1627 -3.0649 -3.0225 -3.0215 -2.9386 -2.8064 -2.6779 -2.5716 -2.4829 -2.4031
 -2.3291 -2.2594 -2.1939 -2.1326 -2.0759 -1.9571 -1.8708 -1.8135 -1.7804 -1.7644
 -1.7583
 -3.0907 -2.9823 -2.8837 -2.8154 -2.7953 -2.7659 -2.6705 -2.5615 -2.4676 -2.3878
 -2.3158 -2.2486 -2.1855 -2.1265 -2.0720 -1.9577 -1.8752 -1.8207 -1.7894 -1.7752
 -1.7708 -1.7715
 -3.0232 -2.9273 -2.8257 -2.7302 -2.6522 -2.6016 -2.5804 -2.5377 -2.4570 -2.3751
 -2.3041 -2.2391 -2.1783 -2.1215 -2.0689 -1.9586 -1.8790 -1.8264 -1.7966 -1.7840
 -1.7817 -1.7841 -1.7896 -1.7973
 -2.9515 -2.8725 -2.7822 -2.6883 -2.5987 -2.5201 -2.4577 -2.4161 -2.3910 -2.3504
 -2.2901 -2.2288 -2.1705 -2.1159 -2.0652 -1.9586 -1.8813 -1.8303 -1.8016 -1.7904
 -1.7905 -1.7955 -1.8029 -1.8122 -1.8228 -1.8357 -1.8522 -1.8733 -1.8991 -1.9280
 -2.8744 -2.8111 -2.7362 -2.6532 -2.5679 -2.4865 -2.4126 -2.3480 -2.2962 -2.2606
