 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -5.2517 -4.6943 -4.3920 -4.3461 -4.5563 -4.8493 -5.0613 -4.9067 -4.7531 -4.5888
 -4.4132 -4.2637 -4.0768 -3.8885 -3.7118 -3.3195 -2.9761 -2.7223 -2.5165
 -5.7580 -5.4117 -5.1581 -4.9879 -4.8739 -4.7668 -4.6499 -4.5278 -4.4039 -4.2769
 -4.1354 -3.9751 -3.8049 -3.6395 -3.4850 -3.1443 -2.8683 -2.6559 -2.4996 -2.3816
 -5.5282 -5.2013 -4.9408 -4.7346 -4.5753 -4.4598 -4.3756 -4.2854 -4.1727 -4.0446
 -3.9160 -3.7819 -3.6347 -3.4866 -3.3487 -3.0531 -2.8149 -2.6299 -2.4916 -2.3856
 -2.3005
 -5.3458 -5.0502 -4.8050 -4.5991 -4.4258 -4.2809 -4.1610 -4.0635 -3.9762 -3.8747
 -3.7538 -3.6314 -3.5048 -3.3736 -3.2485 -2.9834 -2.7751 -2.6131 -2.4901 -2.3942
 -2.3160 -2.2496
 -5.1724 -4.9127 -4.6908 -4.4976 -4.3275 -4.1773 -4.0449 -3.9282 -3.8240 -3.7280
 -3.6297 -3.5216 -3.4098 -3.2923 -3.1780 -2.9341 -2.7460 -2.6015 -2.4916 -2.4049
 -2.3333 -2.2717 -2.2170 -2.1664
 -5.0010 -4.7753 -4.5793 -4.4042 -4.2453 -4.1003 -3.9676 -3.8463 -3.7354 -3.6320
 -3.5334 -3.4358 -3.3384 -3.2360 -3.1321 -2.9016 -2.7255 -2.5924 -2.4927 -2.4148
 -2.3501 -2.2939 -2.2434 -2.1972 -2.1526 -2.1114 -2.0763 -2.0491 -2.0315 -2.0243
 -4.8400 -4.6391 -4.4664 -4.3103 -4.1659 -4.0310 -3.9044 -3.7857 -3.6747 -3.5707
 -3.4718 -3.3762 -3.2834 -3.1915 -3.0989 -2.8838 -2.7128 -2.5851 -2.4914 -2.4208
 -2.3634 -2.3135 -2.2684 -2.2266 -2.1871 -2.1485 -2.1130 -2.0832 -2.0611 -2.0487
 -2.0484
 -4.6922 -4.5107 -4.3546 -4.2143 -4.0845 -3.9616 -3.8439 -3.7318 -3.6253 -3.5235
 -3.4270 -3.3345 -3.2449 -3.1578 -3.0720 -2.8727 -2.7072 -2.5806 -2.4884 -2.4218
 -2.3707 -2.3277 -2.2890 -2.2529 -2.2184 -2.1850 -2.1514 -2.1204 -2.0954 -2.0791
 -2.0731
 -4.5607 -4.3942 -4.2470 -4.1173 -3.9991 -3.8871 -3.7795 -3.6756 -3.5756 -3.4793
 -3.3866 -3.2977 -3.2122 -3.1293 -3.0482 -2.8605 -2.7022 -2.5777 -2.4848 -2.4186
 -2.3709 -2.3341 -2.3026 -2.2733 -2.2450 -2.2170 -2.1895 -2.1643 -2.1417 -2.1215
 -2.1034
 -4.4456 -4.2896 -4.1528 -4.0271 -3.9148 -3.8115 -3.7131 -3.6177 -3.5253 -3.4357
 -3.3489 -3.2647 -3.1834 -3.1050 -3.0288 -2.8505 -2.6985 -2.5764 -2.4833 -2.4155
