 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -4.0925 -3.3643 -2.9808 -2.9344 -3.2509 -3.7071 -4.2011 -4.0638 -3.9310 -3.7903
 -3.6422 -3.5342 -3.3701 -3.2067 -3.0525 -2.7255 -2.4451 -2.2364 -2.0707
 -4.8843 -4.5485 -4.3054 -4.1457 -4.0422 -3.9477 -3.8470 -3.7444 -3.6424 -3.5393
 -3.4246 -3.2936 -3.1526 -3.0143 -2.8847 -2.5998 -2.3697 -2.1923 -2.0609 -1.9614
 -4.6781 -4.3636 -4.1166 -3.9257 -3.7837 -3.6858 -3.6189 -3.5481 -3.4583 -3.3552
 -3.2518 -3.1438 -3.0232 -2.8996 -2.7832 -2.5323 -2.3305 -2.1735 -2.0557 -1.9654
 -1.8935
 -4.5190 -4.2369 -4.0059 -3.8159 -3.6608 -3.5365 -3.4383 -3.3619 -3.2957 -3.2176
 -3.1221 -3.0243 -2.9218 -2.8131 -2.7076 -2.4802 -2.3008 -2.1613 -2.0553 -1.9731
 -1.9068 -1.8513
 -4.3669 -4.1217 -3.9146 -3.7369 -3.5836 -3.4526 -3.3418 -3.2477 -3.1658 -3.0917
 -3.0156 -2.9307 -2.8420 -2.7466 -2.6515 -2.4423 -2.2783 -2.1525 -2.0570 -1.9824
 -1.9216 -1.8702 -1.8253 -1.7845
 -4.2137 -4.0033 -3.8228 -3.6631 -3.5198 -3.3915 -3.2776 -3.1776 -3.0889 -3.0074
 -2.9298 -2.8528 -2.7761 -2.6943 -2.6095 -2.4153 -2.2616 -2.1449 -2.0580 -1.9907
 -1.9358 -1.8891 -1.8480 -1.8111 -1.7758 -1.7437 -1.7169 -1.6970 -1.6855 -1.6830
 -4.0670 -3.8824 -3.7258 -3.5854 -3.4561 -3.3362 -3.2256 -3.1250 -3.0342 -2.9514
 -2.8732 -2.7973 -2.7234 -2.6501 -2.5752 -2.3968 -2.2498 -2.1380 -2.0563 -1.9954
 -1.9469 -1.9056 -1.8693 -1.8363 -1.8056 -1.7759 -1.7490 -1.7271 -1.7120 -1.7054
 -1.7093
 -3.9294 -3.7655 -3.6263 -3.5022 -3.3875 -3.2789 -3.1754 -3.0783 -2.9889 -2.9063
 -2.8296 -2.7564 -2.6853 -2.6157 -2.5464 -2.3823 -2.2421 -2.1325 -2.0525 -1.9953
 -1.9524 -1.9172 -1.8866 -1.8586 -1.8324 -1.8074 -1.7823 -1.7595 -1.7421 -1.7324
 -1.7319
 -3.8047 -3.6576 -3.5284 -3.4154 -3.3126 -3.2148 -3.1205 -3.0299 -2.9441 -2.8639
 -2.7893 -2.7189 -2.6514 -2.5858 -2.5209 -2.3672 -2.2343 -2.1277 -2.0477 -1.9912
 -1.9514 -1.9218 -1.8974 -1.8755 -1.8549 -1.8347 -1.8152 -1.7978 -1.7827 -1.7697
 -1.7586
 -3.6929 -3.5587 -3.4411 -3.3331 -3.2367 -3.1478 -3.0624 -2.9794 -2.8994 -2.8232
 -2.7514 -2.6840 -2.6201 -2.5586 -2.4986 -2.3544 -2.2278 -2.1241 -2.0444 -1.9868
 -1.9473 -1.9205 -1.9012 -1.8857 -1.8714 -1.8573 -1.8432 -1.8290 -1.8193 -1.8063
 -1.7915
 -3.5940 -3.4688 -3.3644 -3.2594 -3.1643 -3.0790 -3.0000 -2.9243 -2.8508 -2.7799
 -2.7121 -2.6480 -2.5875 -2.5299 -2.4743 -2.3410 -2.2203 -2.1197 -2.0410 -1.9827
 -1.9421 -1.9154 -1.8987 -1.8880 -1.8800 -1.8725 -1.8647 -1.8564 -1.8475 -1.8387
 -1.8310
 -3.5079 -3.3879 -3.2983 -3.1950 -3.0992 -3.0137 -2.9366 -2.8654 -2.7977 -2.7325
 -2.6697 -2.6097 -2.5528 -2.4989 -2.4480 -2.3270 -2.2118 -2.1145 -2.0375
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = G_BP 
 -5.7002 -5.0390 -4.5594 -4.2546 -4.1286 -4.0998 -4.1268 -3.9742 -3.8275 -3.6806
 -3.5295 -3.3908 -3.2356 -3.0884 -2.9523 -2.6614 -2.4178 -2.2251 -2.0707
 -5.3600 -4.9438 -4.6440 -4.3926 -4.1768 -3.9969 -3.8464 -3.7156 -3.5945 -3.4754
 -3.3518 -3.2195 -3.0824 -2.9504 -2.8285 -2.5683 -2.3575 -2.1882 -2.0578 -1.9564
 -5.0461 -4.6097 -4.2838 -4.0497 -3.8942 -3.7760 -3.6575 -3.5383 -3.4254 -3.3190
 -3.2140 -3.1034 -2.9826 -2.8607 -2.7469 -2.5072 -2.3188 -2.1685 -2.0516 -1.9609
 -1.8883
 -4.8801 -4.4619 -4.1383 -3.8909 -3.7044 -3.5666 -3.4718 -3.3996 -3.3155 -3.2150
 -3.1124 -3.0128 -2.9090 -2.7984 -2.6926 -2.4654 -2.2916 -2.1558 -2.0501 -1.9673
 -1.9004 -1.8444
 -4.7654 -4.3763 -4.0684 -3.8251 -3.6324 -3.4803 -3.3602 -3.2651 -3.1917 -3.1247
 -3.0418 -2.9481 -2.8523 -2.7530 -2.6535 -2.4377 -2.2731 -2.1473 -2.0508 -1.9753
 -1.9139 -1.8622 -1.8173 -1.7776
 -4.6613 -4.3067 -4.0208 -3.7892 -3.5993 -3.4424 -3.3126 -3.2046 -3.1128 -3.0330
 -2.9619 -2.8879 -2.8064 -2.7174 -2.6255 -2.4194 -2.2605 -2.1408 -2.0511 -1.9824
 -1.9270 -1.8799 -1.8388 -1.8021 -1.7688 -1.7388 -1.7128 -1.6918 -1.6792 -1.6768
 -4.5577 -4.2366 -3.9750 -3.7588 -3.5767 -3.4213 -3.2877 -3.1729 -3.0735 -2.9851
 -2.9042 -2.8286 -2.7565 -2.6817 -2.6010 -2.4064 -2.2515 -2.1351 -2.0495 -1.9864
 -1.9369 -1.8954 -1.8591 -1.8263 -1.7961 -1.7683 -1.7432 -1.7216 -1.7053 -1.6990
 -1.7031
