 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -8.5955 -8.3833 -8.5457 -8.4671 -8.2439 -7.8859 -7.4257 -7.1433 -6.8658 -6.5765
 -6.3014 -6.0474 -5.8115 -5.5871 -5.3698 -4.8819 -4.3732 -3.9002 -3.5610
 -8.4268 -8.0670 -7.7837 -7.5906 -7.4708 -7.3154 -7.0734 -6.7893 -6.5051 -6.2260
 -5.9587 -5.7099 -5.4799 -5.2657 -5.0635 -4.5942 -4.1652 -3.7985 -3.5143 -3.2959
 -8.0898 -7.7321 -7.4200 -7.1607 -6.9498 -6.7970 -6.6672 -6.4800 -6.2363 -5.9706
 -5.7113 -5.4670 -5.2426 -5.0368 -4.8469 -4.4240 -4.0511 -3.7283 -3.4734 -3.2766
 -3.1187
 -7.8125 -7.4850 -7.1789 -6.9083 -6.6711 -6.4584 -6.2725 -6.1206 -5.9601 -5.7539
 -5.5208 -5.2887 -5.0704 -4.8703 -4.6881 -4.2965 -3.9659 -3.6819 -3.4496 -3.2700
 -3.1255 -3.0034
 -7.5610 -7.2748 -6.9930 -6.7297 -6.4916 -6.2726 -6.0657 -5.8707 -5.6984 -5.5330
 -5.3545 -5.1550 -4.9519 -4.7588 -4.5814 -4.2087 -3.9066 -3.6499 -3.4384 -3.2722
 -3.1388 -3.0258 -2.9263 -2.8366
 -7.3272 -7.0777 -6.8302 -6.5857 -6.3561 -6.1426 -5.9396 -5.7424 -5.5521 -5.3712
 -5.2033 -5.0387 -4.8657 -4.6890 -4.5182 -4.1543 -3.8691 -3.6313 -3.4352 -3.2794
 -3.1550 -3.0505 -2.9583 -2.8745 -2.7934 -2.7168 -2.6478 -2.5889 -2.5419 -2.5079
 -7.1115 -6.8920 -6.6755 -6.4571 -6.2418 -6.0380 -5.8438 -5.6555 -5.4709 -5.2891
 -5.1141 -4.9496 -4.7928 -4.6377 -4.4827 -4.1280 -3.8492 -3.6239 -3.4371 -3.2883
 -3.1710 -3.0742 -2.9895 -2.9125 -2.8409 -2.7737 -2.7111 -2.6536 -2.6013 -2.5574
 -2.5327
 -6.9143 -6.7191 -6.5265 -6.3333 -6.1384 -5.9459 -5.7610 -5.5835 -5.4100 -5.2373
 -5.0667 -4.9018 -4.7453 -4.5972 -4.4546 -4.1216 -3.8436 -3.6236 -3.4427 -3.2974
 -3.1845 -3.0942 -3.0171 -2.9473 -2.8826 -2.8214 -2.7625 -2.7075 -2.6585 -2.6171
 -2.5843
 -6.7360 -6.5603 -6.3860 -6.2093 -6.0358 -5.8599 -5.6850 -5.5154 -5.3521 -5.1911
