 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  g   
 -1.0187  0.8290  2.2298  1.4768 -1.4830 -6.3105 -4.8451 -2.5679 -1.3333 -1.3316
 -1.1834 -1.0564 -1.4802 -1.9624 -2.0246 -1.3633
 -3.6874 -2.7446 -1.8302 -1.8531 -2.8309 -4.9469 -4.2871 -3.2191 -2.4563 -2.1625
 -1.8973 -1.7363 -1.8384 -1.9726 -1.9138 -1.3187 -0.9288 -0.6927 -0.6266
 -4.6056 -4.2019 -3.6835 -3.3736 -3.3012 -3.7507 -3.5314 -3.1821 -2.8066 -2.4741
 -2.2136 -2.0455 -1.9566 -1.8761 -1.7424 -1.2392 -0.8736 -0.6506 -0.5262 -0.4205
 -0.2535
 -3.7733 -3.5429 -3.3301 -3.0847 -2.8938 -2.7218 -2.5780 -2.4571 -2.3844 -2.2664
 -2.1323 -1.9839 -1.8349 -1.6727 -1.5104 -1.1248 -0.8354 -0.6267 -0.4749 -0.3603
 -0.2685 -0.1904 -0.1212
 -3.3905 -3.2159 -3.0454 -2.8582 -2.6841 -2.5158 -2.3610 -2.2231 -2.1009 -1.9877
 -1.8731 -1.7503 -1.6232 -1.4925 -1.3601 -1.0446 -0.7930 -0.6109 -0.4768 -0.3729
 -0.2880 -0.2150 -0.1499 -0.0915 -0.0393
 -3.0219 -2.8926 -2.7595 -2.6188 -2.4703 -2.3186 -2.1691 -2.0290 -1.9012 -1.7852
 -1.6774 -1.5721 -1.4637 -1.3550 -1.2433 -0.9806 -0.7605 -0.5985 -0.4788 -0.3849
 -0.3071 -0.2395 -0.1788 -0.1230 -0.0716 -0.0250
 -2.6675 -2.5730 -2.4724 -2.3665 -2.2525 -2.1302 -2.0023 -1.8748 -1.7532 -1.6404
 -1.5367 -1.4399 -1.3467 -1.2546 -1.1600 -0.9328 -0.7379 -0.5895 -0.4809 -0.3963
 -0.3258 -0.2639 -0.2079 -0.1558 -0.1069 -0.0613 -0.0198  0.0152  0.0407  0.0526
 -2.3274 -2.2571 -2.1841 -2.1088 -2.0280 -1.9391 -1.8415 -1.7379 -1.6325 -1.5302
 -1.4338 -1.3437 -1.2593 -1.1785 -1.0985 -0.9003 -0.7244 -0.5839 -0.4810 -0.4038
 -0.3408 -0.2856 -0.2351 -0.1879 -0.1427 -0.0997 -0.0587 -0.0224  0.0063  0.0247
  0.0294
 -2.0150 -1.9624 -1.9103 -1.8586 -1.8046 -1.7456 -1.6791 -1.6041 -1.5220 -1.4369
 -1.3522 -1.2707 -1.1936 -1.1204 -1.0495 -0.8765 -0.7158 -0.5822 -0.4805 -0.4064
 -0.3494 -0.3013 -0.2576 -0.2164 -0.1765 -0.1377 -0.1005 -0.0644 -0.0330 -0.0103
  0.0012
 -1.7334 -1.6959 -1.6606 -1.6273 -1.5934 -1.5573 -1.5163 -1.4682 -1.4115 -1.3472
 -1.2784 -1.2084 -1.1394 -1.0729 -1.0087 -0.8542 -0.7069 -0.5800 -0.4799 -0.4052
 -0.3509 -0.3087 -0.2723 -0.2382 -0.2049 -0.1718 -0.1392 -0.1076 -0.0780 -0.0531
 -0.0333
