 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -3.6394 -3.2155 -2.8572 -2.5567 -2.3077 -2.1004 -1.9261 -1.7773 -1.6493 -1.5383
 -1.4405 -1.3523 -1.2700 -1.1921 -1.1186 -0.9327 -0.7622 -0.6272 -0.5253 -0.4489
 -0.3927 -0.3508 -0.3175 -0.2888 -0.2626 -0.2378 -0.2144 -0.1923 -0.1720 -0.1547
 -0.1431
 -3.5337 -3.1585 -2.8293 -2.5473 -2.3094 -2.1086 -1.9369 -1.7878 -1.6567 -1.5407
 -1.4374 -1.3444 -1.2592 -1.1791 -1.1034 -0.9249 -0.7622 -0.6273 -0.5242 -0.4470
 -0.3907 -0.3505 -0.3210 -0.2978 -0.2775 -0.2587 -0.2407 -0.2234 -0.2067 -0.1915
 -0.1774
 -3.4215 -3.0927 -2.7949 -2.5327 -2.3066 -2.1125 -1.9445 -1.7968 -1.6650 -1.5463
 -1.4392 -1.3422 -1.2537 -1.1719 -1.0950 -0.9180 -0.7606 -0.6282 -0.5239 -0.4453
 -0.3878 -0.3473 -0.3194 -0.3000 -0.2852 -0.2725 -0.2607 -0.2490 -0.2375 -0.2264
 -0.2163
 -3.3054 -3.0195 -2.7577 -2.5186 -2.3036 -2.1140 -1.9493 -1.8031 -1.6715 -1.5518
 -1.4424 -1.3424 -1.2510 -1.1671 -1.0934 -0.9120 -0.7574 -0.6299 -0.5244
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.8252 -5.4212 -5.0350 -4.6619 -4.3040 -3.9317 -3.5125 -3.0534 -2.6607 -2.3472
 -2.0978 -1.8943 -1.7224 -1.5731 -1.4406 -1.1623 -0.9344 -0.7411 -0.5800
 -5.4418 -4.9981 -4.5793 -4.1882 -3.8228 -3.4745 -3.1166 -2.7465 -2.4279 -2.1660
 -1.9511 -1.7697 -1.6113 -1.4703 -1.3440 -1.0808 -0.8720 -0.7000 -0.5564 -0.4385
 -5.1469 -4.6885 -4.2544 -3.8525 -3.4876 -3.1575 -2.8479 -2.5398 -2.2674 -2.0388
 -1.8481 -1.6848 -1.5386 -1.4045 -1.2823 -1.0280 -0.8305 -0.6719 -0.5415 -0.4339
 -0.3459
 -4.8087 -4.3347 -3.9488 -3.5850 -3.2428 -2.9293 -2.6477 -2.3851 -2.1469 -1.9425
 -1.7696 -1.6213 -1.4881 -1.3626 -1.2445 -0.9955 -0.8044 -0.6541 -0.5329 -0.4336
 -0.3523 -0.2843
 -4.5342 -4.0298 -3.6090 -3.2568 -2.9592 -2.7043 -2.4780 -2.2590 -2.0523 -1.8677
 -1.7079 -1.5701 -1.4482 -1.3336 -1.2217 -0.9769 -0.7889 -0.6436 -0.5287 -0.4359
 -0.3605 -0.2976 -0.2435 -0.1959
 -4.4432 -3.8936 -3.4286 -3.0438 -2.7290 -2.4711 -2.2607 -2.0887 -1.9401 -1.8005
 -1.6620 -1.5324 -1.4156 -1.3094 -1.2062 -0.9672 -0.7804 -0.6377 -0.5268 -0.4391
 -0.3690 -0.3111 -0.2615 -0.2176 -0.1780 -0.1424 -0.1108 -0.0840 -0.0637 -0.0542
 -4.4487 -3.8690 -3.3731 -2.9637 -2.6308 -2.3615 -2.1431 -1.9640 -1.8158 -1.6939
 -1.5914 -1.4936 -1.3919 -1.2907 -1.1933 -0.9630 -0.7764 -0.6344 -0.5259 -0.4417
 -0.3759 -0.3230 -0.2783 -0.2389 -0.2030 -0.1701 -0.1406 -0.1145 -0.0929 -0.0790
 -0.0765
 -4.4868 -3.8978 -3.3851 -2.9562 -2.6070 -2.3256 -2.0981 -1.9127 -1.7604 -1.6330
 -1.5248 -1.4322 -1.3497 -1.2672 -1.1810 -0.9617 -0.7752 -0.6326 -0.5248 -0.4426
 -0.3786 -0.3315 -0.2920 -0.2576 -0.2263 -0.1974 -0.1708 -0.1457 -0.1243 -0.1093
 -0.1022
