 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  v   
 -7.0825 -6.9012 -6.7538 -6.6610 -6.5943 -6.5409 -6.4825 -6.4084 -6.3137 -6.1950
 -6.0482 -5.8693 -5.6533 -5.4059 -5.1540 -4.5936 -4.1222 -3.7071 -3.3455 -3.0458
 -2.8088 -2.6206 -2.4667 -2.3370 -2.2232
 -7.2404 -6.9668 -6.7462 -6.5707 -6.4331 -6.3272 -6.2421 -6.1518 -6.0475 -5.9269
 -5.7882 -5.6290 -5.4439 -5.2260 -4.9891 -4.4487 -4.0041 -3.6217 -3.2899 -3.0135
 -2.7938 -2.6212 -2.4816 -2.3645 -2.2630 -2.1731
 -7.4868 -7.1593 -6.8747 -6.6312 -6.4280 -6.2599 -6.1244 -6.0156 -5.9126 -5.7940
 -5.6478 -5.4845 -5.3091 -5.1164 -4.8982 -4.3678 -3.9356 -3.5729 -3.2602 -2.9991
 -2.7912 -2.6294 -2.5009 -2.3946 -2.3035 -2.2235 -2.1527 -2.0876 -2.0272 -1.9772
 -7.8171 -7.4285 -7.0905 -6.7956 -6.5391 -6.3186 -6.1304 -5.9680 -5.8246 -5.6953
 -5.5697 -5.4256 -5.2533 -5.0641 -4.8617 -4.3380 -3.9058 -3.5522 -3.2509 -2.9985
 -2.7969 -2.6419 -2.5216 -2.4242 -2.3420 -2.2708 -2.2083 -2.1528 -2.1032 -2.0591
 -2.0233
 -8.2748 -7.8026 -7.3950 -7.0410 -6.7318 -6.4607 -6.2229 -6.0145 -5.8299 -5.6623
 -5.5058 -5.3572 -5.2097 -5.0472 -4.8617 -4.3501 -3.9073 -3.5536 -3.2575 -3.0090
 -2.8212 -2.6561 -2.5407 -2.4505 -2.3764 -2.3132 -2.2586 -2.2103 -2.1682 -2.1327
 -2.1039
 -8.8755 -8.3044 -7.8094 -7.3808 -7.0068 -6.6781 -6.3880 -6.1314 -5.9031 -5.6980
 -5.5101 -5.3340 -5.1669 -5.0073 -4.8464 -4.3836 -3.9327 -3.5704 -3.2742 -3.0262
 -2.8245 -2.6691 -2.5546 -2.4692 -2.4022 -2.3472 -2.3007 -2.2606 -2.2260 -2.1964
