 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  G   
 -2.0822 -2.0507 -2.0597 -2.0385 -1.9738 -1.9123 -1.8948 -1.8998 -1.8864 -1.8398
 -1.7741 -1.6948 -1.6118 -1.5335 -1.4591 -1.2987 -1.1799 -1.0988 -1.0379
 -2.0581 -1.9752 -1.9213 -1.8774 -1.8423 -1.8170 -1.7987 -1.7816 -1.7602 -1.7309
 -1.6907 -1.6372 -1.5707 -1.4985 -1.4292 -1.2832 -1.1768 -1.1044 -1.0544 -1.0221
 -2.0406 -1.9328 -1.8443 -1.7810 -1.7472 -1.7288 -1.7095 -1.6880 -1.6669 -1.6458
 -1.6187 -1.5822 -1.5316 -1.4690 -1.4057 -1.2718 -1.1752 -1.1102 -1.0681 -1.0402
 -1.0213
 -2.0297 -1.9235 -1.8287 -1.7493 -1.6885 -1.6477 -1.6272 -1.6190 -1.6065 -1.5845
 -1.5581 -1.5298 -1.4945 -1.4450 -1.3886 -1.2645 -1.1751 -1.1162 -1.0790 -1.0544
 -1.0377 -1.0262
 -2.0034 -1.9085 -1.8200 -1.7408 -1.6733 -1.6194 -1.5799 -1.5532 -1.5373 -1.5259
 -1.5078 -1.4822 -1.4551 -1.4198 -1.3731 -1.2591 -1.1749 -1.1207 -1.0882 -1.0675
 -1.0535 -1.0438 -1.0373 -1.0331
 -1.9525 -1.8743 -1.7992 -1.7285 -1.6640 -1.6072 -1.5600 -1.5227 -1.4941 -1.4715
 -1.4524 -1.4325 -1.4095 -1.3850 -1.3513 -1.2526 -1.1732 -1.1219 -1.0937 -1.0778
 -1.0676 -1.0607 -1.0561 -1.0534 -1.0521 -1.0524 -1.0550 -1.0622 -1.0760 -1.0960
 -1.8768 -1.8167 -1.7579 -1.7009 -1.6459 -1.5938 -1.5460 -1.5039 -1.4690 -1.4397
 -1.4140 -1.3898 -1.3657 -1.3441 -1.3191 -1.2408 -1.1687 -1.1195 -1.0939 -1.0829
 -1.0778 -1.0749 -1.0736 -1.0733 -1.0738 -1.0749 -1.0776 -1.0820 -1.0917 -1.1093
 -1.1336
