 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.2648 -5.1982 -5.3983 -5.3276 -5.1337 -4.8782 -4.5986 -4.4076 -4.2351 -4.0588
 -3.8933 -3.7402 -3.5993 -3.4691 -3.3472 -3.0876 -2.8356 -2.6016 -2.4667
 -5.2575 -5.0321 -4.8512 -4.7298 -4.6614 -4.5603 -4.3947 -4.2116 -4.0406 -3.8787
 -3.7254 -3.5826 -3.4508 -3.3293 -3.2164 -2.9659 -2.7553 -2.5872 -2.4607 -2.3647
 -5.0471 -4.8247 -4.6261 -4.4576 -4.3221 -4.2316 -4.1599 -4.0475 -3.9022 -3.7491
 -3.6059 -3.4724 -3.3490 -3.2354 -3.1308 -2.9037 -2.7178 -2.5693 -2.4560 -2.3689
 -2.2996
 -4.8798 -4.6759 -4.4823 -4.3078 -4.1549 -4.0229 -3.9150 -3.8353 -3.7536 -3.6438
 -3.5168 -3.3919 -3.2760 -3.1690 -3.0705 -2.8589 -2.6903 -2.5581 -2.4556 -2.3763
 -2.3124 -2.2591
 -4.7367 -4.5542 -4.3750 -4.2055 -4.0518 -3.9145 -3.7924 -3.6847 -3.5974 -3.5177
 -3.4304 -3.3283 -3.2223 -3.1214 -3.0282 -2.8278 -2.6704 -2.5496 -2.4570 -2.3850
 -2.3264 -2.2770 -2.2344 -2.1972
 -4.6132 -4.4465 -4.2849 -4.1261 -3.9768 -3.8404 -3.7177 -3.6071 -3.5078 -3.4189
 -3.3386 -3.2596 -3.1743 -3.0848 -2.9972 -2.8061 -2.6561 -2.5426 -2.4574 -2.3925
 -2.3398 -2.2950 -2.2560 -2.2212 -2.1883 -2.1587 -2.1345 -2.1171 -2.1078 -2.1072
 -4.5093 -4.3523 -4.2032 -4.0578 -3.9161 -3.7835 -3.6620 -3.5522 -3.4536 -3.3636
 -3.2799 -3.2012 -3.1254 -3.0493 -2.9718 -2.7906 -2.6454 -2.5354 -2.4554 -2.3965
 -2.3501 -2.3108 -2.2764 -2.2454 -2.2169 -2.1894 -2.1647 -2.1452 -2.1325 -2.1283
 -2.1340
 -4.4251 -4.2729 -4.1301 -3.9942 -3.8626 -3.7356 -3.6169 -3.5082 -3.4104 -3.3220
 -3.2405 -3.1634 -3.0889 -3.0172 -2.9467 -2.7794 -2.6379 -2.5296 -2.4512 -2.3959
 -2.3550 -2.3219 -2.2931 -2.2670 -2.2428 -2.2198 -2.1968 -2.1762 -2.1611 -2.1537
 -2.1555
 -4.3609 -4.2095 -4.0684 -3.9328 -3.8101 -3.6908 -3.5764 -3.4694 -3.3721 -3.2843
 -3.2045 -3.1305 -3.0597 -2.9909 -2.9236 -2.7665 -2.6312 -2.5243 -2.4454 -2.3911
 -2.3537 -2.3262 -2.3036 -2.2836 -2.2647 -2.2464 -2.2289 -2.2123 -2.1987 -2.1883
 -2.1808
 -4.3166 -4.1633 -4.0207 -3.8880 -3.7643 -3.6488 -3.5403 -3.4366 -3.3400 -3.2522
 -3.1728 -3.1005 -3.0330 -2.9676 -2.9041 -2.7555 -2.6255 -2.5206 -2.4414 -2.3859
 -2.3490 -2.3245 -2.3073 -2.2935 -2.2810 -2.2686 -2.2563 -2.2440 -2.2322 -2.2217
 -2.2124
 -4.2882 -4.1304 -3.9847 -3.8501 -3.7257 -3.6105 -3.5039 -3.4046 -3.3105 -3.2229
 -3.1431 -3.0711 -3.0053 -2.9437 -2.8847 -2.7442 -2.6192 -2.5165 -2.4378 -2.3810
 -2.3430 -2.3189 -2.3046 -2.2959 -2.2896 -2.2837 -2.2777 -2.2710 -2.2639 -2.2569
 -2.2509
 -4.2590 -4.0911 -3.9414 -3.8069 -3.6847 -3.5726 -3.4683 -3.3705 -3.2791 -3.1940
 -3.1152 -3.0429 -2.9774 -2.9175 -2.8614 -2.7308 -2.6118 -2.5117 -2.4337
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.6334 -5.5419 -5.4064 -5.1594 -4.8826 -4.6213 -4.4006 -4.2148 -4.0454 -3.8859
 -3.7352 -3.5952 -3.4662 -3.3475 -3.2379 -3.0026 -2.7926 -2.6044 -2.4674
 -5.3062 -5.0953 -4.9757 -4.9007 -4.7271 -4.4936 -4.2702 -4.0806 -3.9145 -3.7599
 -3.6147 -3.4803 -3.3572 -3.2452 -3.1429 -2.9213 -2.7354 -2.5797 -2.4554 -2.3589
 -5.1272 -4.8899 -4.6921 -4.5432 -4.4608 -4.3613 -4.1822 -3.9903 -3.8226 -3.6732
 -3.5333 -3.4036 -3.2850 -3.1772 -3.0794 -2.8705 -2.7001 -2.5606 -2.4491 -2.3615
 -2.2915
 -5.0042 -4.7716 -4.5609 -4.3730 -4.2181 -4.1065 -4.0280 -3.9161 -3.7612 -3.6134
 -3.4778 -3.3527 -3.2377 -3.1332 -3.0383 -2.8372 -2.6766 -2.5483 -2.4469 -2.3670
 -2.3025 -2.2487
 -4.9103 -4.6895 -4.4817 -4.2930 -4.1252 -3.9758 -3.8502 -3.7516 -3.6698 -3.5639
 -3.4401 -3.3182 -3.2064 -3.1047 -3.0121 -2.8161 -2.6614 -2.5404 -2.4467 -2.3735
 -2.3144 -2.2649 -2.2223 -2.1856
 -4.8442 -4.6269 -4.4266 -4.2390 -4.0688 -3.9160 -3.7775 -3.6534 -3.5480 -3.4640
 -3.3832 -3.2880 -3.1849 -3.0854 -2.9947 -2.8025 -2.6513 -2.5347 -2.4464 -2.3793
 -2.3258 -2.2810 -2.2422 -2.2079 -2.1763 -2.1483 -2.1255 -2.1089 -2.0996 -2.0989
 -4.7884 -4.5777 -4.3851 -4.2017 -4.0315 -3.8775 -3.7385 -3.6122 -3.4974 -3.3960
