 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -2.5283 -2.5068 -2.6915 -2.6876 -2.5966 -2.4505 -2.2761 -2.1584 -2.0568 -1.9490
 -1.8448 -1.7451 -1.6525 -1.5687 -1.4955 -1.3448 -1.2854 -1.2879 -1.2725
 -2.5177 -2.4273 -2.3544 -2.3138 -2.3060 -2.2724 -2.1890 -2.0878 -1.9892 -1.8932
 -1.8000 -1.7115 -1.6302 -1.5578 -1.4949 -1.3782 -1.3123 -1.2857 -1.2826 -1.2929
 -2.3790 -2.2959 -2.2157 -2.1448 -2.0894 -2.0628 -2.0499 -2.0089 -1.9378 -1.8538
 -1.7709 -1.6908 -1.6167 -1.5505 -1.4933 -1.3870 -1.3267 -1.3033 -1.3021 -1.3124
 -1.3303
 -2.2548 -2.1888 -2.1178 -2.0472 -1.9822 -1.9258 -1.8843 -1.8634 -1.8425 -1.8008
 -1.7400 -1.6722 -1.6060 -1.5458 -1.4933 -1.3952 -1.3388 -1.3177 -1.3183 -1.3292
 -1.3464 -1.3685
 -2.1314 -2.0857 -2.0307 -1.9700 -1.9087 -1.8510 -1.7992 -1.7548 -1.7235 -1.6992
 -1.6727 -1.6346 -1.5875 -1.5373 -1.4903 -1.4001 -1.3469 -1.3278 -1.3303 -1.3431
 -1.3607 -1.3822 -1.4075 -1.4368
 -2.0082 -1.9778 -1.9408 -1.8951 -1.8441 -1.7917 -1.7417 -1.6956 -1.6539 -1.6177
 -1.5891 -1.5651 -1.5390 -1.5088 -1.4763 -1.3997 -1.3498 -1.3321 -1.3366 -1.3528
 -1.3727 -1.3950 -1.4200 -1.4478 -1.4787 -1.5132 -1.5516 -1.5942 -1.6411 -1.6924
 -1.8888 -1.8680 -1.8451 -1.8135 -1.7761 -1.7340 -1.6902 -1.6475 -1.6078 -1.5706
 -1.5368 -1.5078 -1.4840 -1.4627 -1.4415 -1.3895 -1.3468 -1.3286 -1.3359 -1.3565
 -1.3805 -1.4055 -1.4318 -1.4597 -1.4894 -1.5201 -1.5535 -1.5915 -1.6358 -1.6863
 -1.7393
 -1.7768 -1.7611 -1.7455 -1.7248 -1.6993 -1.6698 -1.6362 -1.6004 -1.5651 -1.5316
 -1.5002 -1.4713 -1.4456 -1.4240 -1.4053 -1.3667 -1.3366 -1.3212 -1.3287 -1.3527
 -1.3821 -1.4117 -1.4410 -1.4706 -1.5009 -1.5321 -1.5638 -1.5980 -1.6365 -1.6811
 -1.7327
 -1.6759 -1.6618 -1.6482 -1.6327 -1.6157 -1.5959 -1.5734 -1.5476 -1.5195 -1.4911
 -1.4641 -1.4390 -1.4159 -1.3952 -1.3769 -1.3419 -1.3197 -1.3099 -1.3171 -1.3426
 -1.3766 -1.4119 -1.4460 -1.4791 -1.5117 -1.5441 -1.5770 -1.6108 -1.6473 -1.6868
 -1.7288
 -1.5896 -1.5751 -1.5606 -1.5462 -1.5318 -1.5176 -1.5030 -1.4865 -1.4680 -1.4471
 -1.4256 -1.4052 -1.3863 -1.3688 -1.3529 -1.3211 -1.3018 -1.2956 -1.3036 -1.3282
 -1.3639 -1.4038 -1.4435 -1.4816 -1.5181 -1.5533 -1.5879 -1.6222 -1.6570 -1.6931
 -1.7313
 -1.5200 -1.5004 -1.4829 -1.4671 -1.4531 -1.4405 -1.4294 -1.4192 -1.4084 -1.3960
 -1.3818 -1.3671 -1.3529 -1.3399 -1.3281 -1.3026 -1.2855 -1.2813 -1.2906 -1.3134
 -1.3484 -1.3900 -1.4338 -1.4771 -1.5187 -1.5582 -1.5961 -1.6326 -1.6685 -1.7044
 -1.7412
 -1.4640 -1.4208 -1.3928 -1.3758 -1.3661 -1.3603 -1.3559 -1.3510 -1.3452 -1.3387
 -1.3315 -1.3236 -1.3150 -1.3067 -1.2991 -1.2831 -1.2706 -1.2675 -1.2776
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  i   
 -2.8260 -2.8196 -2.7763 -2.6496 -2.4954 -2.3444 -2.2150 -2.1072 -2.0090 -1.9154
 -1.8261 -1.7411 -1.6607 -1.5856 -1.5169 -1.3742 -1.2922 -1.2624 -1.2537
 -2.6244 -2.5387 -2.5058 -2.5000 -2.4233 -2.2983 -2.1721 -2.0643 -1.9701 -1.8821
 -1.7987 -1.7192 -1.6442 -1.5746 -1.5115 -1.3880 -1.3122 -1.2777 -1.2718 -1.2815
 -2.5021 -2.4033 -2.3180 -2.2592 -2.2446 -2.2188 -2.1347 -2.0327 -1.9410 -1.8582
 -1.7802 -1.7059 -1.6358 -1.5708 -1.5121 -1.3979 -1.3278 -1.2950 -1.2899 -1.2997
 -1.3177
 -2.4007 -2.3114 -2.2225 -2.1383 -2.0710 -2.0320 -2.0179 -1.9829 -1.9126 -1.8364
 -1.7640 -1.6949 -1.6293 -1.5684 -1.5134 -1.4068 -1.3409 -1.3093 -1.3045 -1.3147
 -1.3324 -1.3551
 -2.3034 -2.2293 -2.1502 -2.0707 -1.9964 -1.9298 -1.8777 -1.8456 -1.8284 -1.7946
 -1.7414 -1.6809 -1.6209 -1.5642 -1.5126 -1.4125 -1.3502 -1.3196 -1.3152 -1.3267
 -1.3451 -1.3675 -1.3937 -1.4247
 -2.2080 -2.1459 -2.0805 -2.0109 -1.9407 -1.8742 -1.8130 -1.7592 -1.7181 -1.6928
 -1.6722 -1.6425 -1.6015 -1.5543 -1.5075 -1.4138 -1.3550 -1.3254 -1.3215 -1.3348
 -1.3553 -1.3789 -1.4050 -1.4339 -1.4652 -1.4998 -1.5389 -1.5833 -1.6329 -1.6853
 -2.1082 -2.0577 -2.0050 -1.9487 -1.8884 -1.8276 -1.7691 -1.7145 -1.6649 -1.6226
 -1.5897 -1.5661 -1.5446 -1.5192 -1.4889 -1.4099 -1.3549 -1.3264 -1.3227 -1.3378
 -1.3617 -1.3879 -1.4155 -1.4446 -1.4755 -1.5082 -1.5438 -1.5833 -1.6278 -1.6776
 -1.7325
 -2.0127 -1.9654 -1.9244 -1.8784 -1.8305 -1.7793 -1.7273 -1.6767 -1.6291 -1.5850
 -1.5454 -1.5117 -1.4851 -1.4642 -1.4450 -1.3954 -1.3495 -1.3228 -1.3189 -1.3351
 -1.3626 -1.3930 -1.4235 -1.4544 -1.4859 -1.5174 -1.5503 -1.5865 -1.6271 -1.6734
 -1.7259
 -1.9287 -1.8786 -1.8401 -1.8020 -1.7628 -1.7226 -1.6802 -1.6364 -1.5934 -1.5525
 -1.5143 -1.4795 -1.4488 -1.4232 -1.4029 -1.3654 -1.3357 -1.3145 -1.3111 -1.3274
 -1.3575 -1.3926 -1.4277 -1.4620 -1.4958 -1.5295 -1.5639 -1.6003 -1.6389 -1.6793
 -1.7214
 -1.8646 -1.8069 -1.7631 -1.7243 -1.6910 -1.6579 -1.6248 -1.5903 -1.5546 -1.5188
 -1.4846 -1.4527 -1.4234 -1.3973 -1.3751 -1.3370 -1.3145 -1.3016 -1.3002 -1.3156
 -1.3462 -1.3847 -1.4248 -1.4638 -1.5014 -1.5378 -1.5738 -1.6096 -1.6458 -1.6834
 -1.7231
 -1.8303 -1.7524 -1.6963 -1.6524 -1.6203 -1.5899 -1.5621 -1.5352 -1.5081 -1.4795
 -1.4508 -1.4232 -1.3976 -1.3742 -1.3533 -1.3147 -1.2934 -1.2850 -1.2873 -1.3023
 -1.3317 -1.3713 -1.4150 -1.4590 -1.5014 -1.5420 -1.5812 -1.6191 -1.6564 -1.6937
 -1.7319
 -1.8251 -1.7149 -1.6396 -1.5880 -1.5518 -1.5233 -1.4983 -1.4750 -1.4536 -1.4325
 -1.4107 -1.3888 -1.3677 -1.3481 -1.3304 -1.2958 -1.2753 -1.2682 -1.2731
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  i   
 -3.0253 -2.9452 -2.7724 -2.5901 -2.4141 -2.2642 -2.1530 -2.0585 -1.9699 -1.8857
 -1.8069 -1.7324 -1.6617 -1.5948 -1.5319 -1.3972 -1.3022 -1.2504 -1.2365
 -2.7340 -2.7212 -2.6920 -2.5567 -2.3985 -2.2493 -2.1269 -2.0297 -1.9424 -1.8618
 -1.7869 -1.7162 -1.6493 -1.5861 -1.5269 -1.4022 -1.3165 -1.2702 -1.2570 -1.2646
 -2.6057 -2.5006 -2.4552 -2.4531 -2.3703 -2.2393 -2.1129 -2.0087 -1.9220 -1.8441
 -1.7727 -1.7058 -1.6424 -1.5826 -1.5266 -1.4093 -1.3300 -1.2868 -1.2737 -1.2810
 -1.2992
 -2.5261 -2.4094 -2.3078 -2.2388 -2.2194 -2.1922 -2.1007 -1.9957 -1.9055 -1.8289
 -1.7603 -1.6966 -1.6366 -1.5799 -1.5269 -1.4158 -1.3411 -1.3002 -1.2872 -1.2941
 -1.3120 -1.3357
 -2.4547 -2.3470 -2.2416 -2.1464 -2.0695 -2.0211 -2.0029 -1.9652 -1.8908 -1.8141
 -1.7473 -1.6866 -1.6295 -1.5758 -1.5255 -1.4201 -1.3493 -1.3103 -1.2974 -1.3043
 -1.3226 -1.3462 -1.3737 -1.4046
 -2.3833 -2.2872 -2.1909 -2.0968 -2.0089 -1.9329 -1.8739 -1.8364 -1.8164 -1.7829
 -1.7294 -1.6736 -1.6199 -1.5691 -1.5215 -1.4214 -1.3540 -1.3168 -1.3044 -1.3115
 -1.3308 -1.3555 -1.3830 -1.4134 -1.4463 -1.4828 -1.5239 -1.5706 -1.6221 -1.6740
 -2.3109 -2.2243 -2.1386 -2.0536 -1.9703 -1.8922 -1.8222 -1.7619 -1.7149 -1.6846
 -1.6639 -1.6374 -1.6006 -1.5576 -1.5139 -1.4193 -1.3552 -1.3197 -1.3078 -1.3151
 -1.3357 -1.3625 -1.3915 -1.4222 -1.4549 -1.4893 -1.5266 -1.5683 -1.6154 -1.6677
 -1.7213
 -2.2435 -2.1581 -2.0808 -2.0056 -1.9315 -1.8587 -1.7898 -1.7266 -1.6708 -1.6235
 -1.5867 -1.5609 -1.5409 -1.5193 -1.4923 -1.4133 -1.3528 -1.3190 -1.3074 -1.3147
 -1.3365 -1.3659 -1.3976 -1.4301 -1.4634 -1.4980 -1.5336 -1.5717 -1.6138 -1.6612
 -1.7147
 -2.1895 -2.0949 -2.0185 -1.9501 -1.8848 -1.8209 -1.7582 -1.6981 -1.6425 -1.5922
 -1.5481 -1.5111 -1.4820 -1.4598 -1.4416 -1.3946 -1.3455 -1.3142 -1.3032 -1.3104
 -1.3328 -1.3649 -1.4003 -1.4360 -1.4715 -1.5072 -1.5438 -1.5824 -1.6231 -1.6655
 -1.7096
 -2.1586 -2.0485 -1.9612 -1.8925 -1.8323 -1.7761 -1.7218 -1.6683 -1.6169 -1.5684
 -1.5241 -1.4846 -1.4503 -1.4217 -1.3987 -1.3597 -1.3296 -1.3056 -1.2957 -1.3023
 -1.3242 -1.3577 -1.3967 -1.4366 -1.4757 -1.5140 -1.5520 -1.5900 -1.6285 -1.6683
 -1.7106
 -2.1626 -2.0206 -1.9184 -1.8404 -1.7779 -1.7250 -1.6769 -1.6309 -1.5862 -1.5426
 -1.5012 -1.4631 -1.4287 -1.3985 -1.3727 -1.3282 -1.3045 -1.2904 -1.2849 -1.2916
 -1.3124 -1.3458 -1.3872 -1.4313 -1.4748 -1.5170 -1.5580 -1.5979 -1.6374 -1.6769
 -1.7172
 -2.2085 -2.0282 -1.8995 -1.8044 -1.7316 -1.6744 -1.6272 -1.5858 -1.5475 -1.5103
 -1.4741 -1.4397 -1.4077 -1.3788 -1.3533 -1.3059 -1.2808 -1.2706 -1.2703
