 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  Hp  
 -4.6325 -4.5787 -4.7707 -4.7272 -4.5746 -4.3557 -4.1076 -3.9437 -3.7957 -3.6418
 -3.4954 -3.3590 -3.2322 -3.1151 -3.0057 -2.7728 -2.5625 -2.3740 -2.2574
 -4.6244 -4.4521 -4.3095 -4.2148 -4.1657 -4.0859 -3.9460 -3.7882 -3.6396 -3.4975
 -3.3613 -3.2333 -3.1148 -3.0057 -2.9049 -2.6842 -2.5027 -2.3607 -2.2552 -2.1758
 -4.4473 -4.2783 -4.1200 -3.9816 -3.8695 -3.7976 -3.7431 -3.6514 -3.5270 -3.3929
 -3.2655 -3.1454 -3.0339 -2.9315 -2.8376 -2.6361 -2.4748 -2.3494 -2.2552 -2.1834
 -2.1267
 -4.2991 -4.1484 -3.9965 -3.8532 -3.7246 -3.6129 -3.5229 -3.4593 -3.3939 -3.3018
 -3.1911 -3.0796 -2.9750 -2.8784 -2.7898 -2.6015 -2.4546 -2.3429 -2.2583 -2.1934
 -2.1412 -2.0978
 -4.1627 -4.0348 -3.8991 -3.7631 -3.6346 -3.5174 -3.4130 -3.3213 -3.2483 -3.1825
 -3.1098 -3.0223 -2.9292 -2.8391 -2.7555 -2.5771 -2.4398 -2.3379 -2.2621 -2.2039
 -2.1565 -2.1166 -2.0821 -2.0523
 -4.0354 -3.9254 -3.8102 -3.6880 -3.5666 -3.4513 -3.3458 -3.2504 -3.1649 -3.0887
 -3.0206 -2.9541 -2.8817 -2.8047 -2.7282 -2.5595 -2.4285 -2.3330 -2.2640 -2.2127
 -2.1709 -2.1352 -2.1040 -2.0762 -2.0498 -2.0264 -2.0078 -1.9958 -1.9914 -1.9954
 -3.9193 -3.8212 -3.7222 -3.6162 -3.5062 -3.3977 -3.2946 -3.1997 -3.1142 -3.0363
 -2.9641 -2.8966 -2.8322 -2.7677 -2.7016 -2.5452 -2.4193 -2.3263 -2.2622 -2.2172
 -2.1818 -2.1515 -2.1247 -2.1003 -2.0779 -2.0560 -2.0365 -2.0219 -2.0142 -2.0148
 -2.0246
 -3.8164 -3.7253 -3.6355 -3.5427 -3.4461 -3.3475 -3.2503 -3.1579 -3.0733 -2.9966
 -2.9261 -2.8597 -2.7959 -2.7347 -2.6749 -2.5324 -2.4114 -2.3201 -2.2574 -2.2162
 -2.1868 -2.1630 -2.1417 -2.1220 -2.1037 -2.0861 -2.0680 -2.0521 -2.0414 -2.0383
 -2.0444
 -3.7288 -3.6408 -3.5547 -3.4667 -3.3819 -3.2942 -3.2056 -3.1184 -3.0360 -2.9603
 -2.8914 -2.8277 -2.7671 -2.7084 -2.6511 -2.5177 -2.4031 -2.3137 -2.2504 -2.2104
 -2.1851 -2.1673 -2.1526 -2.1392 -2.1260 -2.1128 -2.0999 -2.0876 -2.0781 -2.0717
 -2.0681
 -3.6584 -3.5707 -3.4850 -3.4011 -3.3191 -3.2387 -3.1594 -3.0796 -3.0016 -2.9278
 -2.8599 -2.7980 -2.7404 -2.6848 -2.6309 -2.5052 -2.3956 -2.3084 -2.2447 -2.2034
 -2.1790 -2.1650 -2.1562 -2.1493 -2.1426 -2.1352 -2.1274 -2.1192 -2.1112 -2.1043
 -2.0986
 -3.6032 -3.5119 -3.4245 -3.3408 -3.2604 -3.1832 -3.1089 -3.0368 -2.9652 -2.8954
 -2.8293 -2.7684 -2.7126 -2.6606 -2.6110 -2.4928 -2.3876 -2.3025 -2.2394 -2.1966
 -2.1713 -2.1581 -2.1528 -2.1515 -2.1513 -2.1507 -2.1491 -2.1464 -2.1429 -2.1393
 -2.1365
 -3.5482 -3.4420 -3.3497 -3.2680 -3.1935 -3.1235 -3.0559 -2.9891 -2.9234 -2.8595
 -2.7977 -2.7388 -2.6841 -2.6339 -2.5871 -2.4785 -2.3790 -2.2962 -2.2337
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  Hp  
 -4.9667 -4.9113 -4.8125 -4.6098 -4.3740 -4.1462 -3.9531 -3.7921 -3.6454 -3.5058
 -3.3728 -3.2479 -3.1319 -3.0245 -2.9251 -2.7114 -2.5283 -2.3702 -2.2544
 -4.6970 -4.5348 -4.4460 -4.3941 -4.2514 -4.0499 -3.8534 -3.6867 -3.5415 -3.4055
 -3.2767 -3.1562 -3.0450 -2.9431 -2.8498 -2.6496 -2.4857 -2.3522 -2.2482 -2.1684
 -4.5437 -4.3590 -4.1991 -4.0780 -4.0154 -3.9370 -3.7839 -3.6154 -3.4675 -3.3355
 -3.2110 -3.0945 -2.9870 -2.8888 -2.7995 -2.6105 -2.4597 -2.3396 -2.2465 -2.1744
 -2.1172
 -4.4301 -4.2529 -4.0835 -3.9269 -3.7962 -3.7037 -3.6421 -3.5502 -3.4163 -3.2860
 -3.1654 -3.0529 -2.9488 -2.8536 -2.7670 -2.5852 -2.4428 -2.3322 -2.2476 -2.1823
 -2.1298 -2.0863
 -4.3331 -4.1715 -4.0091 -3.8542 -3.7121 -3.5839 -3.4765 -3.3943 -3.3284 -3.2397
 -3.1322 -3.0237 -2.9228 -2.8304 -2.7461 -2.5691 -2.4320 -2.3276 -2.2497 -2.1905
 -2.1431 -2.1033 -2.0691 -2.0401
 -4.2500 -4.0995 -3.9497 -3.8009 -3.6596 -3.5288 -3.4088 -3.3012 -3.2109 -3.1407
 -3.0736 -2.9928 -2.9026 -2.8136 -2.7315 -2.5583 -2.4246 -2.3239 -2.2508 -2.1974
 -2.1553 -2.1200 -2.0893 -2.0621 -2.0370 -2.0151 -1.9980 -1.9870 -1.9830 -1.9871
 -4.1686 -4.0309 -3.8946 -3.7561 -3.6202 -3.4915 -3.3720 -3.2619 -3.1616 -3.0735
 -2.9981 -2.9327 -2.8662 -2.7936 -2.7185 -2.5503 -2.4187 -2.3200 -2.2496 -2.2007
 -2.1645 -2.1345 -2.1083 -2.0847 -2.0633 -2.0425 -2.0242 -2.0110 -2.0047 -2.0066
 -2.0163
 -4.0952 -3.9642 -3.8409 -3.7132 -3.5855 -3.4612 -3.3442 -3.2354 -3.1352 -3.0434
 -2.9610 -2.8875 -2.8217 -2.7600 -2.6974 -2.5424 -2.4132 -2.3154 -2.2461 -2.1998
 -2.1686 -2.1446 -2.1239 -2.1052 -2.0877 -2.0693 -2.0520 -2.0383 -2.0300 -2.0289
 -2.0358
 -4.0357 -3.9052 -3.7869 -3.6689 -3.5498 -3.4320 -3.3187 -3.2119 -3.1130 -3.0218
 -2.9387 -2.8631 -2.7940 -2.7305 -2.6712 -2.5308 -2.4063 -2.3095 -2.2401 -2.1946
 -2.1666 -2.1482 -2.1339 -2.1210 -2.1087 -2.0967 -2.0851 -2.0755 -2.0680 -2.0626
 -2.0589
 -3.9970 -3.8602 -3.7399 -3.6270 -3.5159 -3.4051 -3.2965 -3.1926 -3.0953 -3.0050
 -2.9222 -2.8468 -2.7778 -2.7138 -2.6539 -2.5192 -2.4008 -2.3048 -2.2348 -2.1882
 -2.1608 -2.1457 -2.1369 -2.1305 -2.1245 -2.1181 -2.1115 -2.1046 -2.0981 -2.0928
 -2.0885
 -3.9866 -3.8306 -3.7019 -3.5889 -3.4829 -3.3779 -3.2748 -3.1743 -3.0789 -2.9896
 -2.9071 -2.8317 -2.7631 -2.7000 -2.6411 -2.5085 -2.3944 -2.3004 -2.2298 -2.1817
 -2.1530 -2.1387 -2.1332 -2.1322 -2.1327 -2.1329 -2.1325 -2.1310 -2.1288 -2.1266
 -2.1252
 -3.9985 -3.8163 -3.6729 -3.5545 -3.4502 -3.3504 -3.2525 -3.1564 -3.0634 -2.9752
 -2.8931 -2.8175 -2.7486 -2.6858 -2.6280 -2.4991 -2.3878 -2.2956 -2.2250
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  Hp  
 -5.1630 -5.0168 -4.7550 -4.4811 -4.2159 -3.9874 -3.8132 -3.6637 -3.5252 -3.3955
 -3.2727 -3.1571 -3.0495 -2.9499 -2.8581 -2.6596 -2.4957 -2.3581 -2.2458
 -4.7841 -4.7214 -4.6390 -4.4203 -4.1736 -3.9408 -3.7472 -3.5911 -3.4517 -3.3234
 -3.2025 -3.0891 -2.9841 -2.8876 -2.7994 -2.6121 -2.4616 -2.3382 -2.2379 -2.1582
 -4.6264 -4.4422 -4.3394 -4.2915 -4.1353 -3.9197 -3.7155 -3.5458 -3.4038 -3.2767
 -3.1580 -3.0469 -2.9439 -2.8495 -2.7635 -2.5826 -2.4400 -2.3257 -2.2343 -2.1619
 -2.1042
 -4.5445 -4.3390 -4.1611 -4.0286 -3.9583 -3.8736 -3.7048 -3.5266 -3.3748 -3.2466
 -3.1300 -3.0210 -2.9199 -2.8270 -2.7424 -2.5653 -2.4273 -2.3188 -2.2337 -2.1673
 -2.1143 -2.0706
 -4.4847 -4.2846 -4.0957 -3.9263 -3.7840 -3.6774 -3.6074 -3.5077 -3.3642 -3.2282
 -3.1119 -3.0050 -2.9056 -2.8141 -2.7306 -2.5556 -2.4202 -2.3152 -2.2347 -2.1731
 -2.1248 -2.0848 -2.0509 -2.0212
 -4.4358 -4.2453 -4.0599 -3.8854 -3.7259 -3.5854 -3.4676 -3.3759 -3.3039 -3.2112
 -3.1004 -2.9948 -2.8969 -2.8067 -2.7240 -2.5503 -2.4161 -2.3132 -2.2356 -2.1779
 -2.1342 -2.0988 -2.0684 -2.0421 -2.0184 -1.9983 -1.9828 -1.9730 -1.9697 -1.9743
 -4.3951 -4.2133 -4.0346 -3.8633 -3.7029 -3.5567 -3.4245 -3.3061 -3.2052 -3.1250
 -3.0550 -2.9773 -2.8897 -2.8019 -2.7201 -2.5473 -2.4135 -2.3114 -2.2356 -2.1807
 -2.1412 -2.1106 -2.0848 -2.0621 -2.0419 -2.0231 -2.0071 -1.9958 -1.9905 -1.9925
 -2.0030
 -4.3609 -4.1863 -4.0146 -3.8480 -3.6900 -3.5430 -3.4084 -3.2854 -3.1741 -3.0751
 -2.9906 -2.9209 -2.8564 -2.7878 -2.7149 -2.5453 -2.4113 -2.3091 -2.2338 -2.1807
 -2.1444 -2.1187 -2.0980 -2.0802 -2.0639 -2.0490 -2.0344 -2.0223 -2.0150 -2.0145
 -2.0221
 -4.3385 -4.1624 -3.9968 -3.8352 -3.6800 -3.5345 -3.3999 -3.2761 -3.1628 -3.0592
 -2.9662 -2.8848 -2.8145 -2.7521 -2.6921 -2.5404 -2.4078 -2.3051 -2.2297 -2.1771
 -2.1428 -2.1212 -2.1062 -2.0940 -2.0829 -2.0724 -2.0628 -2.0552 -2.0498 -2.0463
 -2.0446
 -4.3362 -4.1530 -3.9849 -3.8286 -3.6769 -3.5326 -3.3983 -3.2744 -3.1607 -3.0561
 -2.9605 -2.8744 -2.7979 -2.7300 -2.6689 -2.5317 -2.4052 -2.3022 -2.2257 -2.1723
 -2.1382 -2.1189 -2.1085 -2.1021 -2.0970 -2.0921 -2.0873 -2.0824 -2.0780 -2.0750
 -2.0746
 -4.3655 -4.1499 -3.9786 -3.8244 -3.6775 -3.5355 -3.4011 -3.2765 -3.1621 -3.0570
 -2.9605 -2.8725 -2.7929 -2.7217 -2.6574 -2.5202 -2.4015 -2.2994 -2.2215 -2.1667
 -2.1315 -2.1125 -2.1048 -2.1034 -2.1043 -2.1056 -2.1067 -2.1071 -2.1069 -2.1069
 -2.1077
 -4.4342 -4.1768 -3.9843 -3.8251 -3.6788 -3.5406 -3.4088 -3.2832 -3.1671 -3.0607
 -2.9632 -2.8740 -2.7927 -2.7192 -2.6528 -2.5121 -2.3960 -2.2969 -2.2179
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  Hp  
 -5.2094 -4.9844 -4.6890 -4.4125 -4.1528 -3.9270 -3.7532 -3.6082 -3.4764 -3.3500
 -3.2311 -3.1193 -3.0150 -2.9186 -2.8297 -2.6373 -2.4800 -2.3489 -2.2394
 -4.8732 -4.8335 -4.6407 -4.3764 -4.1234 -3.8896 -3.7011 -3.5483 -3.4141 -3.2887
 -3.1712 -3.0611 -2.9587 -2.8644 -2.7781 -2.5948 -2.4486 -2.3293 -2.2314 -2.1520
 -4.6580 -4.5091 -4.4691 -4.3416 -4.1113 -3.8835 -3.6786 -3.5131 -3.3749 -3.2502
 -3.1344 -3.0260 -2.9252 -2.8325 -2.7477 -2.5694 -2.4294 -2.3174 -2.2271 -2.1545
 -2.0963
 -4.5843 -4.3702 -4.2087 -4.1285 -4.0607 -3.8827 -3.6809 -3.5002 -3.3527 -3.2263
 -3.1120 -3.0053 -2.9060 -2.8145 -2.7307 -2.5550 -2.4185 -2.3109 -2.2259 -2.1586
 -2.1051 -2.0611
 -4.5432 -4.3232 -4.1242 -3.9605 -3.8423 -3.7729 -3.6711 -3.5068 -3.3469 -3.2131
 -3.0985 -2.9933 -2.8954 -2.8049 -2.7220 -2.5476 -2.4128 -2.3078 -2.2264 -2.1633
 -2.1140 -2.0738 -2.0398 -2.0104
 -4.5159 -4.2998 -4.0966 -3.9122 -3.7533 -3.6211 -3.5210 -3.4461 -3.3442 -3.2118
 -3.0912 -2.9865 -2.8898 -2.8002 -2.7179 -2.5441 -2.4099 -2.3064 -2.2273 -2.1674
 -2.1220 -2.0859 -2.0556 -2.0294 -2.0069 -1.9881 -1.9733 -1.9638 -1.9609 -1.9659
 -4.4981 -4.2873 -4.0859 -3.8983 -3.7283 -3.5779 -3.4464 -3.3339 -3.2448 -3.1697
 -3.0810 -2.9824 -2.8870 -2.7983 -2.7166 -2.5430 -2.4085 -2.3053 -2.2275 -2.1699
 -2.1279 -2.0961 -2.0702 -2.0478 -2.0281 -2.0111 -1.9971 -1.9866 -1.9810 -1.9835
 -1.9945
 -4.4871 -4.2819 -4.0838 -3.8968 -3.7241 -3.5677 -3.4275 -3.3022 -3.1910 -3.0951
 -3.0160 -2.9465 -2.8739 -2.7952 -2.7162 -2.5431 -2.4079 -2.3041 -2.2267 -2.1703
 -2.1307 -2.1030 -2.0819 -2.0642 -2.0486 -2.0346 -2.0213 -2.0106 -2.0045 -2.0049
 -2.0127
 -4.4873 -4.2798 -4.0856 -3.9003 -3.7270 -3.5683 -3.4245 -3.2946 -3.1774 -3.0717
 -2.9781 -2.8975 -2.8294 -2.7668 -2.7029 -2.5416 -2.4062 -2.3014 -2.2235 -2.1676
 -2.1296 -2.1052 -2.0889 -2.0767 -2.0661 -2.0565 -2.0480 -2.0405 -2.0349 -2.0330
 -2.0349
 -4.5056 -4.2881 -4.0949 -3.9125 -3.7395 -3.5789 -3.4326 -3.3000 -3.1798 -3.0705
 -2.9716 -2.8833 -2.8058 -2.7383 -2.6778 -2.5369 -2.4058 -2.3000 -2.2207 -2.1639
 -2.1261 -2.1033 -2.0909 -2.0840 -2.0792 -2.0750 -2.0712 -2.0675 -2.0645 -2.0629
 -2.0638
 -4.5535 -4.3089 -4.1096 -3.9285 -3.7577 -3.5965 -3.4475 -3.3119 -3.1891 -3.0774
 -2.9758 -2.8838 -2.8013 -2.7282 -2.6632 -2.5256 -2.4039 -2.2985 -2.2176 -2.1593
 -2.1205 -2.0979 -2.0877 -2.0851 -2.0858 -2.0876 -2.0895 -2.0910 -2.0921 -2.0935
 -2.0953
 -4.6460 -4.3534 -4.1345 -3.9490 -3.7792 -3.6194 -3.4692 -3.3303 -3.2041 -3.0895
 -2.9855 -2.8910 -2.8054 -2.7284 -2.6597 -2.5166 -2.3995 -2.2974 -2.2149
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  Hp  
 -5.2267 -4.9244 -4.6206 -4.3508 -4.1074 -3.8861 -3.7108 -3.5632 -3.4339 -3.3111
 -3.1956 -3.0871 -2.9857 -2.8918 -2.8052 -2.6174 -2.4647 -2.3376 -2.2316
 -5.0006 -4.8725 -4.6055 -4.3281 -4.0795 -3.8536 -3.6674 -3.5147 -3.3809 -3.2588
 -3.1443 -3.0370 -2.9370 -2.8447 -2.7599 -2.5795 -2.4360 -2.3196 -2.2238 -2.1450
 -4.6974 -4.6301 -4.5557 -4.3277 -4.0763 -3.8487 -3.6494 -3.4866 -3.3490 -3.2265
 -3.1133 -3.0075 -2.9088 -2.8177 -2.7340 -2.5574 -2.4189 -2.3084 -2.2191 -2.1464
 -2.0877
 -4.6105 -4.4034 -4.2956 -4.2515 -4.0822 -3.8597 -3.6543 -3.4772 -3.3317 -3.2073
 -3.0951 -2.9906 -2.8932 -2.8030 -2.7202 -2.5453 -2.4094 -2.3025 -2.2175 -2.1494
 -2.0950 -2.0506
 -4.5850 -4.3482 -4.1509 -4.0136 -3.9456 -3.8521 -3.6709 -3.4873 -3.3288 -3.1978
 -3.0847 -2.9813 -2.8851 -2.7958 -2.7136 -2.5395 -2.4047 -2.2997 -2.2176 -2.1531
 -2.1024 -2.0616 -2.0274 -1.9984
 -4.5795 -4.3379 -4.1199 -3.9333 -3.7855 -3.6796 -3.6060 -3.4951 -3.3420 -3.1991
 -3.0802 -2.9768 -2.8814 -2.7930 -2.7112 -2.5374 -2.4027 -2.2986 -2.2184 -2.1566
 -2.1091 -2.0719 -2.0413 -2.0152 -1.9926 -1.9741 -1.9607 -1.9528 -1.9510 -1.9561
 -4.5869 -4.3448 -4.1210 -3.9201 -3.7457 -3.5990 -3.4771 -3.3819 -3.3029 -3.2031
 -3.0830 -2.9757 -2.8806 -2.7928 -2.7115 -2.5377 -2.4024 -2.2982 -2.2188 -2.1589
 -2.1141 -2.0805 -2.0539 -2.0316 -2.0124 -1.9962 -1.9827 -1.9734 -1.9697 -1.9728
 -1.9834
 -4.6022 -4.3624 -4.1369 -3.9300 -3.7452 -3.5830 -3.4427 -3.3202 -3.2150 -3.1281
 -3.0516 -2.9681 -2.8802 -2.7938 -2.7132 -2.5394 -2.4030 -2.2980 -2.2185 -2.1595
 -2.1168 -2.0864 -2.0641 -2.0461 -2.0309 -2.0177 -2.0070 -1.9986 -1.9934 -1.9933
 -2.0016
 -4.6290 -4.3858 -4.1597 -3.9501 -3.7593 -3.5893 -3.4393 -3.3070 -3.1896 -3.0854
 -2.9947 -2.9174 -2.8491 -2.7811 -2.7101 -2.5401 -2.4028 -2.2965 -2.2164 -2.1576
 -2.1161 -2.0883 -2.0701 -2.0571 -2.0468 -2.0379 -2.0305 -2.0245 -2.0203 -2.0191
 -2.0231
 -4.6723 -4.4181 -4.1921 -3.9820 -3.7875 -3.6113 -3.4544 -3.3152 -3.1914 -3.0805
 -2.9810 -2.8928 -2.8159 -2.7496 -2.6890 -2.5402 -2.4046 -2.2966 -2.2148 -2.1551
 -2.1137 -2.0872 -2.0719 -2.0636 -2.0586 -2.0549 -2.0520 -2.0497 -2.0481 -2.0481
 -2.0506
 -4.7411 -4.4625 -4.2302 -4.0196 -3.8241 -3.6438 -3.4807 -3.3352 -3.2056 -3.0897
 -2.9854 -2.8917 -2.8080 -2.7345 -2.6697 -2.5313 -2.4051 -2.2969 -2.2131 -2.1517
 -2.1094 -2.0830 -2.0694 -2.0647 -2.0647 -2.0665 -2.0691 -2.0716 -2.0741 -2.0770
 -2.0800
 -4.8525 -4.5277 -4.2772 -4.0617 -3.8654 -3.6839 -3.5166 -3.3650 -3.2293 -3.1081
 -2.9993 -2.9014 -2.8134 -2.7347 -2.6649 -2.5212 -2.4026 -2.2972 -2.2118
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  Hp  
 -5.2094 -4.8746 -4.5687 -4.3060 -4.0702 -3.8556 -3.6813 -3.5281 -3.3972 -3.2790
 -3.1662 -3.0601 -2.9612 -2.8695 -2.7847 -2.6006 -2.4508 -2.3276 -2.2242
 -4.9907 -4.8686 -4.5678 -4.2880 -4.0417 -3.8228 -3.6410 -3.4868 -3.3533 -3.2337
 -3.1217 -3.0168 -2.9190 -2.8283 -2.7448 -2.5665 -2.4245 -2.3097 -2.2156 -2.1373
 -4.7888 -4.7613 -4.5687 -4.2993 -4.0441 -3.8160 -3.6241 -3.4630 -3.3266 -3.2062
 -3.0952 -2.9916 -2.8949 -2.8052 -2.7226 -2.5470 -2.4090 -2.2993 -2.2106 -2.1378
 -2.0784
 -4.6334 -4.4657 -4.4308 -4.2995 -4.0641 -3.8333 -3.6288 -3.4565 -3.3132 -3.1902
 -3.0798 -2.9774 -2.8818 -2.7930 -2.7109 -2.5366 -2.4006 -2.2937 -2.2086 -2.1398
 -2.0843 -2.0392
 -4.6108 -4.3665 -4.1911 -4.1147 -4.0448 -3.8564 -3.6510 -3.4670 -3.3124 -3.1831
 -3.0715 -2.9699 -2.8753 -2.7873 -2.7058 -2.5319 -2.3966 -2.2912 -2.2084 -2.1426
 -2.0903 -2.0485 -2.0140 -1.9849
 -4.6243 -4.3595 -4.1344 -3.9591 -3.8434 -3.7766 -3.6641 -3.4913 -3.3263 -3.1860
 -3.0686 -2.9666 -2.8727 -2.7855 -2.7045 -2.5308 -2.3953 -2.2904 -2.2090 -2.1455
 -2.0959 -2.0572 -2.0259 -1.9997 -1.9777 -1.9602 -1.9475 -1.9401 -1.9392 -1.9449
 -4.6570 -4.3828 -4.1400 -3.9323 -3.7625 -3.6304 -3.5330 -3.4538 -3.3418 -3.2015
 -3.0736 -2.9669 -2.8729 -2.7861 -2.7056 -2.5319 -2.3957 -2.2904 -2.2096 -2.1476
 -2.1003 -2.0644 -2.0366 -2.0139 -1.9949 -1.9792 -1.9672 -1.9593 -1.9564 -1.9604
 -1.9713
 -4.7043 -4.4240 -4.1710 -3.9480 -3.7563 -3.5948 -3.4607 -3.3485 -3.2568 -3.1751
 -3.0797 -2.9720 -2.8755 -2.7886 -2.7084 -2.5346 -2.3972 -2.2910 -2.2098 -2.1485
 -2.1028 -2.0696 -2.0452 -2.0266 -2.0113 -1.9986 -1.9889 -1.9814 -1.9776 -1.9796
 -1.9886
 -4.7598 -4.4739 -4.2155 -3.9823 -3.7768 -3.5996 -3.4483 -3.3184 -3.2051 -3.1064
 -3.0218 -2.9454 -2.8672 -2.7881 -2.7101 -2.5368 -2.3983 -2.2905 -2.2085 -2.1472
 -2.1027 -2.0715 -2.0504 -2.0360 -2.0253 -2.0167 -2.0102 -2.0051 -2.0024 -2.0035
 -2.0091
 -4.8320 -4.5351 -4.2728 -4.0344 -3.8189 -3.6293 -3.4652 -3.3232 -3.1996 -3.0901
 -2.9926 -2.9067 -2.8316 -2.7649 -2.7006 -2.5407 -2.4017 -2.2920 -2.2082 -2.1459
 -2.1013 -2.0711 -2.0525 -2.0419 -2.0358 -2.0321 -2.0299 -2.0287 -2.0287 -2.0297
 -2.0348
 -4.9270 -4.6072 -4.3368 -4.0948 -3.8743 -3.6756 -3.5001 -3.3471 -3.2139 -3.0967
 -2.9925 -2.8991 -2.8159 -2.7428 -2.6786 -2.5369 -2.4048 -2.2940 -2.2080 -2.1438
 -2.0983 -2.0682 -2.0509 -2.0431 -2.0413 -2.0426 -2.0454 -2.0489 -2.0528 -2.0574
 -2.0620
 -5.0587 -4.6963 -4.4091 -4.1606 -3.9368 -3.7332 -3.5496 -3.3864 -3.2433 -3.1177
 -3.0067 -2.9078 -2.8193 -2.7403 -2.6702 -2.5265 -2.4048 -2.2962 -2.2083
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  Hp  
 -5.1170 -4.7850 -4.4969 -4.2519 -4.0227 -3.8166 -3.6507 -3.5031 -3.3698 -3.2529
 -3.1427 -3.0387 -2.9418 -2.8518 -2.7686 -2.5872 -2.4377 -2.3152 -2.2160
 -5.0498 -4.8139 -4.5101 -4.2408 -4.0050 -3.7912 -3.6177 -3.4655 -3.3313 -3.2135
 -3.1035 -3.0006 -2.9046 -2.8156 -2.7332 -2.5563 -2.4147 -2.3005 -2.2071 -2.1291
 -4.9151 -4.8038 -4.5395 -4.2611 -4.0115 -3.7895 -3.6015 -3.4446 -3.3088 -3.1895
 -3.0803 -2.9785 -2.8836 -2.7953 -2.7137 -2.5388 -2.4005 -2.2905 -2.2018 -2.1289
 -2.0689
 -4.7349 -4.5810 -4.5164 -4.2896 -4.0376 -3.8087 -3.6074 -3.4389 -3.2977 -3.1757
 -3.0669 -2.9661 -2.8722 -2.7847 -2.7035 -2.5296 -2.3928 -2.2851 -2.1995 -2.1300
 -2.0734 -2.0274
 -4.6191 -4.3870 -4.2727 -4.2350 -4.0619 -3.8381 -3.6308 -3.4496 -3.2976 -3.1701
 -3.0599 -2.9596 -2.8665 -2.7798 -2.6992 -2.5257 -2.3892 -2.2827 -2.1990 -2.1320
 -2.0782 -2.0350 -2.0000 -1.9706
 -4.6445 -4.3678 -4.1496 -4.0076 -3.9468 -3.8479 -3.6608 -3.4748 -3.3111 -3.1737
 -3.0578 -2.9571 -2.8644 -2.7784 -2.6983 -2.5250 -2.3883 -2.2821 -2.1994 -2.1343
 -2.0828 -2.0422 -2.0099 -1.9834 -1.9615 -1.9441 -1.9320 -1.9257 -1.9256 -1.9321
 -4.7016 -4.4008 -4.1474 -3.9424 -3.7899 -3.6900 -3.6178 -3.4969 -3.3374 -3.1891
 -3.0636 -2.9579 -2.8651 -2.7793 -2.6997 -2.5266 -2.3892 -2.2825 -2.2001 -2.1363
 -2.0867 -2.0484 -2.0190 -1.9955 -1.9763 -1.9609 -1.9493 -1.9423 -1.9410 -1.9460
 -1.9576
 -4.7804 -4.4628 -4.1872 -3.9542 -3.7624 -3.6101 -3.4912 -3.3991 -3.3157 -3.2072
 -3.0799 -2.9650 -2.8683 -2.7824 -2.7028 -2.5297 -2.3913 -2.2836 -2.2008 -2.1374
 -2.0892 -2.0531 -2.0264 -2.0063 -1.9905 -1.9780 -1.9687 -1.9627 -1.9606 -1.9636
 -1.9735
 -4.8720 -4.5407 -4.2506 -3.9978 -3.7829 -3.6041 -3.4571 -3.3345 -3.2306 -3.1419
 -3.0594 -2.9691 -2.8728 -2.7856 -2.7059 -2.5327 -2.3932 -2.2840 -2.2003 -2.1368
 -2.0895 -2.0551 -2.0310 -2.0144 -2.0025 -1.9938 -1.9876 -1.9840 -1.9827 -1.9852
 -1.9927
 -4.9710 -4.6333 -4.3333 -4.0675 -3.8346 -3.6358 -3.4688 -3.3285 -3.2087 -3.1035
 -3.0108 -2.9290 -2.8537 -2.7801 -2.7079 -2.5385 -2.3978 -2.2867 -2.2011 -2.1364
 -2.0890 -2.0555 -2.0333 -2.0197 -2.0117 -2.0073 -2.0051 -2.0048 -2.0063 -2.0098
 -2.0162
 -5.0874 -4.7361 -4.4253 -4.1513 -3.9070 -3.6923 -3.5077 -3.3510 -3.2177 -3.1023
 -3.0002 -2.9091 -2.8278 -2.7554 -2.6906 -2.5406 -2.4030 -2.2901 -2.2022 -2.1357
 -2.0872 -2.0537 -2.0326 -2.0212 -2.0167 -2.0166 -2.0190 -2.0230 -2.0281 -2.0344
 -2.0411
 -5.2211 -4.8490 -4.5236 -4.2424 -3.9906 -3.7664 -3.5679 -3.3957 -3.2483 -3.1213
 -3.0107 -2.9130 -2.8254 -2.7471 -2.6540 -2.5390 -2.4088 -2.2942 -2.2036
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  Hp  
 -5.0534 -4.7245 -4.4473 -4.2168 -3.9896 -3.7909 -3.6242 -3.4799 -3.3478 -3.2332
 -3.1244 -3.0221 -2.9267 -2.8383 -2.7563 -2.5771 -2.4290 -2.3072 -2.2080
 -5.0918 -4.7645 -4.4640 -4.2036 -3.9770 -3.7692 -3.5950 -3.4472 -3.3134 -3.1978
 -3.0894 -2.9880 -2.8936 -2.8059 -2.7245 -2.5487 -2.4071 -2.2924 -2.1989 -2.1208
 -4.8907 -4.8009 -4.4978 -4.2272 -3.9854 -3.7689 -3.5833 -3.4293 -3.2940 -3.1764
