 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -2.9571 -2.8982 -3.0930 -3.0223 -2.8378 -2.5983 -2.3420 -2.1700 -2.0200 -1.8670
 -1.7260 -1.5969 -1.4793 -1.3724 -1.2741 -1.0701 -0.8935 -0.7393 -0.6724
 -2.9666 -2.7592 -2.5905 -2.4779 -2.4167 -2.3255 -2.1760 -2.0143 -1.8679 -1.7321
 -1.6048 -1.4871 -1.3794 -1.2810 -1.1909 -0.9990 -0.8527 -0.7502 -0.6827 -0.6382
 -2.7838 -2.5820 -2.3979 -2.2404 -2.1156 -2.0362 -1.9771 -1.8827 -1.7605 -1.6336
 -1.5175 -1.4107 -1.3127 -1.2231 -1.1414 -0.9694 -0.8410 -0.7520 -0.6929 -0.6530
 -0.6255
 -2.6374 -2.4563 -2.2797 -2.1171 -1.9750 -1.8558 -1.7631 -1.6995 -1.6372 -1.5520
 -1.4520 -1.3543 -1.2651 -1.1834 -1.1085 -0.9504 -0.8339 -0.7553 -0.7032 -0.6675
 -0.6421 -0.6242
 -2.5081 -2.3516 -2.1917 -2.0363 -1.8931 -1.7670 -1.6595 -1.5694 -1.5014 -1.4432
 -1.3803 -1.3054 -1.2268 -1.1522 -1.0837 -0.9372 -0.8285 -0.7571 -0.7114 -0.6805
 -0.6580 -0.6416 -0.6301 -0.6233
 -2.3922 -2.2543 -2.1154 -1.9732 -1.8360 -1.7097 -1.5988 -1.5039 -1.4238 -1.3566
 -1.2988 -1.2438 -1.1843 -1.1216 -1.0601 -0.9256 -0.8229 -0.7558 -0.7151 -0.6902
 -0.6720 -0.6583 -0.6485 -0.6419 -0.6380 -0.6378 -0.6426 -0.6532 -0.6704 -0.6944
 -2.2913 -2.1649 -2.0420 -1.9159 -1.7890 -1.6674 -1.5560 -1.4585 -1.3764 -1.3068
 -1.2457 -1.1900 -1.1377 -1.0859 -1.0335 -0.9120 -0.8155 -0.7496 -0.7131 -0.6940
 -0.6817 -0.6724 -0.6656 -0.6611 -0.6586 -0.6563 -0.6567 -0.6628 -0.6773 -0.7006
 -0.7288
 -2.2068 -2.0863 -1.9716 -1.8580 -1.7440 -1.6308 -1.5228 -1.4242 -1.3393 -1.2681
 -1.2075 -1.1532 -1.1018 -1.0530 -1.0057 -0.8961 -0.8061 -0.7419 -0.7060 -0.6908
 -0.6848 -0.6815 -0.6794 -0.6783 -0.6784 -0.6793 -0.6799 -0.6828 -0.6914 -0.7082
 -0.7347
 -2.1403 -2.0212 -1.9087 -1.7977 -1.6951 -1.5924 -1.4914 -1.3952 -1.3084 -1.2341
 -1.1721 -1.1192 -1.0710 -1.0249 -0.9802 -0.8781 -0.7943 -0.7328 -0.6957 -0.6817
 -0.6802 -0.6834 -0.6875 -0.6917 -0.6959 -0.6999 -0.7043 -0.7094 -0.7175 -0.7289
 -0.7433
 -2.0932 -1.9724 -1.8584 -1.7507 -1.6486 -1.5519 -1.4594 -1.3691 -1.2839 -1.2071
 -1.1416 -1.0872 -1.0406 -0.9972 -0.9559 -0.8619 -0.7824 -0.7234 -0.6859 -0.6702
 -0.6699 -0.6775 -0.6878 -0.6984 -0.7081 -0.7168 -0.7250 -0.7328 -0.7408 -0.7501
 -0.7604
 -2.0615 -1.9354 -1.8181 -1.7089 -1.6071 -1.5121 -1.4233 -1.3397 -1.2592 -1.1835
 -1.1156 -1.0577 -1.0096 -0.9686 -0.9314 -0.8454 -0.7704 -0.7136 -0.6769 -0.6590
