 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  R   
 -2.8750 -2.7306 -2.6065 -2.4996 -2.4059 -2.3207 -2.2414 -2.1673 -2.0993 -2.0389
 -1.9871 -1.9427 -1.9034 -1.8682 -1.8356 -1.7612 -1.6992 -1.6530 -1.6280 -1.6245
 -1.6340 -1.6480 -1.6625 -1.6766 -1.6904 -1.7040 -1.7179 -1.7325 -1.7486 -1.7679
 -1.7934
 -2.7739 -2.6460 -2.5357 -2.4410 -2.3581 -2.2827 -2.2119 -2.1442 -2.0797 -2.0197
 -1.9659 -1.9194 -1.8796 -1.8446 -1.8126 -1.7410 -1.6833 -1.6415 -1.6173 -1.6126
 -1.6231 -1.6413 -1.6617 -1.6816 -1.7004 -1.7182 -1.7352 -1.7518 -1.7687 -1.7867
 -1.8060
 -2.6796 -2.5636 -2.4634 -2.3781 -2.3038 -2.2367 -2.1736 -2.1128 -2.0539 -1.9973
 -1.9443 -1.8965 -1.8553 -1.8204 -1.7899 -1.7231 -1.6681 -1.6292 -1.6063 -1.6003
 -1.6098 -1.6292 -1.6535 -1.6790 -1.7037 -1.7268 -1.7485 -1.7688 -1.7882 -1.8075
 -1.8276
 -2.5946 -2.4881 -2.3955 -2.3157 -2.2472 -2.1863 -2.1296 -2.0749 -2.0217 -1.9699
 -1.9201 -1.8734 -1.8313 -1.7952 -1.7675 -1.7075 -1.6536 -1.6161 -1.5950
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  R   
 -4.1110 -3.9277 -3.7486 -3.5735 -3.4011 -3.2277 -3.0492 -2.8669 -2.6967 -2.5467
 -2.4144 -2.2962 -2.1889 -2.0939 -2.0095 -1.8368 -1.7111 -1.6257 -1.5750
 -3.9412 -3.7395 -3.5439 -3.3558 -3.1784 -3.0134 -2.8580 -2.7082 -2.5709 -2.4492
 -2.3401 -2.2394 -2.1448 -2.0582 -1.9804 -1.8222 -1.7091 -1.6338 -1.5884 -1.5632
 -3.7429 -3.5250 -3.3474 -3.1818 -3.0192 -2.8668 -2.7266 -2.5973 -2.4805 -2.3774
 -2.2855 -2.2002 -2.1172 -2.0379 -1.9654 -1.8173 -1.7122 -1.6426 -1.6012 -1.5786
 -1.5673
 -3.6388 -3.3703 -3.1426 -2.9576 -2.8179 -2.7162 -2.6188 -2.5160 -2.4146 -2.3221
 -2.2403 -2.1668 -2.0959 -2.0247 -1.9572 -1.8172 -1.7173 -1.6513 -1.6127 -1.5924
 -1.5825 -1.5791
 -3.5885 -3.3034 -3.0535 -2.8463 -2.6801 -2.5530 -2.4617 -2.3962 -2.3421 -2.2774
 -2.2055 -2.1370 -2.0740 -2.0122 -1.9504 -1.8179 -1.7221 -1.6586 -1.6219 -1.6040
 -1.5962 -1.5940 -1.5960 -1.6020
 -3.5553 -3.2714 -3.0182 -2.8052 -2.6315 -2.4922 -2.3820 -2.2963 -2.2331 -2.1905
 -2.1524 -2.1054 -2.0515 -1.9962 -1.9411 -1.8168 -1.7246 -1.6631 -1.6280 -1.6124
 -1.6077 -1.6078 -1.6111 -1.6173 -1.6263 -1.6375 -1.6533 -1.6762 -1.7063 -1.7388
 -3.5151 -3.2441 -2.9986 -2.7891 -2.6154 -2.4727 -2.3562 -2.2615 -2.1853 -2.1246
 -2.0782 -2.0430 -2.0089 -1.9698 -1.9251 -1.8122 -1.7238 -1.6639 -1.6299 -1.6164
 -1.6153 -1.6190 -1.6249 -1.6327 -1.6422 -1.6538 -1.6680 -1.6856 -1.7089 -1.7413
 -1.7773
 -3.4573 -3.2053 -2.9749 -2.7753 -2.6076 -2.4673 -2.3499 -2.2508 -2.1678 -2.0988
 -2.0415 -1.9941 -1.9560 -1.9241 -1.8917 -1.8012 -1.7191 -1.6610 -1.6275 -1.6152
 -1.6174 -1.6258 -1.6357 -1.6465 -1.6580 -1.6705 -1.6846 -1.7006 -1.7193 -1.7446
 -1.7797
 -3.3802 -3.1486 -2.9369 -2.7513 -2.5934 -2.4598 -2.3457 -2.2469 -2.1610 -2.0869
 -2.0236 -1.9698 -1.9240 -1.8857 -1.8530 -1.7777 -1.7083 -1.6539 -1.6210 -1.6091
 -1.6135 -1.6265 -1.6417 -1.6570 -1.6720 -1.6870 -1.7025 -1.7187 -1.7365 -1.7582
 -1.7841
 -3.2956 -3.0844 -2.8912 -2.7208 -2.5737 -2.4480 -2.3393 -2.2437 -2.1586 -2.0825
 -2.0153 -1.9571 -1.9070 -1.8641 -1.8273 -1.7527 -1.6915 -1.6436 -1.6121 -1.5995
 -1.6041 -1.6200 -1.6404 -1.6612 -1.6812 -1.7002 -1.7187 -1.7369 -1.7554 -1.7751
 -1.7959
 -3.2095 -3.0143 -2.8376 -2.6817 -2.5465 -2.4293 -2.3265 -2.2352 -2.1528 -2.0778
 -2.0096 -1.9486 -1.8952 -1.8494 -1.8100 -1.7321 -1.6733 -1.6297 -1.6012 -1.5884
 -1.5919 -1.6085 -1.6322 -1.6582 -1.6839 -1.7081 -1.7312 -1.7529 -1.7739 -1.7948
 -1.8163
 -3.1304 -2.9455 -2.7817 -2.6377 -2.5134 -2.4050 -2.3087 -2.2217 -2.1424 -2.0696
 -2.0024 -1.9409 -1.8827 -1.8344 -1.8011 -1.7159 -1.6537 -1.6122 -1.5883
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  R   
 -4.6221 -4.4386 -4.2684 -4.0998 -3.9260 -3.7214 -3.4600 -3.1443 -2.8522 -2.6101
 -2.4215 -2.2762 -2.1598 -2.0637 -1.9813 -1.8164 -1.6955 -1.6108 -1.5571
 -4.4236 -4.2256 -4.0420 -3.8628 -3.6807 -3.4846 -3.2500 -2.9888 -2.7455 -2.5377
 -2.3693 -2.2360 -2.1286 -2.0387 -1.9611 -1.8064 -1.6948 -1.6181 -1.5699 -1.5431
 -4.2723 -4.0681 -3.8750 -3.6862 -3.4977 -3.3071 -3.1017 -2.8807 -2.6724 -2.4898
 -2.3372 -2.2131 -2.1114 -2.0258 -1.9518 -1.8042 -1.6986 -1.6266 -1.5814 -1.5566
 -1.5452
 -4.0725 -3.8673 -3.6943 -3.5260 -3.3497 -3.1682 -2.9836 -2.7946 -2.6138 -2.4516
