 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -3.9452 -3.8806 -4.0708 -4.0003 -3.8198 -3.5780 -3.3179 -3.1464 -2.9985 -2.8475
 -2.7077 -2.5786 -2.4614 -2.3544 -2.2568 -2.0543 -1.8797 -1.7301 -1.6599
 -3.9498 -3.7431 -3.5737 -3.4600 -3.3979 -3.3061 -3.1564 -2.9951 -2.8497 -2.7149
 -2.5883 -2.4711 -2.3637 -2.2657 -2.1762 -1.9857 -1.8407 -1.7390 -1.6719 -1.6275
 -3.7701 -3.5694 -3.3844 -3.2253 -3.0989 -3.0188 -2.9597 -2.8661 -2.7449 -2.6188
 -2.5031 -2.3965 -2.2986 -2.2092 -2.1278 -1.9567 -1.8292 -1.7408 -1.6821 -1.6423
 -1.6148
 -3.6249 -3.4462 -3.2694 -3.1052 -2.9610 -2.8403 -2.7471 -2.6839 -2.6223 -2.5381
 -2.4388 -2.3414 -2.2521 -2.1704 -2.0955 -1.9381 -1.8222 -1.7440 -1.6922 -1.6567
 -1.6314 -1.6134
 -3.4940 -3.3421 -3.1838 -3.0275 -2.8823 -2.7540 -2.6451 -2.5547 -2.4869 -2.4292
 -2.3670 -2.2927 -2.2144 -2.1399 -2.0713 -1.9251 -1.8169 -1.7458 -1.7003 -1.6697
 -1.6472 -1.6308 -1.6193 -1.6124
 -3.3739 -3.2427 -3.1077 -2.9666 -2.8283 -2.6998 -2.5867 -2.4904 -2.4099 -2.3427
 -2.2852 -2.2306 -2.1716 -2.1093 -2.0481 -1.9138 -1.8114 -1.7446 -1.7041 -1.6793
 -1.6611 -1.6475 -1.6376 -1.6310 -1.6270 -1.6265 -1.6310 -1.6412 -1.6580 -1.6817
 -3.2666 -3.1488 -3.0323 -2.9093 -2.7832 -2.6603 -2.5467 -2.4471 -2.3636 -2.2934
 -2.2322 -2.1767 -2.1247 -2.0734 -2.0214 -1.9005 -1.8042 -1.7385 -1.7021 -1.6831
 -1.6709 -1.6616 -1.6548 -1.6502 -1.6475 -1.6450 -1.6452 -1.6511 -1.6652 -1.6881
 -1.7160
 -3.1739 -3.0637 -2.9573 -2.8491 -2.7381 -2.6256 -2.5163 -2.4155 -2.3284 -2.2559
 -2.1947 -2.1402 -2.0889 -2.0403 -1.9934 -1.8846 -1.7950 -1.7309 -1.6951 -1.6800
 -1.6740 -1.6707 -1.6686 -1.6675 -1.6674 -1.6681 -1.6685 -1.6712 -1.6796 -1.6960
 -1.7221
 -3.0977 -2.9906 -2.8879 -2.7841 -2.6867 -2.5868 -2.4866 -2.3892 -2.3002 -2.2239
 -2.1606 -2.1070 -2.0586 -2.0126 -1.9681 -1.8666 -1.7832 -1.7220 -1.6850 -1.6709
 -1.6695 -1.6727 -1.6767 -1.6808 -1.6849 -1.6888 -1.6930 -1.6978 -1.7056 -1.7168
 -1.7309
 -3.0401 -2.9328 -2.8298 -2.7308 -2.6354 -2.5435 -2.4540 -2.3646 -2.2784 -2.1996
 -2.1321 -2.0764 -2.0291 -1.9854 -1.9441 -1.8505 -1.7714 -1.7126 -1.6752 -1.6595
 -1.6592 -1.6668 -1.6771 -1.6875 -1.6971 -1.7057 -1.7137 -1.7213 -1.7291 -1.7381
 -1.7482
 -2.9974 -2.8857 -2.7806 -2.6813 -2.5875 -2.4987 -2.4146 -2.3341 -2.2548 -2.1785
 -2.1089 -2.0491 -1.9996 -1.9579 -1.9204 -1.8343 -1.7595 -1.7029 -1.6662 -1.6484
 -1.6469 -1.6556 -1.6699 -1.6862 -1.7021 -1.7167 -1.7299 -1.7418 -1.7528 -1.7636
 -1.7754
 -2.9492 -2.8208 -2.7107 -2.6145 -2.5281 -2.4480 -2.3714 -2.2965 -2.2236 -2.1538
 -2.0876 -2.0264 -1.9734 -1.9295 -1.8928 -1.8156 -1.7472 -1.6928 -1.6568
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  r   
 -4.3088 -4.2306 -4.1073 -3.8743 -3.6104 -3.3616 -3.1577 -2.9954 -2.8525 -2.7189
 -2.5932 -2.4763 -2.3689 -2.2705 -2.1808 -1.9947 -1.8450 -1.7249 -1.6511
 -4.0219 -3.8302 -3.7212 -3.6536 -3.4911 -3.2715 -3.0644 -2.8960 -2.7557 -2.6281
 -2.5092 -2.3995 -2.2993 -2.2085 -2.1264 -1.9547 -1.8224 -1.7253 -1.6588 -1.6145
 -3.8683 -3.6538 -3.4701 -3.3306 -3.2557 -3.1665 -3.0043 -2.8328 -2.6889 -2.5662
 -2.4534 -2.3499 -2.2557 -2.1706 -2.0939 -1.9344 -1.8133 -1.7261 -1.6672 -1.6277
 -1.6006
 -3.7606 -3.5552 -3.3620 -3.1857 -3.0397 -2.9370 -2.8701 -2.7761 -2.6446 -2.5224
 -2.4138 -2.3157 -2.2267 -2.1463 -2.0739 -1.9233 -1.8095 -1.7287 -1.6754 -1.6402
 -1.6156 -1.5983
 -3.6722 -3.4845 -3.2990 -3.1241 -2.9653 -2.8247 -2.7108 -2.6267 -2.5627 -2.4806
 -2.3840 -2.2895 -2.2044 -2.1283 -2.0597 -1.9164 -1.8077 -1.7310 -1.6819 -1.6509
 -1.6296 -1.6142 -1.6035 -1.5982
 -3.5994 -3.4243 -3.2525 -3.0841 -2.9256 -2.7807 -2.6513 -2.5401 -2.4510 -2.3859
 -2.3280 -2.2598 -2.1847 -2.1119 -2.0464 -1.9100 -1.8054 -1.7314 -1.6853 -1.6586
 -1.6415 -1.6292 -1.6204 -1.6149 -1.6113 -1.6112 -1.6165 -1.6286 -1.6481 -1.6731
 -3.5289 -3.3679 -3.2108 -3.0532 -2.9002 -2.7567 -2.6254 -2.5084 -2.4070 -2.3231
 -2.2558 -2.2012 -2.1477 -2.0900 -2.0310 -1.9018 -1.8013 -1.7291 -1.6846 -1.6615
