 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -2.0113 -2.0008 -2.1861 -2.1941 -2.1144 -1.9860 -1.8276 -1.7209 -1.6263 -1.5250
 -1.4271 -1.3335 -1.2464 -1.1674 -1.0998 -0.9588 -0.9128 -0.9365 -0.9243
 -2.0024 -1.9295 -1.8717 -1.8432 -1.8448 -1.8213 -1.7495 -1.6586 -1.5679 -1.4786
 -1.3915 -1.3088 -1.2327 -1.1652 -1.1070 -1.0013 -0.9460 -0.9290 -0.9341 -0.9516
 -1.8691 -1.8036 -1.7397 -1.6835 -1.6405 -1.6233 -1.6181 -1.5853 -1.5222 -1.4453
 -1.3684 -1.2938 -1.2246 -1.1630 -1.1100 -1.0137 -0.9627 -0.9479 -0.9542 -0.9713
 -0.9954
 -1.7475 -1.6984 -1.6434 -1.5881 -1.5368 -1.4920 -1.4593 -1.4453 -1.4307 -1.3955
 -1.3411 -1.2789 -1.2175 -1.1615 -1.1131 -1.0244 -0.9765 -0.9632 -0.9708 -0.9881
 -1.0111 -1.0390
 -1.6259 -1.5953 -1.5556 -1.5098 -1.4628 -1.4178 -1.3763 -1.3400 -1.3150 -1.2963
 -1.2753 -1.2429 -1.2010 -1.1553 -1.1122 -1.0309 -0.9858 -0.9740 -0.9830 -1.0018
 -1.0251 -1.0520 -1.0826 -1.1172
 -1.5039 -1.4875 -1.4643 -1.4326 -1.3956 -1.3565 -1.3182 -1.2814 -1.2470 -1.2165
 -1.1930 -1.1739 -1.1528 -1.1274 -1.0993 -1.0317 -0.9896 -0.9787 -0.9894 -1.0114
 -1.0366 -1.0641 -1.0942 -1.1271 -1.1633 -1.2030 -1.2466 -1.2940 -1.3454 -1.4007
 -1.3845 -1.3776 -1.3669 -1.3486 -1.3244 -1.2955 -1.2641 -1.2322 -1.2010 -1.1702
 -1.1416 -1.1173 -1.0979 -1.0811 -1.0643 -1.0220 -0.9872 -0.9758 -0.9890 -1.0150
 -1.0442 -1.0740 -1.1051 -1.1378 -1.1723 -1.2081 -1.2466 -1.2897 -1.3386 -1.3933
 -1.4500
 -1.2708 -1.2695 -1.2661 -1.2578 -1.2447 -1.2275 -1.2062 -1.1822 -1.1569 -1.1311
 -1.1055 -1.0814 -1.0600 -1.0425 -1.0279 -0.9990 -0.9772 -0.9686 -0.9821 -1.0114
 -1.0456 -1.0798 -1.1136 -1.1476 -1.1825 -1.2184 -1.2550 -1.2941 -1.3373 -1.3862
 -1.4416
 -1.1657 -1.1671 -1.1670 -1.1641 -1.1589 -1.1506 -1.1395 -1.1253 -1.1084 -1.0894
 -1.0694 -1.0496 -1.0309 -1.0142 -0.9997 -0.9740 -0.9602 -0.9575 -0.9707 -1.0015
 -1.0402 -1.0799 -1.1183 -1.1556 -1.1924 -1.2291 -1.2663 -1.3045 -1.3454 -1.3893
 -1.4357
