 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -0.1481 -0.1278 -0.1123 -0.1018 -0.0872 -0.0664 -0.0258 -0.0040  0.0259  0.0699
  0.1270  0.1869  0.2531  0.3252  0.3918  0.5159  0.5761  0.5932  0.5901
 -0.1231 -0.0340  0.0215  0.0468  0.0488  0.0526  0.0662  0.0857  0.1086  0.1354
  0.1729  0.2239  0.2838  0.3433  0.3969  0.4964  0.5517  0.5720  0.5722  0.5604
 -0.0754 -0.0013  0.0622  0.1123  0.1454  0.1577  0.1534  0.1526  0.1658  0.1914
  0.2204  0.2551  0.3013  0.3523  0.3999  0.4900  0.5379  0.5538  0.5518  0.5397
  0.5211
 -0.0266  0.0336  0.0897  0.1405  0.1832  0.2148  0.2339  0.2407  0.2404  0.2468
  0.2655  0.2888  0.3201  0.3604  0.4016  0.4831  0.5267  0.5389  0.5345  0.5217
  0.5035  0.4812
  0.0421  0.0842  0.1265  0.1689  0.2097  0.2457  0.2741  0.2943  0.3075  0.3156
  0.3237  0.3367  0.3528  0.3774  0.4078  0.4792  0.5197  0.5291  0.5212  0.5065
  0.4878  0.4657  0.4408  0.4141
  0.1303  0.1543  0.1801  0.2092  0.2412  0.2738  0.3037  0.3285  0.3475  0.3627
  0.3756  0.3876  0.3981  0.4120  0.4302  0.4814  0.5180  0.5258  0.5139  0.4955
  0.4745  0.4514  0.4263  0.3991  0.3699  0.3380  0.3028  0.2636  0.2202  0.1723
  0.2307  0.2413  0.2515  0.2657  0.2851  0.3088  0.3345  0.3589  0.3797  0.3965
  0.4111  0.4247  0.4371  0.4484  0.4614  0.4951  0.5226  0.5291  0.5143  0.4908
  0.4656  0.4398  0.4131  0.3852  0.3562  0.3270  0.2957  0.2603  0.2190  0.1716
  0.1214
  0.3415  0.3392  0.3373  0.3386  0.3445  0.3561  0.3731  0.3925  0.4114  0.4281
  0.4421  0.4545  0.4664  0.4774  0.4889  0.5153  0.5337  0.5378  0.5219  0.4940
  0.4632  0.4329  0.4029  0.3729  0.3426  0.3120  0.2815  0.2492  0.2129  0.1707
  0.1216
  0.4545  0.4423  0.4320  0.4234  0.4180  0.4180  0.4237  0.4345  0.4481  0.4620
  0.4743  0.4847  0.4941  0.5030  0.5124  0.5351  0.5486  0.5495  0.5337  0.5039
  0.4682  0.4320  0.3971  0.3634  0.3305  0.2981  0.2656  0.2315  0.1957  0.1584
  0.1197
  0.5697  0.5506  0.5309  0.5153  0.5019  0.4919  0.4869  0.4873  0.4922  0.5002
  0.5091  0.5170  0.5236  0.5295  0.5353  0.5523  0.5632  0.5621  0.5469  0.5180
  0.4804  0.4396  0.3992  0.3603  0.3233  0.2877  0.2531  0.2189  0.1805  0.1454
  0.1124
  0.6871  0.6641  0.6340  0.6095  0.5914  0.5746  0.5609  0.5516  0.5469  0.5464
  0.5489  0.5527  0.5563  0.5589  0.5612  0.5690  0.5770  0.5745  0.5594  0.5321
  0.4952  0.4529  0.4085  0.3644  0.3223  0.2823  0.2440  0.2071  0.1712  0.1355
  0.0989
  0.8067  0.7828  0.7413  0.7049  0.6827  0.6613  0.6417  0.6249  0.6116  0.6020
  0.5963  0.5934  0.5924  0.5915  0.5901  0.5852  0.5900  0.5867  0.5712
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = G_RP 
 -0.2055 -0.1580 -0.1236 -0.0993 -0.0781 -0.0569 -0.0293 -0.0055  0.0280  0.0729
  0.1294  0.1921  0.2591  0.3251  0.3852  0.5028  0.5713  0.5995  0.5994
 -0.1345 -0.0642 -0.0275  0.0024  0.0295  0.0505  0.0666  0.0822  0.1023  0.1304
