 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -4.8207 -4.7453 -4.9620 -4.8848 -4.6664 -4.3820 -4.0768 -3.8645 -3.6741 -3.4819
 -3.3061 -3.1434 -2.9928 -2.8514 -2.7186 -2.4372 -2.1683 -1.9369 -1.7975
 -4.8120 -4.5580 -4.3567 -4.2206 -4.1408 -4.0261 -3.8424 -3.6399 -3.4515 -3.2748
 -3.1093 -2.9560 -2.8150 -2.6852 -2.5651 -2.3008 -2.0833 -1.9154 -1.7934 -1.7034
 -4.5766 -4.3247 -4.1050 -3.9205 -3.7709 -3.6680 -3.5841 -3.4564 -3.2949 -3.1276
 -2.9733 -2.8306 -2.6991 -2.5788 -2.4687 -2.2328 -2.0447 -1.8997 -1.7926 -1.7119
 -1.6486
 -4.3934 -4.1593 -3.9442 -3.7542 -3.5882 -3.4434 -3.3232 -3.2323 -3.1385 -3.0154
 -2.8769 -2.7431 -2.6201 -2.5072 -2.4039 -2.1860 -2.0175 -1.8906 -1.7954 -1.7228
 -1.6644 -1.6158
 -4.2414 -4.0285 -3.8264 -3.6411 -3.4756 -3.3274 -3.1943 -3.0759 -2.9787 -2.8893
 -2.7919 -2.6801 -2.5661 -2.4592 -2.3614 -2.1551 -1.9986 -1.8837 -1.7989 -1.7339
 -1.6807 -1.6357 -1.5968 -1.5632
 -4.1152 -3.9178 -3.7322 -3.5557 -3.3944 -3.2487 -3.1168 -2.9969 -2.8886 -2.7911
 -2.7027 -2.6158 -2.5228 -2.4265 -2.3334 -2.1351 -1.9853 -1.8774 -1.8002 -1.7429
 -1.6958 -1.6551 -1.6195 -1.5876 -1.5579 -1.5321 -1.5121 -1.4994 -1.4953 -1.5003
 -4.0150 -3.8264 -3.6521 -3.4869 -3.3311 -3.1888 -3.0595 -2.9419 -2.8353 -2.7373
 -2.6462 -2.5606 -2.4783 -2.3960 -2.3130 -2.1225 -1.9758 -1.8700 -1.7978 -1.7471
 -1.7069 -1.6719 -1.6407 -1.6123 -1.5862 -1.5604 -1.5375 -1.5209 -1.5131 -1.5155
 -1.5264
 -3.9404 -3.7552 -3.5855 -3.4278 -3.2797 -3.1409 -3.0138 -2.8984 -2.7937 -2.6980
 -2.6094 -2.5256 -2.4451 -2.3677 -2.2921 -2.1151 -1.9701 -1.8642 -1.7925 -1.7455
 -1.7116 -1.6834 -1.6581 -1.6345 -1.6124 -1.5912 -1.5695 -1.5505 -1.5377 -1.5341
 -1.5414
 -3.8917 -3.7051 -3.5348 -3.3751 -3.2334 -3.0998 -2.9751 -2.8606 -2.7572 -2.6630
 -2.5763 -2.4957 -2.4189 -2.3446 -2.2724 -2.1054 -1.9656 -1.8595 -1.7856 -1.7390
 -1.7091 -1.6874 -1.6689 -1.6516 -1.6348 -1.6181 -1.6018 -1.5863 -1.5741 -1.5655
 -1.5601
 -3.8686 -3.6772 -3.5026 -3.3434 -3.1981 -3.0657 -2.9443 -2.8311 -2.7275 -2.6337
 -2.5483 -2.4695 -2.3957 -2.3246 -2.2559 -2.0974 -1.9619 -1.8565 -1.7809 -1.7319
 -1.7023 -1.6843 -1.6720 -1.6617 -1.6515 -1.6408 -1.6296 -1.6180 -1.6067 -1.5968
 -1.5878
 -3.8671 -3.6682 -3.4875 -3.3235 -3.1746 -3.0395 -2.9171 -2.8057 -2.7024 -2.6079
 -2.5224 -2.4445 -2.3724 -2.3049 -2.2403 -2.0891 -1.9575 -1.8532 -1.7770 -1.7254
 -1.6942 -1.6767 -1.6679 -1.6634 -1.6601 -1.6563 -1.6515 -1.6454 -1.6386 -1.6317
 -1.6257
 -3.8709 -3.6624 -3.4756 -3.3077 -3.1564 -3.0194 -2.8951 -2.7819 -2.6786 -2.5845
 -2.4988 -2.4207 -2.3494 -2.2834 -2.2214 -2.0789 -1.9522 -1.8492 -1.7725
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  V   
 -5.2018 -5.0907 -4.9362 -4.6667 -4.3674 -4.0851 -3.8442 -3.6384 -3.4500 -3.2737
 -3.1100 -2.9603 -2.8242 -2.6996 -2.5849 -2.3385 -2.1189 -1.9295 -1.7926
 -4.8344 -4.5975 -4.4623 -4.3755 -4.1851 -3.9324 -3.6903 -3.4827 -3.2994 -3.1293
 -2.9722 -2.8293 -2.7000 -2.5831 -2.4769 -2.2480 -2.0583 -1.9034 -1.7841 -1.6943
 -4.6347 -4.3692 -4.1526 -3.9901 -3.8970 -3.7849 -3.5885 -3.3797 -3.1967 -3.0335
 -2.8826 -2.7452 -2.6209 -2.5088 -2.4076 -2.1938 -2.0226 -1.8862 -1.7812 -1.7010
 -1.6378
 -4.5020 -4.2388 -4.0081 -3.8056 -3.6388 -3.5167 -3.4273 -3.3015 -3.1316 -2.9709
 -2.8250 -2.6926 -2.5725 -2.4639 -2.3658 -2.1604 -2.0001 -1.8760 -1.7818 -1.7096
 -1.6517 -1.6034
 -4.4074 -4.1528 -3.9219 -3.7184 -3.5399 -3.3804 -3.2443 -3.1352 -3.0428 -2.9249
 -2.7900 -2.6602 -2.5432 -2.4376 -2.3417 -2.1409 -1.9865 -1.8698 -1.7834 -1.7183
 -1.6659 -1.6215 -1.5831 -1.5508
 -4.3494 -4.0939 -3.8662 -3.6607 -3.4792 -3.3177 -3.1707 -3.0374 -2.9228 -2.8302
 -2.7405 -2.6366 -2.5266 -2.4223 -2.3281 -2.1300 -1.9782 -1.8653 -1.7840 -1.7252
 -1.6786 -1.6389 -1.6040 -1.5731 -1.5443 -1.5192 -1.5001 -1.4887 -1.4860 -1.4917
 -4.3081 -4.0555 -3.8311 -3.6251 -3.4404 -3.2772 -3.1311 -2.9975 -2.8749 -2.7659
 -2.6710 -2.5871 -2.5021 -2.4116 -2.3209 -2.1242 -1.9729 -1.8611 -1.7824 -1.7281
 -1.6878 -1.6538 -1.6236 -1.5962 -1.5712 -1.5470 -1.5258 -1.5106 -1.5036 -1.5062
 -1.5178
 -4.2887 -4.0350 -3.8128 -3.6067 -3.4191 -3.2514 -3.1037 -2.9713 -2.8505 -2.7394
 -2.6387 -2.5480 -2.4661 -2.3886 -2.3104 -2.1215 -1.9695 -1.8571 -1.7786 -1.7266
 -1.6915 -1.6639 -1.6395 -1.6170 -1.5959 -1.5737 -1.5528 -1.5361 -1.5260 -1.5245
 -1.5327
 -4.2959 -4.0342 -3.8075 -3.6008 -3.4108 -3.2385 -3.0857 -2.9507 -2.8303 -2.7207
 -2.6204 -2.5284 -2.4437 -2.3654 -2.2917 -2.1176 -1.9667 -1.8526 -1.7728 -1.7208
 -1.6887 -1.6670 -1.6492 -1.6330 -1.6172 -1.6017 -1.5868 -1.5742 -1.5642 -1.5564
 -1.5508
 -4.3322 -4.0556 -3.8207 -3.6125 -3.4198 -3.2434 -3.0838 -2.9426 -2.8185 -2.7080
 -2.6082 -2.5169 -2.4325 -2.3540 -2.2802 -2.1129 -1.9671 -1.8512 -1.7686 -1.7143
 -1.6821 -1.6636 -1.6518 -1.6423 -1.6330 -1.6233 -1.6134 -1.6032 -1.5934 -1.5851
 -1.5775
 -4.3909 -4.0996 -3.8543 -3.6397 -3.4427 -3.2620 -3.0971 -2.9480 -2.8163 -2.7010
 -2.5988 -2.5070 -2.4231 -2.3454 -2.2725 -2.1078 -1.9661 -1.8509 -1.7657 -1.7084
 -1.6740 -1.6559 -1.6474 -1.6436 -1.6411 -1.6382 -1.6346 -1.6298 -1.6243 -1.6187
 -1.6142
 -4.4667 -4.1662 -3.9081 -3.6813 -3.4784 -3.2932 -3.1233 -2.9681 -2.8278 -2.7037
 -2.5954 -2.5001 -2.4148 -2.3371 -2.2651 -2.1036 -1.9645 -1.8503 -1.7635
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  V   
 -5.3877 -5.1593 -4.8063 -4.4601 -4.1401 -3.8663 -3.6499 -3.4582 -3.2798 -3.1150
 -2.9614 -2.8209 -2.6940 -2.5797 -2.4763 -2.2554 -2.0703 -1.9113 -1.7809
 -4.8908 -4.7773 -4.6454 -4.3595 -4.0559 -3.7787 -3.5465 -3.3526 -3.1764 -3.0149
 -2.8649 -2.7282 -2.6053 -2.4954 -2.3969 -2.1906 -2.0235 -1.8841 -1.7702 -1.6808
