 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -4.4345 -4.3590 -4.5750 -4.4984 -4.2810 -3.9972 -3.6919 -3.4797 -3.2902 -3.0981
 -2.9217 -2.7591 -2.6083 -2.4667 -2.3338 -2.0525 -1.7849 -1.5509 -1.4119
 -4.4259 -4.1724 -3.9714 -3.8355 -3.7559 -3.6415 -3.4580 -3.2558 -3.0676 -2.8909
 -2.7253 -2.5719 -2.4307 -2.3009 -2.1807 -1.9164 -1.6990 -1.5311 -1.4091 -1.3191
 -4.1911 -3.9397 -3.7203 -3.5359 -3.3864 -3.2838 -3.2000 -3.0726 -2.9114 -2.7441
 -2.5897 -2.4468 -2.3151 -2.1946 -2.0845 -1.8485 -1.6604 -1.5154 -1.4083 -1.3276
 -1.2642
 -4.0083 -3.7747 -3.5599 -3.3700 -3.2041 -3.0595 -2.9394 -2.8486 -2.7550 -2.6320
 -2.4936 -2.3596 -2.2363 -2.1232 -2.0198 -1.8017 -1.6332 -1.5063 -1.4111 -1.3384
 -1.2800 -1.2314
 -3.8564 -3.6441 -3.4423 -3.2572 -3.0917 -2.9436 -2.8106 -2.6923 -2.5952 -2.5058
 -2.4084 -2.2966 -2.1825 -2.0754 -1.9774 -1.7708 -1.6143 -1.4994 -1.4146 -1.3496
 -1.2964 -1.2513 -1.2123 -1.1787
 -3.7302 -3.5334 -3.3484 -3.1721 -3.0108 -2.8651 -2.7332 -2.6133 -2.5051 -2.4076
 -2.3191 -2.2322 -2.1391 -2.0428 -1.9495 -1.7509 -1.6010 -1.4931 -1.4159 -1.3586
 -1.3114 -1.2707 -1.2350 -1.2031 -1.1735 -1.1476 -1.1276 -1.1149 -1.1107 -1.1156
 -3.6296 -3.4418 -3.2683 -3.1035 -2.9477 -2.8054 -2.6761 -2.5585 -2.4518 -2.3538
 -2.2626 -2.1770 -2.0946 -2.0122 -1.9291 -1.7385 -1.5916 -1.4857 -1.4134 -1.3628
 -1.3225 -1.2875 -1.2563 -1.2279 -1.2017 -1.1758 -1.1529 -1.1363 -1.1285 -1.1308
 -1.1416
 -3.5547 -3.3702 -3.2014 -3.0443 -2.8964 -2.7577 -2.6306 -2.5151 -2.4104 -2.3146
 -2.2259 -2.1420 -2.0614 -1.9839 -1.9083 -1.7311 -1.5860 -1.4799 -1.4082 -1.3612
 -1.3273 -1.2991 -1.2737 -1.2500 -1.2279 -1.2067 -1.1850 -1.1660 -1.1531 -1.1494
 -1.1566
 -3.5053 -3.3198 -3.1503 -2.9915 -2.8502 -2.7168 -2.5921 -2.4776 -2.3740 -2.2797
 -2.1930 -2.1122 -2.0353 -1.9609 -1.8885 -1.7214 -1.5814 -1.4753 -1.4014 -1.3547
 -1.3248 -1.3030 -1.2845 -1.2672 -1.2504 -1.2336 -1.2172 -1.2017 -1.1895 -1.1808
 -1.1754
