 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -7.7194 -7.5049 -7.6644 -7.5835 -7.3623 -7.0034 -6.5369 -6.2517 -5.9701 -5.6782
 -5.4005 -5.1433 -4.9042 -4.6768 -4.4561 -3.9587 -3.4406 -2.9570 -2.6075
 -7.5464 -7.1828 -6.8969 -6.7021 -6.5810 -6.4245 -6.1809 -5.8940 -5.6065 -5.3240
 -5.0535 -4.8013 -4.5679 -4.3503 -4.1447 -3.6664 -3.2278 -2.8525 -2.5617 -2.3383
 -7.2062 -6.8443 -6.5290 -6.2674 -6.0546 -5.9003 -5.7691 -5.5803 -5.3342 -5.0654
 -4.8027 -4.5547 -4.3267 -4.1173 -3.9238 -3.4924 -3.1109 -2.7801 -2.5190 -2.3178
 -2.1566
 -6.9265 -6.5948 -6.2851 -6.0117 -5.7721 -5.5572 -5.3691 -5.2153 -5.0529 -4.8446
 -4.6087 -4.3734 -4.1514 -3.9475 -3.7617 -3.3620 -3.0237 -2.7324 -2.4942 -2.3104
 -2.1629 -2.0383
 -6.6732 -6.3827 -6.0971 -5.8307 -5.5900 -5.3685 -5.1590 -4.9614 -4.7868 -4.6191
 -4.4384 -4.2363 -4.0302 -3.8337 -3.6527 -3.2721 -2.9629 -2.6995 -2.4825 -2.3123
 -2.1759 -2.0607 -1.9593 -1.8680
 -6.4380 -6.1843 -5.9329 -5.6850 -5.4524 -5.2364 -5.0309 -4.8310 -4.6378 -4.4541
 -4.2838 -4.1168 -3.9413 -3.7618 -3.5879 -3.2165 -2.9248 -2.6808 -2.4793 -2.3194
 -2.1922 -2.0855 -1.9915 -1.9062 -1.8237 -1.7458 -1.6756 -1.6155 -1.5674 -1.5324
 -6.2212 -5.9976 -5.7774 -5.5554 -5.3369 -5.1302 -4.9335 -4.7427 -4.5553 -4.3705
 -4.1926 -4.0254 -3.8661 -3.7085 -3.5510 -3.1896 -2.9046 -2.6736 -2.4816 -2.3286
 -2.2084 -2.1094 -2.0231 -1.9446 -1.8718 -1.8036 -1.7400 -1.6814 -1.6281 -1.5831
 -1.5575
 -6.0232 -5.8242 -5.6281 -5.4314 -5.2331 -5.0373 -4.8496 -4.6696 -4.4935 -4.3181
 -4.1447 -3.9768 -3.8175 -3.6668 -3.5218 -3.1828 -2.8991 -2.6737 -2.4878 -2.3383
 -2.2222 -2.1297 -2.0509 -1.9798 -1.9140 -1.8517 -1.7918 -1.7360 -1.6863 -1.6441
 -1.6104
 -5.8443 -5.6653 -5.4877 -5.3076 -5.1307 -4.9515 -4.7734 -4.6009 -4.4350 -4.2715
 -4.1079 -3.9460 -3.7893 -3.6400 -3.4983 -3.1765 -2.9006 -2.6764 -2.4946 -2.3467
 -2.2321 -2.1437 -2.0717 -2.0086 -1.9504 -1.8953 -1.8430 -1.7934 -1.7480 -1.7068
 -1.6696
 -5.6849 -5.5223 -5.3591 -5.1958 -5.0325 -4.8693 -4.7061 -4.5427 -4.3832 -4.2290
 -4.0770 -3.9253 -3.7749 -3.6295 -3.4906 -3.1747 -2.9068 -2.6849 -2.5046 -2.3578
 -2.2424 -2.1548 -2.0869 -2.0307 -1.9805 -1.9335 -1.8887 -1.8457 -1.8047 -1.7664
 -1.7311
 -5.5417 -5.3891 -5.2368 -5.0851 -4.9340 -4.7837 -4.6342 -4.4851 -4.3352 -4.1873
 -4.0432 -3.9017 -3.7608 -3.6214 -3.4855 -3.1749 -2.9120 -2.6926 -2.5130 -2.3676
 -2.2519 -2.1634 -2.0967 -2.0449 -2.0016 -1.9628 -1.9263 -1.8911 -1.8570 -1.8244
 -1.7940
 -5.4007 -5.2374 -5.0878 -4.9477 -4.8133 -4.6813 -4.5489 -4.4146 -4.2789 -4.1428
 -4.0073 -3.8731 -3.7410 -3.6102 -3.4808 -3.1767 -2.9158 -2.6992 -2.5208
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  B   
 -8.0197 -7.8461 -7.6354 -7.3005 -6.9136 -6.5232 -6.1780 -5.8828 -5.6090 -5.3475
 -5.0978 -4.8650 -4.6500 -4.4497 -4.2602 -3.8262 -3.3988 -2.9910 -2.6558
 -7.5016 -7.1694 -6.9761 -6.8505 -6.6109 -6.2813 -5.9397 -5.6311 -5.3525 -5.0882
 -4.8367 -4.6033 -4.3898 -4.1945 -4.0133 -3.6024 -3.2273 -2.8832 -2.5913 -2.3595
 -7.2038 -6.8333 -6.5349 -6.3139 -6.1804 -6.0243 -5.7574 -5.4545 -5.1699 -4.9056
 -4.6534 -4.4185 -4.2044 -4.0103 -3.8332 -3.4452 -3.1084 -2.8066 -2.5463 -2.3362
 -2.1678
 -6.9900 -6.6294 -6.3113 -6.0356 -5.8081 -5.6346 -5.4962 -5.3044 -5.0450 -4.7845
 -4.5347 -4.2989 -4.0828 -3.8877 -3.7114 -3.3356 -3.0242 -2.7538 -2.5191 -2.3264
 -2.1711 -2.0416
 -6.8139 -6.4799 -6.1675 -5.8898 -5.6453 -5.4227 -5.2237 -5.0520 -4.8935 -4.6911
 -4.4596 -4.2289 -4.0124 -3.8150 -3.6372 -3.2653 -2.9687 -2.7196 -2.5050 -2.3262
 -2.1814 -2.0610 -1.9566 -1.8622
 -6.6673 -6.3542 -6.0599 -5.7848 -5.5378 -5.3137 -5.1014 -4.8978 -4.7106 -4.5452
 -4.3748 -4.1797 -3.9754 -3.7796 -3.5997 -3.2254 -2.9354 -2.6993 -2.4992 -2.3317
 -2.1956 -2.0831 -1.9862 -1.8994 -1.8194 -1.7456 -1.6782 -1.6171 -1.5638 -1.5255
 -6.5248 -6.2398 -5.9686 -5.7046 -5.4588 -5.2357 -5.0288 -4.8287 -4.6323 -4.4447
 -4.2699 -4.1062 -3.9383 -3.7625 -3.5880 -3.2087 -2.9188 -2.6893 -2.4988 -2.3396
 -2.2105 -2.1052 -2.0155 -1.9355 -1.8622 -1.7923 -1.7273 -1.6693 -1.6200 -1.5804
 -1.5499
 -6.3900 -6.1304 -5.8841 -5.6372 -5.3980 -5.1747 -4.9707 -4.7788 -4.5912 -4.4052
 -4.2234 -4.0501 -3.8891 -3.7351 -3.5806 -3.2114 -2.9151 -2.6870 -2.5019 -2.3482
 -2.2241 -2.1246 -2.0418 -1.9691 -1.9025 -1.8389 -1.7792 -1.7246 -1.6764 -1.6354
 -1.6020
 -6.2684 -6.0265 -5.7988 -5.5713 -5.3449 -5.1255 -4.9207 -4.7317 -4.5529 -4.3772
 -4.2020 -4.0288 -3.8627 -3.7075 -3.5616 -3.2185 -2.9206 -2.6886 -2.5055 -2.3553
 -2.2340 -2.1386 -2.0619 -1.9965 -1.9374 -1.8823 -1.8305 -1.7826 -1.7386 -1.6981
 -1.6608
 -6.1649 -5.9300 -5.7143 -5.5075 -5.2979 -5.0896 -4.8869 -4.6963 -4.5198 -4.3523
 -4.1881 -4.0238 -3.8608 -3.7039 -3.5561 -3.2252 -2.9363 -2.6992 -2.5140 -2.3649
 -2.2444 -2.1502 -2.0773 -2.0182 -1.9667 -1.9194 -1.8749 -1.8326 -1.7926 -1.7555
 -1.7215
 -6.0780 -5.8414 -5.6314 -5.4376 -5.2438 -5.0519 -4.8599 -4.6720 -4.4937 -4.3274
 -4.1698 -4.0159 -3.8625 -3.7101 -3.5626 -3.2311 -2.9496 -2.7133 -2.5242 -2.3744
 -2.2540 -2.1594 -2.0875 -2.0324 -1.9875 -1.9480 -1.9117 -1.8770 -1.8438 -1.8123
 -1.7831
 -6.0027 -5.7605 -5.5502 -5.3591 -5.1792 -5.0027 -4.8256 -4.6493 -4.4757 -4.3087
 -4.1516 -4.0026 -3.8581 -3.7149 -3.5730 -3.2420 -2.9610 -2.7268 -2.5355
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  B   
 -8.1639 -7.8698 -7.4328 -6.9767 -6.5328 -6.1462 -5.8428 -5.5727 -5.3179 -5.0805
 -4.8555 -4.6447 -4.4501 -4.2710 -4.1047 -3.7253 -3.3682 -3.0225 -2.7069
 -7.4918 -7.3231 -7.1494 -6.8001 -6.4005 -6.0095 -5.6720 -5.3882 -5.1274 -4.8859
 -4.6570 -4.4433 -4.2469 -4.0682 -3.9045 -3.5421 -3.2167 -2.9131 -2.6353 -2.3971
 -7.2015 -6.8538 -6.6532 -6.5397 -6.2825 -5.9318 -5.5822 -5.2752 -5.0074 -4.7623
 -4.5309 -4.3140 -4.1144 -3.9332 -3.7688 -3.4139 -3.1084 -2.8340 -2.5861 -2.3701
 -2.1912
 -7.0517 -6.6658 -6.3544 -6.1277 -5.9897 -5.8267 -5.5389 -5.2267 -4.9433 -4.6926
 -4.4595 -4.2398 -4.0363 -3.8512 -3.6839 -3.3294 -3.0351 -2.7800 -2.5542 -2.3562
 -2.1901 -2.0522
 -6.9500 -6.5686 -6.2329 -5.9477 -5.7145 -5.5293 -5.3860 -5.1892 -4.9238 -4.6631
 -4.4280 -4.2065 -3.9992 -3.8093 -3.6375 -3.2778 -2.9882 -2.7451 -2.5350 -2.3516
