 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  R   
 -2.5736 -2.5324 -2.7217 -2.6821 -2.5407 -2.3399 -2.1170 -1.9691 -1.8400 -1.7057
 -1.5787 -1.4597 -1.3510 -1.2527 -1.1646 -0.9830 -0.8495 -0.7418 -0.6947
 -2.5755 -2.4227 -2.2962 -2.2140 -2.1748 -2.1069 -1.9838 -1.8465 -1.7198 -1.6002
 -1.4861 -1.3794 -1.2815 -1.1929 -1.1130 -0.9485 -0.8301 -0.7530 -0.7064 -0.6792
 -2.4158 -2.2683 -2.1288 -2.0068 -1.9094 -1.8507 -1.8096 -1.7360 -1.6341 -1.5242
 -1.4209 -1.3241 -1.2349 -1.1540 -1.0813 -0.9327 -0.8275 -0.7603 -0.7198 -0.6957
 -0.6821
 -2.2821 -2.1533 -2.0216 -1.8960 -1.7837 -1.6885 -1.6153 -1.5681 -1.5218 -1.4534
 -1.3683 -1.2818 -1.2011 -1.1273 -1.0605 -0.9234 -0.8271 -0.7673 -0.7321 -0.7110
 -0.6986 -0.6927
 -2.1577 -2.0519 -1.9367 -1.8192 -1.7072 -1.6066 -1.5197 -1.4468 -1.3928 -1.3476
 -1.2984 -1.2371 -1.1700 -1.1043 -1.0436 -0.9166 -0.8264 -0.7719 -0.7416 -0.7244
 -0.7141 -0.7091 -0.7084 -0.7121
 -2.0402 -1.9523 -1.8575 -1.7542 -1.6498 -1.5505 -1.4616 -1.3843 -1.3185 -1.2631
 -1.2164 -1.1729 -1.1256 -1.0746 -1.0235 -0.9090 -0.8238 -0.7726 -0.7462 -0.7341
 -0.7275 -0.7246 -0.7251 -0.7285 -0.7346 -0.7442 -0.7583 -0.7778 -0.8030 -0.8343
 -1.9319 -1.8556 -1.7771 -1.6899 -1.5975 -1.5050 -1.4175 -1.3392 -1.2722 -1.2145
 -1.1637 -1.1181 -1.0762 -1.0354 -0.9941 -0.8965 -0.8178 -0.7672 -0.7446 -0.7379
 -0.7366 -0.7376 -0.7406 -0.7455 -0.7523 -0.7593 -0.7689 -0.7839 -0.8065 -0.8372
 -0.8721
 -1.8350 -1.7654 -1.6960 -1.6220 -1.5430 -1.4609 -1.3792 -1.3021 -1.2341 -1.1762
 -1.1263 -1.0814 -1.0395 -1.0005 -0.9634 -0.8782 -0.8081 -0.7596 -0.7374 -0.7344
 -0.7392 -0.7458 -0.7530 -0.7609 -0.7697 -0.7793 -0.7886 -0.8002 -0.8170 -0.8413
 -0.8746
 -1.7516 -1.6851 -1.6192 -1.5504 -1.4829 -1.4119 -1.3392 -1.2671 -1.2000 -1.1410
 -1.0911 -1.0482 -1.0091 -0.9722 -0.9368 -0.8578 -0.7945 -0.7497 -0.7266 -0.7249
 -0.7343 -0.7472 -0.7602 -0.7729 -0.7852 -0.7974 -0.8098 -0.8229 -0.8388 -0.8579
 -0.8797
 -1.6841 -1.6179 -1.5524 -1.4874 -1.4231 -1.3594 -1.2959 -1.2315 -1.1686 -1.1100
 -1.0589 -1.0160 -0.9791 -0.9448 -0.9124 -0.8399 -0.7805 -0.7385 -0.7155 -0.7123
 -0.7231 -0.7405 -0.7596 -0.7782 -0.7957 -0.8120 -0.8277 -0.8429 -0.8583 -0.8749
 -0.8928
 -1.6305 -1.5609 -1.4938 -1.4292 -1.3668 -1.3065 -1.2481 -1.1912 -1.1346 -1.0797
 -1.0289 -0.9848 -0.9478 -0.9163 -0.8879 -0.8227 -0.7669 -0.7271 -0.7050 -0.6999
 -0.7096 -0.7284 -0.7515 -0.7759 -0.7993 -0.8211 -0.8415 -0.8604 -0.8785 -0.8964
 -0.9152
 -1.5760 -1.4904 -1.4186 -1.3569 -1.3015 -1.2496 -1.1987 -1.1472 -1.0961 -1.0464
 -0.9992 -0.9556 -0.9176 -0.8860 -0.8594 -0.8032 -0.7535 -0.7157 -0.6943
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  R   
 -2.9067 -2.8628 -2.7763 -2.5902 -2.3734 -2.1660 -1.9932 -1.8529 -1.7279 -1.6103
 -1.4984 -1.3930 -1.2949 -1.2044 -1.1219 -0.9515 -0.8261 -0.7336 -0.6824
 -2.6618 -2.5183 -2.4424 -2.4010 -2.2736 -2.0920 -1.9173 -1.7732 -1.6515 -1.5397
 -1.4344 -1.3356 -1.2441 -1.1606 -1.0850 -0.9301 -0.8172 -0.7407 -0.6936 -0.6662
 -2.5244 -2.3614 -2.2195 -2.1130 -2.0621 -1.9975 -1.8651 -1.7203 -1.5970 -1.4904
 -1.3912 -1.2985 -1.2129 -1.1347 -1.0642 -0.9205 -0.8166 -0.7472 -0.7054 -0.6812
 -0.6679
 -2.4218 -2.2676 -2.1179 -1.9788 -1.8637 -1.7855 -1.7384 -1.6663 -1.5575 -1.4532
 -1.3589 -1.2719 -1.1915 -1.1181 -1.0518 -0.9165 -0.8186 -0.7537 -0.7158 -0.6947
 -0.6830 -0.6777
 -2.3325 -2.1945 -2.0530 -1.9161 -1.7901 -1.6778 -1.5872 -1.5224 -1.4754 -1.4111
 -1.3308 -1.2491 -1.1735 -1.1045 -1.0421 -0.9140 -0.8207 -0.7588 -0.7238 -0.7059
 -0.6967 -0.6926 -0.6929 -0.6983
 -2.2529 -2.1276 -1.9997 -1.8702 -1.7454 -1.6301 -1.5262 -1.4364 -1.3651 -1.3146
 -1.2705 -1.2162 -1.1533 -1.0898 -1.0312 -0.9101 -0.8208 -0.7610 -0.7281 -0.7138
 -0.7081 -0.7065 -0.7081 -0.7127 -0.7192 -0.7290 -0.7439 -0.7652 -0.7932 -0.8259
 -2.1729 -2.0612 -1.9475 -1.8297 -1.7117 -1.5988 -1.4943 -1.4003 -1.3181 -1.2496
 -1.1951 -1.1519 -1.1098 -1.0634 -1.0144 -0.9030 -0.8178 -0.7597 -0.7280 -0.7167
 -0.7156 -0.7180 -0.7223 -0.7284 -0.7365 -0.7457 -0.7576 -0.7741 -0.7970 -0.8271
 -0.8639
 -2.0985 -1.9939 -1.8943 -1.7881 -1.6800 -1.5728 -1.4710 -1.3769 -1.2927 -1.2190
 -1.1566 -1.1045 -1.0606 -1.0217 -0.9835 -0.8897 -0.8111 -0.7548 -0.7234 -0.7139
 -0.7173 -0.7249 -0.7334 -0.7427 -0.7527 -0.7619 -0.7723 -0.7862 -0.8056 -0.8321
 -0.8665
 -2.0360 -1.9323 -1.8385 -1.7429 -1.6445 -1.5454 -1.4487 -1.3568 -1.2725 -1.1973
 -1.1324 -1.0772 -1.0296 -0.9878 -0.9507 -0.8683 -0.7986 -0.7463 -0.7152 -0.7060
 -0.7125 -0.7255 -0.7397 -0.7536 -0.7671 -0.7807 -0.7947 -0.8107 -0.8289 -0.8490
 -0.8709
 -1.9934 -1.8837 -1.7879 -1.6978 -1.6084 -1.5174 -1.4270 -1.3395 -1.2569 -1.1812
