 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -3.1117 -3.0998 -3.2838 -3.2860 -3.2020 -3.0613 -2.8876 -2.7764 -2.6758 -2.5691
 -2.4680 -2.3715 -2.2818 -2.2001 -2.1274 -1.9768 -1.8771 -1.8227 -1.7893
 -3.1152 -3.0310 -2.9614 -2.9227 -2.9162 -2.8835 -2.8006 -2.6993 -2.6007 -2.5051
 -2.4124 -2.3246 -2.2434 -2.1699 -2.1041 -1.9725 -1.8830 -1.8281 -1.7967 -1.7798
 -2.9885 -2.9091 -2.8297 -2.7586 -2.7026 -2.6754 -2.6611 -2.6174 -2.5437 -2.4577
 -2.3735 -2.2928 -2.2176 -2.1494 -2.0885 -1.9674 -1.8859 -1.8371 -1.8101 -1.7956
 -1.7892
 -2.8739 -2.8104 -2.7382 -2.6653 -2.5978 -2.5391 -2.4952 -2.4716 -2.4472 -2.4011
 -2.3364 -2.2658 -2.1974 -2.1343 -2.0776 -1.9646 -1.8889 -1.8451 -1.8221 -1.8103
 -1.8051 -1.8047
 -2.7590 -2.7152 -2.6583 -2.5937 -2.5282 -2.4665 -2.4112 -2.3636 -2.3295 -2.3018
 -2.2704 -2.2265 -2.1739 -2.1192 -2.0674 -1.9619 -1.8904 -1.8505 -1.8314 -1.8230
 -1.8200 -1.8208 -1.8246 -1.8311
 -2.6428 -2.6151 -2.5766 -2.5262 -2.4695 -2.4114 -2.3565 -2.3063 -2.2613 -2.2223
 -2.1903 -2.1613 -2.1285 -2.0909 -2.0509 -1.9570 -1.8894 -1.8521 -1.8362 -1.8324
 -1.8328 -1.8359 -1.8412 -1.8483 -1.8565 -1.8669 -1.8806 -1.8987 -1.9218 -1.9504
 -2.5277 -2.5119 -2.4883 -2.4534 -2.4097 -2.3606 -2.3101 -2.2618 -2.2176 -2.1771
 -2.1400 -2.1070 -2.0776 -2.0492 -2.0198 -1.9463 -1.8848 -1.8478 -1.8353 -1.8363
 -1.8418 -1.8486 -1.8566 -1.8656 -1.8755 -1.8851 -1.8963 -1.9113 -1.9320 -1.9592
 -1.9914
 -2.4165 -2.4088 -2.3950 -2.3728 -2.3425 -2.3055 -2.2637 -2.2204 -2.1789 -2.1406
 -2.1052 -2.0723 -2.0416 -2.0136 -1.9875 -1.9271 -1.8758 -1.8411 -1.8291 -1.8337
 -1.8446 -1.8567 -1.8688 -1.8809 -1.8932 -1.9055 -1.9170 -1.9299 -1.9468 -1.9697
 -2.0000
 -2.3116 -2.3092 -2.3012 -2.2863 -2.2673 -2.2417 -2.2109 -2.1760 -2.1398 -2.1046
 -2.0719 -2.0418 -2.0135 -1.9867 -1.9614 -1.9061 -1.8621 -1.8319 -1.8195 -1.8254
 -1.8406 -1.8585 -1.8761 -1.8929 -1.9088 -1.9240 -1.9388 -1.9537 -1.9706 -1.9898
 -2.0111
 -2.2156 -2.2162 -2.2117 -2.2024 -2.1889 -2.1716 -2.1506 -2.1254 -2.0973 -2.0674
