 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  i   
 -0.9790 -0.9152 -0.8648 -0.8366 -0.8344 -0.8354 -0.7487 -0.7075 -0.6628 -0.6088
 -0.5424 -0.4731 -0.3998 -0.3201 -0.2474 -0.1125 -0.0443 -0.0198 -0.0180
 -0.9026 -0.7868 -0.7112 -0.6717 -0.6592 -0.6460 -0.6235 -0.5957 -0.5652 -0.5315
 -0.4873 -0.4295 -0.3630 -0.2975 -0.2383 -0.1273 -0.0638 -0.0378 -0.0339 -0.0433
 -0.8399 -0.7396 -0.6567 -0.5921 -0.5481 -0.5274 -0.5250 -0.5195 -0.4997 -0.4677
 -0.4330 -0.3929 -0.3414 -0.2853 -0.2329 -0.1326 -0.0773 -0.0561 -0.0543 -0.0636
 -0.0805
 -0.7793 -0.6948 -0.6204 -0.5560 -0.5030 -0.4631 -0.4370 -0.4244 -0.4194 -0.4079
 -0.3839 -0.3557 -0.3200 -0.2753 -0.2298 -0.1390 -0.0884 -0.0711 -0.0717 -0.0815
 -0.0975 -0.1185
 -0.7009 -0.6359 -0.5765 -0.5215 -0.4711 -0.4276 -0.3927 -0.3667 -0.3482 -0.3353
 -0.3226 -0.3053 -0.2852 -0.2568 -0.2225 -0.1425 -0.0953 -0.0810 -0.0850 -0.0966
 -0.1129 -0.1332 -0.1571 -0.1838
 -0.6055 -0.5591 -0.5167 -0.4756 -0.4346 -0.3952 -0.3595 -0.3295 -0.3055 -0.2856
 -0.2684 -0.2522 -0.2380 -0.2206 -0.1989 -0.1398 -0.0967 -0.0841 -0.0922 -0.1076
 -0.1259 -0.1469 -0.1705 -0.1968 -0.2260 -0.2587 -0.2954 -0.3365 -0.3822 -0.4326
 -0.5009 -0.4676 -0.4403 -0.4137 -0.3856 -0.3555 -0.3248 -0.2959 -0.2708 -0.2497
 -0.2310 -0.2134 -0.1973 -0.1826 -0.1664 -0.1253 -0.0917 -0.0804 -0.0916 -0.1121
 -0.1347 -0.1582 -0.1831 -0.2096 -0.2377 -0.2667 -0.2984 -0.3348 -0.3776 -0.4269
 -0.4790
 -0.3892 -0.3679 -0.3515 -0.3369 -0.3215 -0.3033 -0.2816 -0.2584 -0.2360 -0.2157
 -0.1981 -0.1820 -0.1666 -0.1524 -0.1377 -0.1042 -0.0800 -0.0711 -0.0836 -0.1086
 -0.1368 -0.1649 -0.1929 -0.2212 -0.2501 -0.2798 -0.3099 -0.3423 -0.3793 -0.4224
 -0.4728
 -0.2770 -0.2652 -0.2563 -0.2500 -0.2445 -0.2369 -0.2261 -0.2116 -0.1953 -0.1787
 -0.1635 -0.1499 -0.1374 -0.1255 -0.1131 -0.0835 -0.0642 -0.0588 -0.0710 -0.0981
 -0.1314 -0.1654 -0.1983 -0.2302 -0.2615 -0.2925 -0.3239 -0.3573 -0.3929 -0.4303
 -0.4695
 -0.1643 -0.1595 -0.1590 -0.1587 -0.1596 -0.1603 -0.1589 -0.1543 -0.1465 -0.1365
 -0.1255 -0.1152 -0.1060 -0.0975 -0.0890 -0.0655 -0.0489 -0.0455 -0.0571 -0.0833
 -0.1186 -0.1574 -0.1959 -0.2330 -0.2683 -0.3022 -0.3354 -0.3683 -0.4056 -0.4401
 -0.4728
 -0.0511 -0.0508 -0.0596 -0.0670 -0.0717 -0.0776 -0.0829 -0.0866 -0.0876 -0.0859
