 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  G   
 -1.7666 -1.7313 -1.7370 -1.7107 -1.6402 -1.5736 -1.5523 -1.5547 -1.5383 -1.4888
 -1.4206 -1.3381 -1.2525 -1.1713 -1.0939 -0.9264 -0.8001 -0.7108 -0.6426
 -1.7374 -1.6494 -1.5907 -1.5421 -1.5026 -1.4734 -1.4515 -1.4313 -1.4070 -1.3750
 -1.3322 -1.2760 -1.2068 -1.1318 -1.0597 -0.9069 -0.7935 -0.7139 -0.6573 -0.6193
 -1.7164 -1.6026 -1.5085 -1.4405 -1.4028 -1.3810 -1.3584 -1.3338 -1.3099 -1.2861
 -1.2563 -1.2173 -1.1640 -1.0987 -1.0327 -0.8923 -0.7892 -0.7178 -0.6697 -0.6365
 -0.6128
 -1.7036 -1.5909 -1.4904 -1.4059 -1.3408 -1.2964 -1.2730 -1.2622 -1.2470 -1.2221
 -1.1929 -1.1620 -1.1241 -1.0720 -1.0129 -0.8826 -0.7872 -0.7225 -0.6797 -0.6501
 -0.6289 -0.6131
 -1.6761 -1.5748 -1.4805 -1.3960 -1.3241 -1.2665 -1.2238 -1.1943 -1.1760 -1.1621
 -1.1413 -1.1129 -1.0829 -1.0449 -0.9955 -0.8753 -0.7856 -0.7259 -0.6883 -0.6629
 -0.6446 -0.6309 -0.6205 -0.6127
 -1.6244 -1.5400 -1.4591 -1.3833 -1.3144 -1.2538 -1.2031 -1.1630 -1.1317 -1.1066
 -1.0851 -1.0625 -1.0368 -1.0094 -0.9728 -0.8678 -0.7829 -0.7265 -0.6935 -0.6731
 -0.6587 -0.6481 -0.6399 -0.6336 -0.6288 -0.6257 -0.6248 -0.6286 -0.6390 -0.6561
 -1.5478 -1.4818 -1.4175 -1.3556 -1.2962 -1.2403 -1.1890 -1.1439 -1.1061 -1.0743
 -1.0460 -1.0194 -0.9927 -0.9685 -0.9407 -0.8556 -0.7780 -0.7239 -0.6936 -0.6782
 -0.6691 -0.6626 -0.6579 -0.6542 -0.6513 -0.6492 -0.6486 -0.6499 -0.6564 -0.6708
 -0.6925
 -1.4526 -1.4030 -1.3549 -1.3083 -1.2620 -1.2159 -1.1701 -1.1260 -1.0856 -1.0503
 -1.0190 -0.9899 -0.9617 -0.9343 -0.9091 -0.8367 -0.7693 -0.7181 -0.6890 -0.6770
 -0.6733 -0.6724 -0.6723 -0.6725 -0.6728 -0.6730 -0.6737 -0.6756 -0.6797 -0.6886
 -0.7072
 -1.3453 -1.3100 -1.2755 -1.2423 -1.2093 -1.1750 -1.1386 -1.1008 -1.0629 -1.0271
 -0.9944 -0.9647 -0.9365 -0.9089 -0.8832 -0.8164 -0.7564 -0.7097 -0.6812 -0.6704
 -0.6707 -0.6754 -0.6811 -0.6865 -0.6912 -0.6951 -0.6987 -0.7022 -0.7066 -0.7133
 -0.7253
 -1.2344 -1.2107 -1.1870 -1.1642 -1.1422 -1.1191 -1.0936 -1.0648 -1.0335 -1.0012
 -0.9696 -0.9402 -0.9128 -0.8868 -0.8618 -0.7995 -0.7435 -0.7005 -0.6727 -0.6612
 -0.6626 -0.6712 -0.6824 -0.6938 -0.7041 -0.7130 -0.7208 -0.7277 -0.7341 -0.7413
 -0.7492
 -1.1219 -1.1082 -1.0937 -1.0789 -1.0647 -1.0506 -1.0347 -1.0156 -0.9931 -0.9676
 -0.9403 -0.9131 -0.8873 -0.8631 -0.8401 -0.7841 -0.7313 -0.6906 -0.6641 -0.6519
 -0.6524 -0.6621 -0.6768 -0.6934 -0.7097 -0.7245 -0.7377 -0.7492 -0.7595 -0.7692
 -0.7793
 -1.0077 -1.0025 -0.9989 -0.9902 -0.9822 -0.9743 -0.9655 -0.9548 -0.9409 -0.9237
 -0.9035 -0.8813 -0.8585 -0.8365 -0.8181 -0.7702 -0.7198 -0.6800 -0.6554
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  G   
 -1.9990 -1.9385 -1.8868 -1.8395 -1.7944 -1.7466 -1.6915 -1.6263 -1.5542 -1.4801
 -1.4031 -1.3219 -1.2380 -1.1567 -1.0762 -0.9168 -0.7946 -0.7064 -0.6455
 -1.8939 -1.8171 -1.7528 -1.6969 -1.6463 -1.5989 -1.5521 -1.5007 -1.4464 -1.3909
 -1.3321 -1.2672 -1.1951 -1.1208 -1.0503 -0.9013 -0.7893 -0.7092 -0.6543 -0.6167
 -1.8357 -1.7278 -1.6465 -1.5938 -1.5387 -1.4898 -1.4452 -1.4018 -1.3585 -1.3154
 -1.2708 -1.2213 -1.1628 -1.0966 -1.0309 -0.8909 -0.7868 -0.7130 -0.6631 -0.6291
 -0.6048
 -1.8143 -1.6842 -1.5834 -1.5079 -1.4509 -1.4058 -1.3670 -1.3298 -1.2908 -1.2526
 -1.2154 -1.1772 -1.1332 -1.0781 -1.0180 -0.8856 -0.7871 -0.7178 -0.6719 -0.6414
 -0.6200 -0.6044
