 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1500W
 -1.9210 -2.0174 -2.1138 -2.2094 -2.3035 -2.3955 -2.4855 -2.5735 -2.6599 -2.7446
 -2.8276 -2.9091 -2.9864 -3.0588 -3.1323 -3.3351 -3.5340 -3.7132 -3.8802 -4.0410
 -4.1964 -4.3453 -4.4869 -4.6221 -4.7512 -4.8748 -4.9936 -5.1079 -5.2186 -5.3261
 -5.4308
 -1.9508 -2.0406 -2.1303 -2.2202 -2.3099 -2.3989 -2.4866 -2.5726 -2.6573 -2.7405
 -2.8224 -2.9023 -2.9801 -3.0548 -3.1274 -3.3225 -3.5214 -3.7072 -3.8774 -4.0390
 -4.1949 -4.3444 -4.4868 -4.6227 -4.7524 -4.8765 -4.9955 -5.1099 -5.2203 -5.3272
 -5.4334
 -1.9893 -2.0736 -2.1573 -2.2406 -2.3246 -2.4087 -2.4930 -2.5765 -2.6591 -2.7404
 -2.8205 -2.8992 -2.9766 -3.0522 -3.1259 -3.3148 -3.5090 -3.6970 -3.8714 -4.0351
 -4.1919 -4.3422 -4.4855 -4.6221 -4.7525 -4.8773 -4.9970 -5.1119 -5.2224 -5.3292
 -5.4328
 -2.0323 -2.1146 -2.1943 -2.2720 -2.3495 -2.4279 -2.5071 -2.5867 -2.6664 -2.7455
 -2.8236 -2.9007 -2.9825 -3.0565 -3.1278 -3.3120 -3.4968 -3.6826 -3.8622
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F1500W
 -1.9076 -2.0104 -2.1053 -2.1919 -2.2711 -2.3479 -2.4275 -2.5124 -2.5982 -2.6798
 -2.7562 -2.8300 -2.9041 -2.9796 -3.0551 -3.2394 -3.4165 -3.5903 -3.7616
 -1.9304 -2.0441 -2.1492 -2.2464 -2.3365 -2.4204 -2.5010 -2.5836 -2.6658 -2.7440
 -2.8162 -2.8847 -2.9545 -3.0276 -3.1023 -3.2873 -3.4645 -3.6364 -3.8046 -3.9654
 -1.9147 -2.0346 -2.1515 -2.2620 -2.3645 -2.4589 -2.5456 -2.6282 -2.7093 -2.7865
 -2.8574 -2.9223 -2.9872 -3.0572 -3.1308 -3.3163 -3.4950 -3.6661 -3.8325 -3.9930
 -4.1463
 -1.9002 -2.0153 -2.1291 -2.2413 -2.3516 -2.4589 -2.5591 -2.6509 -2.7354 -2.8144
 -2.8872 -2.9518 -3.0120 -3.0774 -3.1489 -3.3343 -3.5143 -3.6856 -3.8506 -4.0106
 -4.1641 -4.3106
 -1.8930 -2.0050 -2.1148 -2.2231 -2.3298 -2.4347 -2.5377 -2.6378 -2.7336 -2.8220
 -2.9014 -2.9721 -3.0334 -3.0939 -3.1618 -3.3455 -3.5263 -3.6981 -3.8625 -4.0217
 -4.1752 -4.3221 -4.4622 -4.5965
 -1.8902 -2.0008 -2.1081 -2.2132 -2.3166 -2.4182 -2.5174 -2.6139 -2.7083 -2.8012
 -2.8905 -2.9715 -3.0426 -3.1067 -3.1726 -3.3524 -3.5337 -3.7061 -3.8704 -4.0289
 -4.1822 -4.3293 -4.4698 -4.6041 -4.7330 -4.8575 -4.9781 -5.0949 -5.2082 -5.3184
 -1.8892 -1.9993 -2.1056 -2.2088 -2.3095 -2.4080 -2.5046 -2.5987 -2.6902 -2.7789
 -2.8660 -2.9510 -3.0295 -3.1026 -3.1754 -3.3571 -3.5381 -3.7110 -3.8754 -4.0334
 -4.1866 -4.3340 -4.4748 -4.6094 -4.7382 -4.8621 -4.9818 -5.0979 -5.2106 -5.3196
 -5.4265
 -1.8897 -1.9988 -2.1046 -2.2069 -2.3061 -2.4025 -2.4968 -2.5889 -2.6787 -2.7658
 -2.8501 -2.9323 -3.0104 -3.0847 -3.1613 -3.3587 -3.5404 -3.7137 -3.8784 -4.0363
 -4.1891 -4.3368 -4.4780 -4.6130 -4.7420 -4.8658 -4.9851 -5.1004 -5.2122 -5.3207
 -5.4260
 -1.8952 -2.0017 -2.1061 -2.2076 -2.3059 -2.4011 -2.4937 -2.5841 -2.6725 -2.7587
 -2.8422 -2.9230 -3.0001 -3.0729 -3.1470 -3.3496 -3.5432 -3.7174 -3.8826 -4.0405
 -4.1932 -4.3411 -4.4829 -4.6184 -4.7479 -4.8719 -4.9911 -5.1061 -5.2173 -5.3252
 -5.4301
 -1.9047 -2.0071 -2.1086 -2.2082 -2.3052 -2.3994 -2.4908 -2.5798 -2.6668 -2.7518
 -2.8347 -2.9152 -2.9926 -3.0662 -3.1380 -3.3336 -3.5347 -3.7161 -3.8823 -4.0403
 -4.1927 -4.3406 -4.4828 -4.6189 -4.7489 -4.8733 -4.9928 -5.1076 -5.2185 -5.3260
 -5.4326
 -1.9221 -2.0191 -2.1163 -2.2125 -2.3071 -2.3998 -2.4900 -2.5778 -2.6635 -2.7473
 -2.8294 -2.9094 -2.9871 -3.0616 -3.1346 -3.3222 -3.5205 -3.7098 -3.8803 -4.0391
 -4.1914 -4.3391 -4.4817 -4.6183 -4.7490 -4.8740 -4.9940 -5.1092 -5.2202 -5.3275
 -5.4314
 -1.9485 -2.0396 -2.1311 -2.2227 -2.3137 -2.4036 -2.4920 -2.5785 -2.6631 -2.7456
 -2.8265 -2.9059 -2.9869 -3.0619 -3.1368 -3.3154 -3.5006 -3.6985 -3.8766
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =F1500W
 -1.8875 -1.9860 -2.0761 -2.1582 -2.2321 -2.3053 -2.3856 -2.4762 -2.5681 -2.6574
 -2.7424 -2.8239 -2.9027 -2.9803 -3.0565 -3.2403 -3.4159 -3.5861 -3.7541
 -1.9295 -2.0362 -2.1344 -2.2239 -2.3054 -2.3805 -2.4571 -2.5419 -2.6285 -2.7134
 -2.7947 -2.8727 -2.9495 -3.0262 -3.1027 -3.2886 -3.4656 -3.6361 -3.8014 -3.9618
