 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  J   
  1.2719  1.1736  1.0091  0.9826  0.9854  1.0158  1.0772  1.1047  1.1279  1.1484
  1.1566  1.1584  1.1551  1.1495  1.1399  1.0955  1.0360  0.9522  0.8494
  1.2145  1.1861  1.1594  1.1245  1.0796  1.0605  1.0717  1.0915  1.1100  1.1227
  1.1284  1.1284  1.1243  1.1165  1.1053  1.0618  0.9954  0.9137  0.8263  0.7373
  1.2603  1.2293  1.2044  1.1827  1.1606  1.1292  1.0988  1.0916  1.0988  1.1076
  1.1099  1.1069  1.1002  1.0906  1.0783  1.0345  0.9708  0.8914  0.8055  0.7184
  0.6313
  1.3064  1.2703  1.2415  1.2179  1.1975  1.1787  1.1576  1.1306  1.1106  1.1033
  1.1001  1.0943  1.0851  1.0733  1.0593  1.0138  0.9515  0.8740  0.7890  0.7029
  0.6173  0.5321
  1.3546  1.3126  1.2786  1.2506  1.2267  1.2055  1.1859  1.1664  1.1437  1.1214
  1.1038  1.0906  1.0779  1.0637  1.0477  0.9996  0.9375  0.8610  0.7766  0.6905
  0.6054  0.5212  0.4378  0.3543
  1.4028  1.3572  1.3175  1.2844  1.2561  1.2309  1.2077  1.1858  1.1644  1.1427
  1.1199  1.0983  1.0795  1.0616  1.0431  0.9909  0.9282  0.8526  0.7685  0.6813
  0.5955  0.5114  0.4286  0.3465  0.2645  0.1821  0.0993  0.0157 -0.0687 -0.1540
  1.4480  1.4013  1.3583  1.3202  1.2873  1.2579  1.2309  1.2054  1.1806  1.1567
  1.1332  1.1096  1.0868  1.0651  1.0440  0.9875  0.9232  0.8488  0.7645  0.6761
  0.5886  0.5033  0.4200  0.3383  0.2578  0.1785  0.0993  0.0188 -0.0639 -0.1488
 -0.2332
  1.4870  1.4416  1.3982  1.3575  1.3203  1.2868  1.2560  1.2271  1.1991  1.1720
  1.1456  1.1200  1.0951  1.0710  1.0476  0.9878  0.9215  0.8473  0.7640  0.6749
  0.5854  0.4980  0.4132  0.3308  0.2502  0.1710  0.0932  0.0155 -0.0632 -0.1441
 -0.2278
  1.5166  1.4744  1.4331  1.3935  1.3537  1.3168  1.2826  1.2504  1.2195  1.1896
  1.1605  1.1321  1.1045  1.0780  1.0524  0.9890  0.9212  0.8467  0.7646  0.6758
  0.5849  0.4951  0.4079  0.3236  0.2418  0.1621  0.0840  0.0070 -0.0702 -0.1477
 -0.2254
  1.5337  1.4965  1.4592  1.4218  1.3845  1.3473  1.3106  1.2758  1.2422  1.2098
  1.1783  1.1475  1.1174  1.0884  1.0604  0.9921  0.9228  0.8481  0.7670  0.6797
  0.5888  0.4976  0.4082  0.3213  0.2375  0.1564  0.0775  0.0005 -0.0751 -0.1502
 -0.2262
  1.5358  1.5057  1.4741  1.4414  1.4075  1.3728  1.3373  1.3013  1.2658  1.2314
  1.1978  1.1648  1.1326  1.1010  1.0702  0.9967  0.9250  0.8500  0.7695  0.6837
  0.5939  0.5027  0.4119  0.3228  0.2365  0.1531  0.0725 -0.0056 -0.0817 -0.1563
 -0.2302
  1.5227  1.5050  1.4822  1.4552  1.4252  1.3928  1.3589  1.3240  1.2885  1.2531
  1.2179  1.1833  1.1492  1.1157  1.0829  1.0036  0.9281  0.8521  0.7721
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  J   
  1.0555  0.9889  0.9568  0.9741  1.0039  1.0364  1.0657  1.0903  1.1127  1.1315
  1.1430  1.1470  1.1449  1.1384  1.1280  1.0859  1.0270  0.9499  0.8574
  1.1224  1.0964  1.0527  1.0028  1.0022  1.0249  1.0495  1.0714  1.0914  1.1076
  1.1164  1.1178  1.1137  1.1054  1.0939  1.0524  0.9938  0.9186  0.8332  0.7445
  1.1680  1.1468  1.1281  1.1039  1.0615  1.0346  1.0437  1.0612  1.0775  1.0910
  1.0980  1.0979  1.0921  1.0823  1.0695  1.0266  0.9690  0.8965  0.8134  0.7266
  0.6392
  1.2131  1.1870  1.1679  1.1539  1.1375  1.1114  1.0780  1.0647  1.0714  1.0812
  1.0867  1.0853  1.0783  1.0672  1.0531  1.0082  0.9504  0.8796  0.7980  0.7122
  0.6262  0.5404
  1.2619  1.2282  1.2038  1.1848  1.1686  1.1542  1.1375  1.1157  1.0919  1.0824
  1.0816  1.0788  1.0707  1.0584  1.0432  0.9960  0.9375  0.8672  0.7866  0.7011
  0.6153  0.5304  0.4462  0.3614
  1.3117  1.2736  1.2418  1.2175  1.1973  1.1797  1.1643  1.1500  1.1332  1.1120
  1.0934  1.0802  1.0685  1.0550  1.0386  0.9890  0.9293  0.8592  0.7791  0.6931
  0.6066  0.5216  0.4379  0.3550  0.2728  0.1905  0.1073  0.0225 -0.0639 -0.1499
  1.3666  1.3232  1.2839  1.2528  1.2276  1.2056  1.1859  1.1683  1.1519  1.1351
  1.1163  1.0953  1.0755  1.0573  1.0388  0.9862  0.9250  0.8547  0.7750  0.6886
  0.6007  0.5144  0.4303  0.3477  0.2662  0.1855  0.1048  0.0234 -0.0592 -0.1434
 -0.2291
  1.4208  1.3754  1.3301  1.2922  1.2608  1.2342  1.2101  1.1878  1.1672  1.1479
  1.1288  1.1088  1.0870  1.0648  1.0433  0.9873  0.9240  0.8533  0.7740  0.6876
  0.5982  0.5099  0.4243  0.3409  0.2594  0.1799  0.1012  0.0224 -0.0576 -0.1395
 -0.2237
  1.4709  1.4257  1.3781  1.3350  1.2976  1.2653  1.2368  1.2106  1.1856  1.1621
  1.1397  1.1177  1.0954  1.0723  1.0490  0.9900  0.9250  0.8532  0.7742  0.6882
  0.5980  0.5076  0.4196  0.3344  0.2517  0.1712  0.0920  0.0132 -0.0652 -0.1433
 -0.2210
  1.5133  1.4700  1.4228  1.3795  1.3380  1.3005  1.2669  1.2365  1.2079  1.1806
  1.1543  1.1290  1.1043  1.0796  1.0550  0.9932  0.9278  0.8556  0.7768  0.6919
  0.6020  0.5105  0.4202  0.3326  0.2480  0.1661  0.0863  0.0083 -0.0684 -0.1444
 -0.2213
  1.5454  1.5075  1.4631  1.4210  1.3781  1.3384  1.3007  1.2658  1.2333  1.2026
  1.1729  1.1441  1.1163  1.0892  1.0625  0.9971  0.9304  0.8583  0.7799  0.6960
  0.6072  0.5158  0.4243  0.3345  0.2474  0.1633  0.0818  0.0028 -0.0742 -0.1498
 -0.2245
  1.5689  1.5381  1.4989  1.4582  1.4169  1.3759  1.3362  1.2983  1.2620  1.2277
  1.1950  1.1632  1.1323  1.1022  1.0730  1.0025  0.9333  0.8609  0.7831
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  J   
  0.9305  0.9158  0.9481  0.9837  1.0231  1.0562  1.0749  1.0902  1.1063  1.1223
  1.1341  1.1396  1.1388  1.1326  1.1222  1.0819  1.0244  0.9524  0.8678
  1.0468  0.9871  0.9508  0.9749  1.0053  1.0342  1.0560  1.0712  1.0865  1.1010
  1.1109  1.1144  1.1115  1.1036  1.0918  1.0497  0.9933  0.9243  0.8434  0.7557
  1.0973  1.0835  1.0485  0.9979  1.0011  1.0239  1.0444  1.0596  1.0727  1.0855
  1.0942  1.0967  1.0928  1.0837  1.0708  1.0268  0.9704  0.9028  0.8244  0.7390
  0.6512
  1.1355  1.1237  1.1141  1.0960  1.0569  1.0303  1.0399  1.0538  1.0646  1.0748
  1.0825  1.0845  1.0802  1.0705  1.0569  1.0111  0.9539  0.8868  0.8099  0.7259
  0.6394  0.5528
  1.1782  1.1578  1.1464  1.1377  1.1259  1.1049  1.0724  1.0576  1.0622  1.0690
  1.0750  1.0766  1.0722  1.0623  1.0481  1.0008  0.9426  0.8754  0.7992  0.7160
  0.6300  0.5441  0.4588  0.3739
  1.2275  1.1970  1.1777  1.1651  1.1552  1.1446  1.1303  1.1097  1.0850  1.0729
  1.0721  1.0722  1.0677  1.0577  1.0433  0.9947  0.9355  0.8678  0.7918  0.7089
  0.6227  0.5366  0.4518  0.3678  0.2844  0.2008  0.1162  0.0299 -0.0576 -0.1432
  1.2825  1.2427  1.2140  1.1940  1.1791  1.1661  1.1539  1.1415  1.1268  1.1075
  1.0881  1.0759  1.0670  1.0563  1.0417  0.9920  0.9316  0.8634  0.7874  0.7046
  0.6180  0.5310  0.4456  0.3618  0.2790  0.1971  0.1153  0.0325 -0.0519 -0.1378
 -0.2224
  1.3409  1.2942  1.2566  1.2281  1.2066  1.1890  1.1732  1.1587  1.1447  1.1303
  1.1139  1.0956  1.0774  1.0603  1.0432  0.9920  0.9305  0.8617  0.7856  0.7031
  0.6159  0.5276  0.4409  0.3563  0.2735  0.1919  0.1115  0.0313 -0.0497 -0.1323
 -0.2170
  1.3995  1.3487  1.3045  1.2681  1.2390  1.2155  1.1951  1.1765  1.1590  1.1425
  1.1261  1.1090  1.0905  1.0700  1.0491  0.9943  0.9313  0.8615  0.7852  0.7029
  0.6156  0.5260  0.4373  0.3509  0.2670  0.1850  0.1044  0.0243 -0.0555 -0.1350
 -0.2140
  1.4548  1.4028  1.3556  1.3132  1.2772  1.2470  1.2212  1.1982  1.1766  1.1562
  1.1367  1.1175  1.0981  1.0777  1.0557  0.9979  0.9348  0.8642  0.7879  0.7060
  0.6192  0.5291  0.4387  0.3501  0.2642  0.1810  0.0997  0.0203 -0.0578 -0.1353
 -0.2129
  1.5045  1.4545  1.4062  1.3610  1.3200  1.2838  1.2520  1.2240  1.1982  1.1739
  1.1506  1.1279  1.1058  1.0838  1.0611  1.0010  0.9379  0.8682  0.7917  0.7102
  0.6242  0.5345  0.4431  0.3526  0.2644  0.1790  0.0962  0.0158 -0.0626 -0.1396
 -0.2156
  1.5495  1.5013  1.4538  1.4081  1.3649  1.3247  1.2879  1.2546  1.2241  1.1958
  1.1689  1.1427  1.1172  1.0923  1.0676  1.0047  0.9402  0.8715  0.7960
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  J   
  0.9023  0.9211  0.9601  0.9953  1.0329  1.0658  1.0839  1.0955  1.1064  1.1206
  1.1314  1.1374  1.1373  1.1317  1.1216  1.0820  1.0255  0.9555  0.8739
  0.9991  0.9353  0.9495  0.9843  1.0146  1.0441  1.0636  1.0763  1.0875  1.1006
  1.1099  1.1140  1.1122  1.1049  1.0935  1.0515  0.9954  0.9279  0.8495  0.7630
  1.0728  1.0491  0.9900  0.9803  1.0073  1.0309  1.0510  1.0641  1.0744  1.0858
  1.0941  1.0973  1.0946  1.0865  1.0741  1.0302  0.9737  0.9071  0.8309  0.7468
  0.6591
  1.1076  1.1022  1.0900  1.0522  1.0160  1.0273  1.0445  1.0575  1.0663  1.0753
  1.0827  1.0854  1.0825  1.0740  1.0611  1.0157  0.9584  0.8918  0.8167  0.7343
  0.6480  0.5608
  1.1446  1.1326  1.1276  1.1198  1.1007  1.0651  1.0478  1.0554  1.0631  1.0690
  1.0748  1.0771  1.0742  1.0658  1.0527  1.0062  0.9479  0.8810  0.8063  0.7248
  0.6392  0.5529  0.4670  0.3814
  1.1888  1.1662  1.1544  1.1477  1.1401  1.1283  1.1075  1.0800  1.0671  1.0678
  1.0703  1.0716  1.0688  1.0606  1.0476  1.0003  0.9411  0.8738  0.7990  0.7180
  0.6326  0.5463  0.4609  0.3762  0.2918  0.2071  0.1215  0.0350 -0.0522 -0.1386
  1.2402  1.2072  1.1856  1.1723  1.1627  1.1533  1.1424  1.1285  1.1088  1.0872
  1.0743  1.0699  1.0659  1.0579  1.0450  0.9974  0.9373  0.8695  0.7946  0.7137
  0.6283  0.5415  0.4556  0.3710  0.2875  0.2044  0.1214  0.0379 -0.0469 -0.1331
 -0.2170
  1.2967  1.2551  1.2239  1.2018  1.1860  1.1731  1.1611  1.1488  1.1355  1.1204
  1.1020  1.0838  1.0703  1.0584  1.0449  0.9969  0.9360  0.8677  0.7927  0.7119
  0.6265  0.5388  0.4518  0.3665  0.2828  0.2004  0.1190  0.0378 -0.0441 -0.1273
 -0.2123
  1.3552  1.3078  1.2686  1.2379  1.2145  1.1959  1.1798  1.1647  1.1500  1.1354
  1.1201  1.1031  1.0854  1.0672  1.0491  0.9984  0.9365  0.8674  0.7921  0.7114
  0.6259  0.5375  0.4489  0.3619  0.2771  0.1943  0.1127  0.0323 -0.0476 -0.1280
 -0.2091
  1.4125  1.3626  1.3180  1.2802  1.2492  1.2239  1.2024  1.1833  1.1651  1.1477
  1.1306  1.1133  1.0954  1.0766  1.0563  1.0017  0.9397  0.8700  0.7946  0.7141
  0.6291  0.5404  0.4505  0.3616  0.2751  0.1910  0.1088  0.0285 -0.0506 -0.1290
 -0.2074
  1.4663  1.4158  1.3687  1.3264  1.2894  1.2576  1.2302  1.2061  1.1839  1.1629
  1.1425  1.1225  1.1027  1.0826  1.0617  1.0046  0.9431  0.8740  0.7985  0.7183
  0.6338  0.5455  0.4549  0.3643  0.2757  0.1896  0.1060  0.0247 -0.0546 -0.1325
 -0.2093
  1.5165  1.4663  1.4184  1.3737  1.3329  1.2961  1.2633  1.2340  1.2072  1.1822
  1.1584  1.1350  1.1121  1.0896  1.0670  1.0076  0.9450  0.8778  0.8033
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  J   
  0.8991  0.9371  0.9753  1.0081  1.0396  1.0707  1.0892  1.1013  1.1093  1.1211
  1.1304  1.1360  1.1365  1.1317  1.1222  1.0835  1.0282  0.9598  0.8806
  0.9411  0.9248  0.9610  0.9962  1.0241  1.0507  1.0693  1.0813  1.0910  1.1020
  1.1102  1.1143  1.1133  1.1070  1.0962  1.0549  0.9993  0.9326  0.8562  0.7714
  1.0503  0.9955  0.9597  0.9877  1.0172  1.0393  1.0572  1.0690  1.0782  1.0879
  1.0952  1.0985  1.0968  1.0898  1.0783  1.0352  0.9789  0.9127  0.8380  0.7557
  0.6683
  1.0881  1.0840  1.0530  1.0037  1.0127  1.0351  1.0510  1.0624  1.0701  1.0775
  1.0840  1.0869  1.0850  1.0778  1.0660  1.0218  0.9646  0.8983  0.8243  0.7435
  0.6578  0.5703
  1.1185  1.1148  1.1126  1.0976  1.0596  1.0379  1.0495  1.0602  1.0664  1.0709
  1.0759  1.0783  1.0764  1.0694  1.0576  1.0128  0.9547  0.8881  0.8142  0.7343
  0.6497  0.5631  0.4766  0.3903
  1.1560  1.1424  1.1380  1.1349  1.1260  1.1056  1.0752  1.0631  1.0666  1.0689
  1.0708  1.0722  1.0702  1.0636  1.0521  1.0071  0.9483  0.8812  0.8072  0.7276
  0.6436  0.5574  0.4714  0.3861  0.3010  0.2155  0.1291  0.0412 -0.0473 -0.1331
  1.2016  1.1771  1.1635  1.1565  1.1510  1.1428  1.1298  1.1098  1.0863  1.0737
  1.0703  1.0688  1.0662  1.0598  1.0488  1.0039  0.9445  0.8770  0.8029  0.7234
  0.6396  0.5533  0.4671  0.3819  0.2975  0.2135  0.1295  0.0450 -0.0408 -0.1274
 -0.2120
  1.2540  1.2197  1.1961  1.1810  1.1708  1.1620  1.1520  1.1401  1.1253  1.1067
  1.0872  1.0733  1.0654  1.0580  1.0472  1.0028  0.9430  0.8751  0.8009  0.7215
  0.6378  0.5512  0.4642  0.3783  0.2938  0.2105  0.1277  0.0453 -0.0374 -0.1213
 -0.2065
  1.3102  1.2682  1.2359  1.2121  1.1947  1.1810  1.1687  1.1562  1.1428  1.1285
  1.1126  1.0945  1.0773  1.0627  1.0485  1.0035  0.9431  0.8747  0.8002  0.7208
  0.6370  0.5500  0.4619  0.3746  0.2891  0.2053  0.1228  0.0412 -0.0398 -0.1209
 -0.2030
  1.3672  1.3209  1.2816  1.2499  1.2250  1.2049  1.1879  1.1722  1.1567  1.1412
  1.1254  1.1089  1.0913  1.0736  1.0555  1.0062  0.9458  0.8770  0.8025  0.7232
  0.6397  0.5527  0.4637  0.3748  0.2877  0.2029  0.1198  0.0384 -0.0418 -0.1213
 -0.2007
  1.4221  1.3736  1.3302  1.2927  1.2612  1.2347  1.2120  1.1918  1.1729  1.1545
  1.1364  1.1182  1.0998  1.0811  1.0618  1.0089  0.9494  0.8808  0.8063  0.7272
  0.6440  0.5572  0.4679  0.3778  0.2888  0.2022  0.1178  0.0356 -0.0448 -0.1238
 -0.2014
  1.4746  1.4252  1.3792  1.3380  1.3015  1.2696  1.2414  1.2163  1.1932  1.1713
  1.1501  1.1292  1.1084  1.0876  1.0667  1.0112  0.9510  0.8850  0.8111
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  J   
  0.9187  0.9582  0.9933  1.0220  1.0493  1.0766  1.0938  1.1077  1.1153  1.1237
  1.1310  1.1358  1.1365  1.1323  1.1235  1.0862  1.0322  0.9649  0.8873
  0.9582  0.9372  0.9766  1.0093  1.0355  1.0590  1.0754  1.0876  1.0963  1.1053
  1.1120  1.1156  1.1150  1.1095  1.0995  1.0595  1.0047  0.9387  0.8636  0.7806
  1.0146  0.9482  0.9648  0.9997  1.0273  1.0493  1.0643  1.0755  1.0833  1.0917
  1.0976  1.1005  1.0993  1.0933  1.0828  1.0413  0.9856  0.9198  0.8459  0.7652
  0.6787
  1.0749  1.0588  0.9996  0.9944  1.0220  1.0436  1.0586  1.0684  1.0751  1.0813
  1.0867  1.0889  1.0875  1.0816  1.0710  1.0287  0.9722  0.9062  0.8329  0.7534
  0.6688  0.5812
  1.1007  1.1027  1.0956  1.0581  1.0262  1.0412  1.0567  1.0660  1.0709  1.0744
  1.0785  1.0802  1.0786  1.0728  1.0625  1.0201  0.9629  0.8966  0.8233  0.7445
  0.6611  0.5748  0.4878  0.4008
  1.1304  1.1259  1.1268  1.1229  1.1043  1.0703  1.0584  1.0664  1.0708  1.0719
  1.0729  1.0738  1.0720  1.0664  1.0565  1.0143  0.9566  0.8900  0.8166  0.7381
  0.6554  0.5698  0.4835  0.3974  0.3115  0.2251  0.1376  0.0487 -0.0404 -0.1265
  1.1694  1.1536  1.1479  1.1460  1.1418  1.1307  1.1101  1.0853  1.0747  1.0737
  1.0715  1.0697  1.0673  1.0618  1.0522  1.0108  0.9528  0.8858  0.8124  0.7339
  0.6516  0.5664  0.4801  0.3943  0.3091  0.2242  0.1392  0.0535 -0.0334 -0.1205
 -0.2052
  1.2152  1.1893  1.1742  1.1659  1.1603  1.1539  1.1440  1.1298  1.1107  1.0905
  1.0771  1.0697  1.0647  1.0587  1.0495  1.0092  0.9511  0.8838  0.8103  0.7320
  0.6497  0.5645  0.4779  0.3916  0.3065  0.2223  0.1384  0.0547 -0.0292 -0.1139
 -0.1996
  1.2668  1.2324  1.2079  1.1915  1.1801  1.1707  1.1610  1.1496  1.1361  1.1205
  1.1026  1.0843  1.0695  1.0590  1.0486  1.0089  0.9509  0.8832  0.8094  0.7310
  0.6486  0.5632  0.4760  0.3887  0.3027  0.2181  0.1346  0.0521 -0.0300 -0.1125
 -0.1957
  1.3212  1.2805  1.2483  1.2239  1.2054  1.1905  1.1773  1.1643  1.1505  1.1358
  1.1202  1.1033  1.0854  1.0684  1.0531  1.0105  0.9529  0.8852  0.8115  0.7332
  0.6510  0.5655  0.4778  0.3894  0.3021  0.2166  0.1327  0.0502 -0.0311 -0.1127
 -0.1926
  1.3755  1.3309  1.2929  1.2619  1.2367  1.2159  1.1978  1.1811  1.1648  1.1483
  1.1315  1.1143  1.0966  1.0783  1.0604  1.0130  0.9562  0.8886  0.8150  0.7369
  0.6549  0.5695  0.4816  0.3925  0.3037  0.2166  0.1315  0.0484 -0.0331 -0.1133
 -0.1920
  1.4284  1.3813  1.3395  1.3034  1.2727  1.2464  1.2233  1.2024  1.1824  1.1631
  1.1439  1.1246  1.1052  1.0856  1.0660  1.0149  0.9581  0.8929  0.8197
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  J   
  0.9445  0.9798  1.0100  1.0341  1.0612  1.0867  1.1013  1.1129  1.1218  1.1288
  1.1340  1.1374  1.1376  1.1338  1.1255  1.0895  1.0371  0.9715  0.8949
  0.9303  0.9564  0.9928  1.0219  1.0455  1.0686  1.0823  1.0942  1.1032  1.1107
  1.1156  1.1182  1.1174  1.1125  1.1033  1.0647  1.0110  0.9461  0.8719  0.7904
  0.9615  0.9427  0.9787  1.0122  1.0372  1.0577  1.0724  1.0824  1.0896  1.0973
  1.1016  1.1036  1.1023  1.0970  1.0874  1.0478  0.9932  0.9282  0.8550  0.7753
  0.6901
  1.0294  1.0116  0.9755  1.0040  1.0320  1.0517  1.0660  1.0751  1.0811  1.0867
  1.0907  1.0921  1.0905  1.0853  1.0759  1.0360  0.9807  0.9154  0.8426  0.7640
  0.6806  0.5934
  1.0900  1.0919  1.0640  1.0155  1.0281  1.0497  1.0636  1.0720  1.0764  1.0790
  1.0823  1.0831  1.0813  1.0762  1.0670  1.0275  0.9719  0.9064  0.8336  0.7556
  0.6734  0.5876  0.5002  0.4127
  1.1129  1.1158  1.1179  1.1047  1.0667  1.0507  1.0637  1.0724  1.0756  1.0761
  1.0762  1.0764  1.0742  1.0691  1.0603  1.0215  0.9657  0.9000  0.8273  0.7495
