 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -5.5266 -5.4537 -5.6702 -5.5929 -5.3756 -5.0932 -4.7901 -4.5790 -4.3903 -4.2004
 -4.0258 -3.8652 -3.7158 -3.5764 -3.4440 -3.1668 -2.8998 -2.6709 -2.5362
 -5.5210 -5.2685 -5.0685 -4.9334 -4.8543 -4.7405 -4.5579 -4.3570 -4.1703 -3.9954
 -3.8317 -3.6802 -3.5407 -3.4124 -3.2936 -3.0322 -2.8175 -2.6521 -2.5322 -2.4439
 -5.2877 -5.0373 -4.8189 -4.6355 -4.4869 -4.3850 -4.3019 -4.1754 -4.0155 -3.8499
 -3.6974 -3.5565 -3.4267 -3.3078 -3.1990 -2.9657 -2.7800 -2.6371 -2.5318 -2.4527
 -2.3906
 -5.1065 -4.8734 -4.6596 -4.4707 -4.3057 -4.1621 -4.0429 -3.9531 -3.8604 -3.7389
 -3.6021 -3.4700 -3.3487 -3.2373 -3.1354 -2.9200 -2.7536 -2.6285 -2.5349 -2.4636
 -2.4064 -2.3590
 -4.9567 -4.7443 -4.5430 -4.3587 -4.1941 -4.0469 -3.9149 -3.7977 -3.7018 -3.6137
 -3.5177 -3.4075 -3.2952 -3.1898 -3.0934 -2.8897 -2.7352 -2.6220 -2.5386 -2.4749
 -2.4228 -2.3788 -2.3408 -2.3081
 -4.8329 -4.6356 -4.4502 -4.2742 -4.1137 -3.9688 -3.8379 -3.7192 -3.6122 -3.5161
 -3.4291 -3.3436 -3.2520 -3.1571 -3.0654 -2.8701 -2.7221 -2.6158 -2.5400 -2.4839
 -2.4378 -2.3981 -2.3633 -2.3323 -2.3036 -2.2786 -2.2594 -2.2475 -2.2440 -2.2495
 -4.7352 -4.5462 -4.3716 -4.2066 -4.0511 -3.9094 -3.7810 -3.6644 -3.5590 -3.4624
 -3.3727 -3.2885 -3.2075 -3.1266 -3.0448 -2.8574 -2.7127 -2.6085 -2.5376 -2.4881
 -2.4488 -2.4148 -2.3844 -2.3568 -2.3315 -2.3064 -2.2843 -2.2683 -2.2613 -2.2644
 -2.2758
 -4.6635 -4.4773 -4.3068 -4.1488 -4.0007 -3.8622 -3.7357 -3.6210 -3.5174 -3.4229
 -3.3356 -3.2533 -3.1742 -3.0981 -3.0237 -2.8496 -2.7069 -2.6026 -2.5322 -2.4864
 -2.4535 -2.4262 -2.4016 -2.3787 -2.3574 -2.3369 -2.3159 -2.2976 -2.2855 -2.2825
 -2.2905
 -4.6176 -4.4297 -4.2582 -4.0979 -3.9557 -3.8220 -3.6975 -3.5835 -3.4809 -3.3877
 -3.3023 -3.2231 -3.1477 -3.0747 -3.0037 -2.8396 -2.7020 -2.5977 -2.5252 -2.4798
 -2.4509 -2.4301 -2.4123 -2.3958 -2.3797 -2.3636 -2.3480 -2.3331 -2.3215 -2.3135
 -2.3088
 -4.5976 -4.4044 -4.2284 -4.0681 -3.9221 -3.7891 -3.6675 -3.5545 -3.4513 -3.3584
 -3.2739 -3.1964 -3.1239 -3.0541 -2.9867 -2.8311 -2.6980 -2.5945 -2.5203 -2.4725
 -2.4440 -2.4269 -2.4153 -2.4057 -2.3962 -2.3861 -2.3755 -2.3645 -2.3538 -2.3445
 -2.3361
 -4.5992 -4.3982 -4.2159 -4.0504 -3.9005 -3.7646 -3.6416 -3.5299 -3.4267 -3.3326
 -3.2479 -3.1709 -3.1001 -3.0338 -2.9706 -2.8224 -2.6933 -2.5908 -2.5161 -2.4658
 -2.4356 -2.4191 -2.4111 -2.4073 -2.4047 -2.4015 -2.3972 -2.3917 -2.3854 -2.3790
 -2.3736
 -4.6058 -4.3955 -4.2070 -4.0375 -3.8848 -3.7467 -3.6215 -3.5076 -3.4040 -3.3099
 -3.2244 -3.1469 -3.0766 -3.0118 -2.9511 -2.8117 -2.6876 -2.5866 -2.5114
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  V   
 -5.9102 -5.8000 -5.6464 -5.3780 -5.0802 -4.7996 -4.5601 -4.3559 -4.1692 -3.9945
 -3.8323 -3.6841 -3.5493 -3.4260 -3.3123 -3.0687 -2.8513 -2.6644 -2.5307
 -5.5454 -5.3098 -5.1754 -5.0893 -4.8999 -4.6485 -4.4079 -4.2019 -4.0202 -3.8519
 -3.6964 -3.5550 -3.4271 -3.3116 -3.2064 -2.9800 -2.7925 -2.6399 -2.5226 -2.4346
 -5.3475 -5.0832 -4.8677 -4.7062 -4.6138 -4.5025 -4.3074 -4.1000 -3.9186 -3.7570
 -3.6079 -3.4721 -3.3493 -3.2386 -3.1386 -2.9271 -2.7579 -2.6234 -2.5202 -2.4415
 -2.3796
 -5.2164 -4.9542 -4.7245 -4.5229 -4.3571 -4.2358 -4.1472 -4.0225 -3.8540 -3.6949
 -3.5506 -3.4199 -3.3014 -3.1943 -3.0975 -2.8946 -2.7362 -2.6137 -2.5211 -2.4503
 -2.3936 -2.3464
 -5.1237 -4.8695 -4.6393 -4.4366 -4.2589 -4.1003 -3.9652 -3.8570 -3.7656 -3.6490
 -3.5157 -3.3875 -3.2721 -3.1681 -3.0736 -2.8756 -2.7231 -2.6079 -2.5229 -2.4591
 -2.4077 -2.3644 -2.3270 -2.2957
 -5.0678 -4.8122 -4.5847 -4.3797 -4.1989 -4.0381 -3.8919 -3.7596 -3.6461 -3.5546
 -3.4661 -3.3636 -3.2552 -3.1524 -3.0597 -2.8647 -2.7149 -2.6036 -2.5237 -2.4660
 -2.4205 -2.3817 -2.3478 -2.3177 -2.2897 -2.2654 -2.2471 -2.2365 -2.2345 -2.2409
 -5.0291 -4.7758 -4.5510 -4.3450 -4.1607 -3.9980 -3.8526 -3.7199 -3.5983 -3.4904
 -3.3967 -3.3141 -3.2304 -3.1413 -3.0520 -2.8586 -2.7096 -2.5995 -2.5220 -2.4689
 -2.4296 -2.3965 -2.3672 -2.3406 -2.3164 -2.2929 -2.2725 -2.2580 -2.2517 -2.2549
 -2.2672
 -5.0126 -4.7576 -4.5345 -4.3278 -4.1401 -3.9727 -3.8255 -3.6938 -3.5738 -3.4638
 -3.3643 -3.2749 -3.1942 -3.1180 -3.0410 -2.8553 -2.7060 -2.5954 -2.5182 -2.4673
 -2.4332 -2.4065 -2.3829 -2.3613 -2.3409 -2.3194 -2.2991 -2.2831 -2.2737 -2.2729
 -2.2818
 -5.0226 -4.7593 -4.5313 -4.3237 -4.1331 -3.9606 -3.8080 -3.6734 -3.5537 -3.4450
 -3.3457 -3.2549 -3.1716 -3.0945 -3.0221 -2.8509 -2.7027 -2.5907 -2.5122 -2.4615
 -2.4304 -2.4095 -2.3926 -2.3771 -2.3620 -2.3472 -2.3329 -2.3209 -2.3115 -2.3045
 -2.2995
 -5.0618 -4.7833 -4.5469 -4.3375 -4.1438 -3.9667 -3.8069 -3.6658 -3.5421 -3.4322
 -3.3333 -3.2430 -3.1599 -3.0827 -3.0101 -2.8457 -2.7025 -2.5888 -2.5078 -2.4548
 -2.4236 -2.4061 -2.3950 -2.3862 -2.3777 -2.3686 -2.3593 -2.3497 -2.3405 -2.3327
 -2.3258
 -5.1236 -4.8302 -4.5831 -4.3670 -4.1689 -3.9871 -3.8215 -3.6720 -3.5404 -3.4253
