 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  Hp  
 -3.1265 -2.9333 -2.7677 -2.6243 -2.4971 -2.3808 -2.2724 -2.1708 -2.0764 -1.9895
 -1.9102 -1.8368 -1.7675 -1.7014 -1.6372 -1.4838 -1.3491 -1.2429 -1.1660 -1.1133
 -1.0777 -1.0515 -1.0299 -1.0101 -0.9910 -0.9722 -0.9539 -0.9363 -0.9205 -0.9077
 -0.9013
 -3.0297 -2.8546 -2.7026 -2.5707 -2.4538 -2.3466 -2.2457 -2.1494 -2.0578 -1.9715
 -1.8912 -1.8172 -1.7483 -1.6831 -1.6203 -1.4726 -1.3437 -1.2396 -1.1620 -1.1082
 -1.0731 -1.0503 -1.0343 -1.0212 -1.0088 -0.9962 -0.9833 -0.9703 -0.9575 -0.9461
 -0.9357
 -2.9426 -2.7814 -2.6390 -2.5153 -2.4056 -2.3058 -2.2118 -2.1216 -2.0347 -1.9513
 -1.8721 -1.7980 -1.7293 -1.6654 -1.6046 -1.4625 -1.3377 -1.2360 -1.1583 -1.1032
 -1.0670 -1.0448 -1.0320 -1.0243 -1.0186 -1.0128 -1.0066 -0.9994 -0.9916 -0.9837
 -0.9768
 -2.8657 -2.7159 -2.5820 -2.4627 -2.3571 -2.2617 -2.1728 -2.0880 -2.0061 -1.9268
 -1.8505 -1.7779 -1.7093 -1.6455 -1.5901 -1.4535 -1.3311 -1.2321 -1.1549
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  Hp  
 -4.6776 -4.4211 -4.1696 -3.9275 -3.6975 -3.4744 -3.2523 -3.0310 -2.8260 -2.6429
 -2.4768 -2.3233 -2.1804 -2.0513 -1.9347 -1.6868 -1.4844 -1.3179 -1.1823
 -4.4525 -4.1694 -3.8947 -3.6375 -3.4033 -3.1924 -2.9984 -2.8147 -2.6463 -2.4940
 -2.3527 -2.2169 -2.0856 -1.9635 -1.8526 -1.6206 -1.4380 -1.2898 -1.1706 -1.0763
 -4.1715 -3.8739 -3.6290 -3.4047 -3.1910 -2.9958 -2.8199 -2.6594 -2.5139 -2.3822
 -2.2602 -2.1413 -2.0218 -1.9059 -1.7990 -1.5768 -1.4067 -1.2723 -1.1650 -1.0795
 -1.0104
 -4.0122 -3.6577 -3.3627 -3.1256 -2.9455 -2.8113 -2.6827 -2.5491 -2.4186 -2.2981
