 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.8857 -3.9186 -3.9523 -3.9790 -4.0140 -4.1388 -4.2851 -4.4389 -4.5970 -4.7538
 -4.9044 -5.0474 -5.1837 -5.3143 -5.4399 -5.5612 -5.6788 -5.7930 -5.9043 -6.0129
 -6.1189
 -3.6927 -3.7296 -3.7493 -3.7535 -3.7606 -3.7738 -3.7936 -3.8195 -3.8498 -3.8825
 -3.9159 -3.9496 -3.9839 -4.0169 -4.0484 -4.1631 -4.3011 -4.4482 -4.5991 -4.7540
 -4.9041 -5.0493 -5.1864 -5.3172 -5.4425 -5.5631 -5.6797 -5.7929 -5.9028 -6.0098
 -6.1140
 -3.8460 -3.8398 -3.8425 -3.8531 -3.8513 -3.8524 -3.8603 -3.8753 -3.8970 -3.9239
 -3.9539 -3.9860 -4.0192 -4.0530 -4.0847 -4.1898 -4.3186 -4.4602 -4.6067 -4.7561
 -4.9056 -5.0511 -5.1898 -5.3216 -5.4474 -5.5680 -5.6841 -5.7964 -5.9051 -6.0107
 -6.1138
 -3.9449 -3.9493 -3.9558 -3.9641 -3.9574 -3.9519 -3.9485 -3.9515 -3.9618 -3.9792
 -4.0022 -4.0293 -4.0592 -4.0909 -4.1227 -4.2179 -4.3361 -4.4702 -4.6120 -4.7567
 -4.9025 -5.0471 -5.1871 -5.3206 -5.4475 -5.5686 -5.6849 -5.7967 -5.9048 -6.0095
 -6.1132
 -4.0437 -4.0581 -4.0661 -4.0685 -4.0622 -4.0502 -4.0390 -4.0495 -4.0478 -4.0533
 -4.0659 -4.0847 -4.1081 -4.1350 -4.1643 -4.2495 -4.3570 -4.4820 -4.6181 -4.7587
 -4.9007 -5.0424 -5.1819 -5.3167 -5.4453 -5.5678 -5.6849 -5.7971 -5.9052 -6.0095
 -6.1106
 -4.1427 -4.1661 -4.1735 -4.1663 -4.1655 -4.1472 -4.1597 -4.1459 -4.1363 -4.1478
 -4.1485 -4.1559 -4.1698 -4.1890 -4.2095 -4.2846 -4.3813 -4.4956 -4.6250
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
