 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -4.6502 -3.9302 -3.5619 -3.5353 -3.8769 -4.3583 -4.8783 -4.7412 -4.6092 -4.4704
 -4.3246 -4.2201 -4.0579 -3.8974 -3.7469 -3.4285 -3.1625 -2.9652 -2.8100
 -5.5564 -5.2218 -4.9799 -4.8214 -4.7189 -4.6255 -4.5262 -4.4253 -4.3254 -4.2246
 -4.1127 -3.9849 -3.8475 -3.7127 -3.5868 -3.3120 -3.0926 -2.9259 -2.8039 -2.7123
 -5.3518 -5.0388 -4.7935 -4.6043 -4.4641 -4.3680 -4.3028 -4.2339 -4.1463 -4.0459
 -3.9454 -3.8407 -3.7237 -3.6037 -3.4909 -3.2492 -3.0575 -2.9107 -2.8015 -2.7185
 -2.6529
 -5.1942 -4.9138 -4.6846 -4.4967 -4.3438 -4.2218 -4.1261 -4.0520 -3.9882 -3.9128
 -3.8204 -3.7260 -3.6270 -3.5221 -3.4201 -3.2014 -3.0311 -2.9011 -2.8033 -2.7278
 -2.6672 -2.6167
 -5.0434 -4.8001 -4.5950 -4.4194 -4.2684 -4.1399 -4.0319 -3.9407 -3.8617 -3.7904
 -3.7173 -3.6358 -3.5506 -3.4590 -3.3676 -3.1668 -3.0112 -2.8941 -2.8065 -2.7383
 -2.6828 -2.6360 -2.5954 -2.5585
 -4.8916 -4.6831 -4.5046 -4.3471 -4.2061 -4.0803 -3.9692 -3.8722 -3.7866 -3.7083
 -3.6339 -3.5601 -3.4867 -3.4085 -3.3275 -3.1419 -2.9960 -2.8875 -2.8083 -2.7474
 -2.6976 -2.6552 -2.6180 -2.5848 -2.5532 -2.5247 -2.5014 -2.4850 -2.4768 -2.4774
 -4.7461 -4.5634 -4.4088 -4.2706 -4.1436 -4.0261 -3.9181 -3.8204 -3.7329 -3.6533
 -3.5785 -3.5059 -3.4353 -3.3654 -3.2940 -3.1241 -2.9848 -2.8808 -2.8067 -2.7523
 -2.7089 -2.6719 -2.6393 -2.6097 -2.5823 -2.5557 -2.5317 -2.5129 -2.5011 -2.4979
 -2.5046
 -4.6095 -4.4475 -4.3103 -4.1883 -4.0759 -3.9696 -3.8686 -3.7743 -3.6879 -3.6086
 -3.5353 -3.4655 -3.3976 -3.3314 -3.2655 -3.1096 -2.9772 -2.8749 -2.8024 -2.7519
 -2.7143 -2.6835 -2.6566 -2.6319 -2.6088 -2.5867 -2.5643 -2.5442 -2.5296 -2.5228
 -2.5254
 -4.4855 -4.3405 -4.2134 -4.1025 -4.0017 -3.9062 -3.8143 -3.7262 -3.6432 -3.5661
