 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u   
 -8.1018 -8.0771 -8.2491 -8.2315 -8.1360 -7.9647 -7.7652 -7.6060 -7.4712 -7.3209
 -7.1677 -7.0096 -6.8499 -6.6912 -6.5370 -6.1354 -5.5769 -4.9147 -4.4620
 -8.0486 -7.9454 -7.8579 -7.8039 -7.7846 -7.7364 -7.6312 -7.4970 -7.3533 -7.2037
 -7.0449 -6.8795 -6.7110 -6.5407 -6.3645 -5.8595 -5.2484 -4.6840 -4.2709 -3.9887
 -7.8712 -7.7744 -7.6753 -7.5844 -7.5091 -7.4635 -7.4306 -7.3625 -7.2521 -7.1122
 -6.9529 -6.7741 -6.5843 -6.3878 -6.1847 -5.6325 -5.0234 -4.4764 -4.0851 -3.8268
 -3.6595
 -7.7083 -7.6304 -7.5378 -7.4421 -7.3506 -7.2646 -7.1892 -7.1334 -7.0743 -6.9827
 -6.8497 -6.6751 -6.4661 -6.2410 -6.0108 -5.4252 -4.8345 -4.3191 -3.9333 -3.6911
 -3.5384 -3.4448
 -7.5441 -7.4915 -7.4150 -7.3248 -7.2313 -7.1378 -7.0418 -6.9426 -6.8509 -6.7621
 -6.6637 -6.5302 -6.3475 -6.1191 -5.8701 -5.2644 -4.6963 -4.1977 -3.8190 -3.5815
 -3.4355 -3.3474 -3.2980 -3.2733
 -7.3794 -7.3465 -7.2930 -7.2157 -7.1266 -7.0327 -6.9345 -6.8263 -6.7056 -6.5764
 -6.4491 -6.3207 -6.1719 -5.9866 -5.7648 -5.1618 -4.6125 -4.1276 -3.7471 -3.4989
 -3.3498 -3.2615 -3.2120 -3.1889 -3.1844 -3.1913 -3.2032 -3.2152 -3.2233 -3.2247
 -7.2203 -7.2007 -7.1679 -7.1072 -7.0275 -6.9377 -6.8405 -6.7351 -6.6143 -6.4734
 -6.3182 -6.1597 -6.0017 -5.8360 -5.6495 -5.1066 -4.5752 -4.1051 -3.7182 -3.4480
 -3.2826 -3.1868 -3.1332 -3.1069 -3.1000 -3.1059 -3.1193 -3.1357 -3.1515 -3.1636
 -3.1689
 -7.0727 -7.0625 -7.0411 -6.9976 -6.9317 -6.8481 -6.7540 -6.6523 -6.5389 -6.4059
 -6.2501 -6.0793 -5.9029 -5.7280 -5.5514 -5.0684 -4.5655 -4.1132 -3.7239 -3.4307
 -3.2393 -3.1258 -3.0623 -3.0299 -3.0187 -3.0218 -3.0343 -3.0519 -3.0711 -3.0892
 -3.1041
 -6.9427 -6.9405 -6.9239 -6.8859 -6.8372 -6.7656 -6.6764 -6.5761 -6.4675 -6.3454
