 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F300M
 -2.7750 -2.8429 -2.8445 -2.8439 -2.8846 -2.9368 -2.9903 -3.0491 -3.1270 -3.2067
 -3.2890 -3.3697 -3.4495 -3.5289 -3.6066 -3.7987 -3.9834 -4.1519 -4.3149
 -2.8589 -2.8794 -2.9060 -2.9385 -2.9684 -2.9928 -3.0343 -3.0927 -3.1621 -3.2381
 -3.3167 -3.3959 -3.4746 -3.5525 -3.6293 -3.8167 -3.9972 -4.1696 -4.3341 -4.4915
 -2.9076 -2.9289 -2.9584 -2.9938 -3.0330 -3.0734 -3.1060 -3.1426 -3.1974 -3.2657
 -3.3400 -3.4170 -3.4944 -3.5714 -3.6474 -3.8326 -4.0113 -4.1831 -4.3472 -4.5038
 -4.6537
 -2.9633 -2.9823 -3.0104 -3.0462 -3.0875 -3.1322 -3.1781 -3.2206 -3.2595 -3.3074
 -3.3684 -3.4383 -3.5123 -3.5874 -3.6622 -3.8452 -4.0220 -4.1930 -4.3571 -4.5134
 -4.6626 -4.8056
 -3.0312 -3.0422 -3.0659 -3.0982 -3.1375 -3.1819 -3.2296 -3.2785 -3.3271 -3.3740
 -3.4203 -3.4736 -3.5357 -3.6044 -3.6762 -3.8558 -4.0303 -4.2001 -4.3640 -4.5207
 -4.6696 -4.8120 -4.9486 -5.0804
 -3.1108 -3.1138 -3.1284 -3.1549 -3.1893 -3.2301 -3.2755 -3.3239 -3.3747 -3.4268
 -3.4775 -3.5266 -3.5780 -3.6345 -3.6964 -3.8663 -4.0375 -4.2050 -4.3680 -4.5254
 -4.6750 -4.8173 -4.9534 -5.0843 -5.2109 -5.3335 -5.4525 -5.5681 -5.6805 -5.7900
 -3.1997 -3.1964 -3.2002 -3.2195 -3.2473 -3.2823 -3.3229 -3.3677 -3.4161 -3.4670
 -3.5193 -3.5714 -3.6228 -3.6749 -3.7296 -3.8811 -4.0452 -4.2087 -4.3697 -4.5272
 -4.6780 -4.8212 -4.9574 -5.0879 -5.2134 -5.3346 -5.4520 -5.5661 -5.6773 -5.7858
 -5.8917
 -3.2958 -3.2873 -3.2845 -3.2947 -3.3145 -3.3422 -3.3765 -3.4159 -3.4596 -3.5068
 -3.5566 -3.6077 -3.6592 -3.7111 -3.7637 -3.9035 -4.0562 -4.2139 -4.3710 -4.5266
 -4.6781 -4.8228 -4.9601 -5.0909 -5.2163 -5.3369 -5.4533 -5.5660 -5.6756 -5.7826
 -5.8873
 -3.3966 -3.3840 -3.3781 -3.3822 -3.3933 -3.4130 -3.4399 -3.4726 -3.5103 -3.5521
 -3.5973 -3.6451 -3.6944 -3.7445 -3.7956 -3.9288 -4.0725 -4.2229 -4.3756 -4.5277
 -4.6782 -4.8241 -4.9631 -5.0953 -5.2214 -5.3422 -5.4585 -5.5707 -5.6795 -5.7851
 -5.8878
