 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -2.2983 -2.2759 -2.4603 -2.4557 -2.3633 -2.2151 -2.0397 -1.9213 -1.8188 -1.7100
 -1.6060 -1.5061 -1.4127 -1.3279 -1.2555 -1.1050 -1.0431 -1.0427 -1.0246
 -2.2876 -2.1957 -2.1213 -2.0794 -2.0707 -2.0361 -1.9516 -1.8495 -1.7502 -1.6538
 -1.5600 -1.4712 -1.3896 -1.3169 -1.2538 -1.1361 -1.0688 -1.0409 -1.0367 -1.0460
 -2.1481 -2.0637 -1.9821 -1.9097 -1.8530 -1.8255 -1.8118 -1.7699 -1.6981 -1.6135
 -1.5301 -1.4497 -1.3754 -1.3090 -1.2515 -1.1443 -1.0829 -1.0584 -1.0561 -1.0655
 -1.0825
 -2.0232 -1.9563 -1.8840 -1.8120 -1.7455 -1.6880 -1.6455 -1.6239 -1.6024 -1.5601
 -1.4988 -1.4307 -1.3643 -1.3038 -1.2511 -1.1522 -1.0947 -1.0726 -1.0722 -1.0823
 -1.0986 -1.1200
 -1.8989 -1.8526 -1.7967 -1.7349 -1.6722 -1.6132 -1.5603 -1.5151 -1.4832 -1.4585
 -1.4315 -1.3930 -1.3455 -1.2951 -1.2479 -1.1568 -1.1026 -1.0826 -1.0842 -1.0961
 -1.1130 -1.1338 -1.1583 -1.1869
 -1.7745 -1.7439 -1.7066 -1.6600 -1.6079 -1.5542 -1.5030 -1.4560 -1.4136 -1.3770
 -1.3481 -1.3237 -1.2971 -1.2666 -1.2337 -1.1563 -1.1055 -1.0868 -1.0904 -1.1059
 -1.1250 -1.1466 -1.1709 -1.1980 -1.2282 -1.2620 -1.2997 -1.3416 -1.3880 -1.4388
 -1.6539 -1.6331 -1.6103 -1.5783 -1.5401 -1.4969 -1.4519 -1.4082 -1.3676 -1.3300
 -1.2958 -1.2666 -1.2424 -1.2207 -1.1991 -1.1460 -1.1024 -1.0833 -1.0897 -1.1095
 -1.1329 -1.1572 -1.1828 -1.2100 -1.2391 -1.2691 -1.3018 -1.3392 -1.3829 -1.4329
 -1.4854
 -1.5406 -1.5250 -1.5097 -1.4891 -1.4632 -1.4330 -1.3984 -1.3614 -1.3252 -1.2910
 -1.2592 -1.2301 -1.2041 -1.1821 -1.1630 -1.1233 -1.0921 -1.0758 -1.0825 -1.1057
 -1.1344 -1.1634 -1.1920 -1.2210 -1.2508 -1.2814 -1.3125 -1.3459 -1.3838 -1.4279
 -1.4791
 -1.4383 -1.4246 -1.4114 -1.3961 -1.3791 -1.3590 -1.3358 -1.3091 -1.2800 -1.2508
 -1.2232 -1.1977 -1.1743 -1.1533 -1.1346 -1.0986 -1.0753 -1.0645 -1.0709 -1.0956
 -1.1289 -1.1636 -1.1971 -1.2297 -1.2617 -1.2935 -1.3258 -1.3590 -1.3949 -1.4338
 -1.4753
 -1.3507 -1.3368 -1.3228 -1.3086 -1.2944 -1.2802 -1.2654 -1.2483 -1.2290 -1.2071
 -1.1849 -1.1639 -1.1446 -1.1268 -1.1105 -1.0778 -1.0575 -1.0502 -1.0574 -1.0812
 -1.1163 -1.1555 -1.1946 -1.2322 -1.2682 -1.3028 -1.3369 -1.3707 -1.4049 -1.4404
 -1.4780
 -1.2797 -1.2607 -1.2437 -1.2283 -1.2145 -1.2021 -1.1910 -1.1807 -1.1695 -1.1565
 -1.1415 -1.1260 -1.1113 -1.0979 -1.0857 -1.0593 -1.0411 -1.0359 -1.0444 -1.0665
 -1.1008 -1.1417 -1.1849 -1.2278 -1.2688 -1.3078 -1.3452 -1.3812 -1.4166 -1.4520
 -1.4883
 -1.2211 -1.1779 -1.1503 -1.1341 -1.1251 -1.1201 -1.1162 -1.1115 -1.1058 -1.0990
 -1.0914 -1.0829 -1.0736 -1.0647 -1.0567 -1.0397 -1.0262 -1.0222 -1.0314
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  i   
 -2.5956 -2.5883 -2.5440 -2.4156 -2.2595 -2.1069 -1.9766 -1.8682 -1.7696 -1.6755
 -1.5858 -1.5003 -1.4194 -1.3438 -1.2749 -1.1320 -1.0489 -1.0178 -1.0072
 -2.3932 -2.3062 -2.2722 -2.2654 -2.1872 -2.0605 -1.9330 -1.8245 -1.7299 -1.6415
 -1.5576 -1.4776 -1.4022 -1.3323 -1.2689 -1.1449 -1.0684 -1.0328 -1.0258 -1.0346
 -2.2705 -2.1704 -2.0838 -2.0237 -2.0080 -1.9811 -1.8956 -1.7925 -1.7002 -1.6170
 -1.5386 -1.4639 -1.3934 -1.3281 -1.2691 -1.1545 -1.0837 -1.0499 -1.0438 -1.0527
 -1.0698
 -2.1684 -2.0784 -1.9883 -1.9028 -1.8341 -1.7939 -1.7788 -1.7429 -1.6715 -1.5948
 -1.5220 -1.4525 -1.3866 -1.3255 -1.2703 -1.1631 -1.0966 -1.0640 -1.0583 -1.0677
 -1.0845 -1.1065
 -2.0703 -1.9959 -1.9160 -1.8354 -1.7597 -1.6918 -1.6386 -1.6055 -1.5875 -1.5531
 -1.4993 -1.4384 -1.3780 -1.3210 -1.2693 -1.1687 -1.1057 -1.0743 -1.0690 -1.0796
 -1.0973 -1.1190 -1.1444 -1.1747
 -1.9737 -1.9118 -1.8461 -1.7757 -1.7045 -1.6367 -1.5742 -1.5193 -1.4773 -1.4514
 -1.4303 -1.4001 -1.3586 -1.3110 -1.2640 -1.1699 -1.1103 -1.0799 -1.0752 -1.0878
 -1.1075 -1.1304 -1.1558 -1.1840 -1.2146 -1.2486 -1.2870 -1.3308 -1.3799 -1.4317
 -1.8721 -1.8226 -1.7700 -1.7134 -1.6524 -1.5904 -1.5308 -1.4750 -1.4244 -1.3814
 -1.3480 -1.3240 -1.3020 -1.2761 -1.2454 -1.1659 -1.1102 -1.0809 -1.0764 -1.0908
 -1.1139 -1.1395 -1.1664 -1.1949 -1.2252 -1.2572 -1.2921 -1.3310 -1.3749 -1.4242
 -1.4786
 -1.7748 -1.7288 -1.6884 -1.6427 -1.5944 -1.5424 -1.4894 -1.4378 -1.3890 -1.3440
 -1.3039 -1.2697 -1.2428 -1.2215 -1.2019 -1.1513 -1.1047 -1.0772 -1.0726 -1.0881
 -1.1149 -1.1446 -1.1745 -1.2048 -1.2357 -1.2666 -1.2989 -1.3344 -1.3745 -1.4202
 -1.4722
 -1.6887 -1.6401 -1.6028 -1.5653 -1.5262 -1.4857 -1.4426 -1.3979 -1.3539 -1.3119
 -1.2729 -1.2376 -1.2066 -1.1807 -1.1600 -1.1216 -1.0909 -1.0689 -1.0647 -1.0803
 -1.1098 -1.1443 -1.1788 -1.2125 -1.2457 -1.2788 -1.3126 -1.3485 -1.3865 -1.4263
 -1.4679
 -1.6226 -1.5665 -1.5240 -1.4861 -1.4535 -1.4205 -1.3872 -1.3521 -1.3155 -1.2788
 -1.2436 -1.2110 -1.1813 -1.1549 -1.1324 -1.0933 -1.0698 -1.0559 -1.0538 -1.0684
 -1.0984 -1.1363 -1.1758 -1.2143 -1.2514 -1.2872 -1.3227 -1.3579 -1.3936 -1.4307
 -1.4698
 -1.5875 -1.5099 -1.4547 -1.4121 -1.3812 -1.3514 -1.3238 -1.2968 -1.2692 -1.2399
 -1.2103 -1.1820 -1.1556 -1.1318 -1.1106 -1.0711 -1.0488 -1.0394 -1.0409 -1.0552
 -1.0839 -1.1229 -1.1660 -1.2095 -1.2515 -1.2915 -1.3302 -1.3676 -1.4044 -1.4413
 -1.4789
