 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  g   
 -7.2867 -7.0956 -7.2989 -7.2230 -6.9801 -6.6349 -6.2321 -5.9781 -5.7305 -5.4704
 -5.2224 -4.9924 -4.7804 -4.5842 -4.3978 -3.9863 -3.5771 -3.2132 -2.9565
 -7.1664 -6.8358 -6.5737 -6.3952 -6.2862 -6.1422 -5.9179 -5.6615 -5.4105 -5.1630
 -4.9252 -4.7042 -4.5024 -4.3175 -4.1459 -3.7586 -3.4188 -3.1374 -2.9218 -2.7561
 -6.8630 -6.5374 -6.2507 -6.0115 -5.8183 -5.6812 -5.5660 -5.3976 -5.1805 -4.9458
 -4.7180 -4.5041 -4.3092 -4.1330 -3.9731 -3.6269 -3.3339 -3.0893 -2.8981 -2.7494
 -2.6292
 -6.6141 -6.3199 -6.0416 -5.7939 -5.5775 -5.3867 -5.2230 -5.0916 -4.9522 -4.7710
 -4.5660 -4.3635 -4.1752 -4.0046 -3.8514 -3.5307 -3.2712 -3.0574 -2.8855 -2.7508
 -2.6407 -2.5468
 -6.3879 -6.1351 -5.8828 -5.6441 -5.4277 -5.2308 -5.0487 -4.8800 -4.7325 -4.5907
 -4.4361 -4.2625 -4.0869 -3.9221 -3.7727 -3.4657 -3.2273 -3.0348 -2.8800 -2.7570
 -2.6559 -2.5690 -2.4917 -2.4221
 -6.1770 -5.9601 -5.7429 -5.5250 -5.3180 -5.1256 -4.9455 -4.7743 -4.6114 -4.4573
 -4.3138 -4.1727 -4.0243 -3.8731 -3.7284 -3.4262 -3.1989 -3.0199 -2.8777 -2.7648
 -2.6719 -2.5920 -2.5206 -2.4552 -2.3919 -2.3325 -2.2799 -2.2365 -2.2040 -2.1833
 -5.9826 -5.7936 -5.6067 -5.4163 -5.2257 -5.0433 -4.8699 -4.7044 -4.5453 -4.3906
 -4.2420 -4.1022 -3.9688 -3.8369 -3.7054 -3.4084 -3.1832 -3.0112 -2.8765 -2.7710
 -2.6858 -2.6131 -2.5482 -2.4884 -2.4324 -2.3788 -2.3290 -2.2845 -2.2469 -2.2186
 -2.2059
 -5.8054 -5.6379 -5.4730 -5.3070 -5.1384 -4.9697 -4.8059 -4.6486 -4.4968 -4.3485
 -4.2038 -4.0645 -3.9322 -3.8069 -3.6861 -3.4063 -3.1790 -3.0079 -2.8762 -2.7746
 -2.6952 -2.6296 -2.5719 -2.5185 -2.4684 -2.4205 -2.3734 -2.3296 -2.2918 -2.2623
 -2.2425
 -5.6464 -5.4951 -5.3457 -5.1937 -5.0464 -4.8957 -4.7440 -4.5954 -4.4519 -4.3117
 -4.1737 -4.0391 -3.9098 -3.7866 -3.6693 -3.4032 -3.1808 -3.0080 -2.8761 -2.7754
 -2.6989 -2.6389 -2.5883 -2.5426 -2.4994 -2.4576 -2.4173 -2.3787 -2.3438 -2.3128
 -2.2854
 -5.5066 -5.3674 -5.2289 -5.0912 -4.9544 -4.8186 -4.6830 -4.5457 -4.4103 -4.2783
 -4.1487 -4.0211 -3.8965 -3.7766 -3.6621 -3.4028 -3.1856 -3.0127 -2.8795 -2.7776
 -2.7010 -2.6434 -2.5982 -2.5597 -2.5241 -2.4897 -2.4562 -2.4232 -2.3914 -2.3617
 -2.3339
 -5.3826 -5.2490 -5.1176 -4.9883 -4.8610 -4.7356 -4.6122 -4.4898 -4.3658 -4.2421
 -4.1205 -4.0009 -3.8830 -3.7679 -3.6567 -3.4028 -3.1891 -3.0169 -2.8827 -2.7799
 -2.7022 -2.6445 -2.6017 -2.5685 -2.5401 -2.5136 -2.4877 -2.4619 -2.4361 -2.4111
 -2.3877
 -5.2582 -5.1107 -4.9787 -4.8580 -4.7445 -4.6350 -4.5267 -4.4177 -4.3078 -4.1971
 -4.0858 -3.9744 -3.8643 -3.7557 -3.6494 -3.4023 -3.1911 -3.0200 -2.8853
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  g   
 -7.5864 -7.4305 -7.2325 -6.9093 -6.5446 -6.1921 -5.8909 -5.6346 -5.3959 -5.1655
 -4.9451 -4.7396 -4.5509 -4.3777 -4.2169 -3.8596 -3.5226 -3.2144 -2.9688
 -7.1263 -6.8208 -6.6407 -6.5224 -6.2915 -5.9833 -5.6790 -5.4140 -5.1762 -4.9480
 -4.7298 -4.5266 -4.3416 -4.1747 -4.0229 -3.6898 -3.3978 -3.1404 -2.9276 -2.7592
 -6.8673 -6.5301 -6.2529 -6.0453 -5.9212 -5.7764 -5.5316 -5.2648 -5.0241 -4.8007
 -4.5860 -4.3847 -4.2010 -4.0362 -3.8884 -3.5751 -3.3140 -3.0894 -2.9016 -2.7503
 -2.6274
 -6.6819 -6.3587 -6.0675 -5.8119 -5.6009 -5.4425 -5.3207 -5.1520 -4.9267 -4.7068
 -4.4968 -4.2979 -4.1147 -3.9497 -3.8026 -3.4982 -3.2561 -3.0547 -2.8866 -2.7492
 -2.6364 -2.5406
 -6.5274 -6.2334 -5.9524 -5.6978 -5.4723 -5.2698 -5.0935 -4.9456 -4.8120 -4.6410
 -4.4451 -4.2506 -4.0684 -3.9026 -3.7541 -3.4509 -3.2185 -3.0320 -2.8787 -2.7530
 -2.6491 -2.5604 -2.4822 -2.4119
