 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  z   
 -1.0667 -1.0813 -1.2632 -1.2905 -1.2464 -1.1548 -1.0284 -0.9537 -0.8862 -0.8152
 -0.7480 -0.6860 -0.6288 -0.5794 -0.5385 -0.4557 -0.4390 -0.4846 -0.5262
 -1.0868 -1.0481 -1.0193 -1.0144 -1.0348 -1.0330 -0.9889 -0.9268 -0.8642 -0.8036
 -0.7454 -0.6912 -0.6423 -0.5997 -0.5639 -0.5056 -0.4912 -0.5092 -0.5428 -0.5830
 -0.9913 -0.9582 -0.9231 -0.8933 -0.8742 -0.8774 -0.8909 -0.8807 -0.8436 -0.7940
 -0.7441 -0.6959 -0.6519 -0.6134 -0.5811 -0.5284 -0.5145 -0.5321 -0.5659 -0.6059
 -0.6488
 -0.8999 -0.8814 -0.8534 -0.8232 -0.7960 -0.7743 -0.7632 -0.7685 -0.7737 -0.7616
 -0.7322 -0.6949 -0.6570 -0.6226 -0.5934 -0.5458 -0.5328 -0.5499 -0.5840 -0.6243
 -0.6671 -0.7113
 -0.8018 -0.8023 -0.7883 -0.7659 -0.7414 -0.7185 -0.6988 -0.6838 -0.6790 -0.6802
 -0.6799 -0.6694 -0.6495 -0.6242 -0.5993 -0.5571 -0.5454 -0.5626 -0.5971 -0.6386
 -0.6822 -0.7269 -0.7724 -0.8187
 -0.6961 -0.7133 -0.7169 -0.7078 -0.6916 -0.6728 -0.6549 -0.6386 -0.6247 -0.6146
 -0.6108 -0.6107 -0.6086 -0.6020 -0.5916 -0.5613 -0.5516 -0.5689 -0.6043 -0.6484
 -0.6939 -0.7399 -0.7864 -0.8334 -0.8806 -0.9285 -0.9779 -1.0294 -1.0833 -1.1399
 -0.5847 -0.6154 -0.6346 -0.6410 -0.6372 -0.6271 -0.6143 -0.6013 -0.5891 -0.5777
 -0.5683 -0.5624 -0.5605 -0.5604 -0.5599 -0.5547 -0.5514 -0.5676 -0.6049 -0.6524
 -0.7014 -0.7498 -0.7980 -0.8463 -0.8946 -0.9420 -0.9900 -1.0403 -1.0941 -1.1518
 -1.2112
 -0.4700 -0.5113 -0.5425 -0.5624 -0.5725 -0.5744 -0.5704 -0.5634 -0.5553 -0.5471
 -0.5392 -0.5325 -0.5278 -0.5261 -0.5266 -0.5333 -0.5430 -0.5620 -0.5992 -0.6495
 -0.7031 -0.7554 -0.8064 -0.8566 -0.9065 -0.9561 -1.0049 -1.0542 -1.1059 -1.1612
 -1.2210
 -0.3538 -0.4036 -0.4438 -0.4739 -0.4966 -0.5107 -0.5179 -0.5199 -0.5185 -0.5151
 -0.5110 -0.5070 -0.5038 -0.5019 -0.5018 -0.5102 -0.5275 -0.5523 -0.5895 -0.6411
 -0.6985 -0.7558 -0.8111 -0.8645 -0.9168 -0.9681 -1.0191 -1.0700 -1.1221 -1.1756
 -1.2302
 -0.2385 -0.2950 -0.3422 -0.3810 -0.4123 -0.4366 -0.4546 -0.4668 -0.4746 -0.4784
 -0.4798 -0.4801 -0.4802 -0.4807 -0.4821 -0.4912 -0.5105 -0.5387 -0.5770 -0.6279
 -0.6871 -0.7482 -0.8082 -0.8659 -0.9215 -0.9756 -1.0286 -1.0808 -1.1328 -1.1852
 -1.2394
 -0.1260 -0.1866 -0.2391 -0.2841 -0.3225 -0.3548 -0.3816 -0.4033 -0.4204 -0.4332
 -0.4422 -0.4487 -0.4535 -0.4577 -0.4620 -0.4754 -0.4954 -0.5253 -0.5648 -0.6142
 -0.6727 -0.7355 -0.7989 -0.8609 -0.9207 -0.9783 -1.0341 -1.0886 -1.1420 -1.1952
 -1.2487
 -0.0179 -0.0750 -0.1288 -0.1788 -0.2243 -0.2651 -0.3007 -0.3311 -0.3567 -0.3780
 -0.3956 -0.4098 -0.4212 -0.4307 -0.4390 -0.4595 -0.4825 -0.5126 -0.5527
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  z   
 -1.3359 -1.3633 -1.3575 -1.2817 -1.1822 -1.0833 -0.9996 -0.9310 -0.8686 -0.8096
 -0.7543 -0.7027 -0.6549 -0.6113 -0.5726 -0.4970 -0.4648 -0.4767 -0.5103
 -1.1961 -1.1578 -1.1590 -1.1813 -1.1455 -1.0695 -0.9902 -0.9223 -0.8630 -0.8081
 -0.7571 -0.7096 -0.6657 -0.6260 -0.5909 -0.5270 -0.4988 -0.5054 -0.5350 -0.5742
 -1.1090 -1.0603 -1.0180 -0.9961 -1.0105 -1.0159 -0.9733 -0.9129 -0.8567 -0.8058
 -0.7588 -0.7150 -0.6746 -0.6380 -0.6058 -0.5479 -0.5224 -0.5281 -0.5568 -0.5958
 -0.6385
 -1.0302 -0.9922 -0.9471 -0.9040 -0.8741 -0.8674 -0.8811 -0.8775 -0.8427 -0.7991
 -0.7570 -0.7170 -0.6797 -0.6460 -0.6164 -0.5635 -0.5406 -0.5457 -0.5735 -0.6127
 -0.6556 -0.7001
 -0.9454 -0.9260 -0.8915 -0.8520 -0.8157 -0.7856 -0.7668 -0.7638 -0.7727 -0.7673
 -0.7440 -0.7127 -0.6801 -0.6494 -0.6221 -0.5736 -0.5532 -0.5583 -0.5855 -0.6252
 -0.6693 -0.7146 -0.7607 -0.8082
 -0.8515 -0.8501 -0.8335 -0.8043 -0.7714 -0.7407 -0.7139 -0.6922 -0.6800 -0.6804
 -0.6845 -0.6811 -0.6671 -0.6456 -0.6224 -0.5785 -0.5603 -0.5658 -0.5927 -0.6337
 -0.6795 -0.7264 -0.7738 -0.8216 -0.8692 -0.9176 -0.9678 -1.0206 -1.0763 -1.1337
 -0.7449 -0.7618 -0.7641 -0.7513 -0.7283 -0.7023 -0.6775 -0.6551 -0.6358 -0.6213
