 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F150W2
  0.6788  0.7136  0.7729  0.7990  0.7784  0.7564  0.7657  0.7883  0.7956  0.7786
  0.7482  0.7083  0.6657  0.6217  0.5742  0.4494  0.3184  0.1856  0.0557
  0.6728  0.6725  0.6858  0.6989  0.7114  0.7246  0.7362  0.7431  0.7427  0.7333
  0.7138  0.6831  0.6431  0.5978  0.5502  0.4268  0.2993  0.1693  0.0405 -0.0863
  0.6673  0.6496  0.6371  0.6365  0.6533  0.6748  0.6885  0.6947  0.6954  0.6908
  0.6776  0.6540  0.6189  0.5751  0.5280  0.4059  0.2813  0.1543  0.0273 -0.0972
 -0.2186
  0.6623  0.6449  0.6268  0.6118  0.6041  0.6070  0.6226  0.6431  0.6537  0.6511
  0.6396  0.6210  0.5931  0.5536  0.5076  0.3867  0.2644  0.1406  0.0161 -0.1066
 -0.2261 -0.3425
  0.6471  0.6350  0.6195  0.6029  0.5880  0.5779  0.5746  0.5783  0.5881  0.5977
  0.5965  0.5832  0.5618  0.5300  0.4879  0.3691  0.2484  0.1276  0.0060 -0.1150
 -0.2331 -0.3480 -0.4597 -0.5687
  0.6174  0.6130  0.6038  0.5913  0.5769  0.5628  0.5514  0.5444  0.5409  0.5394
  0.5382  0.5324  0.5182  0.4959  0.4630  0.3526  0.2335  0.1151 -0.0035 -0.1224
 -0.2394 -0.3534 -0.4639 -0.5715 -0.6763 -0.7788 -0.8795 -0.9793 -1.0785 -1.1747
  0.5728  0.5763  0.5750  0.5694  0.5599  0.5476  0.5342  0.5220  0.5119  0.5033
  0.4943  0.4834  0.4695  0.4517  0.4267  0.3334  0.2194  0.1031 -0.0127 -0.1289
 -0.2447 -0.3582 -0.4682 -0.5750 -0.6786 -0.7796 -0.8785 -0.9755 -1.0719 -1.1682
 -1.2620
  0.5158  0.5257  0.5319  0.5340  0.5315  0.5245  0.5140  0.5014  0.4885  0.4760
  0.4637  0.4496  0.4323  0.4121  0.3891  0.3082  0.2042  0.0917 -0.0216 -0.1351
 -0.2490 -0.3618 -0.4718 -0.5784 -0.6815 -0.7816 -0.8793 -0.9747 -1.0686 -1.1618
 -1.2556
  0.4503  0.4645  0.4761  0.4849  0.4898  0.4899  0.4849  0.4757  0.4636  0.4501
  0.4360  0.4209  0.4034  0.3823  0.3584  0.2817  0.1858  0.0788 -0.0317 -0.1427
 -0.2543 -0.3660 -0.4761 -0.5831 -0.6866 -0.7866 -0.8837 -0.9783 -1.0707 -1.1617
 -1.2524
  0.3772  0.3944  0.4102  0.4241  0.4353  0.4423  0.4442  0.4409  0.4328  0.4212
  0.4074  0.3923  0.3756  0.3562  0.3334  0.2596  0.1691  0.0674 -0.0398 -0.1485
 -0.2577 -0.3672 -0.4764 -0.5836 -0.6876 -0.7882 -0.8854 -0.9797 -1.0713 -1.1610
 -1.2505
  0.2964  0.3172  0.3362  0.3537  0.3694  0.3822  0.3907  0.3941  0.3921  0.3852
  0.3743  0.3607  0.3451  0.3277  0.3076  0.2404  0.1533  0.0564 -0.0473 -0.1539
 -0.2611 -0.3686 -0.4760 -0.5825 -0.6870 -0.7883 -0.8863 -0.9810 -1.0727 -1.1618
 -1.2490
  0.2080  0.2329  0.2554  0.2752  0.2943  0.3111  0.3248  0.3347  0.3394  0.3388
  0.3333  0.3235  0.3105  0.2952  0.2810  0.2241  0.1384  0.0458 -0.0542
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F150W2
  0.7501  0.7642  0.7798  0.7951  0.8077  0.8155  0.8170  0.8111  0.7974  0.7758
  0.7460  0.7083  0.6652  0.6191  0.5703  0.4469  0.3189  0.1880  0.0568
  0.7140  0.7207  0.7312  0.7434  0.7550  0.7638  0.7679  0.7662  0.7579  0.7424
  0.7183  0.6850  0.6436  0.5976  0.5497  0.4261  0.2998  0.1716  0.0430 -0.0836
