 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.1709 -2.1537 -2.3393 -2.3366 -2.2452 -2.0947 -1.9104 -1.7924 -1.6851 -1.5714
 -1.4627 -1.3595 -1.2636 -1.1755 -1.0959 -0.9293 -0.8053 -0.7132 -0.6552
 -2.1735 -2.0795 -2.0011 -1.9553 -1.9432 -1.9040 -1.8130 -1.7032 -1.5968 -1.4934
 -1.3932 -1.2981 -1.2099 -1.1293 -1.0564 -0.9050 -0.7925 -0.7134 -0.6595 -0.6223
 -2.0417 -1.9518 -1.8624 -1.7822 -1.7183 -1.6844 -1.6639 -1.6126 -1.5304 -1.4360
 -1.3439 -1.2555 -1.1730 -1.0975 -1.0294 -0.8894 -0.7871 -0.7162 -0.6683 -0.6350
 -0.6111
 -1.9237 -1.8495 -1.7669 -1.6842 -1.6076 -1.5407 -1.4893 -1.4590 -1.4274 -1.3730
 -1.2994 -1.2206 -1.1445 -1.0739 -1.0099 -0.8784 -0.7835 -0.7196 -0.6771 -0.6476
 -0.6262 -0.6105
 -1.8067 -1.7524 -1.6850 -1.6101 -1.5351 -1.4646 -1.4010 -1.3457 -1.3045 -1.2697
 -1.2302 -1.1773 -1.1161 -1.0533 -0.9939 -0.8699 -0.7804 -0.7219 -0.6845 -0.6594
 -0.6411 -0.6273 -0.6171 -0.6100
 -1.6895 -1.6515 -1.6025 -1.5418 -1.4751 -1.4078 -1.3443 -1.2860 -1.2335 -1.1874
 -1.1481 -1.1113 -1.0699 -1.0233 -0.9747 -0.8617 -0.7764 -0.7214 -0.6883 -0.6685
 -0.6542 -0.6436 -0.6356 -0.6297 -0.6246 -0.6215 -0.6220 -0.6273 -0.6385 -0.6560
 -1.5746 -1.5483 -1.5145 -1.4693 -1.4154 -1.3566 -1.2971 -1.2405 -1.1886 -1.1407
 -1.0965 -1.0562 -1.0191 -0.9825 -0.9444 -0.8499 -0.7705 -0.7166 -0.6873 -0.6726
 -0.6638 -0.6575 -0.6529 -0.6495 -0.6472 -0.6447 -0.6437 -0.6466 -0.6551 -0.6704
 -0.6925
 -1.4645 -1.4463 -1.4223 -1.3899 -1.3495 -1.3025 -1.2512 -1.1991 -1.1495 -1.1037
 -1.0611 -1.0210 -0.9829 -0.9474 -0.9133 -0.8323 -0.7618 -0.7102 -0.6818 -0.6708
 -0.6675 -0.6668 -0.6668 -0.6672 -0.6680 -0.6688 -0.6687 -0.6702 -0.6757 -0.6875
 -0.7069
 -1.3618 -1.3486 -1.3303 -1.3051 -1.2761 -1.2406 -1.1999 -1.1557 -1.1108 -1.0676
 -1.0276 -0.9903 -0.9548 -0.9206 -0.8877 -0.8128 -0.7496 -0.7020 -0.6733 -0.6636
 -0.6645 -0.6696 -0.6754 -0.6810 -0.6861 -0.6905 -0.6946 -0.6988 -0.7051 -0.7137
 -0.7244
 -1.2690 -1.2586 -1.2434 -1.2237 -1.2001 -1.1729 -1.1422 -1.1073 -1.0699 -1.0315
 -0.9945 -0.9600 -0.9278 -0.8966 -0.8664 -0.7964 -0.7372 -0.6926 -0.6645 -0.6540
 -0.6562 -0.6652 -0.6767 -0.6883 -0.6989 -0.7081 -0.7164 -0.7238 -0.7310 -0.7389
 -0.7476
 -1.1867 -1.1760 -1.1619 -1.1448 -1.1250 -1.1029 -1.0785 -1.0520 -1.0228 -0.9913
