 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u   
 -8.3743 -8.3500 -8.5224 -8.5063 -8.4111 -8.2428 -8.0457 -7.8922 -7.7616 -7.6164
 -7.4697 -7.3201 -7.1701 -7.0230 -6.8825 -6.5225 -6.0307 -5.4120 -4.9976
 -8.3218 -8.2210 -8.1358 -8.0837 -8.0659 -8.0194 -7.9168 -7.7871 -7.6499 -7.5083
 -7.3598 -7.2068 -7.0529 -6.8990 -6.7414 -6.2924 -5.7381 -5.2105 -4.8166 -4.5443
 -8.1459 -8.0526 -7.9574 -7.8702 -7.7981 -7.7554 -7.7254 -7.6611 -7.5565 -7.4254
 -7.2788 -7.1167 -6.9462 -6.7707 -6.5896 -6.0933 -5.5319 -5.0148 -4.6390 -4.3886
 -4.2256
 -7.9841 -7.9108 -7.8237 -7.7335 -7.6471 -7.5664 -7.4968 -7.4467 -7.3937 -7.3098
 -7.1887 -7.0320 -6.8464 -6.6462 -6.4404 -5.9077 -5.3565 -4.8655 -4.4930 -4.2575
 -4.1084 -4.0167
 -7.8204 -7.7731 -7.7034 -7.6206 -7.5342 -7.4478 -7.3600 -7.2706 -7.1893 -7.1112
 -7.0243 -6.9059 -6.7441 -6.5411 -6.3174 -5.7616 -5.2269 -4.7492 -4.3826 -4.1513
 -4.0084 -3.9221 -3.8736 -3.8494
 -7.6558 -7.6284 -7.5825 -7.5142 -7.4343 -7.3494 -7.2607 -7.1641 -7.0573 -6.9436
 -6.8320 -6.7193 -6.5878 -6.4228 -6.2231 -5.6673 -5.1479 -4.6820 -4.3130 -4.0710
 -3.9250 -3.8385 -3.7898 -3.7672 -3.7629 -3.7698 -3.7818 -3.7939 -3.8022 -3.8041
 -7.4962 -7.4820 -7.4569 -7.4061 -7.3376 -7.2589 -7.1729 -7.0796 -6.9733 -6.8498
 -6.7136 -6.5739 -6.4337 -6.2854 -6.1169 -5.6159 -5.1127 -4.6605 -4.2849 -4.0213
 -3.8594 -3.7655 -3.7129 -3.6872 -3.6805 -3.6865 -3.6999 -3.7163 -3.7323 -3.7447
 -3.7505
 -7.3480 -7.3424 -7.3283 -7.2945 -7.2408 -7.1706 -7.0899 -7.0015 -6.9025 -6.7865
 -6.6502 -6.4997 -6.3428 -6.1857 -6.0254 -5.5791 -5.1034 -4.6684 -4.2905 -4.0043
 -3.8169 -3.7056 -3.6435 -3.6119 -3.6010 -3.6043 -3.6168 -3.6344 -3.6537 -3.6719
 -3.6872
 -7.2172 -7.2182 -7.2080 -7.1792 -7.1425 -7.0853 -7.0117 -6.9271 -6.8339 -6.7282
 -6.6042 -6.4597 -6.3006 -6.1355 -5.9695 -5.5476 -5.1021 -4.6812 -4.3119 -4.0112
 -3.7985 -3.6627 -3.5837 -3.5421 -3.5247 -3.5236 -3.5341 -3.5515 -3.5709 -3.5913
 -3.6125
 -7.1099 -7.1180 -7.1097 -7.0869 -7.0508 -7.0030 -6.9426 -6.8650 -6.7753 -6.6758
 -6.5642 -6.4352 -6.2869 -6.1277 -5.9621 -5.5368 -5.1149 -4.7064 -4.3434 -4.0383
 -3.8062 -3.6452 -3.5429 -3.4842 -3.4554 -3.4465 -3.4516 -3.4659 -3.4857 -3.5081
 -3.5311
 -7.0227 -7.0299 -7.0225 -7.0021 -6.9700 -6.9273 -6.8752 -6.8121 -6.7309 -6.6352
 -6.5289 -6.4114 -6.2785 -6.1286 -5.9657 -5.5442 -5.1327 -4.7354 -4.3757 -4.0700
 -3.8273 -3.6479 -3.5233 -3.4437 -3.3984 -3.3777 -3.3744 -3.3828 -3.3993 -3.4206
 -3.4441
 -6.9222 -6.8793 -6.8591 -6.8508 -6.8439 -6.8298 -6.8017 -6.7549 -6.6897 -6.6071
 -6.5083 -6.3951 -6.2709 -6.1338 -5.9823 -5.5671 -5.1553 -4.7668 -4.4109
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  u   
 -8.6591 -8.6535 -8.6088 -8.4758 -8.3087 -8.1367 -7.9753 -7.8292 -7.6924 -7.5577
 -7.4223 -7.2853 -7.1470 -7.0073 -6.8668 -6.5019 -6.0608 -5.5342 -5.1003
 -8.4203 -8.3315 -8.2934 -8.2819 -8.1949 -8.0538 -7.9022 -7.7542 -7.6139 -7.4762
 -7.3345 -7.1871 -7.0349 -6.8795 -6.7209 -6.3009 -5.8190 -5.3171 -4.9048 -4.6132
 -8.2615 -8.1578 -8.0622 -7.9922 -7.9678 -7.9304 -7.8277 -7.6951 -7.5538 -7.4127
 -7.2633 -7.1025 -6.9320 -6.7553 -6.5746 -6.1067 -5.6113 -5.1271 -4.7335 -4.4603
 -4.2818
 -8.1225 -8.0305 -7.9284 -7.8278 -7.7435 -7.6881 -7.6577 -7.6005 -7.4929 -7.3581
 -7.2067 -7.0344 -6.8457 -6.6473 -6.4450 -5.9387 -5.4398 -4.9750 -4.5963 -4.3334
 -4.1652 -4.0609
 -7.9843 -7.9144 -7.8222 -7.7224 -7.6261 -7.5355 -7.4558 -7.3936 -7.3433 -7.2639
 -7.1417 -6.9807 -6.7863 -6.5722 -6.3525 -5.8174 -5.3178 -4.8665 -4.4951 -4.2328
 -4.0666 -3.9656 -3.9073 -3.8705
 -7.8432 -7.7955 -7.7228 -7.6308 -7.5333 -7.4378 -7.3430 -7.2469 -7.1549 -7.0749
 -6.9918 -6.8810 -6.7268 -6.5295 -6.3054 -5.7490 -5.2473 -4.8030 -4.4313 -4.1592
 -3.9857 -3.8819 -3.8226 -3.7924 -3.7812 -3.7818 -3.7885 -3.7966 -3.8022 -3.8017
 -7.6958 -7.6682 -7.6191 -7.5444 -7.4527 -7.3563 -7.2599 -7.1601 -7.0521 -6.9378
 -6.8242 -6.7146 -6.5967 -6.4517 -6.2709 -5.7291 -5.2224 -4.7798 -4.4042 -4.1151
 -3.9240 -3.8099 -3.7453 -3.7119 -3.6990 -3.7000 -3.7091 -3.7215 -3.7333 -3.7417
 -3.7466
 -7.5521 -7.5329 -7.5072 -7.4541 -7.3775 -7.2853 -7.1884 -7.0894 -6.9840 -6.8667
 -6.7373 -6.6013 -6.4673 -6.3339 -6.1888 -5.7343 -5.2324 -4.7882 -4.4082 -4.1019
 -3.8860 -3.7524 -3.6765 -3.6365 -3.6193 -3.6174 -3.6254 -3.6392 -3.6554 -3.6710
 -3.6842
 -7.4226 -7.4030 -7.3875 -7.3551 -7.2984 -7.2193 -7.1260 -7.0266 -6.9238 -6.8128
 -6.6881 -6.5485 -6.4003 -6.2517 -6.1050 -5.7118 -5.2555 -4.8137 -4.4306 -4.1117
 -3.8714 -3.7126 -3.6182 -3.5671 -3.5432 -3.5370 -3.5431 -3.5547 -3.5700 -3.5886
 -3.6102
 -7.3240 -7.2927 -7.2725 -7.2492 -7.2134 -7.1543 -7.0732 -6.9775 -6.8749 -6.7676
 -6.6521 -6.5229 -6.3785 -6.2246 -6.0685 -5.6860 -5.2769 -4.8531 -4.4703 -4.1442
