 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  J   
  1.9880  1.9669  1.9407  1.9101  1.8761  1.8394  1.8014  1.7633  1.7255  1.6881
  1.6514  1.6149  1.5712  1.5385  1.5092  1.4290  1.3547  1.2804  1.2010
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  J   
  1.9747  1.9250  1.8718  1.8172  1.7632  1.7123  1.6666  1.6278  1.5974  1.5762
  1.5637  1.5579  1.5550  1.5504  1.5426  1.5076  1.4508  1.3767  1.2886
  1.9664  1.9252  1.8778  1.8262  1.7731  1.7210  1.6722  1.6289  1.5924  1.5639
  1.5441  1.5322  1.5253  1.5184  1.5091  1.4728  1.4180  1.3464  1.2631  1.1753
  1.9403  1.9092  1.8656  1.8202  1.7755  1.7290  1.6821  1.6377  1.5979  1.5641
  1.5373  1.5184  1.5064  1.4968  1.4859  1.4473  1.3927  1.3235  1.2429  1.1572
  1.0703
  1.9017  1.8756  1.8470  1.8131  1.7710  1.7221  1.6782  1.6398  1.6036  1.5698
  1.5400  1.5150  1.4967  1.4834  1.4705  1.4294  1.3740  1.3059  1.2271  1.1427
  1.0572  0.9718
  1.8815  1.8510  1.8217  1.7923  1.7613  1.7261  1.6855  1.6425  1.6020  1.5701
  1.5429  1.5179  1.4953  1.4772  1.4617  1.4175  1.3610  1.2930  1.2152  1.1313
  1.0462  0.9617  0.8778  0.7940
  1.8801  1.8437  1.8101  1.7789  1.7490  1.7185  1.6868  1.6536  1.6183  1.5809
  1.5477  1.5210  1.4980  1.4774  1.4586  1.4107  1.3527  1.2844  1.2069  1.1231
  1.0375  0.9528  0.8694  0.7868  0.7047  0.6228  0.5401  0.4554  0.3690  0.2840
  1.8949  1.8519  1.8128  1.7776  1.7456  1.7156  1.6861  1.6562  1.6257  1.5953
  1.5644  1.5335  1.5058  1.4820  1.4608  1.4081  1.3484  1.2795  1.2022  1.1181
  1.0314  0.9456  0.8617  0.7794  0.6982  0.6177  0.5372  0.4563  0.3739  0.2890
  0.2050
  1.9223  1.8736  1.8287  1.7884  1.7526  1.7202  1.6901  1.6609  1.6319  1.6030
  1.5747  1.5469  1.5189  1.4919  1.4676  1.4098  1.3473  1.2777  1.2004  1.1164
  1.0287  0.9411  0.8558  0.7726  0.6914  0.6115  0.5324  0.4536  0.3746  0.2938
  0.2101
  1.9571  1.9049  1.8555  1.8103  1.7697  1.7335  1.7007  1.6702  1.6407  1.6116
  1.5831  1.5554  1.5283  1.5016  1.4757  1.4143  1.3487  1.2776  1.2001  1.1164
  1.0281  0.9387  0.8511  0.7662  0.6838  0.6034  0.5245  0.4467  0.3694  0.2913
  0.2124
