 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -3.5813 -3.5288 -3.7269 -3.6607 -3.4778 -3.2453 -2.9963 -2.8256 -2.6746 -2.5198
 -2.3755 -2.2428 -2.1232 -2.0152 -1.9165 -1.7112 -1.5373 -1.3813 -1.3171
 -3.5855 -3.3852 -3.2235 -3.1166 -3.0596 -2.9719 -2.8252 -2.6649 -2.5184 -2.3814
 -2.2525 -2.1332 -2.0241 -1.9248 -1.8340 -1.6416 -1.4956 -1.3937 -1.3271 -1.2834
 -3.3978 -3.2027 -3.0261 -2.8760 -2.7568 -2.6809 -2.6236 -2.5303 -2.4086 -2.2814
 -2.1643 -2.0564 -1.9573 -1.8670 -1.7848 -1.6124 -1.4842 -1.3958 -1.3375 -1.2983
 -1.2716
 -3.2471 -3.0718 -2.9019 -2.7470 -2.6119 -2.4978 -2.4078 -2.3454 -2.2834 -2.1983
 -2.0980 -1.9997 -1.9098 -1.8275 -1.7521 -1.5937 -1.4774 -1.3993 -1.3479 -1.3129
 -1.2882 -1.2711
 -3.1152 -2.9629 -2.8087 -2.6599 -2.5241 -2.4045 -2.3014 -2.2135 -2.1464 -2.0884
 -2.0254 -1.9502 -1.8713 -1.7964 -1.7276 -1.5808 -1.4724 -1.4014 -1.3562 -1.3260
 -1.3041 -1.2884 -1.2777 -1.2717
 -2.9983 -2.8631 -2.7284 -2.5915 -2.4608 -2.3414 -2.2365 -2.1454 -2.0672 -2.0007
 -1.9431 -1.8879 -1.8283 -1.7655 -1.7040 -1.5694 -1.4669 -1.4002 -1.3601 -1.3357
 -1.3180 -1.3050 -1.2959 -1.2901 -1.2871 -1.2878 -1.2935 -1.3050 -1.3229 -1.3476
 -2.8976 -2.7729 -2.6528 -2.5305 -2.4085 -2.2931 -2.1883 -2.0963 -2.0176 -1.9497
 -1.8892 -1.8336 -1.7813 -1.7295 -1.6772 -1.5558 -1.4596 -1.3940 -1.3580 -1.3395
 -1.3277 -1.3190 -1.3129 -1.3091 -1.3073 -1.3058 -1.3072 -1.3143 -1.3296 -1.3536
 -1.3826
 -2.8141 -2.6945 -2.5817 -2.4707 -2.3601 -2.2515 -2.1493 -2.0570 -1.9771 -1.9091
 -1.8500 -1.7962 -1.7450 -1.6963 -1.6491 -1.5398 -1.4502 -1.3863 -1.3509 -1.3363
 -1.3308 -1.3281 -1.3266 -1.3262 -1.3270 -1.3287 -1.3301 -1.3340 -1.3435 -1.3611
 -1.3883
 -2.7488 -2.6303 -2.5190 -2.4100 -2.3097 -2.2100 -2.1132 -2.0225 -1.9416 -1.8719
 -1.8129 -1.7614 -1.7138 -1.6679 -1.6234 -1.5216 -1.4382 -1.3772 -1.3406 -1.3271
 -1.3263 -1.3300 -1.3347 -1.3395 -1.3444 -1.3491 -1.3543 -1.3603 -1.3693 -1.3816
 -1.3968
 -2.7029 -2.5825 -2.4694 -2.3631 -2.2628 -2.1683 -2.0785 -1.9920 -1.9117 -1.8403
 -1.7793 -1.7276 -1.6825 -1.6399 -1.5990 -1.5052 -1.4262 -1.3676 -1.3307 -1.3155
 -1.3159 -1.3241 -1.3350 -1.3461 -1.3565 -1.3659 -1.3748 -1.3834 -1.3923 -1.4025
 -1.4138
 -2.6721 -2.5467 -2.4303 -2.3223 -2.2220 -2.1286 -2.0416 -1.9602 -1.8830 -1.8117
 -1.7488 -1.6951 -1.6498 -1.6103 -1.5739 -1.4885 -1.4140 -1.3577 -1.3215 -1.3043
