 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  g   
 -5.1331 -5.0391 -5.2516 -5.1747 -4.9521 -4.6549 -4.3251 -4.1004 -3.8941 -3.6836
 -3.4891 -3.3099 -3.1433 -2.9863 -2.8355 -2.5130 -2.1904 -1.9041 -1.7151
 -5.1028 -4.8322 -4.6179 -4.4723 -4.3855 -4.2630 -4.0676 -3.8493 -3.6426 -3.4460
 -3.2607 -3.0888 -2.9303 -2.7836 -2.6467 -2.3390 -2.0748 -1.8608 -1.6988 -1.5753
 -4.8490 -4.5801 -4.3457 -4.1486 -3.9880 -3.8756 -3.7822 -3.6416 -3.4627 -3.2750
 -3.0993 -2.9360 -2.7859 -2.6482 -2.5218 -2.2463 -2.0175 -1.8315 -1.6882 -1.5772
 -1.4880
 -4.6488 -4.3988 -4.1690 -3.9657 -3.7873 -3.6297 -3.4963 -3.3926 -3.2839 -3.1418
 -2.9821 -2.8271 -2.6843 -2.5535 -2.4340 -2.1795 -1.9755 -1.8126 -1.6843 -1.5839
 -1.5020 -1.4323
 -4.4789 -4.2526 -4.0370 -3.8389 -3.6611 -3.5001 -3.3526 -3.2186 -3.1053 -2.9987
 -2.8820 -2.7494 -2.6151 -2.4896 -2.3753 -2.1340 -1.9458 -1.7989 -1.6839 -1.5930
 -1.5179 -1.4534 -1.3963 -1.3454
 -4.3330 -4.1252 -3.9284 -3.7406 -3.5679 -3.4104 -3.2652 -3.1299 -3.0046 -2.8889
 -2.7825 -2.6772 -2.5648 -2.4494 -2.3385 -2.1047 -1.9257 -1.7888 -1.6837 -1.6015
 -1.5335 -1.4746 -1.4220 -1.3740 -1.3278 -1.2852 -1.2487 -1.2203 -1.2015 -1.1931
 -4.2102 -4.0149 -3.8324 -3.6581 -3.4925 -3.3400 -3.1992 -3.0680 -2.9455 -2.8298
 -2.7203 -2.6168 -2.5171 -2.4174 -2.3170 -2.0884 -1.9127 -1.7804 -1.6816 -1.6067
 -1.5459 -1.4934 -1.4463 -1.4028 -1.3621 -1.3225 -1.2861 -1.2553 -1.2320 -1.2183
 -1.2169
 -4.1101 -3.9221 -3.7477 -3.5838 -3.4281 -3.2806 -3.1439 -3.0173 -2.8992 -2.7876
 -2.6813 -2.5797 -2.4822 -2.3884 -2.2969 -2.0825 -1.9068 -1.7752 -1.6783 -1.6073
 -1.5528 -1.5073 -1.4667 -1.4289 -1.3931 -1.3586 -1.3241 -1.2924 -1.2667 -1.2496
 -1.2427
 -4.0317 -3.8470 -3.6760 -3.5136 -3.3671 -3.2270 -3.0943 -2.9707 -2.8565 -2.7491
 -2.6469 -2.5493 -2.4556 -2.3651 -2.2775 -2.0752 -1.9043 -1.7720 -1.6741 -1.6040
 -1.5531 -1.5137 -1.4802 -1.4493 -1.4197 -1.3906 -1.3622 -1.3350 -1.3111 -1.2908
 -1.2738
 -3.9745 -3.7899 -3.6192 -3.4610 -3.3145 -3.1785 -3.0516 -2.9312 -2.8189 -2.7147
 -2.6166 -2.5231 -2.4334 -2.3465 -2.2627 -2.0693 -1.9037 -1.7719 -1.6726 -1.6009
 -1.5503 -1.5141 -1.4864 -1.4627 -1.4402 -1.4179 -1.3955 -1.3731 -1.3513 -1.3311
 -1.3121
 -3.9340 -3.7468 -3.5744 -3.4156 -3.2691 -3.1340 -3.0092 -2.8934 -2.7839 -2.6813
 -2.5859 -2.4961 -2.4103 -2.3279 -2.2484 -2.0627 -1.9017 -1.7713 -1.6715 -1.5981
 -1.5463 -1.5105 -1.4859 -1.4678 -1.4524 -1.4374 -1.4222 -1.4061 -1.3896 -1.3733
 -1.3582
 -3.8947 -3.7002 -3.5250 -3.3664 -3.2218 -3.0892 -2.9667 -2.8528 -2.7467 -2.6474
 -2.5544 -2.4671 -2.3849 -2.3063 -2.2306 -2.0541 -1.8981 -1.7697 -1.6697
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  g   
 -5.5031 -5.3819 -5.2179 -4.9366 -4.6223 -4.3226 -4.0650 -3.8438 -3.6397 -3.4469
 -3.2667 -3.1012 -2.9502 -2.8113 -2.6821 -2.3991 -2.1358 -1.8990 -1.7168
 -5.1110 -4.8586 -4.7136 -4.6198 -4.4197 -4.1524 -3.8928 -3.6677 -3.4668 -3.2782
 -3.1025 -2.9417 -2.7960 -2.6640 -2.5431 -2.2779 -2.0496 -1.8536 -1.6948 -1.5705
 -4.8948 -4.6122 -4.3821 -4.2092 -4.1083 -3.9871 -3.7762 -3.5491 -3.3472 -3.1640
 -2.9926 -2.8355 -2.6931 -2.5647 -2.4485 -2.2000 -1.9944 -1.8223 -1.6821 -1.5705
 -1.4801
 -4.7481 -4.4688 -4.2239 -4.0089 -3.8311 -3.6989 -3.5992 -3.4591 -3.2703 -3.0893
 -2.9219 -2.7680 -2.6280 -2.5018 -2.3880 -2.1486 -1.9571 -1.8017 -1.6760 -1.5750
 -1.4921 -1.4218
 -4.6394 -4.3710 -4.1268 -3.9112 -3.7213 -3.5502 -3.4018 -3.2797 -3.1728 -3.0359
 -2.8794 -2.7275 -2.5892 -2.4644 -2.3518 -2.1166 -1.9331 -1.7882 -1.6735 -1.5816
 -1.5058 -1.4408 -1.3837 -1.3332
 -4.5658 -4.2994 -4.0606 -3.8439 -3.6517 -3.4795 -3.3203 -3.1732 -3.0436 -2.9351
 -2.8267 -2.7011 -2.5690 -2.4442 -2.3318 -2.0979 -1.9179 -1.7791 -1.6720 -1.5880
 -1.5191 -1.4599 -1.4075 -1.3600 -1.3154 -1.2749 -1.2402 -1.2126 -1.1933 -1.1846
 -4.5057 -4.2460 -4.0135 -3.7982 -3.6040 -3.4312 -3.2745 -3.1285 -2.9913 -2.8659
 -2.7534 -2.6510 -2.5459 -2.4346 -2.3241 -2.0884 -1.9088 -1.7725 -1.6697 -1.5917
 -1.5296 -1.4769 -1.4301 -1.3872 -1.3473 -1.3085 -1.2729 -1.2434 -1.2222 -1.2106
 -1.2082
 -4.4635 -4.2073 -3.9805 -3.7681 -3.5727 -3.3967 -3.2400 -3.0972 -2.9638 -2.8377
 -2.7199 -2.6109 -2.5107 -2.4149 -2.3181 -2.0867 -1.9041 -1.7677 -1.6664 -1.5918
 -1.5355 -1.4894 -1.4489 -1.4118 -1.3768 -1.3415 -1.3077 -1.2782 -1.2551 -1.2399
 -1.2337
 -4.4429 -4.1837 -3.9567 -3.7473 -3.5524 -3.3735 -3.2131 -3.0696 -2.9390 -2.8168
 -2.7012 -2.5918 -2.4890 -2.3932 -2.3025 -2.0876 -1.9027 -1.7636 -1.6618 -1.5882
 -1.5352 -1.4949 -1.4613 -1.4309 -1.4021 -1.3740 -1.3470 -1.3225 -1.3007 -1.2814
 -1.2642
 -4.4453 -4.1764 -3.9459 -3.7397 -3.5457 -3.3658 -3.2008 -3.0526 -2.9204 -2.8000
 -2.6878 -2.5814 -2.4801 -2.3842 -2.2937 -2.0878 -1.9078 -1.7644 -1.6597 -1.5846
 -1.5321 -1.4950 -1.4670 -1.4435 -1.4217 -1.4003 -1.3791 -1.3581 -1.3377 -1.3191
 -1.3016
 -4.4640 -4.1856 -3.9494 -3.7413 -3.5471 -3.3672 -3.2001 -3.0467 -2.9089 -2.7858
 -2.6741 -2.5704 -2.4722 -2.3784 -2.2891 -2.0863 -1.9113 -1.7677 -1.6593 -1.5816
 -1.5276 -1.4909 -1.4661 -1.4481 -1.4332 -1.4191 -1.4049 -1.3901 -1.3750 -1.3601
 -1.3464
 -4.4933 -4.2113 -3.9672 -3.7506 -3.5550 -3.3746 -3.2066 -3.0509 -2.9077 -2.7785
 -2.6631 -2.5588 -2.4624 -2.3714 -2.2844 -2.0854 -1.9133 -1.7707 -1.6600
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  g   
 -5.6797 -5.4383 -5.0687 -4.7028 -4.3629 -4.0714 -3.8404 -3.6343 -3.4412 -3.2618
