 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.5874 -1.5823 -1.7653 -1.7742 -1.7031 -1.5788 -1.4223 -1.3229 -1.2343 -1.1407
 -1.0512 -0.9660 -0.8876 -0.8175 -0.7570 -0.6336 -0.5796 -0.5858 -0.5869
 -1.5926 -1.5244 -1.4690 -1.4419 -1.4447 -1.4228 -1.3540 -1.2675 -1.1827 -1.1004
 -1.0207 -0.9454 -0.8764 -0.8150 -0.7615 -0.6631 -0.6112 -0.5954 -0.6005 -0.6169
 -1.4751 -1.4129 -1.3498 -1.2936 -1.2509 -1.2348 -1.2311 -1.2008 -1.1418 -1.0705
 -1.0000 -0.9320 -0.8692 -0.8131 -0.7645 -0.6748 -0.6271 -0.6138 -0.6206 -0.6372
 -0.6600
 -1.3664 -1.3206 -1.2657 -1.2090 -1.1564 -1.1115 -1.0802 -1.0683 -1.0563 -1.0248
 -0.9751 -0.9184 -0.8627 -0.8118 -0.7673 -0.6848 -0.6402 -0.6286 -0.6370 -0.6544
 -0.6768 -0.7030
 -1.2545 -1.2289 -1.1897 -1.1421 -1.0924 -1.0455 -1.0039 -0.9692 -0.9471 -0.9317
 -0.9141 -0.8853 -0.8474 -0.8059 -0.7664 -0.6909 -0.6490 -0.6390 -0.6491 -0.6684
 -0.6915 -0.7176 -0.7464 -0.7782
 -1.1386 -1.1296 -1.1090 -1.0764 -1.0363 -0.9937 -0.9532 -0.9163 -0.8839 -0.8569
 -0.8370 -0.8210 -0.8026 -0.7799 -0.7542 -0.6915 -0.6526 -0.6438 -0.6556 -0.6781
 -0.7035 -0.7307 -0.7599 -0.7910 -0.8242 -0.8600 -0.8989 -0.9415 -0.9879 -1.0383
 -1.0216 -1.0247 -1.0194 -1.0026 -0.9764 -0.9436 -0.9083 -0.8740 -0.8427 -0.8141
 -0.7888 -0.7678 -0.7511 -0.7363 -0.7212 -0.6823 -0.6503 -0.6408 -0.6552 -0.6819
 -0.7114 -0.7414 -0.7721 -0.8038 -0.8368 -0.8700 -0.9051 -0.9442 -0.9888 -1.0391
 -1.0917
 -0.9062 -0.9177 -0.9226 -0.9187 -0.9065 -0.8869 -0.8614 -0.8329 -0.8049 -0.7790
 -0.7554 -0.7340 -0.7152 -0.6998 -0.6867 -0.6605 -0.6408 -0.6340 -0.6486 -0.6785
 -0.7132 -0.7476 -0.7814 -0.8151 -0.8492 -0.8836 -0.9180 -0.9542 -0.9942 -1.0397
 -1.0916
 -0.7954 -0.8123 -0.8235 -0.8274 -0.8267 -0.8192 -0.8056 -0.7869 -0.7653 -0.7433
 -0.7229 -0.7044 -0.6877 -0.6728 -0.6598 -0.6368 -0.6247 -0.6234 -0.6377 -0.6690
 -0.7081 -0.7481 -0.7866 -0.8239 -0.8604 -0.8965 -0.9326 -0.9693 -1.0083 -1.0496
 -1.0931
 -0.6919 -0.7122 -0.7270 -0.7367 -0.7419 -0.7430 -0.7400 -0.7320 -0.7200 -0.7047
 -0.6887 -0.6738 -0.6605 -0.6484 -0.6375 -0.6169 -0.6075 -0.6097 -0.6248 -0.6553
 -0.6960 -0.7404 -0.7843 -0.8265 -0.8669 -0.9058 -0.9441 -0.9818 -1.0197 -1.0586
 -1.0993
 -0.5974 -0.6177 -0.6341 -0.6468 -0.6563 -0.6628 -0.6666 -0.6677 -0.6652 -0.6590
 -0.6498 -0.6398 -0.6303 -0.6218 -0.6144 -0.5995 -0.5918 -0.5960 -0.6124 -0.6412
 -0.6812 -0.7271 -0.7750 -0.8222 -0.8675 -0.9107 -0.9522 -0.9924 -1.0317 -1.0710
 -1.1109
 -0.5094 -0.5189 -0.5321 -0.5473 -0.5626 -0.5767 -0.5883 -0.5967 -0.6019 -0.6041
 -0.6035 -0.6004 -0.5959 -0.5916 -0.5878 -0.5812 -0.5777 -0.5828 -0.5999
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.8699 -1.8791 -1.8521 -1.7462 -1.6129 -1.4812 -1.3694 -1.2774 -1.1936 -1.1136
 -1.0373 -0.9648 -0.8966 -0.8332 -0.7756 -0.6583 -0.5902 -0.5690 -0.5705
 -1.6989 -1.6335 -1.6141 -1.6189 -1.5570 -1.4493 -1.3398 -1.2468 -1.1661 -1.0908
 -1.0195 -0.9517 -0.8882 -0.8296 -0.7768 -0.6739 -0.6123 -0.5883 -0.5904 -0.6061
 -1.5940 -1.5164 -1.4475 -1.4018 -1.3971 -1.3818 -1.3116 -1.2238 -1.1448 -1.0739
 -1.0072 -0.9440 -0.8847 -0.8301 -0.7810 -0.6861 -0.6292 -0.6064 -0.6091 -0.6251
 -0.6479
 -1.5034 -1.4365 -1.3644 -1.2946 -1.2396 -1.2110 -1.2058 -1.1809 -1.1220 -1.0571
 -0.9955 -0.9368 -0.8815 -0.8306 -0.7847 -0.6963 -0.6431 -0.6210 -0.6239 -0.6406
 -0.6634 -0.6901
 -1.4113 -1.3623 -1.3011 -1.2357 -1.1736 -1.1184 -1.0767 -1.0537 -1.0446 -1.0198
 -0.9765 -0.9260 -0.8757 -0.8284 -0.7856 -0.7028 -0.6528 -0.6316 -0.6348 -0.6526
 -0.6765 -0.7034 -0.7331 -0.7665
 -1.3150 -1.2819 -1.2377 -1.1832 -1.1253 -1.0696 -1.0185 -0.9744 -0.9422 -0.9250
 -0.9124 -0.8911 -0.8589 -0.8204 -0.7820 -0.7049 -0.6579 -0.6376 -0.6412 -0.6608
 -0.6868 -0.7152 -0.7454 -0.7775 -0.8111 -0.8472 -0.8869 -0.9311 -0.9799 -1.0313
