 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -4.7875 -4.7133 -4.9292 -4.8525 -4.6353 -4.3526 -4.0486 -3.8369 -3.6481 -3.4572
 -3.2818 -3.1199 -2.9698 -2.8297 -2.6970 -2.4164 -2.1503 -1.9216 -1.7829
 -4.7803 -4.5276 -4.3273 -4.1919 -4.1127 -3.9987 -3.8159 -3.6145 -3.4272 -3.2514
 -3.0868 -2.9342 -2.7939 -2.6647 -2.5453 -2.2825 -2.0665 -1.8998 -1.7789 -1.6897
 -4.5465 -4.2959 -4.0772 -3.8934 -3.7445 -3.6424 -3.5591 -3.4323 -3.2719 -3.1055
 -2.9520 -2.8100 -2.6792 -2.5594 -2.4499 -2.2153 -2.0284 -1.8845 -1.7783 -1.6984
 -1.6357
 -4.3647 -4.1317 -3.9176 -3.7283 -3.5630 -3.4189 -3.2994 -3.2092 -3.1161 -2.9940
 -2.8564 -2.7233 -2.6009 -2.4886 -2.3858 -2.1691 -2.0016 -1.8757 -1.7813 -1.7093
 -1.6515 -1.6035
 -4.2139 -4.0020 -3.8007 -3.6161 -3.4511 -3.3035 -3.1710 -3.0534 -2.9570 -2.8683
 -2.7716 -2.6606 -2.5474 -2.4410 -2.3438 -2.1385 -1.9830 -1.8690 -1.7849 -1.7205
 -1.6679 -1.6233 -1.5848 -1.5517
 -4.0890 -3.8923 -3.7074 -3.5314 -3.3705 -3.2253 -3.0939 -2.9747 -2.8671 -2.7703
 -2.6826 -2.5964 -2.5040 -2.4084 -2.3159 -2.1188 -1.9698 -1.8627 -1.7862 -1.7295
 -1.6828 -1.6427 -1.6074 -1.5760 -1.5468 -1.5214 -1.5018 -1.4894 -1.4855 -1.4907
 -3.9897 -3.8018 -3.6281 -3.4633 -3.3079 -3.1660 -3.0371 -2.9199 -2.8139 -2.7166
 -2.6261 -2.5412 -2.4595 -2.3778 -2.2954 -2.1063 -1.9605 -1.8553 -1.7838 -1.7337
 -1.6939 -1.6594 -1.6286 -1.6006 -1.5748 -1.5493 -1.5268 -1.5105 -1.5031 -1.5058
 -1.5169
 -3.9161 -3.7314 -3.5622 -3.4049 -3.2570 -3.1185 -2.9917 -2.8766 -2.7724 -2.6773
 -2.5893 -2.5061 -2.4262 -2.3494 -2.2744 -2.0987 -1.9547 -1.8495 -1.7785 -1.7321
 -1.6987 -1.6709 -1.6459 -1.6227 -1.6009 -1.5800 -1.5586 -1.5399 -1.5274 -1.5241
 -1.5317
 -3.8682 -3.6821 -3.5121 -3.3529 -3.2114 -3.0780 -2.9534 -2.8392 -2.7361 -2.6423
 -2.5562 -2.4762 -2.4000 -2.3262 -2.2545 -2.0889 -1.9500 -1.8448 -1.7716 -1.7255
 -1.6961 -1.6748 -1.6567 -1.6397 -1.6233 -1.6068 -1.5908 -1.5756 -1.5637 -1.5553
 -1.5502
 -3.8458 -3.6548 -3.4807 -3.3217 -3.1767 -3.0444 -2.9231 -2.8100 -2.7066 -2.6132
 -2.5281 -2.4499 -2.3767 -2.3061 -2.2380 -2.0806 -1.9463 -1.8417 -1.7668 -1.7184
 -1.6893 -1.6717 -1.6597 -1.6498 -1.6399 -1.6294 -1.6185 -1.6071 -1.5961 -1.5865
 -1.5777
 -3.8448 -3.6465 -3.4663 -3.3026 -3.1539 -3.0189 -2.8965 -2.7851 -2.6820 -2.5876
 -2.5024 -2.4248 -2.3532 -2.2862 -2.2222 -2.0722 -1.9417 -1.8382 -1.7627 -1.7117
 -1.6810 -1.6640 -1.6555 -1.6514 -1.6484 -1.6449 -1.6403 -1.6345 -1.6279 -1.6212
 -1.6154
 -3.8485 -3.6410 -3.4549 -3.2875 -3.1364 -2.9997 -2.8754 -2.7622 -2.6589 -2.5648
 -2.4791 -2.4011 -2.3302 -2.2647 -2.2032 -2.0620 -1.9363 -1.8342 -1.7581
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  V   
 -5.1697 -5.0595 -4.9059 -4.6374 -4.3392 -4.0580 -3.8180 -3.6132 -3.4260 -3.2507
 -3.0877 -2.9387 -2.8031 -2.6791 -2.5648 -2.3192 -2.1013 -1.9136 -1.7778
 -4.8044 -4.5687 -4.4341 -4.3479 -4.1583 -3.9065 -3.6654 -3.4588 -3.2765 -3.1075
 -2.9512 -2.8089 -2.6801 -2.5638 -2.4580 -2.2301 -2.0416 -1.8878 -1.7695 -1.6806
 -4.6061 -4.3416 -4.1259 -3.9640 -3.8715 -3.7599 -3.5645 -3.3566 -3.1746 -3.0123
 -2.8623 -2.7256 -2.6019 -2.4903 -2.3895 -2.1767 -2.0064 -1.8710 -1.7669 -1.6874
 -1.6248
 -4.4744 -4.2123 -3.9823 -3.7804 -3.6143 -3.4927 -3.4038 -3.2788 -3.1099 -2.9501
 -2.8051 -2.6735 -2.5540 -2.4458 -2.3482 -2.1438 -1.9843 -1.8610 -1.7676 -1.6961
 -1.6388 -1.5910
