 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F350LP
 -2.6291 -2.5744 -2.5144 -2.4558 -2.4007 -2.3589 -2.3950 -2.3668 -2.3276 -2.2706
 -2.1979 -2.1326 -2.0466 -1.9538 -1.8664 -1.6849 -1.5539 -1.4631 -1.3958
 -2.5710 -2.4587 -2.3837 -2.3422 -2.3266 -2.3096 -2.2822 -2.2486 -2.2114 -2.1697
 -2.1162 -2.0473 -1.9681 -1.8887 -1.8145 -1.6588 -1.5422 -1.4591 -1.4009 -1.3596
 -2.5083 -2.4105 -2.3250 -2.2553 -2.2054 -2.1787 -2.1702 -2.1574 -2.1286 -2.0862
 -2.0400 -1.9871 -1.9214 -1.8501 -1.7823 -1.6400 -1.5352 -1.4608 -1.4086 -1.3712
 -1.3436
 -2.4496 -2.3652 -2.2862 -2.2147 -2.1532 -2.1048 -2.0701 -2.0488 -2.0344 -2.0112
 -1.9734 -1.9304 -1.8790 -1.8183 -1.7569 -1.6255 -1.5297 -1.4632 -1.4168 -1.3833
 -1.3583 -1.3392
 -2.3730 -2.3068 -2.2417 -2.1781 -2.1178 -2.0637 -2.0182 -1.9817 -1.9523 -1.9279
 -1.9021 -1.8693 -1.8320 -1.7854 -1.7338 -1.6136 -1.5244 -1.4644 -1.4240 -1.3948
 -1.3729 -1.3561 -1.3428 -1.3315
 -2.2785 -2.2310 -2.1827 -2.1324 -2.0804 -2.0291 -1.9813 -1.9393 -1.9033 -1.8711
 -1.8407 -1.8103 -1.7800 -1.7448 -1.7044 -1.6017 -1.5183 -1.4626 -1.4279 -1.4040
 -1.3862 -1.3724 -1.3615 -1.3529 -1.3450 -1.3389 -1.3364 -1.3387 -1.3469 -1.3615
 -2.1739 -2.1402 -2.1079 -2.0724 -2.0329 -1.9900 -1.9461 -1.9039 -1.8657 -1.8315
 -1.7993 -1.7677 -1.7366 -1.7056 -1.6720 -1.5859 -1.5106 -1.4578 -1.4269 -1.4085
 -1.3958 -1.3862 -1.3788 -1.3729 -1.3680 -1.3629 -1.3594 -1.3597 -1.3654 -1.3778
 -1.3973
 -2.0614 -2.0408 -2.0207 -1.9984 -1.9721 -1.9409 -1.9051 -1.8675 -1.8310 -1.7967
 -1.7651 -1.7348 -1.7046 -1.6748 -1.6439 -1.5678 -1.5008 -1.4507 -1.4215 -1.4070
 -1.3997 -1.3954 -1.3925 -1.3905 -1.3889 -1.3874 -1.3850 -1.3841 -1.3872 -1.3965
 -1.4134
 -1.9491 -1.9384 -1.9267 -1.9141 -1.8989 -1.8790 -1.8539 -1.8244 -1.7928 -1.7611
 -1.7311 -1.7028 -1.6753 -1.6480 -1.6199 -1.5498 -1.4889 -1.4423 -1.4133 -1.4003
 -1.3969 -1.3980 -1.4008 -1.4038 -1.4066 -1.4088 -1.4109 -1.4142 -1.4190 -1.4250
 -1.4321
 -1.8370 -1.8330 -1.8310 -1.8250 -1.8175 -1.8072 -1.7924 -1.7727 -1.7490 -1.7228
 -1.6962 -1.6704 -1.6458 -1.6218 -1.5975 -1.5344 -1.4778 -1.4338 -1.4051 -1.3914
 -1.3892 -1.3939 -1.4017 -1.4104 -1.4186 -1.4258 -1.4321 -1.4377 -1.4470 -1.4526
 -1.4559
 -1.7251 -1.7246 -1.7336 -1.7358 -1.7325 -1.7284 -1.7217 -1.7112 -1.6964 -1.6781
 -1.6572 -1.6354 -1.6140 -1.5933 -1.5728 -1.5194 -1.4668 -1.4252 -1.3972 -1.3826
 -1.3797 -1.3852 -1.3962 -1.4096 -1.4234 -1.4362 -1.4479 -1.4581 -1.4673 -1.4761
 -1.4854
 -1.6134 -1.6132 -1.6345 -1.6475 -1.6477 -1.6474 -1.6459 -1.6422 -1.6354 -1.6253
 -1.6119 -1.5962 -1.5792 -1.5621 -1.5458 -1.5048 -1.4559 -1.4165 -1.3896
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F350LP
 -2.7005 -2.6352 -2.5760 -2.5226 -2.4720 -2.4263 -2.4064 -2.3635 -2.3113 -2.2480
 -2.1729 -2.0950 -2.0082 -1.9224 -1.8428 -1.6747 -1.5483 -1.4570 -1.3920
 -2.6067 -2.5176 -2.4614 -2.4106 -2.3618 -2.3194 -2.2825 -2.2469 -2.2076 -2.1606
 -2.1030 -2.0331 -1.9551 -1.8775 -1.8050 -1.6527 -1.5381 -1.4553 -1.3968 -1.3543
 -2.5712 -2.4523 -2.3557 -2.2868 -2.2509 -2.2301 -2.2021 -2.1659 -2.1271 -2.0869
 -2.0417 -1.9872 -1.9204 -1.8491 -1.7811 -1.6384 -1.5324 -1.4566 -1.4036 -1.3657
 -1.3378
 -2.5503 -2.4315 -2.3267 -2.2392 -2.1714 -2.1241 -2.1000 -2.0894 -2.0695 -2.0336
 -1.9906 -1.9445 -1.8907 -1.8277 -1.7652 -1.6291 -1.5293 -1.4589 -1.4108 -1.3767
 -1.3514 -1.3321
 -2.5190 -2.4108 -2.3114 -2.2230 -2.1472 -2.0852 -2.0374 -2.0030 -1.9827 -1.9679
 -1.9418 -1.9049 -1.8605 -1.8078 -1.7505 -1.6224 -1.5270 -1.4608 -1.4171 -1.3871
 -1.3649 -1.3480 -1.3349 -1.3248
 -2.4681 -2.3759 -2.2885 -2.2076 -2.1338 -2.0681 -2.0118 -1.9654 -1.9276 -1.8975
 -1.8741 -1.8498 -1.8199 -1.7810 -1.7343 -1.6162 -1.5244 -1.4608 -1.4207 -1.3952
 -1.3771 -1.3633 -1.3526 -1.3443 -1.3378 -1.3332 -1.3312 -1.3330 -1.3412 -1.3560
 -2.3970 -2.3221 -2.2501 -2.1811 -2.1152 -2.0529 -1.9953 -1.9440 -1.8995 -1.8608
 -1.8266 -1.7961 -1.7691 -1.7403 -1.7054 -1.6073 -1.5202 -1.4584 -1.4204 -1.3991
 -1.3858 -1.3763 -1.3691 -1.3635 -1.3591 -1.3557 -1.3540 -1.3547 -1.3594 -1.3721
 -1.3917
 -2.3104 -2.2515 -2.1947 -2.1393 -2.0844 -2.0301 -1.9768 -1.9256 -1.8787 -1.8366
 -1.7985 -1.7635 -1.7316 -1.7015 -1.6714 -1.5903 -1.5132 -1.4535 -1.4165 -1.3978
 -1.3893 -1.3848 -1.3821 -1.3804 -1.3792 -1.3783 -1.3782 -1.3792 -1.3820 -1.3905
 -1.4077
 -2.2140 -2.1683 -2.1244 -2.0816 -2.0387 -1.9945 -1.9488 -1.9024 -1.8571 -1.8143
 -1.7752 -1.7392 -1.7056 -1.6739 -1.6432 -1.5690 -1.5012 -1.4461 -1.4097 -1.3918
 -1.3865 -1.3872 -1.3899 -1.3931 -1.3962 -1.3990 -1.4018 -1.4048 -1.4087 -1.4149
 -1.4263
 -2.1161 -2.0802 -2.0463 -2.0137 -1.9811 -1.9471 -1.9105 -1.8716 -1.8313 -1.7911
 -1.7527 -1.7170 -1.6840 -1.6528 -1.6228 -1.5511 -1.4882 -1.4376 -1.4021 -1.3837
 -1.3792 -1.3831 -1.3907 -1.3994 -1.4078 -1.4155 -1.4225 -1.4288 -1.4350 -1.4420
 -1.4498
 -2.0204 -1.9914 -1.9639 -1.9388 -1.9143 -1.8889 -1.8611 -1.8305 -1.7973 -1.7624
 -1.7272 -1.6931 -1.6612 -1.6315 -1.6033 -1.5360 -1.4760 -1.4284 -1.3944 -1.3752
 -1.3699 -1.3746 -1.3852 -1.3986 -1.4125 -1.4257 -1.4379 -1.4489 -1.4589 -1.4685
 -1.4786
 -1.9301 -1.9054 -1.8826 -1.8616 -1.8423 -1.8233 -1.8028 -1.7797 -1.7540 -1.7259
 -1.6961 -1.6657 -1.6373 -1.6085 -1.5847 -1.5237 -1.4646 -1.4185 -1.3866
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F350LP
 -2.8983 -2.8234 -2.7599 -2.7030 -2.6473 -2.5866 -2.5153 -2.4313 -2.3415 -2.2506
 -2.1588 -2.0672 -1.9778 -1.8956 -1.8209 -1.6631 -1.5413 -1.4502 -1.3856
 -2.8004 -2.7114 -2.6356 -2.5694 -2.5088 -2.4501 -2.3889 -2.3213 -2.2503 -2.1778
 -2.1025 -2.0233 -1.9423 -1.8650 -1.7940 -1.6454 -1.5328 -1.4498 -1.3905 -1.3480
 -2.7045 -2.6024 -2.5319 -2.4703 -2.4084 -2.3493 -2.2924 -2.2346 -2.1758 -2.1165
 -2.0552 -1.9892 -1.9174 -1.8449 -1.7771 -1.6349 -1.5285 -1.4510 -1.3963 -1.3575
 -1.3291
 -2.6776 -2.5454 -2.4349 -2.3489 -2.2902 -2.2545 -2.2174 -2.1704 -2.1182 -2.0651
 -2.0121 -1.9574 -1.8969 -1.8310 -1.7665 -1.6294 -1.5272 -1.4535 -1.4023 -1.3668
 -1.3412 -1.3218
 -2.6695 -2.5314 -2.4075 -2.3020 -2.2157 -2.1507 -2.1076 -2.0805 -2.0587 -2.0236
 -1.9771 -1.9272 -1.8754 -1.8184 -1.7585 -1.6264 -1.5272 -1.4562 -1.4078 -1.3755
 -1.3529 -1.3360 -1.3231 -1.3135
 -2.6567 -2.5233 -2.3995 -2.2895 -2.1952 -2.1170 -2.0538 -2.0043 -1.9686 -1.9470
 -1.9263 -1.8945 -1.8521 -1.8032 -1.7499 -1.6237 -1.5270 -1.4579 -1.4117 -1.3823
 -1.3633 -1.3497 -1.3393 -1.3316 -1.3258 -1.3218 -1.3208 -1.3242 -1.3329 -1.3475
 -2.6264 -2.5055 -2.3894 -2.2832 -2.1889 -2.1068 -2.0366 -1.9775 -1.9285 -1.8883
 -1.8572 -1.8338 -1.8092 -1.7766 -1.7351 -1.6200 -1.5256 -1.4578 -1.4129 -1.3860
