 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  w   
 -2.3919 -2.3516 -2.5399 -2.5136 -2.3873 -2.2004 -1.9846 -1.8416 -1.7144 -1.5807
 -1.4538 -1.3339 -1.2227 -1.1204 -1.0270 -0.8300 -0.6744 -0.5464 -0.4676
 -2.3842 -2.2488 -2.1365 -2.0648 -2.0331 -1.9727 -1.8568 -1.7233 -1.5966 -1.4748
 -1.3574 -1.2466 -1.1440 -1.0502 -0.9648 -0.7840 -0.6443 -0.5417 -0.4692 -0.4173
 -2.2271 -2.0967 -1.9721 -1.8619 -1.7731 -1.7200 -1.6827 -1.6122 -1.5103 -1.3974
 -1.2890 -1.1860 -1.0902 -1.0025 -0.9231 -0.7571 -0.6315 -0.5403 -0.4757 -0.4288
 -0.3938
 -2.0917 -1.9793 -1.8624 -1.7492 -1.6463 -1.5570 -1.4868 -1.4407 -1.3937 -1.3224
 -1.2323 -1.1388 -1.0500 -0.9680 -0.8934 -0.7381 -0.6226 -0.5409 -0.4832 -0.4411
 -0.4090 -0.3838
 -1.9623 -1.8721 -1.7717 -1.6671 -1.5654 -1.4718 -1.3883 -1.3158 -1.2600 -1.2113
 -1.1573 -1.0896 -1.0146 -0.9402 -0.8707 -0.7243 -0.6157 -0.5410 -0.4898 -0.4529
 -0.4242 -0.4014 -0.3829 -0.3683
 -1.8373 -1.7642 -1.6839 -1.5942 -1.5012 -1.4105 -1.3265 -1.2506 -1.1828 -1.1231
 -1.0711 -1.0216 -0.9672 -0.9080 -0.8480 -0.7126 -0.6092 -0.5390 -0.4931 -0.4621
 -0.4381 -0.4185 -0.4024 -0.3890 -0.3768 -0.3671 -0.3617 -0.3617 -0.3684 -0.3822
 -1.7196 -1.6577 -1.5934 -1.5197 -1.4397 -1.3574 -1.2770 -1.2021 -1.1345 -1.0731
 -1.0166 -0.9646 -0.9160 -0.8679 -0.8185 -0.6995 -0.6019 -0.5334 -0.4917 -0.4665
 -0.4483 -0.4334 -0.4209 -0.4101 -0.4008 -0.3916 -0.3844 -0.3816 -0.3851 -0.3961
 -0.4147
 -1.6122 -1.5566 -1.5011 -1.4402 -1.3740 -1.3034 -1.2308 -1.1597 -1.0937 -1.0339
 -0.9791 -0.9277 -0.8789 -0.8329 -0.7883 -0.6831 -0.5931 -0.5266 -0.4861 -0.4646
 -0.4524 -0.4435 -0.4360 -0.4293 -0.4232 -0.4174 -0.4110 -0.4064 -0.4065 -0.4136
 -0.4290
 -1.5180 -1.4651 -1.4126 -1.3571 -1.3019 -1.2427 -1.1804 -1.1167 -1.0545 -0.9965
 -0.9438 -0.8953 -0.8495 -0.8054 -0.7627 -0.6647 -0.5817 -0.5185 -0.4775 -0.4575
 -0.4496 -0.4468 -0.4455 -0.4442 -0.4427 -0.4407 -0.4387 -0.4370 -0.4377 -0.4412
 -0.4471
 -1.4401 -1.3873 -1.3347 -1.2821 -1.2298 -1.1777 -1.1252 -1.0704 -1.0150 -0.9607
 -0.9100 -0.8639 -0.8212 -0.7802 -0.7406 -0.6490 -0.5705 -0.5100 -0.4692 -0.4481
 -0.4415 -0.4429 -0.4475 -0.4526 -0.4569 -0.4601 -0.4625 -0.4642 -0.4658 -0.4683
