 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -2.6422 -2.5832 -2.7787 -2.7078 -2.5228 -2.2831 -2.0262 -1.8537 -1.7030 -1.5497
 -1.4082 -1.2784 -1.1607 -1.0536 -0.9548 -0.7509 -0.5724 -0.4165 -0.3497
 -2.6515 -2.4437 -2.2747 -2.1619 -2.1006 -2.0092 -1.8593 -1.6971 -1.5501 -1.4138
 -1.2861 -1.1681 -1.0600 -0.9613 -0.8709 -0.6783 -0.5312 -0.4280 -0.3599 -0.3148
 -2.4681 -2.2657 -2.0813 -1.9237 -1.7986 -1.7190 -1.6596 -1.5648 -1.4421 -1.3147
 -1.1982 -1.0910 -0.9927 -0.9029 -0.8209 -0.6482 -0.5191 -0.4295 -0.3700 -0.3295
 -0.3017
 -2.3213 -2.1395 -1.9624 -1.7997 -1.6574 -1.5381 -1.4450 -1.3811 -1.3184 -1.2327
 -1.1323 -1.0342 -0.9448 -0.8628 -0.7876 -0.6289 -0.5118 -0.4326 -0.3801 -0.3440
 -0.3182 -0.3000
 -2.1920 -2.0345 -1.8741 -1.7183 -1.5750 -1.4488 -1.3411 -1.2507 -1.1823 -1.1238
 -1.0605 -0.9851 -0.9062 -0.8313 -0.7626 -0.6155 -0.5063 -0.4344 -0.3883 -0.3571
 -0.3342 -0.3174 -0.3056 -0.2985
 -2.0765 -1.9373 -1.7976 -1.6549 -1.5175 -1.3911 -1.2801 -1.1849 -1.1046 -1.0371
 -0.9790 -0.9235 -0.8637 -0.8006 -0.7388 -0.6038 -0.5006 -0.4331 -0.3920 -0.3667
 -0.3481 -0.3341 -0.3240 -0.3172 -0.3130 -0.3125 -0.3169 -0.3272 -0.3441 -0.3679
 -1.9762 -1.8484 -1.7244 -1.5975 -1.4701 -1.3483 -1.2369 -1.1393 -1.0570 -0.9872
 -0.9257 -0.8698 -0.8171 -0.7650 -0.7123 -0.5901 -0.4932 -0.4268 -0.3899 -0.3705
 -0.3579 -0.3483 -0.3412 -0.3364 -0.3336 -0.3310 -0.3311 -0.3370 -0.3512 -0.3742
 -0.4022
 -1.8926 -1.7705 -1.6545 -1.5399 -1.4251 -1.3116 -1.2033 -1.1047 -1.0197 -0.9484
 -0.8876 -0.8329 -0.7812 -0.7321 -0.6846 -0.5743 -0.4838 -0.4191 -0.3828 -0.3673
