 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  r   
 -1.2942 -0.4587 -0.0322 -0.0075 -0.4759 -1.1574 -2.0285 -1.8990 -1.7766 -1.6492
 -1.5186 -1.4397 -1.2912 -1.1472 -1.0144 -0.7580 -0.5668 -0.4397 -0.3576
 -2.7040 -2.3679 -2.1276 -1.9735 -1.8766 -1.7905 -1.7007 -1.6116 -1.5254 -1.4402
 -1.3468 -1.2404 -1.1260 -1.0144 -0.9114 -0.6970 -0.5407 -0.4354 -0.3670 -0.3222
 -2.5051 -2.1922 -1.9528 -1.7733 -1.6444 -1.5600 -1.5061 -1.4501 -1.3781 -1.2955
 -1.2142 -1.1308 -1.0374 -0.9407 -0.8502 -0.6632 -0.5289 -0.4383 -0.3784 -0.3380
 -0.3103
 -2.3534 -2.0761 -1.8552 -1.6789 -1.5398 -1.4331 -1.3531 -1.2945 -1.2465 -1.1890
 -1.1173 -1.0445 -0.9687 -0.8874 -0.8077 -0.6402 -0.5212 -0.4425 -0.3901 -0.3537
 -0.3280 -0.3098
 -2.2098 -1.9713 -1.7758 -1.6128 -1.4761 -1.3636 -1.2730 -1.2000 -1.1393 -1.0863
 -1.0326 -0.9724 -0.9105 -0.8429 -0.7746 -0.6237 -0.5147 -0.4448 -0.3999 -0.3683
 -0.3451 -0.3282 -0.3163 -0.3071
 -2.0650 -1.8623 -1.6942 -1.5496 -1.4231 -1.3130 -1.2190 -1.1407 -1.0747 -1.0161
 -0.9614 -0.9078 -0.8559 -0.8007 -0.7429 -0.6095 -0.5078 -0.4431 -0.4050 -0.3794
 -0.3602 -0.3459 -0.3355 -0.3283 -0.3236 -0.3225 -0.3264 -0.3364 -0.3531 -0.3770
 -1.9248 -1.7491 -1.6054 -1.4803 -1.3678 -1.2655 -1.1739 -1.0940 -1.0258 -0.9665
 -0.9121 -0.8598 -0.8097 -0.7611 -0.7114 -0.5940 -0.4997 -0.4374 -0.4035 -0.3843
 -0.3710 -0.3609 -0.3535 -0.3483 -0.3450 -0.3419 -0.3415 -0.3469 -0.3606 -0.3833
 -0.4114
 -1.7914 -1.6377 -1.5121 -1.4035 -1.3054 -1.2140 -1.1285 -1.0509 -0.9826 -0.9231
 -0.8703 -0.8212 -0.7738 -0.7283 -0.6830 -0.5771 -0.4905 -0.4293 -0.3963 -0.3817
 -0.3748 -0.3706 -0.3678 -0.3662 -0.3656 -0.3658 -0.3656 -0.3677 -0.3755 -0.3915
 -0.4174
 -1.6665 -1.5329 -1.4185 -1.3215 -1.2351 -1.1542 -1.0773 -1.0049 -0.9388 -0.8800
 -0.8285 -0.7823 -0.7391 -0.6977 -0.6566 -0.5591 -0.4788 -0.4203 -0.3862 -0.3727
 -0.3706 -0.3729 -0.3764 -0.3800 -0.3835 -0.3869 -0.3906 -0.3964 -0.4044 -0.4145
 -0.4265
 -1.5502 -1.4347 -1.3334 -1.2421 -1.1626 -1.0903 -1.0218 -0.9561 -0.8942 -0.8377
 -0.7874 -0.7432 -0.7034 -0.6664 -0.6305 -0.5427 -0.4674 -0.4114 -0.3765 -0.3614
