 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F460M
 -0.4924 -0.5636 -0.6353 -0.7074 -0.7797 -0.9589 -1.1307 -1.2920 -1.4438 -1.5893
 -1.7353 -1.8810 -2.0211 -2.1548 -2.2825 -2.4050 -2.5229 -2.6367 -2.7467 -2.8531
 -2.9562
 -0.0160 -0.0546 -0.0886 -0.1232 -0.1605 -0.2036 -0.2525 -0.3077 -0.3686 -0.4338
 -0.5010 -0.5692 -0.6380 -0.7069 -0.7761 -0.9498 -1.1209 -1.2842 -1.4380 -1.5846
 -1.7308 -1.8778 -2.0198 -2.1547 -2.2833 -2.4063 -2.5245 -2.6382 -2.7479 -2.8540
 -2.9587
 -0.0659 -0.1101 -0.1475 -0.1818 -0.2152 -0.2528 -0.2951 -0.3420 -0.3947 -0.4538
 -0.5164 -0.5811 -0.6467 -0.7128 -0.7792 -0.9458 -1.1127 -1.2756 -1.4308 -1.5783
 -1.7240 -1.8714 -2.0153 -2.1525 -2.2826 -2.4066 -2.5255 -2.6396 -2.7494 -2.8555
 -2.9581
 -0.1128 -0.1672 -0.2110 -0.2470 -0.2792 -0.3118 -0.3485 -0.3895 -0.4341 -0.4847
 -0.5410 -0.6006 -0.6623 -0.7250 -0.7884 -0.9478 -1.1085 -1.2682 -1.4232
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F460M
  0.2088  0.1440  0.0818  0.0129 -0.0546 -0.1226 -0.1945 -0.2645 -0.3255 -0.3990
 -0.4799 -0.5594 -0.6368 -0.7116 -0.7841 -0.9551 -1.1120 -1.2505 -1.3788
  0.2523  0.1617  0.0817  0.0144 -0.0599 -0.1349 -0.2099 -0.2839 -0.3504 -0.4281
 -0.5098 -0.5903 -0.6689 -0.7451 -0.8188 -0.9926 -1.1500 -1.2866 -1.4105 -1.5377
  0.2566  0.1922  0.1111  0.0195 -0.0552 -0.1327 -0.2123 -0.2901 -0.3628 -0.4378
 -0.5193 -0.6002 -0.6794 -0.7565 -0.8313 -1.0075 -1.1669 -1.3054 -1.4306 -1.5591
 -1.6965
  0.2480  0.1907  0.1266  0.0506 -0.0396 -0.1273 -0.2068 -0.2875 -0.3656 -0.4388
 -0.5188 -0.5994 -0.6789 -0.7565 -0.8320 -1.0103 -1.1724 -1.3151 -1.4444 -1.5742
 -1.7100 -1.8505
  0.2338  0.1795  0.1213  0.0557 -0.0197 -0.1042 -0.1953 -0.2810 -0.3614 -0.4379
 -0.5139 -0.5936 -0.6728 -0.7506 -0.8265 -1.0065 -1.1716 -1.3193 -1.4536 -1.5851
 -1.7198 -1.8591 -1.9966 -2.1296
  0.2139  0.1635  0.1081  0.0479 -0.0201 -0.0954 -0.1765 -0.2621 -0.3497 -0.4327
 -0.5086 -0.5860 -0.6643 -0.7419 -0.8179 -0.9992 -1.1669 -1.3195 -1.4590 -1.5927
 -1.7271 -1.8653 -2.0024 -2.1350 -2.2630 -2.3867 -2.5065 -2.6226 -2.7353 -2.8446
  0.1869  0.1420  0.0908  0.0341 -0.0284 -0.0977 -0.1728 -0.2516 -0.3327 -0.4157
 -0.4976 -0.5773 -0.6555 -0.7324 -0.8081 -0.9900 -1.1600 -1.3167 -1.4611 -1.5976
 -1.7322 -1.8697 -2.0067 -2.1392 -2.2666 -2.3897 -2.5088 -2.6241 -2.7357 -2.8440
 -2.9498
  0.1534  0.1130  0.0676  0.0158 -0.0425 -0.1069 -0.1768 -0.2508 -0.3274 -0.4052
 -0.4834 -0.5621 -0.6418 -0.7206 -0.7974 -0.9802 -1.1517 -1.3117 -1.4602 -1.5998
 -1.7354 -1.8725 -2.0094 -2.1422 -2.2696 -2.3924 -2.5109 -2.6255 -2.7365 -2.8440
 -2.9484
  0.1155  0.0766  0.0360 -0.0099 -0.0628 -0.1224 -0.1875 -0.2570 -0.3297 -0.4041
 -0.4791 -0.5543 -0.6305 -0.7075 -0.7844 -0.9707 -1.1446 -1.3072 -1.4590 -1.6015
 -1.7387 -1.8760 -2.0134 -2.1467 -2.2747 -2.3976 -2.5162 -2.6307 -2.7413 -2.8483
 -2.9519
  0.0753  0.0363 -0.0029 -0.0436 -0.0903 -0.1437 -0.2031 -0.2674 -0.3358 -0.4066
 -0.4787 -0.5513 -0.6244 -0.6980 -0.7720 -0.9560 -1.1332 -1.2988 -1.4531 -1.5980
 -1.7366 -1.8742 -2.0121 -2.1462 -2.2750 -2.3984 -2.5172 -2.6315 -2.7419 -2.8487
 -2.9520
  0.0351 -0.0096 -0.0480 -0.0859 -0.1272 -0.1742 -0.2271 -0.2853 -0.3482 -0.4148
