 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -4.9317 -4.8638 -5.0641 -4.9938 -4.7994 -4.5423 -4.2605 -4.0681 -3.8947 -3.7169
 -3.5498 -3.3955 -3.2531 -3.1217 -2.9978 -2.7333 -2.4771 -2.2355 -2.0947
 -4.9235 -4.6966 -4.5146 -4.3923 -4.3232 -4.2213 -4.0547 -3.8702 -3.6977 -3.5342
 -3.3792 -3.2348 -3.1014 -2.9783 -2.8638 -2.6088 -2.3930 -2.2193 -2.0879 -1.9877
 -4.7118 -4.4878 -4.2878 -4.1182 -3.9817 -3.8903 -3.8177 -3.7042 -3.5574 -3.4026
 -3.2576 -3.1223 -2.9970 -2.8817 -2.7755 -2.5440 -2.3533 -2.1997 -2.0818 -1.9908
 -1.9182
 -4.5435 -4.3379 -4.1429 -3.9671 -3.8131 -3.6800 -3.5709 -3.4901 -3.4071 -3.2956
 -3.1668 -3.0399 -2.9222 -2.8133 -2.7130 -2.4971 -2.3241 -2.1872 -2.0803 -1.9973
 -1.9304 -1.8744
 -4.3995 -4.2153 -4.0346 -3.8639 -3.7090 -3.5705 -3.4472 -3.3381 -3.2494 -3.1682
 -3.0792 -2.9752 -2.8672 -2.7643 -2.6692 -2.4645 -2.3030 -2.1778 -2.0810 -2.0054
 -1.9440 -1.8922 -1.8473 -1.8082
 -4.2751 -4.1068 -3.9438 -3.7836 -3.6332 -3.4957 -3.3718 -3.2598 -3.1590 -3.0685
 -2.9865 -2.9058 -2.8186 -2.7272 -2.6375 -2.4419 -2.2879 -2.1702 -2.0810 -2.0127
 -1.9571 -1.9100 -1.8690 -1.8323 -1.7975 -1.7661 -1.7400 -1.7208 -1.7098 -1.7076
 -4.1705 -4.0119 -3.8615 -3.7148 -3.5718 -3.4381 -3.3155 -3.2045 -3.1044 -3.0127
 -2.9273 -2.8469 -2.7694 -2.6914 -2.6121 -2.4262 -2.2769 -2.1629 -2.0790 -2.0166
 -1.9673 -1.9257 -1.8893 -1.8565 -1.8264 -1.7974 -1.7711 -1.7499 -1.7356 -1.7297
 -1.7339
 -4.0856 -3.9319 -3.7878 -3.6506 -3.5178 -3.3897 -3.2698 -3.1600 -3.0610 -2.9710
 -2.8878 -2.8089 -2.7327 -2.6592 -2.5870 -2.4152 -2.2695 -2.1573 -2.0751 -2.0162
 -1.9723 -1.9368 -1.9060 -1.8781 -1.8524 -1.8279 -1.8034 -1.7815 -1.7649 -1.7561
 -1.7564
 -4.0205 -3.8678 -3.7255 -3.5887 -3.4649 -3.3444 -3.2289 -3.1208 -3.0224 -2.9333
 -2.8519 -2.7762 -2.7036 -2.6330 -2.5640 -2.4025 -2.2631 -2.1524 -2.0698 -2.0118
 -1.9713 -1.9411 -1.9165 -1.8947 -1.8744 -1.8547 -1.8358 -1.8179 -1.8030 -1.7913
 -1.7826
 -3.9754 -3.8210 -3.6774 -3.5435 -3.4187 -3.3021 -3.1925 -3.0877 -2.9900 -2.9010
 -2.8203 -2.7464 -2.6772 -2.6101 -2.5447 -2.3918 -2.2579 -2.1491 -2.0663 -2.0072
 -1.9670 -1.9398 -1.9203 -1.9048 -1.8907 -1.8769 -1.8634 -1.8498 -1.8369 -1.8253
 -1.8149
 -3.9461 -3.7874 -3.6408 -3.5052 -3.3797 -3.2635 -3.1558 -3.0554 -2.9602 -2.8715
 -2.7906 -2.7172 -2.6498 -2.5866 -2.5257 -2.3809 -2.2519 -2.1455 -2.0632 -2.0029
 -1.9616 -1.9347 -1.9179 -1.9072 -1.8993 -1.8921 -1.8848 -1.8769 -1.8688 -1.8608
 -1.8538
 -3.9159 -3.7471 -3.5965 -3.4611 -3.3380 -3.2249 -3.1197 -3.0211 -2.9287 -2.8425
 -2.7626 -2.6890 -2.6221 -2.5607 -2.5029 -2.3680 -2.2449 -2.1411 -2.0595
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.3003 -5.2078 -5.0714 -4.8234 -4.5453 -4.2825 -4.0603 -3.8731 -3.7023 -3.5412
 -3.3892 -3.2478 -3.1175 -2.9975 -2.8866 -2.6475 -2.4334 -2.2394 -2.0970
 -4.9710 -4.7588 -4.6383 -4.5626 -4.3881 -4.1533 -3.9284 -3.7372 -3.5695 -3.4132
 -3.2664 -3.1304 -3.0059 -2.8925 -2.7888 -2.5635 -2.3733 -2.2127 -2.0835 -1.9827
 -4.7909 -4.5519 -4.3529 -4.2031 -4.1199 -4.0195 -3.8392 -3.6457 -3.4763 -3.3251
 -3.1833 -3.0519 -2.9316 -2.8223 -2.7229 -2.5102 -2.3358 -2.1918 -2.0758 -1.9842
 -1.9108
 -4.6671 -4.4327 -4.2207 -4.0316 -3.8757 -3.7631 -3.6837 -3.5706 -3.4140 -3.2644
 -3.1269 -2.9998 -2.8830 -2.7767 -2.6802 -2.4751 -2.3106 -2.1782 -2.0726 -1.9889
 -1.9212 -1.8647
 -4.5727 -4.3501 -4.1407 -3.9508 -3.7820 -3.6315 -3.5047 -3.4050 -3.3220 -3.2144
 -3.0887 -2.9648 -2.8510 -2.7474 -2.6529 -2.4527 -2.2943 -2.1694 -2.0718 -1.9950
 -1.9328 -1.8806 -1.8357 -1.7968
 -4.5062 -4.2871 -4.0852 -3.8962 -3.7250 -3.5711 -3.4315 -3.3062 -3.1994 -3.1141
 -3.0316 -2.9345 -2.8294 -2.7279 -2.6352 -2.4385 -2.2835 -2.1631 -2.0711 -2.0005
 -1.9439 -1.8965 -1.8555 -1.8192 -1.7857 -1.7559 -1.7313 -1.7129 -1.7017 -1.6994
 -4.4502 -4.2377 -4.0434 -3.8586 -3.6872 -3.5321 -3.3921 -3.2646 -3.1485 -3.0457
 -2.9565 -2.8778 -2.7974 -2.7109 -2.6229 -2.4291 -2.2762 -2.1581 -2.0694 -2.0034
 -1.9525 -1.9105 -1.8743 -1.8419 -1.8125 -1.7842 -1.7589 -1.7390 -1.7263 -1.7220
 -1.7256
 -4.4101 -4.1998 -4.0121 -3.8318 -3.6622 -3.5057 -3.3648 -3.2375 -3.1216 -3.0157
 -2.9201 -2.8340 -2.7560 -2.6819 -2.6068 -2.4226 -2.2707 -2.1536 -2.0662 -2.0029
 -1.9568 -1.9204 -1.8896 -1.8623 -1.8371 -1.8117 -1.7879 -1.7680 -1.7538 -1.7468
 -1.7478
 -4.3913 -4.1760 -3.9879 -3.8118 -3.6445 -3.4879 -3.3449 -3.2159 -3.0998 -2.9944
 -2.8984 -2.8107 -2.7298 -2.6547 -2.5839 -2.4149 -2.2655 -2.1485 -2.0613 -1.9989
 -1.9555 -1.9242 -1.8993 -1.8778 -1.8580 -1.8392 -1.8215 -1.8061 -1.7931 -1.7822
 -1.7734
 -4.3981 -4.1694 -3.9760 -3.8024 -3.6375 -3.4818 -3.3367 -3.2045 -3.0860 -2.9794
