 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  r   
  0.5153  2.2878  3.3034  2.0511 -1.1633 -5.6487 -4.8041 -3.1169 -2.0630 -1.8816
 -1.6863 -1.5716 -1.9094 -2.3653 -2.4957 -2.1014
 -3.2149 -2.3054 -1.5227 -1.7211 -2.7822 -4.6817 -4.2575 -3.4360 -2.7927 -2.4915
 -2.2525 -2.1197 -2.2111 -2.3690 -2.3893 -2.0570 -1.8427 -1.7264 -1.7388
 -4.5975 -4.2218 -3.7261 -3.4494 -3.3964 -3.7632 -3.5892 -3.3044 -2.9998 -2.7349
 -2.5339 -2.4097 -2.3601 -2.3349 -2.2795 -2.0134 -1.8376 -1.7315 -1.6915 -1.6613
 -1.5889
 -3.6325 -3.4614 -3.3068 -3.1338 -3.0059 -2.8931 -2.7992 -2.7219 -2.6845 -2.6121
 -2.5305 -2.4416 -2.3565 -2.2628 -2.1663 -1.9706 -1.8287 -1.7362 -1.6763 -1.6382
 -1.6128 -1.5955 -1.5829
 -3.3151 -3.1933 -3.0779 -2.9546 -2.8457 -2.7436 -2.6518 -2.5713 -2.5013 -2.4374
 -2.3732 -2.3048 -2.2357 -2.1654 -2.0934 -1.9345 -1.8210 -1.7452 -1.6937 -1.6583
 -1.6336 -1.6162 -1.6036 -1.5960 -1.5938
 -3.0155 -2.9339 -2.8526 -2.7690 -2.6837 -2.5993 -2.5184 -2.4436 -2.3759 -2.3147
 -2.2582 -2.2035 -2.1473 -2.0927 -2.0356 -1.9056 -1.8116 -1.7489 -1.7058 -1.6748
 -1.6523 -1.6360 -1.6242 -1.6160 -1.6113 -1.6110
 -2.7336 -2.6832 -2.6309 -2.5770 -2.5199 -2.4602 -2.3990 -2.3388 -2.2813 -2.2272
 -2.1767 -2.1291 -2.0833 -2.0390 -1.9929 -1.8839 -1.8005 -1.7473 -1.7126 -1.6877
 -1.6689 -1.6549 -1.6446 -1.6370 -1.6320 -1.6299 -1.6312 -1.6401 -1.6591 -1.6833
 -2.4696 -2.4412 -2.4128 -2.3844 -2.3539 -2.3196 -2.2817 -2.2411 -2.1988 -2.1564
 -2.1147 -2.0740 -2.0347 -1.9968 -1.9593 -1.8666 -1.7909 -1.7408 -1.7118 -1.6938
 -1.6808 -1.6708 -1.6634 -1.6579 -1.6540 -1.6518 -1.6508 -1.6545 -1.6669 -1.6894
 -1.7178
 -2.2356 -2.2216 -2.2100 -2.2007 -2.1908 -2.1786 -2.1629 -2.1427 -2.1182 -2.0903
 -2.0597 -2.0278 -1.9954 -1.9631 -1.9308 -1.8514 -1.7819 -1.7328 -1.7048 -1.6916
 -1.6851 -1.6811 -1.6782 -1.6763 -1.6751 -1.6746 -1.6754 -1.6771 -1.6832 -1.6978
 -1.7234
 -2.0286 -2.0281 -2.0302 -2.0346 -2.0394 -2.0435 -2.0451 -2.0428 -2.0355 -2.0226
 -2.0048 -1.9831 -1.9586 -1.9324 -1.9050 -1.8356 -1.7720 -1.7239 -1.6951 -1.6827
 -1.6807 -1.6833 -1.6868 -1.6902 -1.6933 -1.6960 -1.6990 -1.7027 -1.7081 -1.7180
 -1.7328
 -1.8497 -1.8613 -1.8738 -1.8871 -1.9019 -1.9166 -1.9303 -1.9417 -1.9491 -1.9506
 -1.9458 -1.9355 -1.9206 -1.9020 -1.8805 -1.8206 -1.7624 -1.7156 -1.6857 -1.6715
 -1.6702 -1.6769 -1.6867 -1.6966 -1.7055 -1.7132 -1.7202 -1.7267 -1.7335 -1.7416
 -1.7509
 -1.7085 -1.7212 -1.7379 -1.7583 -1.7799 -1.8014 -1.8230 -1.8433 -1.8610 -1.8735
 -1.8803 -1.8815 -1.8774 -1.8680 -1.8538 -1.8054 -1.7524 -1.7074 -1.6767 -1.6610
 -1.6582 -1.6653 -1.6788 -1.6945 -1.7100 -1.7239 -1.7362 -1.7473 -1.7575 -1.7675
 -1.7786
 -1.6049 -1.6077 -1.6225 -1.6482 -1.6734 -1.6979 -1.7252 -1.7510 -1.7750 -1.7949
 -1.8104 -1.8220 -1.8298 -1.8304 -1.8250 -1.7899 -1.7420 -1.6993 -1.6681
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  r   
 -4.0721 -3.7089 -3.4772 -3.3615 -3.3428 -3.6587 -3.4181 -3.2057 -3.0458 -2.9179
 -2.7440 -2.5679 -2.4862 -2.4572 -2.3929 -2.0867
 -3.9524 -3.6011 -3.3585 -3.2108 -3.1433 -3.2694 -3.1314 -2.9996 -2.8850 -2.7810
 -2.6588 -2.5350 -2.4451 -2.3752 -2.2917 -2.0332 -1.8459 -1.7248 -1.6483
 -3.8267 -3.4940 -3.2498 -3.0817 -2.9785 -2.9716 -2.8953 -2.8164 -2.7350 -2.6516
 -2.5661 -2.4789 -2.3900 -2.2997 -2.2080 -1.9893 -1.8319 -1.7278 -1.6605 -1.6174
 -1.5894
 -3.6950 -3.3876 -3.1511 -2.9742 -2.8483 -2.7653 -2.7098 -2.6560 -2.5958 -2.5295
 -2.4658 -2.3995 -2.3208 -2.2305 -2.1418 -1.9550 -1.8213 -1.7320 -1.6731 -1.6340
 -1.6076 -1.5899 -1.5780
 -3.5573 -3.2819 -3.0624 -2.8883 -2.7528 -2.6505 -2.5749 -2.5186 -2.4673 -2.4148
 -2.3579 -2.2969 -2.2375 -2.1677 -2.0931 -1.9303 -1.8141 -1.7374 -1.6860 -1.6506
 -1.6258 -1.6086 -1.5969 -1.5900 -1.5885
 -3.4136 -3.1769 -2.9837 -2.8240 -2.6920 -2.5849 -2.5001 -2.4326 -2.3769 -2.3274
 -2.2769 -2.2219 -2.1693 -2.1145 -2.0534 -1.9115 -1.8074 -1.7406 -1.6970 -1.6660
 -1.6436 -1.6276 -1.6162 -1.6088 -1.6050 -1.6051
 -3.2549 -3.0568 -2.8940 -2.7560 -2.6366 -2.5336 -2.4467 -2.3752 -2.3153 -2.2627
 -2.2131 -2.1638 -2.1137 -2.0689 -2.0180 -1.8952 -1.7998 -1.7394 -1.7030 -1.6780
 -1.6595 -1.6457 -1.6359 -1.6291 -1.6250 -1.6237 -1.6258 -1.6356 -1.6552 -1.6795
 -3.0877 -2.9231 -2.7888 -2.6746 -2.5731 -2.4812 -2.3986 -2.3273 -2.2664 -2.2136
 -2.1655 -2.1189 -2.0724 -2.0295 -1.9861 -1.8788 -1.7913 -1.7337 -1.7020 -1.6837
 -1.6708 -1.6611 -1.6542 -1.6495 -1.6464 -1.6451 -1.6464 -1.6506 -1.6627 -1.6856
 -1.7142
 -2.7754 -2.7393 -2.6730 -2.5796 -2.4964 -2.4195 -2.3468 -2.2798 -2.2206 -2.1691
 -2.1230 -2.0800 -2.0380 -1.9969 -1.9582 -1.8620 -1.7822 -1.7256 -1.6933 -1.6813
 -1.6713 -1.6712 -1.6688 -1.6676 -1.6673 -1.6675 -1.6692 -1.6753 -1.6861 -1.7011
 -1.7199
