 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -8.1582 -7.9450 -8.1058 -8.0259 -7.8035 -7.4448 -6.9819 -6.6982 -6.4186 -6.1281
 -5.8518 -5.5963 -5.3585 -5.1327 -4.9135 -4.4217 -3.9071 -3.4287 -3.0864
 -7.9871 -7.6255 -7.3409 -7.1470 -7.0265 -6.8705 -6.6278 -6.3423 -6.0564 -5.7756
 -5.5067 -5.2562 -5.0246 -4.8087 -4.6048 -4.1310 -3.6972 -3.3262 -3.0387 -2.8178
 -7.6485 -7.2888 -6.9751 -6.7146 -6.5028 -6.3493 -6.2188 -6.0308 -5.7859 -5.5186
 -5.2576 -5.0115 -4.7853 -4.5777 -4.3860 -3.9589 -3.5817 -3.2549 -2.9969 -2.7979
 -2.6384
 -7.3701 -7.0405 -6.7326 -6.4606 -6.2222 -6.0085 -5.8215 -5.6686 -5.5071 -5.2999
 -5.0654 -4.8317 -4.6116 -4.4096 -4.2256 -3.8300 -3.4955 -3.2079 -2.9726 -2.7909
 -2.6449 -2.5215
 -7.1177 -6.8293 -6.5456 -6.2808 -6.0414 -5.8212 -5.6130 -5.4167 -5.2433 -5.0767
 -4.8971 -4.6963 -4.4917 -4.2969 -4.1178 -3.7411 -3.4355 -3.1754 -2.9611 -2.7930
 -2.6580 -2.5440 -2.4435 -2.3530
 -6.8832 -6.6316 -6.3822 -6.1360 -5.9049 -5.6901 -5.4859 -5.2873 -5.0956 -4.9133
 -4.7442 -4.5784 -4.4042 -4.2260 -4.0538 -3.6861 -3.3977 -3.1569 -2.9580 -2.8001
 -2.6743 -2.5687 -2.4756 -2.3910 -2.3092 -2.2319 -2.1623 -2.1028 -2.0553 -2.0208
 -6.6669 -6.4455 -6.2270 -6.0068 -5.7900 -5.5848 -5.3893 -5.1997 -5.0137 -4.8304
 -4.6540 -4.4881 -4.3301 -4.1738 -4.0175 -3.6595 -3.3776 -3.1495 -2.9601 -2.8092
 -2.6904 -2.5925 -2.5070 -2.4292 -2.3570 -2.2893 -2.2263 -2.1682 -2.1154 -2.0709
 -2.0458
 -6.4693 -6.2724 -6.0780 -5.8829 -5.6863 -5.4922 -5.3059 -5.1272 -4.9524 -4.7784
 -4.6064 -4.4400 -4.2821 -4.1327 -3.9889 -3.6529 -3.3720 -3.1494 -2.9660 -2.8186
 -2.7041 -2.6127 -2.5347 -2.4643 -2.3990 -2.3373 -2.2779 -2.2224 -2.1730 -2.1312
 -2.0980
 -6.2906 -6.1135 -5.9376 -5.7590 -5.5838 -5.4063 -5.2298 -5.0587 -4.8942 -4.7319
 -4.5698 -4.4093 -4.2540 -4.1061 -3.9657 -3.6468 -3.3735 -3.1518 -2.9725 -2.8267
