 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.2362 -5.1696 -5.3692 -5.2984 -5.1045 -4.8482 -4.5677 -4.3761 -4.2039 -4.0271
 -3.8615 -3.7080 -3.5670 -3.4367 -3.3147 -3.0563 -2.8042 -2.5701 -2.4354
 -5.2297 -5.0032 -4.8215 -4.6997 -4.6309 -4.5294 -4.3636 -4.1802 -4.0090 -3.8469
 -3.6934 -3.5504 -3.4185 -3.2969 -3.1839 -2.9333 -2.7227 -2.5547 -2.4284 -2.3326
 -5.0194 -4.7957 -4.5962 -4.4272 -4.2912 -4.2004 -4.1285 -4.0160 -3.8705 -3.7172
 -3.5738 -3.4401 -3.3166 -3.2029 -3.0982 -2.8710 -2.6851 -2.5368 -2.4237 -2.3368
 -2.2677
 -4.8526 -4.6473 -4.4526 -4.2773 -4.1240 -3.9916 -3.8834 -3.8036 -3.7217 -3.6118
 -3.4846 -3.3595 -3.2435 -3.1365 -3.0379 -2.8262 -2.6576 -2.5256 -2.4233 -2.3441
 -2.2804 -2.2273
 -4.7103 -4.5263 -4.3458 -4.1754 -4.0209 -3.8832 -3.7608 -3.6529 -3.5655 -3.4857
 -3.3982 -3.2960 -3.1898 -3.0888 -2.9955 -2.7951 -2.6378 -2.5171 -2.4246 -2.3527
 -2.2943 -2.2451 -2.2027 -2.1658
 -4.5876 -4.4194 -4.2565 -4.0965 -3.9463 -3.8094 -3.6862 -3.5754 -3.4760 -3.3869
 -3.3064 -3.2273 -3.1419 -3.0523 -2.9646 -2.7735 -2.6234 -2.5100 -2.4250 -2.3602
 -2.3076 -2.2630 -2.2242 -2.1896 -2.1569 -2.1275 -2.1034 -2.0862 -2.0771 -2.0767
 -4.4848 -4.3262 -4.1756 -4.0290 -3.8862 -3.7528 -3.6308 -3.5206 -3.4218 -3.3316
 -3.2478 -3.1689 -3.0931 -3.0169 -2.9393 -2.7580 -2.6128 -2.5028 -2.4229 -2.3642
 -2.3178 -2.2786 -2.2444 -2.2135 -2.1852 -2.1579 -2.1334 -2.1140 -2.1015 -2.0975
 -2.1033
 -4.4019 -4.2479 -4.1035 -3.9664 -3.8336 -3.7056 -3.5861 -3.4769 -3.3788 -3.2901
 -3.2084 -3.1312 -3.0566 -2.9848 -2.9143 -2.7468 -2.6053 -2.4970 -2.4186 -2.3635
 -2.3227 -2.2896 -2.2610 -2.2350 -2.2109 -2.1881 -2.1652 -2.1448 -2.1298 -2.1225
 -2.1244
 -4.3390 -4.1857 -4.0429 -3.9060 -3.7821 -3.6617 -3.5463 -3.4386 -3.3408 -3.2526
 -3.1726 -3.0984 -3.0275 -2.9585 -2.8912 -2.7339 -2.5986 -2.4918 -2.4129 -2.3586
 -2.3213 -2.2938 -2.2713 -2.2514 -2.2326 -2.2145 -2.1971 -2.1806 -2.1671 -2.1568
 -2.1494
 -4.2960 -4.1408 -3.9965 -3.8623 -3.7373 -3.6207 -3.5112 -3.4065 -3.3092 -3.2208
 -3.1411 -3.0685 -3.0008 -2.9353 -2.8716 -2.7229 -2.5929 -2.4880 -2.4089 -2.3534
 -2.3165 -2.2921 -2.2749 -2.2612 -2.2487 -2.2364 -2.2242 -2.2120 -2.2003 -2.1899
 -2.1807
 -4.2689 -4.1092 -3.9619 -3.8258 -3.6999 -3.5835 -3.4758 -3.3755 -3.2805 -3.1921
 -3.1118 -3.0394 -2.9733 -2.9116 -2.8524 -2.7117 -2.5866 -2.4839 -2.4052 -2.3484
 -2.3105 -2.2865 -2.2721 -2.2634 -2.2572 -2.2514 -2.2454 -2.2388 -2.2317 -2.2248
 -2.2189
 -4.2408 -4.0712 -3.9199 -3.7838 -3.6602 -3.5467 -3.4412 -3.3424 -3.2500 -3.1640
 -3.0845 -3.0116 -2.9457 -2.8855 -2.8293 -2.6984 -2.5792 -2.4791 -2.4011
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.6069 -5.5146 -5.3782 -5.1305 -4.8529 -4.5908 -4.3696 -4.1833 -4.0138 -3.8540
 -3.7032 -3.5630 -3.4339 -3.3151 -3.2054 -2.9704 -2.7603 -2.5720 -2.4352
 -5.2789 -5.0669 -4.9466 -4.8711 -4.6970 -4.4629 -4.2389 -4.0490 -3.8826 -3.7279
 -3.5826 -3.4480 -3.3248 -3.2127 -3.1103 -2.8886 -2.7027 -2.5471 -2.4230 -2.3267
 -5.0999 -4.8612 -4.6625 -4.5131 -4.4302 -4.3303 -4.1509 -3.9586 -3.7907 -3.6411
 -3.5011 -3.3713 -3.2525 -3.1447 -3.0468 -2.8377 -2.6674 -2.5279 -2.4167 -2.3293
 -2.2595
 -4.9775 -4.7433 -4.5315 -4.3428 -4.1873 -4.0753 -3.9965 -3.8844 -3.7293 -3.5813
 -3.4456 -3.3203 -3.2053 -3.1006 -3.0057 -2.8045 -2.6439 -2.5157 -2.4144 -2.3347
 -2.2704 -2.2169
 -4.8844 -4.6619 -4.4527 -4.2630 -4.0945 -3.9446 -3.8187 -3.7199 -3.6379 -3.5319
 -3.4079 -3.2859 -3.1740 -3.0722 -2.9795 -2.7834 -2.6287 -2.5078 -2.4142 -2.3412
 -2.2823 -2.2330 -2.1905 -2.1539
 -4.8195 -4.6003 -4.3984 -4.2096 -4.0385 -3.8850 -3.7461 -3.6217 -3.5161 -3.4321
 -3.3511 -3.2558 -3.1526 -3.0530 -2.9621 -2.7698 -2.6186 -2.5020 -2.4139 -2.3470
 -2.2936 -2.2489 -2.2103 -2.1762 -2.1447 -2.1169 -2.0943 -2.0779 -2.0688 -2.0684
 -4.7653 -4.5524 -4.3580 -4.1731 -4.0018 -3.8470 -3.7074 -3.5807 -3.4656 -3.3641
 -3.2764 -3.1992 -3.1205 -3.0358 -2.9498 -2.7606 -2.6116 -2.4972 -2.4122 -2.3498
 -2.3022 -2.2629 -2.2289 -2.1986 -2.1711 -2.1446 -2.1211 -2.1029 -2.0920 -2.0895
 -2.0949
 -4.7269 -4.5161 -4.3281 -4.1477 -3.9781 -3.8217 -3.6809 -3.5541 -3.4391 -3.3343
 -3.2401 -3.1555 -3.0791 -3.0067 -2.9333 -2.7537 -2.6060 -2.4926 -2.4088 -2.3492
 -2.3063 -2.2726 -2.2441 -2.2187 -2.1953 -2.1716 -2.1494 -2.1311 -2.1185 -2.1131
 -2.1158
 -4.7104 -4.4941 -4.3055 -4.1291 -3.9617 -3.8051 -3.6622 -3.5334 -3.4178 -3.3132
 -3.2184 -3.1322 -3.0529 -2.9794 -2.9103 -2.7456 -2.6004 -2.4872 -2.4036 -2.3447
 -2.3047 -2.2762 -2.2536 -2.2340 -2.2160 -2.1988 -2.1826 -2.1687 -2.1571 -2.1477
 -2.1402
 -4.7198 -4.4894 -4.2955 -4.1213 -3.9562 -3.8003 -3.6552 -3.5231 -3.4048 -3.2987
 -3.2034 -3.1171 -3.0380 -2.9644 -2.8950 -2.7372 -2.5978 -2.4843 -2.3996 -2.3397
 -2.3001 -2.2743 -2.2568 -2.2432 -2.2313 -2.2198 -2.2087 -2.1977 -2.1873 -2.1784
 -2.1706
 -4.7488 -4.5028 -4.2996 -4.1224 -3.9578 -3.8029 -3.6573 -3.5218 -3.3991 -3.2894
 -3.1915 -3.1040 -3.0249 -2.9521 -2.8837 -2.7287 -2.5940 -2.4821 -2.3963 -2.3349
 -2.2939 -2.2686 -2.2538 -2.2451 -2.2393 -2.2342 -2.2292 -2.2236 -2.2178 -2.2123
 -2.2077
 -4.7920 -4.5341 -4.3180 -4.1315 -3.9652 -3.8109 -3.6655 -3.5290 -3.4022 -3.2873
 -3.1849 -3.0939 -3.0127 -2.9396 -2.8723 -2.7211 -2.5895 -2.4796 -2.3935
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.8081 -5.6099 -5.2887 -4.9647 -4.6602 -4.4005 -4.2004 -4.0264 -3.8658 -3.7174
 -3.5781 -3.4483 -3.3284 -3.2183 -3.1173 -2.9001 -2.7184 -2.5610 -2.4286
 -5.3553 -5.2594 -5.1451 -4.8820 -4.5960 -4.3321 -4.1133 -3.9345 -3.7742 -3.6280
 -3.4913 -3.3643 -3.2475 -3.1411 -3.0444 -2.8400 -2.6734 -2.5327 -2.4147 -2.3188
 -5.1733 -4.9401 -4.8068 -4.7365 -4.5472 -4.2988 -4.0684 -3.8771 -3.7154 -3.5710
 -3.4369 -3.3124 -3.1979 -3.0938 -2.9996 -2.8021 -2.6440 -2.5140 -2.4066 -2.3193
 -2.2486
 -5.0891 -4.8264 -4.6087 -4.4475 -4.3561 -4.2487 -4.0522 -3.8507 -3.6799 -3.5348
 -3.4031 -3.2809 -3.1684 -3.0659 -2.9731 -2.7793 -2.6262 -2.5026 -2.4027 -2.3223
 -2.2570 -2.2029
 -5.0415 -4.7758 -4.5399 -4.3365 -4.1681 -4.0401 -3.9519 -3.8313 -3.6665 -3.5130
 -3.3821 -3.2621 -3.1513 -3.0501 -2.9582 -2.7663 -2.6157 -2.4961 -2.4013 -2.3264
 -2.2662 -2.2162 -2.1737 -2.1365
 -5.0190 -4.7525 -4.5111 -4.2962 -4.1065 -3.9426 -3.8051 -3.6959 -3.6076 -3.4972
 -3.3702 -3.2510 -3.1415 -3.0415 -2.9503 -2.7592 -2.6097 -2.4922 -2.4008 -2.3302
 -2.2748 -2.2295 -2.1908 -2.1571 -2.1268 -2.1006 -2.0795 -2.0641 -2.0555 -2.0556
 -5.0188 -4.7498 -4.5042 -4.2834 -4.0871 -3.9143 -3.7610 -3.6246 -3.5074 -3.4125
 -3.3285 -3.2367 -3.1359 -3.0371 -2.9464 -2.7557 -2.6061 -2.4894 -2.4000 -2.3324
 -2.2813 -2.2408 -2.2067 -2.1770 -2.1505 -2.1259 -2.1046 -2.0882 -2.0779 -2.0751
 -2.0816
 -5.0349 -4.7654 -4.5153 -4.2883 -4.0856 -3.9058 -3.7469 -3.6048 -3.4771 -3.3636
 -3.2659 -3.1844 -3.1081 -3.0278 -2.9440 -2.7541 -2.6039 -2.4869 -2.3981 -2.3323
 -2.2845 -2.2487 -2.2197 -2.1948 -2.1724 -2.1520 -2.1323 -2.1154 -2.1036 -2.0987
 -2.1020
 -5.0712 -4.7930 -4.5409 -4.3080 -4.0972 -3.9104 -3.7453 -3.5989 -3.4678 -3.3495
 -3.2435 -3.1505 -3.0697 -2.9971 -2.9270 -2.7516 -2.6011 -2.4832 -2.3943 -2.3291
 -2.2833 -2.2513 -2.2276 -2.2082 -2.1910 -2.1752 -2.1607 -2.1486 -2.1388 -2.1313
 -2.1258
 -5.1325 -4.8426 -4.5823 -4.3471 -4.1295 -3.9331 -3.7596 -3.6067 -3.4712 -3.3498
 -3.2406 -3.1427 -3.0558 -2.9782 -2.9078 -2.7479 -2.6009 -2.4816 -2.3913 -2.3254
 -2.2797 -2.2498 -2.2302 -2.2163 -2.2049 -2.1946 -2.1851 -2.1759 -2.1675 -2.1607
 -2.1567
 -5.2169 -4.8977 -4.6329 -4.3961 -4.1771 -3.9735 -3.7896 -3.6271 -3.4844 -3.3579
 -3.2451 -3.1440 -3.0535 -2.9725 -2.8991 -2.7403 -2.6011 -2.4811 -2.3887 -2.3212
 -2.2745 -2.2447 -2.2274 -2.2178 -2.2121 -2.2078 -2.2041 -2.2002 -2.1963 -2.1928
 -2.1903
 -5.3240 -4.9755 -4.6937 -4.4521 -4.2309 -4.0259 -3.8366 -3.6635 -3.5103 -3.3756
 -3.2568 -3.1513 -3.0571 -2.9729 -2.8970 -2.7348 -2.5989 -2.4817 -2.3873
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.8451 -5.5639 -5.2070 -4.8826 -4.5859 -4.3305 -4.1309 -3.9614 -3.8076 -3.6628
 -3.5280 -3.4023 -3.2860 -3.1792 -3.0812 -2.8708 -2.6982 -2.5506 -2.4229
 -5.4502 -5.3801 -5.1407 -4.8291 -4.5385 -4.2748 -4.0617 -3.8860 -3.7308 -3.5875
 -3.4545 -3.3308 -3.2168 -3.1125 -3.0176 -2.8177 -2.6573 -2.5230 -2.4090 -2.3139
 -5.2021 -5.0112 -4.9477 -4.7872 -4.5180 -4.2586 -4.0285 -3.8415 -3.6833 -3.5410
 -3.4098 -3.2880 -3.1757 -3.0731 -2.9799 -2.7853 -2.6314 -2.5053 -2.4003 -2.3133
 -2.2421
 -5.1269 -4.8573 -4.6596 -4.5555 -4.4649 -4.2551 -4.0256 -3.8228 -3.6563 -3.5127
 -3.3832 -3.2631 -3.1522 -3.0508 -2.9586 -2.7665 -2.6161 -2.4948 -2.3959 -2.3150
 -2.2492 -2.1945
 -5.1007 -4.8138 -4.5691 -4.3734 -4.2308 -4.1416 -4.0169 -3.8279 -3.6478 -3.4972
 -3.3677 -3.2492 -3.1396 -3.0391 -2.9475 -2.7564 -2.6076 -2.4890 -2.3941 -2.3180
 -2.2569 -2.2063 -2.1635 -2.1263
 -5.1040 -4.8076 -4.5479 -4.3239 -4.1364 -3.9811 -3.8614 -3.7686 -3.6469 -3.4956
 -3.3599 -3.2419 -3.1334 -3.0337 -2.9426 -2.7516 -2.6031 -2.4858 -2.3935 -2.3210
 -2.2640 -2.2178 -2.1789 -2.1452 -2.1160 -2.0910 -2.0702 -2.0551 -2.0470 -2.0473
 -5.1331 -4.8274 -4.5560 -4.3187 -4.1134 -3.9369 -3.7844 -3.6533 -3.5477 -3.4570
 -3.3520 -3.2391 -3.1313 -3.0322 -2.9416 -2.7502 -2.6009 -2.4838 -2.3928 -2.3229
 -2.2695 -2.2276 -2.1931 -2.1634 -2.1373 -2.1144 -2.0949 -2.0792 -2.0685 -2.0662
 -2.0731
 -5.1801 -4.8700 -4.5874 -4.3375 -4.1197 -3.9313 -3.7671 -3.6224 -3.4944 -3.3832
 -3.2903 -3.2079 -3.1225 -3.0318 -2.9426 -2.7508 -2.6003 -2.4824 -2.3918 -2.3231
