 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u   
 -7.5550 -7.5279 -7.6982 -7.6765 -7.5820 -7.4005 -7.1926 -7.0169 -6.8715 -6.7053
 -6.5331 -6.3521 -6.1658 -5.9777 -5.7889 -5.2965 -4.6022 -3.8642 -3.3608
 -7.4983 -7.3879 -7.2932 -7.2335 -7.2097 -7.1564 -7.0435 -6.8963 -6.7338 -6.5619
 -6.3753 -6.1772 -5.9726 -5.7630 -5.5448 -4.9261 -4.2151 -3.5924 -3.1507 -2.8540
 -7.3164 -7.2087 -7.0978 -6.9962 -6.9113 -6.8574 -6.8162 -6.7372 -6.6106 -6.4469
 -6.2544 -6.0338 -5.7983 -5.5550 -5.3058 -4.6480 -3.9595 -3.3666 -2.9525 -2.6827
 -2.5094
 -7.1500 -7.0583 -6.9494 -6.8377 -6.7314 -6.6304 -6.5390 -6.4675 -6.3923 -6.2804
 -6.1177 -5.9000 -5.6385 -5.3609 -5.0831 -4.4032 -3.7495 -3.1971 -2.7919 -2.5401
 -2.3823 -2.2861
 -6.9840 -6.9154 -6.8188 -6.7074 -6.5938 -6.4807 -6.3626 -6.2379 -6.1201 -6.0054
 -5.8799 -5.7120 -5.4845 -5.2054 -4.9089 -4.2179 -3.5978 -3.0679 -2.6717 -2.4253
 -2.2747 -2.1842 -2.1337 -2.1085
 -6.8192 -6.7692 -6.6936 -6.5904 -6.4757 -6.3575 -6.2342 -6.0969 -5.9424 -5.7770
 -5.6150 -5.4534 -5.2694 -5.0451 -4.7832 -4.1015 -3.5064 -2.9937 -2.5965 -2.3393
 -2.1855 -2.0948 -2.0440 -2.0204 -2.0158 -2.0227 -2.0348 -2.0468 -2.0546 -2.0555
 -6.6612 -6.6249 -6.5700 -6.4808 -6.3700 -6.2505 -6.1246 -5.9891 -5.8336 -5.6532
 -5.4572 -5.2605 -5.0680 -4.8699 -4.6516 -4.0400 -3.4657 -2.9695 -2.5662 -2.2865
 -2.1160 -2.0174 -1.9624 -1.9353 -1.9281 -1.9340 -1.9475 -1.9639 -1.9796 -1.9913
 -1.9961
 -6.5157 -6.4905 -6.4481 -6.3766 -6.2767 -6.1573 -6.0290 -5.8947 -5.7474 -5.5764
 -5.3792 -5.1675 -4.9541 -4.7471 -4.5421 -3.9993 -3.4553 -2.9778 -2.5722 -2.2688
 -2.0714 -1.9546 -1.8893 -1.8559 -1.8441 -1.8470 -1.8594 -1.8769 -1.8961 -1.9140
 -1.9286
 -6.3882 -6.3745 -6.3389 -6.2748 -6.1924 -6.0820 -5.9525 -5.8138 -5.6691 -5.5105
 -5.3291 -5.1241 -4.9064 -4.6887 -4.4774 -3.9659 -3.4553 -2.9918 -2.5953 -2.2764
 -2.0524 -1.9100 -1.8271 -1.7832 -1.7644 -1.7625 -1.7725 -1.7897 -1.8089 -1.8291
 -1.8500
 -6.2845 -6.2849 -6.2560 -6.2011 -6.1226 -6.0231 -5.9035 -5.7640 -5.6143 -5.4583
