 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.9820  0.0654  1.2926  1.5547  0.4851 -1.6282 -0.8783  0.3916  1.1596  1.2189
  1.2821  1.2600  0.8525  0.3619  0.1010  0.2307
 -0.8599 -0.4045  0.1864  0.3702  0.0078 -0.9305 -0.6133 -0.0547  0.3585  0.5083
  0.6159  0.6387  0.4782  0.2689  0.1588  0.2573  0.3170  0.3500  0.2955
 -0.6213 -0.4985 -0.3013 -0.1823 -0.1741 -0.3957 -0.3187 -0.1760 -0.0193  0.1173
  0.2124  0.2527  0.2375  0.2034  0.1920  0.2668  0.3015  0.3236  0.3076  0.2875
  0.2940
 -0.2662 -0.2166 -0.1705 -0.1028 -0.0605 -0.0238  0.0055  0.0277  0.0262  0.0459
  0.0715  0.1020  0.1305  0.1655  0.2006  0.2592  0.2967  0.3090  0.3053  0.2907
  0.2704  0.2461  0.2191
 -0.0719 -0.0549 -0.0358 -0.0047  0.0219  0.0487  0.0734  0.0948  0.1122  0.1268
  0.1423  0.1607  0.1798  0.2010  0.2243  0.2671  0.2865  0.2902  0.2836  0.2696
  0.2505  0.2277  0.2022  0.1736  0.1414
  0.1080  0.0999  0.0970  0.1006  0.1102  0.1239  0.1397  0.1556  0.1705  0.1840
  0.1960  0.2073  0.2199  0.2318  0.2463  0.2760  0.2840  0.2797  0.2685  0.2528
  0.2333  0.2108  0.1859  0.1587  0.1293  0.0967
  0.2734  0.2478  0.2279  0.2131  0.2044  0.2018  0.2044  0.2101  0.2177  0.2263
  0.2349  0.2432  0.2511  0.2580  0.2666  0.2859  0.2892  0.2775  0.2600  0.2403
  0.2188  0.1954  0.1702  0.1435  0.1152  0.0849  0.0520  0.0135 -0.0318 -0.0798
  0.4242  0.3888  0.3569  0.3282  0.3040  0.2855  0.2733  0.2664  0.2639  0.2645
  0.2673  0.2714  0.2761  0.2808  0.2854  0.2970  0.2981  0.2836  0.2603  0.2346
  0.2089  0.1829  0.1562  0.1287  0.1003  0.0709  0.0404  0.0064 -0.0336 -0.0805
 -0.1309
  0.5533  0.5147  0.4767  0.4393  0.4045  0.3735  0.3476  0.3277  0.3138  0.3047
  0.3000  0.2982  0.2984  0.3000  0.3026  0.3085  0.3082  0.2945  0.2689  0.2378
  0.2062  0.1755  0.1455  0.1158  0.0861  0.0562  0.0254 -0.0062 -0.0412 -0.0821
 -0.1307
  0.6632  0.6227  0.5815  0.5397  0.4988  0.4598  0.4241  0.3932  0.3681  0.3492
  0.3358  0.3270  0.3218  0.3192  0.3187  0.3207  0.3185  0.3063  0.2816  0.2483
  0.2115  0.1748  0.1397  0.1062  0.0737  0.0419  0.0102 -0.0220 -0.0554 -0.0924
 -0.1331
  0.7522  0.7121  0.6709  0.6288  0.5856  0.5428  0.5014  0.4628  0.4284  0.3997
  0.3773  0.3605  0.3485  0.3406  0.3359  0.3321  0.3289  0.3174  0.2951  0.2631
  0.2244  0.1831  0.1423  0.1034  0.0666  0.0315 -0.0025 -0.0361 -0.0697 -0.1043
 -0.1409
  0.8190  0.7829  0.7445  0.7041  0.6614  0.6180  0.5743  0.5316  0.4915  0.4561
  0.4258  0.4007  0.3808  0.3659  0.3558  0.3440  0.3384  0.3276  0.3072  0.2772
  0.2396  0.1970  0.1523  0.1081  0.0660  0.0263 -0.0115 -0.0478 -0.0832 -0.1184
 -0.1545
  0.8634  0.8351  0.8023  0.7656  0.7262  0.6854  0.6401  0.5962  0.5535  0.5142
  0.4784  0.4461  0.4169  0.3951  0.3783  0.3564  0.3470  0.3369  0.3179
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.1884 -0.1086 -0.0693 -0.0746 -0.1323 -0.3628 -0.2648 -0.1579 -0.0744 -0.0110
  0.0828  0.1704  0.1796  0.1502  0.1522  0.2771
 -0.2160 -0.1365 -0.0851 -0.0657 -0.0846 -0.2031 -0.1651 -0.1159 -0.0697 -0.0268
  0.0305  0.0877  0.1174  0.1326  0.1599  0.2691  0.3289  0.3525  0.3537
 -0.2192 -0.1446 -0.0878 -0.0522 -0.0427 -0.0814 -0.0775 -0.0647 -0.0446 -0.0184
  0.0126  0.0474  0.0852  0.1251  0.1665  0.2619  0.3119  0.3301  0.3291  0.3159
  0.2954
 -0.1980 -0.1329 -0.0774 -0.0341 -0.0067  0.0023 -0.0020 -0.0044  0.0009  0.0141
  0.0290  0.0495  0.0830  0.1277  0.1720  0.2555  0.2978  0.3110  0.3077  0.2946
  0.2751  0.2510  0.2234
 -0.1524 -0.1014 -0.0539 -0.0114  0.0234  0.0480  0.0614  0.0651  0.0668  0.0707
  0.0797  0.0939  0.1108  0.1404  0.1764  0.2499  0.2866  0.2952  0.2896  0.2759
  0.2569  0.2340  0.2078  0.1787  0.1458
 -0.0824 -0.0501 -0.0173  0.0159  0.0476  0.0750  0.0958  0.1096  0.1178  0.1230
  0.1299  0.1405  0.1504  0.1646  0.1875  0.2476  0.2803  0.2848  0.2754  0.2600
  0.2405  0.2178  0.1925  0.1647  0.1345  0.1014
  0.0104  0.0239  0.0392  0.0580  0.0799  0.1028  0.1239  0.1410  0.1535  0.1631
  0.1720  0.1814  0.1921  0.1991  0.2125  0.2523  0.2798  0.2815  0.2674  0.2482
  0.2267  0.2031  0.1775  0.1501  0.1211  0.0899  0.0562  0.0171 -0.0286 -0.0767
