 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -5.8391 -5.5951 -5.3651 -5.1351 -4.9064 -4.6847 -4.4781 -4.2875 -4.1073 -3.9302
 -3.7535 -3.5787 -3.4110 -3.2543 -3.1069 -2.7604 -2.4589 -2.2233 -2.0367 -1.8833
 -1.7593 -1.6620 -1.5840 -1.5177 -1.4580 -1.4023 -1.3501 -1.3019 -1.2576 -1.2168
 -1.1792
 -5.7354 -5.4990 -5.2811 -5.0723 -4.8604 -4.6496 -4.4447 -4.2523 -4.0741 -3.9052
 -3.7395 -3.5738 -3.4092 -3.2506 -3.1012 -2.7669 -2.4748 -2.2343 -2.0458 -1.8935
 -1.7703 -1.6740 -1.5996 -1.5396 -1.4874 -1.4395 -1.3947 -1.3521 -1.3119 -1.2746
 -1.2404
 -5.6487 -5.4105 -5.1988 -5.0032 -4.8074 -4.6132 -4.4189 -4.2287 -4.0485 -3.8805
 -3.7214 -3.5660 -3.4111 -3.2571 -3.1079 -2.7728 -2.4881 -2.2487 -2.0565 -1.9037
 -1.7805 -1.6837 -1.6103 -1.5540 -1.5084 -1.4684 -1.4316 -1.3967 -1.3633 -1.3317
 -1.3024
 -5.5731 -5.3298 -5.1180 -4.9254 -4.7437 -4.5652 -4.3860 -4.2075 -4.0316 -3.8626
 -3.7037 -3.5531 -3.4071 -3.2624 -3.1189 -2.7841 -2.4998 -2.2626 -2.0683
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  B   
 -7.7435 -7.4484 -7.0107 -6.5533 -6.1071 -5.7177 -5.4119 -5.1398 -4.8830 -4.6440
 -4.4174 -4.2050 -4.0089 -3.8283 -3.6605 -3.2770 -2.9153 -2.5643 -2.2435
 -7.0672 -6.8976 -6.7234 -6.3740 -5.9735 -5.5804 -5.2402 -4.9539 -4.6909 -4.4474
 -4.2168 -4.0013 -3.8034 -3.6230 -3.4577 -3.0911 -2.7612 -2.4528 -2.1702 -1.9277
 -6.7744 -6.4250 -6.2238 -6.1101 -5.8529 -5.5014 -5.1498 -4.8401 -4.5697 -4.3224
 -4.0890 -3.8703 -3.6689 -3.4860 -3.3200 -2.9608 -2.6509 -2.3721 -2.1198 -1.8998
 -1.7179
 -6.6233 -6.2351 -5.9223 -5.6950 -5.5568 -5.3937 -5.1051 -4.7910 -4.5051 -4.2518
 -4.0166 -3.7949 -3.5895 -3.4026 -3.2336 -2.8748 -2.5762 -2.3169 -2.0871 -1.8853
 -1.7163 -1.5762
 -6.5210 -6.1369 -5.7993 -5.5128 -5.2790 -5.0933 -4.9495 -4.7519 -4.4850 -4.2220
 -3.9845 -3.7608 -3.5516 -3.3598 -3.1863 -2.8222 -2.5284 -2.2813 -2.0675 -1.8804
 -1.7222 -1.5909 -1.4796 -1.3827
 -6.4438 -6.0748 -5.7324 -5.4294 -5.1661 -4.9369 -4.7363 -4.5623 -4.4050 -4.2061
 -3.9774 -3.7555 -3.5441 -3.3476 -3.1686 -2.7948 -2.5004 -2.2600 -2.0569 -1.8816
 -1.7327 -1.6092 -1.5050 -1.4141 -1.3329 -1.2590 -1.1904 -1.1256 -1.0679 -1.0320
 -6.3815 -6.0316 -5.6960 -5.3870 -5.1130 -4.8734 -4.6564 -4.4525 -4.2642 -4.0971
 -3.9347 -3.7510 -3.5524 -3.3568 -3.1735 -2.7870 -2.4871 -2.2489 -2.0526 -1.8860
 -1.7450 -1.6283 -1.5309 -1.4467 -1.3710 -1.3019 -1.2385 -1.1803 -1.1267 -1.0808
 -1.0550
 -6.3239 -5.9975 -5.6748 -5.3676 -5.0862 -4.8361 -4.6144 -4.4099 -4.2142 -4.0269
 -3.8533 -3.6930 -3.5334 -3.3642 -3.1901 -2.7953 -2.4861 -2.2459 -2.0525 -1.8919
 -1.7572 -1.6463 -1.5550 -1.4775 -1.4085 -1.3453 -1.2860 -1.2314 -1.1828 -1.1411
 -1.1068
 -6.2720 -5.9619 -5.6570 -5.3583 -5.0751 -4.8170 -4.5872 -4.3808 -4.1887 -4.0028
 -3.8225 -3.6508 -3.4890 -3.3364 -3.1861 -2.8128 -2.4931 -2.2472 -2.0541 -1.8967
 -1.7664 -1.6600 -1.5741 -1.5031 -1.4412 -1.3849 -1.3331 -1.2856 -1.2422 -1.2025
 -1.1661
 -6.2296 -5.9317 -5.6416 -5.3582 -5.0812 -4.8194 -4.5806 -4.3669 -4.1739 -3.9931
 -3.8179 -3.6465 -3.4800 -3.3213 -3.1729 -2.8301 -2.5155 -2.2592 -2.0622 -1.9051
 -1.7767 -1.6726 -1.5901 -1.5243 -1.4691 -1.4202 -1.3756 -1.3337 -1.2948 -1.2589
 -1.2270
 -6.1987 -5.8906 -5.6161 -5.3510 -5.0895 -4.8331 -4.5903 -4.3677 -4.1674 -3.9855
 -3.8151 -3.6502 -3.4878 -3.3285 -3.1757 -2.8367 -2.5389 -2.2796 -2.0747 -1.9149
 -1.7865 -1.6830 -1.6018 -1.5392 -1.4897 -1.4479 -1.4109 -1.3765 -1.3442 -1.3140
 -1.2863
 -6.1829 -5.8576 -5.5817 -5.3303 -5.0845 -4.8430 -4.6079 -4.3825 -4.1741 -3.9850
 -3.8127 -3.6517 -3.4962 -3.3431 -3.1922 -2.8467 -2.5552 -2.3024 -2.0919
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  B   
 -7.7579 -7.3421 -6.8448 -6.3762 -5.9420 -5.5674 -5.2682 -5.0064 -4.7636 -4.5343
 -4.3188 -4.1167 -3.9294 -3.7573 -3.5982 -3.2390 -2.9052 -2.5807 -2.2717
 -7.1426 -7.0121 -6.6897 -6.2654 -5.8469 -5.4541 -5.1275 -4.8507 -4.5999 -4.3664
 -4.1467 -3.9411 -3.7513 -3.5779 -3.4194 -3.0712 -2.7605 -2.4691 -2.1973 -1.9550
 -6.7719 -6.4848 -6.3740 -6.1557 -5.7917 -5.4146 -5.0607 -4.7621 -4.5023 -4.2642
 -4.0414 -3.8323 -3.6388 -3.4621 -3.3015 -2.9558 -2.6586 -2.3897 -2.1444 -1.9245
 -1.7371
 -6.6400 -6.2488 -5.9678 -5.8151 -5.6804 -5.3904 -5.0522 -4.7315 -4.4555 -4.2107
 -3.9853 -3.7731 -3.5755 -3.3943 -3.2298 -2.8807 -2.5900 -2.3354 -2.1090 -1.9070
 -1.7329 -1.5871
