 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  I   
 -0.6522 -0.6162 -0.5895 -0.5700 -0.5552 -0.5429 -0.5315 -0.5207 -0.5114 -0.5040
 -0.4983 -0.4939 -0.4901 -0.4879 -0.4894 -0.4927 -0.4904 -0.4870 -0.4956 -0.5204
 -0.5575 -0.5994 -0.6416 -0.6831 -0.7241 -0.7652 -0.8070 -0.8497 -0.8942 -0.9412
 -0.9926
 -0.5604 -0.5390 -0.5247 -0.5152 -0.5092 -0.5048 -0.5002 -0.4945 -0.4883 -0.4822
 -0.4769 -0.4725 -0.4686 -0.4650 -0.4630 -0.4633 -0.4671 -0.4732 -0.4852 -0.5098
 -0.5474 -0.5922 -0.6388 -0.6845 -0.7288 -0.7721 -0.8149 -0.8578 -0.9012 -0.9460
 -0.9932
 -0.4651 -0.4528 -0.4482 -0.4474 -0.4490 -0.4518 -0.4542 -0.4551 -0.4544 -0.4524
 -0.4499 -0.4476 -0.4455 -0.4435 -0.4418 -0.4405 -0.4444 -0.4553 -0.4720 -0.4972
 -0.5341 -0.5798 -0.6296 -0.6797 -0.7283 -0.7751 -0.8206 -0.8650 -0.9089 -0.9531
 -0.9981
 -0.3681 -0.3650 -0.3663 -0.3714 -0.3789 -0.3873 -0.3955 -0.4026 -0.4081 -0.4119
 -0.4142 -0.4158 -0.4172 -0.4183 -0.4258 -0.4243 -0.4223 -0.4333 -0.4560
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  I   
 -1.3563 -1.2743 -1.2074 -1.1500 -1.0995 -1.0488 -0.9905 -0.9250 -0.8712 -0.8261
 -0.7817 -0.7334 -0.6821 -0.6320 -0.5860 -0.4940 -0.4343 -0.4069 -0.4091
 -1.2031 -1.1149 -1.0471 -0.9951 -0.9540 -0.9194 -0.8837 -0.8450 -0.8137 -0.7868
 -0.7581 -0.7228 -0.6806 -0.6364 -0.5947 -0.5112 -0.4575 -0.4327 -0.4338 -0.4526
 -1.0930 -0.9981 -0.9269 -0.8755 -0.8398 -0.8152 -0.7958 -0.7755 -0.7592 -0.7457
 -0.7303 -0.7085 -0.6773 -0.6397 -0.6022 -0.5258 -0.4768 -0.4538 -0.4540 -0.4715
 -0.4991
 -1.0157 -0.9063 -0.8289 -0.7812 -0.7490 -0.7295 -0.7188 -0.7110 -0.7052 -0.7013
 -0.6963 -0.6866 -0.6681 -0.6396 -0.6069 -0.5370 -0.4919 -0.4705 -0.4703 -0.4868
 -0.5136 -0.5461
 -0.9750 -0.8528 -0.7631 -0.7019 -0.6654 -0.6505 -0.6514 -0.6544 -0.6564 -0.6580
 -0.6588 -0.6570 -0.6499 -0.6331 -0.6074 -0.5443 -0.5028 -0.4831 -0.4831 -0.4991
 -0.5258 -0.5580 -0.5937 -0.6328
 -0.9688 -0.8452 -0.7471 -0.6734 -0.6226 -0.5920 -0.5803 -0.5852 -0.5988 -0.6133
 -0.6227 -0.6258 -0.6241 -0.6173 -0.6015 -0.5474 -0.5094 -0.4915 -0.4921 -0.5083
