 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -4.3701 -3.6461 -3.2704 -3.2335 -3.5631 -4.0329 -4.5404 -4.4032 -4.2706 -4.1311
 -3.9841 -3.8781 -3.7154 -3.5527 -3.3998 -3.0778 -2.8051 -2.6029 -2.4423
 -5.2210 -4.8858 -4.6433 -4.4842 -4.3813 -4.2873 -4.1874 -4.0856 -3.9847 -3.8828
 -3.7695 -3.6402 -3.5010 -3.3645 -3.2368 -2.9572 -2.7326 -2.5607 -2.4342 -2.3388
 -5.0157 -4.7019 -4.4557 -4.2658 -4.1247 -4.0277 -3.9616 -3.8918 -3.8032 -3.7014
 -3.5995 -3.4932 -3.3745 -3.2528 -3.1382 -2.8921 -2.6955 -2.5438 -2.4305 -2.3440
 -2.2753
 -4.8573 -4.5760 -4.3459 -4.1570 -4.0031 -3.8800 -3.7831 -3.7079 -3.6429 -3.5662
 -3.4723 -3.3762 -3.2755 -3.1688 -3.0651 -2.8422 -2.6675 -2.5330 -2.4312 -2.3525
 -2.2891 -2.2362
 -4.7058 -4.4616 -4.2555 -4.0789 -3.9268 -3.7971 -3.6878 -3.5952 -3.5148 -3.4421
 -3.3676 -3.2844 -3.1975 -3.1041 -3.0109 -2.8060 -2.6464 -2.5251 -2.4338 -2.3624
 -2.3044 -2.2553 -2.2126 -2.1737
 -4.5534 -4.3440 -4.1645 -4.0059 -3.8638 -3.7368 -3.6244 -3.5259 -3.4388 -3.3589
 -3.2830 -3.2077 -3.1326 -3.0527 -2.9699 -2.7801 -2.6305 -2.5181 -2.4351 -2.3712
 -2.3189 -2.2744 -2.2353 -2.2002 -2.1667 -2.1364 -2.1114 -2.0933 -2.0835 -2.0826
 -4.4074 -4.2236 -4.0681 -3.9288 -3.8007 -3.6820 -3.5728 -3.4737 -3.3846 -3.3035
 -3.2270 -3.1529 -3.0806 -3.0091 -2.9360 -2.7620 -2.6190 -2.5113 -2.4335 -2.3760
 -2.3301 -2.2910 -2.2566 -2.2253 -2.1963 -2.1681 -2.1427 -2.1223 -2.1089 -2.1041
 -2.1094
 -4.2702 -4.1073 -3.9691 -3.8461 -3.7326 -3.6252 -3.5229 -3.4273 -3.3395 -3.2586
 -3.1836 -3.1122 -3.0428 -2.9749 -2.9074 -2.7475 -2.6114 -2.5056 -2.4294 -2.3757
 -2.3356 -2.3027 -2.2739 -2.2476 -2.2229 -2.1994 -2.1757 -2.1543 -2.1383 -2.1300
 -2.1310
 -4.1458 -3.9999 -3.8718 -3.7598 -3.6580 -3.5614 -3.4684 -3.3790 -3.2947 -3.2161
 -3.1432 -3.0746 -3.0089 -2.9451 -2.8819 -2.7323 -2.6033 -2.5005 -2.4242 -2.3712
 -2.3344 -2.3072 -2.2848 -2.2646 -2.2454 -2.2266 -2.2084 -2.1923 -2.1785 -2.1667
 -2.1568
 -4.0341 -3.9014 -3.7848 -3.6779 -3.5826 -3.4947 -3.4105 -3.3287 -3.2500 -3.1752
 -3.1050 -3.0394 -2.9773 -2.9176 -2.8593 -2.7192 -2.5965 -2.4965 -2.4204 -2.3663
 -2.3298 -2.3056 -2.2885 -2.2746 -2.2619 -2.2491 -2.2362 -2.2232 -2.2147 -2.2028
 -2.1890
 -3.9352 -3.8118 -3.7081 -3.6047 -3.5105 -3.4263 -3.3483 -3.2737 -3.2014 -3.1318
 -3.0655 -3.0030 -2.9443 -2.8885 -2.8346 -2.7056 -2.5886 -2.4917 -2.4165 -2.3616
 -2.3241 -2.3001 -2.2857 -2.2769 -2.2704 -2.2643 -2.2578 -2.2505 -2.2426 -2.2349
 -2.2281
 -3.8491 -3.7311 -3.6417 -3.5408 -3.4460 -3.3615 -3.2855 -3.2152 -3.1485 -3.0845
 -3.0230 -2.9644 -2.9091 -2.8570 -2.8078 -2.6915 -2.5796 -2.4861 -2.4125
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = G_BP 
 -6.0299 -5.3668 -4.8872 -4.5837 -4.4609 -4.4361 -4.4674 -4.3151 -4.1690 -4.0230
 -3.8732 -3.7363 -3.5826 -3.4368 -3.3023 -3.0158 -2.7778 -2.5907 -2.4417
 -5.7039 -5.2870 -4.9868 -4.7352 -4.5193 -4.3395 -4.1893 -4.0590 -3.9387 -3.8206
 -3.6983 -3.5677 -3.4324 -3.3022 -3.1821 -2.9262 -2.7203 -2.5561 -2.4306 -2.3334
 -5.3896 -4.9530 -4.6272 -4.3932 -4.2380 -4.1202 -4.0023 -3.8839 -3.7720 -3.6668
 -3.5632 -3.4542 -3.3353 -3.2152 -3.1032 -2.8678 -2.6838 -2.5382 -2.4258 -2.3389
 -2.2696
 -5.2234 -4.8053 -4.4819 -4.2349 -4.0491 -3.9121 -3.8180 -3.7467 -3.6639 -3.5648
 -3.4636 -3.3657 -3.2637 -3.1551 -3.0512 -2.8281 -2.6584 -2.5269 -2.4254 -2.3462
 -2.2823 -2.2290
 -5.1086 -4.7198 -4.4123 -4.1696 -3.9777 -3.8264 -3.7073 -3.6134 -3.5412 -3.4756
 -3.3943 -3.3024 -3.2084 -3.1111 -3.0136 -2.8020 -2.6412 -2.5194 -2.4268 -2.3548
 -2.2963 -2.2470 -2.2043 -2.1667
 -5.0044 -4.6502 -4.3649 -4.1340 -3.9449 -3.7889 -3.6602 -3.5535 -3.4630 -3.3847
 -3.3151 -3.2428 -3.1632 -3.0762 -2.9863 -2.7846 -2.6294 -2.5135 -2.4276 -2.3623
 -2.3096 -2.2648 -2.2258 -2.1911 -2.1596 -2.1313 -2.1070 -2.0879 -2.0772 -2.0764
 -4.9005 -4.5800 -4.3191 -4.1037 -3.9225 -3.7681 -3.6356 -3.5221 -3.4241 -3.3372
 -3.2579 -3.1838 -3.1135 -3.0405 -2.9618 -2.7719 -2.6209 -2.5080 -2.4260 -2.3663
 -2.3197 -2.2805 -2.2461 -2.2151 -2.1867 -2.1604 -2.1369 -2.1168 -2.1021 -2.0976
 -2.1032
 -4.7994 -4.5090 -4.2705 -4.0706 -3.8995 -3.7502 -3.6186 -3.5020 -3.3992 -3.3082
 -3.2252 -3.1478 -3.0750 -3.0048 -2.9349 -2.7616 -2.6144 -2.5029 -2.4224 -2.3658
 -2.3246 -2.2914 -2.2626 -2.2367 -2.2124 -2.1894 -2.1683 -2.1491 -2.1326 -2.1233
 -2.1248
 -4.7035 -4.4386 -4.2179 -4.0316 -3.8708 -3.7282 -3.5997 -3.4835 -3.3788 -3.2847
 -3.1999 -3.1218 -3.0481 -2.9779 -2.9099 -2.7485 -2.6080 -2.4976 -2.4171 -2.3613
 -2.3232 -2.2955 -2.2730 -2.2530 -2.2342 -2.2159 -2.1985 -2.1819 -2.1671 -2.1555
 -2.1503
 -4.6235 -4.3804 -4.1726 -3.9956 -3.8420 -3.7052 -3.5808 -3.4665 -3.3617 -3.2661
 -3.1795 -3.1007 -3.0278 -2.9589 -2.8926 -2.7375 -2.6029 -2.4944 -2.4132 -2.3562
 -2.3185 -2.2938 -2.2765 -2.2627 -2.2502 -2.2379 -2.2257 -2.2135 -2.2017 -2.1914
 -2.1820
 -4.5580 -4.3331 -4.1350 -3.9637 -3.8141 -3.6810 -3.5598 -3.4478 -3.3441 -3.2482
 -3.1604 -3.0805 -3.0076 -2.9402 -2.8762 -2.7272 -2.5971 -2.4910 -2.4097 -2.3514
 -2.3124 -2.2881 -2.2736 -2.2649 -2.2586 -2.2528 -2.2469 -2.2403 -2.2333 -2.2264
 -2.2205
