 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1000W
 -1.1088 -1.2186 -1.3241 -1.4279 -1.5243 -1.6073 -1.6654 -1.7101 -1.7528 -1.8003
 -1.8545 -1.9176 -1.9897 -2.0664 -2.1458 -2.3305 -2.5237 -2.6995 -2.8729
 -1.0463 -1.1560 -1.2656 -1.3750 -1.4824 -1.5834 -1.6748 -1.7545 -1.8208 -1.8724
 -1.9179 -1.9692 -2.0344 -2.1084 -2.1847 -2.3752 -2.5617 -2.7410 -2.9111 -3.0722
 -1.0408 -1.1476 -1.2516 -1.3536 -1.4544 -1.5548 -1.6543 -1.7490 -1.8352 -1.9092
 -1.9646 -2.0104 -2.0670 -2.1379 -2.2133 -2.4015 -2.5858 -2.7645 -2.9349 -3.0966
 -3.2499
 -1.0426 -1.1452 -1.2454 -1.3432 -1.4389 -1.5330 -1.6254 -1.7171 -1.8083 -1.8963
 -1.9777 -2.0385 -2.0934 -2.1597 -2.2331 -2.4204 -2.6031 -2.7807 -2.9511 -3.1131
 -3.2666 -3.4127
 -1.0540 -1.1500 -1.2455 -1.3395 -1.4319 -1.5227 -1.6116 -1.6983 -1.7836 -1.8688
 -1.9543 -2.0348 -2.1009 -2.1726 -2.2471 -2.4332 -2.6151 -2.7919 -2.9621 -3.1242
 -3.2779 -3.4241 -3.5634 -3.6966
 -1.0795 -1.1658 -1.2539 -1.3426 -1.4311 -1.5190 -1.6056 -1.6904 -1.7733 -1.8546
 -1.9356 -2.0176 -2.0902 -2.1657 -2.2461 -2.4407 -2.6229 -2.7991 -2.9693 -3.1316
 -3.2856 -3.4320 -3.5714 -3.7046 -3.8321 -3.9548 -4.0734 -4.1886 -4.3011 -4.4112
 -1.1206 -1.1966 -1.2743 -1.3549 -1.4376 -1.5213 -1.6052 -1.6881 -1.7698 -1.8499
 -1.9287 -2.0071 -2.0819 -2.1553 -2.2350 -2.4367 -2.6253 -2.8027 -2.9733 -3.1361
 -3.2906 -3.4373 -3.5770 -3.7105 -3.8380 -3.9605 -4.0786 -4.1928 -4.3037 -4.4118
 -4.5183
 -1.1774 -1.2432 -1.3104 -1.3807 -1.4546 -1.5320 -1.6112 -1.6912 -1.7711 -1.8499
 -1.9277 -2.0046 -2.0795 -2.1513 -2.2272 -2.4256 -2.6188 -2.8009 -2.9740 -3.1380
 -3.2933 -3.4406 -3.5808 -3.7146 -3.8425 -3.9650 -4.0826 -4.1961 -4.3061 -4.4131
 -4.5176
 -1.2470 -1.3047 -1.3637 -1.4238 -1.4873 -1.5556 -1.6278 -1.7028 -1.7792 -1.8559
 -1.9322 -2.0078 -2.0822 -2.1543 -2.2274 -2.4185 -2.6102 -2.7950 -2.9723 -3.1397
 -3.2966 -3.4450 -3.5859 -3.7204 -3.8489 -3.9717 -4.0896 -4.2033 -4.3130 -4.4191
 -4.5218
 -1.3294 -1.3811 -1.4286 -1.4812 -1.5353 -1.5933 -1.6561 -1.7234 -1.7940 -1.8666
 -1.9400 -2.0134 -2.0864 -2.1584 -2.2298 -2.4133 -2.5998 -2.7836 -2.9621 -3.1336
 -3.2940 -3.4440 -3.5859 -3.7211 -3.8503 -3.9737 -4.0920 -4.2056 -4.3176 -4.4232
 -4.5250
 -1.4247 -1.4724 -1.5051 -1.5479 -1.5982 -1.6478 -1.7008 -1.7584 -1.8207 -1.8868
 -1.9552 -2.0250 -2.0953 -2.1656 -2.2356 -2.4129 -2.5927 -2.7731 -2.9507 -3.1234
 -3.2876 -3.4408 -3.5844 -3.7206 -3.8505 -3.9748 -4.0939 -4.2080 -4.3176 -4.4233
 -4.5256
 -1.5327 -1.5786 -1.5932 -1.6228 -1.6703 -1.7157 -1.7615 -1.8099 -1.8626 -1.9196
 -1.9807 -2.0447 -2.1106 -2.1776 -2.2448 -2.4173 -2.5889 -2.7635 -2.9381
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F1000W
 -1.1006 -1.2040 -1.3007 -1.3918 -1.4756 -1.5527 -1.6219 -1.6879 -1.7507 -1.8102
 -1.8685 -1.9314 -2.0017 -2.0766 -2.1530 -2.3365 -2.5226 -2.6996 -2.8734
 -1.0752 -1.1922 -1.3069 -1.4149 -1.5146 -1.6057 -1.6871 -1.7586 -1.8220 -1.8783
 -1.9293 -1.9825 -2.0464 -2.1187 -2.1936 -2.3797 -2.5616 -2.7393 -2.9092 -3.0702
 -1.0608 -1.1725 -1.2830 -1.3925 -1.5012 -1.6058 -1.7025 -1.7889 -1.8636 -1.9246
 -1.9755 -2.0215 -2.0769 -2.1460 -2.2206 -2.4075 -2.5881 -2.7637 -2.9331 -3.0945
 -3.2478
 -1.0528 -1.1610 -1.2669 -1.3707 -1.4729 -1.5734 -1.6728 -1.7698 -1.8604 -1.9408
 -2.0046 -2.0547 -2.1027 -2.1657 -2.2372 -2.4258 -2.6065 -2.7806 -2.9493 -3.1108
 -3.2643 -3.4103
 -1.0502 -1.1555 -1.2579 -1.3577 -1.4555 -1.5511 -1.6443 -1.7351 -1.8250 -1.9140
 -1.9983 -2.0670 -2.1229 -2.1824 -2.2518 -2.4379 -2.6188 -2.7923 -2.9602 -3.1216
 -3.2753 -3.4214 -3.5608 -3.6942
 -1.0539 -1.1552 -1.2543 -1.3510 -1.4453 -1.5378 -1.6280 -1.7155 -1.8001 -1.8831
 -1.9667 -2.0489 -2.1184 -2.1870 -2.2605 -2.4456 -2.6268 -2.8000 -2.9673 -3.1286
 -3.2826 -3.4290 -3.5686 -3.7020 -3.8299 -3.9530 -4.0722 -4.1878 -4.3000 -4.4097
 -1.0677 -1.1623 -1.2565 -1.3494 -1.4405 -1.5301 -1.6181 -1.7040 -1.7874 -1.8681
 -1.9469 -2.0261 -2.1005 -2.1729 -2.2518 -2.4496 -2.6314 -2.8046 -2.9715 -3.1328
 -3.2872 -3.4342 -3.5741 -3.7077 -3.8355 -3.9582 -4.0767 -4.1913 -4.3024 -4.4105
 -4.5170
 -1.0951 -1.1807 -1.2675 -1.3545 -1.4412 -1.5275 -1.6130 -1.6972 -1.7798 -1.8603
 -1.9383 -2.0150 -2.0877 -2.1603 -2.2372 -2.4410 -2.6319 -2.8064 -2.9734 -3.1348
 -3.2897 -3.4373 -3.5777 -3.7117 -3.8398 -3.9625 -4.0805 -4.1944 -4.3047 -4.4118
 -4.5162
 -1.1381 -1.2143 -1.2917 -1.3705 -1.4509 -1.5324 -1.6144 -1.6962 -1.7774 -1.8573
 -1.9356 -2.0122 -2.0860 -2.1572 -2.2306 -2.4291 -2.6259 -2.8064 -2.9751 -3.1372
 -3.2929 -3.4415 -3.5827 -3.7173 -3.8459 -3.9689 -4.0871 -4.2007 -4.3106 -4.4170
 -4.5204
 -1.1905 -1.2602 -1.3290 -1.3988 -1.4708 -1.5452 -1.6218 -1.6996 -1.7781 -1.8563
 -1.9338 -2.0098 -2.0842 -2.1566 -2.2284 -2.4182 -2.6124 -2.7974 -2.9695 -3.1336
 -3.2908 -3.4404 -3.5825 -3.7179 -3.8471 -3.9707 -4.0892 -4.2030 -4.3126 -4.4187
 -4.5235
 -1.2490 -1.3155 -1.3795 -1.4416 -1.5052 -1.5710 -1.6402 -1.7121 -1.7862 -1.8612
 -1.9365 -2.0114 -2.0854 -2.1582 -2.2300 -2.4129 -2.6011 -2.7858 -2.9605 -3.1265
 -3.2860 -3.4375 -3.5809 -3.7172 -3.8472 -3.9716 -4.0908 -4.2051 -4.3150 -4.4210
 -4.5236
 -1.3079 -1.3756 -1.4382 -1.4967 -1.5537 -1.6118 -1.6726 -1.7368 -1.8045 -1.8746
 -1.9462 -2.0185 -2.0970 -2.1677 -2.2354 -2.4132 -2.5920 -2.7716 -2.9481
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F1000W
 -1.0862 -1.1840 -1.2737 -1.3559 -1.4318 -1.5057 -1.5819 -1.6617 -1.7383 -1.8087
 -1.8744 -1.9412 -2.0121 -2.0860 -2.1601 -2.3411 -2.5205 -2.6969 -2.8697
 -1.1055 -1.2148 -1.3158 -1.4089 -1.4946 -1.5745 -1.6520 -1.7295 -1.8035 -1.8707
 -1.9310 -1.9904 -2.0564 -2.1283 -2.2019 -2.3844 -2.5629 -2.7372 -2.9063 -3.0672
 -1.0845 -1.2009 -1.3148 -1.4223 -1.5214 -1.6118 -1.6945 -1.7724 -1.8463 -1.9136
 -1.9724 -2.0262 -2.0853 -2.1539 -2.2271 -2.4115 -2.5909 -2.7635 -2.9309 -3.0916
 -3.2447
 -1.0662 -1.1773 -1.2877 -1.3968 -1.5041 -1.6083 -1.7052 -1.7927 -1.8715 -1.9425
 -2.0045 -2.0573 -2.1091 -2.1719 -2.2434 -2.4289 -2.6092 -2.7813 -2.9473 -3.1076
 -3.2608 -3.4069
 -1.0568 -1.1643 -1.2701 -1.3745 -1.4774 -1.5785 -1.6775 -1.7735 -1.8650 -1.9479
 -2.0197 -2.0807 -2.1324 -2.1879 -2.2553 -2.4400 -2.6210 -2.7931 -2.9583 -3.1180
 -3.2713 -3.4177 -3.5572 -3.6909
