 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1500W
 -1.8926 -2.0051 -2.1122 -2.2167 -2.3234 -2.4213 -2.4937 -2.5527 -2.6071 -2.6668
 -2.7302 -2.8004 -2.8696 -2.9414 -3.0158 -3.1943 -3.3722 -3.5617 -3.7323
 -1.8432 -1.9584 -2.0730 -2.1869 -2.2987 -2.4046 -2.5025 -2.5910 -2.6687 -2.7334
 -2.7905 -2.8473 -2.9112 -2.9818 -3.0550 -3.2398 -3.4233 -3.6020 -3.7719 -3.9332
 -1.8393 -1.9532 -2.0635 -2.1711 -2.2772 -2.3829 -2.4877 -2.5885 -2.6823 -2.7663
 -2.8330 -2.8868 -2.9436 -3.0115 -3.0842 -3.2682 -3.4502 -3.6281 -3.7986 -3.9606
 -4.1142
 -1.8387 -1.9507 -2.0586 -2.1629 -2.2644 -2.3641 -2.4626 -2.5608 -2.6587 -2.7538
 -2.8426 -2.9101 -2.9671 -3.0318 -3.1032 -3.2877 -3.4688 -3.6456 -3.8161 -3.9785
 -4.1325 -4.2789
 -1.8420 -1.9511 -2.0569 -2.1590 -2.2579 -2.3543 -2.4488 -2.5419 -2.6343 -2.7267
 -2.8190 -2.9047 -2.9714 -3.0419 -3.1157 -3.3004 -3.4815 -3.6574 -3.8276 -3.9901
 -4.1443 -4.2910 -4.4307 -4.5643
 -1.8521 -1.9561 -2.0585 -2.1583 -2.2553 -2.3497 -2.4418 -2.5322 -2.6213 -2.7094
 -2.7972 -2.8853 -2.9587 -3.0326 -3.1131 -3.3079 -3.4897 -3.6650 -3.8350 -3.9976
 -4.1521 -4.2990 -4.4389 -4.5727 -4.7009 -4.8242 -4.9436 -5.0596 -5.1728 -5.2837
 -1.8725 -1.9690 -2.0657 -2.1617 -2.2560 -2.3485 -2.4389 -2.5273 -2.6144 -2.7003
 -2.7852 -2.8697 -2.9472 -3.0192 -3.0996 -3.3053 -3.4936 -3.6693 -3.8391 -4.0021
 -4.1570 -4.3042 -4.4444 -4.5784 -4.7065 -4.8295 -4.9482 -5.0632 -5.1752 -5.2846
 -5.3921
 -1.9040 -1.9925 -2.0818 -2.1718 -2.2618 -2.3512 -2.4393 -2.5260 -2.6114 -2.6955
 -2.7787 -2.8611 -2.9397 -3.0115 -3.0885 -3.2935 -3.4896 -3.6700 -3.8406 -4.0041
 -4.1597 -4.3074 -4.4480 -4.5824 -4.7108 -4.8339 -4.9523 -5.0666 -5.1775 -5.2856
 -5.3913
 -1.9490 -2.0295 -2.1110 -2.1933 -2.2768 -2.3614 -2.4461 -2.5301 -2.6134 -2.6957
 -2.7771 -2.8576 -2.9361 -3.0100 -3.0847 -3.2841 -3.4814 -3.6672 -3.8417 -4.0066
 -4.1631 -4.3118 -4.4531 -4.5880 -4.7170 -4.8404 -4.9588 -5.0731 -5.1838 -5.2911
 -5.3951
 -2.0075 -2.0800 -2.1508 -2.2253 -2.3014 -2.3792 -2.4586 -2.5387 -2.6188 -2.6984
 -2.7774 -2.8560 -2.9334 -3.0088 -3.0826 -3.2753 -3.4693 -3.6568 -3.8351 -4.0032
 -4.1612 -4.3109 -4.4531 -4.5887 -4.7183 -4.8423 -4.9611 -5.0753 -5.1879 -5.2946
 -5.3977
 -2.0796 -2.1440 -2.2012 -2.2682 -2.3386 -2.4091 -2.4817 -2.5560 -2.6315 -2.7075
 -2.7835 -2.8593 -2.9348 -3.0096 -3.0832 -3.2708 -3.4595 -3.6454 -3.8255 -3.9969
 -4.1575 -4.3086 -4.4518 -4.5882 -4.7186 -4.8433 -4.9629 -5.0776 -5.1878 -5.2943
 -5.3977
 -2.1652 -2.2215 -2.2622 -2.3222 -2.3874 -2.4518 -2.5173 -2.5846 -2.6540 -2.7248
 -2.7966 -2.8688 -2.9414 -3.0140 -3.0865 -3.2706 -3.4520 -3.6330 -3.8129
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F1500W
 -1.8849 -1.9924 -2.0929 -2.1870 -2.2771 -2.3622 -2.4392 -2.5136 -2.5868 -2.6585
 -2.7277 -2.7978 -2.8687 -2.9422 -3.0171 -3.1997 -3.3776 -3.5578 -3.7300
 -1.8671 -1.9876 -2.1056 -2.2171 -2.3210 -2.4174 -2.5058 -2.5858 -2.6596 -2.7284
 -2.7920 -2.8533 -2.9186 -2.9895 -3.0627 -3.2461 -3.4246 -3.6006 -3.7702 -3.9312
 -1.8570 -1.9733 -2.0879 -2.2013 -2.3138 -2.4225 -2.5242 -2.6172 -2.7006 -2.7728
 -2.8362 -2.8927 -2.9513 -3.0188 -3.0913 -3.2754 -3.4541 -3.6281 -3.7972 -3.9588
 -4.1123
 -1.8513 -1.9650 -2.0760 -2.1847 -2.2916 -2.3970 -2.5015 -2.6038 -2.7004 -2.7884
 -2.8619 -2.9225 -2.9765 -3.0389 -3.1086 -3.2940 -3.4737 -3.6466 -3.8148 -3.9765
 -4.1304 -4.2769
 -1.8485 -1.9608 -2.0694 -2.1748 -2.2778 -2.3787 -2.4776 -2.5746 -2.6711 -2.7663
 -2.8570 -2.9322 -2.9935 -3.0544 -3.1225 -3.3059 -3.4864 -3.6590 -3.8263 -3.9878
 -4.1420 -4.2887 -4.4286 -4.5625
 -1.8483 -1.9591 -2.0661 -2.1696 -2.2699 -2.3677 -2.4633 -2.5567 -2.6481 -2.7383
 -2.8285 -2.9160 -2.9883 -3.0569 -3.1298 -3.3133 -3.4945 -3.6672 -3.8338 -3.9950
 -4.1494 -4.2964 -4.4365 -4.5705 -4.6990 -4.8227 -4.9427 -5.0592 -5.1722 -5.2827
 -1.8521 -1.9601 -2.0653 -2.1671 -2.2656 -2.3613 -2.4546 -2.5459 -2.6351 -2.7221
 -2.8078 -2.8932 -2.9705 -3.0423 -3.1204 -3.3173 -3.4992 -3.6722 -3.8383 -3.9993
 -4.1540 -4.3014 -4.4419 -4.5761 -4.7046 -4.8280 -4.9471 -5.0625 -5.1747 -5.2838
 -5.3912
 -1.8628 -1.9659 -2.0679 -2.1673 -2.2640 -2.3580 -2.4497 -2.5392 -2.6269 -2.7127
 -2.7965 -2.8789 -2.9547 -3.0281 -3.1046 -3.3104 -3.5007 -3.6746 -3.8407 -4.0015
 -4.1565 -4.3045 -4.4454 -4.5800 -4.7087 -4.8320 -4.9508 -5.0654 -5.1766 -5.2849
 -5.3904
 -1.8845 -1.9808 -2.0773 -2.1729 -2.2669 -2.3590 -2.4490 -2.5370 -2.6233 -2.7080
 -2.7911 -2.8725 -2.9498 -3.0222 -3.0957 -3.2985 -3.4975 -3.6767 -3.8436 -4.0045
 -4.1599 -4.3087 -4.4504 -4.5855 -4.7147 -4.8383 -4.9570 -5.0714 -5.1820 -5.2895
 -5.3943
 -1.9142 -2.0041 -2.0937 -2.1837 -2.2734 -2.3623 -2.4500 -2.5361 -2.6208 -2.7040
 -2.7859 -2.8657 -2.9436 -3.0183 -3.0909 -3.2859 -3.4849 -3.6706 -3.8409 -4.0025
 -4.1583 -4.3078 -4.4503 -4.5861 -4.7158 -4.8399 -4.9590 -5.0734 -5.1837 -5.2907
 -5.3969
 -1.9527 -2.0371 -2.1208 -2.2040 -2.2880 -2.3722 -2.4564 -2.5399 -2.6225 -2.7038
