 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -1.5612 -1.5557 -1.5588 -1.5694 -1.5733 -1.5627 -1.4931 -1.4729 -1.4462 -1.4068
 -1.3540 -1.2943 -1.2338 -1.1681 -1.1062 -0.9906 -0.9387 -0.9315 -0.9414
 -1.5529 -1.4747 -1.4281 -1.4099 -1.4135 -1.4147 -1.4060 -1.3909 -1.3722 -1.3492
 -1.3155 -1.2683 -1.2122 -1.1565 -1.1066 -1.0159 -0.9686 -0.9552 -0.9608 -0.9774
 -1.5108 -1.4473 -1.3932 -1.3509 -1.3242 -1.3167 -1.3250 -1.3296 -1.3202 -1.2985
 -1.2732 -1.2419 -1.1992 -1.1516 -1.1073 -1.0249 -0.9841 -0.9745 -0.9818 -0.9985
 -1.0212
 -1.4653 -1.4152 -1.3681 -1.3253 -1.2895 -1.2635 -1.2487 -1.2457 -1.2493 -1.2464
 -1.2313 -1.2116 -1.1836 -1.1465 -1.1083 -1.0338 -0.9966 -0.9901 -0.9995 -1.0167
 -1.0389 -1.0648
 -1.3992 -1.3663 -1.3325 -1.2978 -1.2640 -1.2341 -1.2107 -1.1945 -1.1847 -1.1798
 -1.1749 -1.1654 -1.1526 -1.1313 -1.1038 -1.0391 -1.0045 -1.0004 -1.0129 -1.0319
 -1.0545 -1.0803 -1.1086 -1.1386
 -1.3133 -1.2978 -1.2797 -1.2578 -1.2325 -1.2063 -1.1818 -1.1615 -1.1462 -1.1343
 -1.1245 -1.1156 -1.1082 -1.0974 -1.0822 -1.0378 -1.0068 -1.0040 -1.0204 -1.0429
 -1.0676 -1.0943 -1.1228 -1.1533 -1.1857 -1.2205 -1.2585 -1.3003 -1.3461 -1.3962
 -1.2151 -1.2124 -1.2092 -1.2014 -1.1883 -1.1707 -1.1508 -1.1314 -1.1149 -1.1015
 -1.0900 -1.0793 -1.0698 -1.0613 -1.0513 -1.0243 -1.0026 -1.0010 -1.0201 -1.0476
 -1.0764 -1.1056 -1.1357 -1.1668 -1.1989 -1.2312 -1.2655 -1.3037 -1.3475 -1.3971
 -1.4494
 -1.1065 -1.1161 -1.1244 -1.1290 -1.1288 -1.1228 -1.1114 -1.0973 -1.0832 -1.0704
 -1.0597 -1.0502 -1.0411 -1.0328 -1.0239 -1.0040 -0.9915 -0.9923 -1.0127 -1.0444
 -1.0787 -1.1124 -1.1455 -1.1786 -1.2119 -1.2456 -1.2791 -1.3144 -1.3535 -1.3981
 -1.4493
 -0.9958 -1.0146 -1.0309 -1.0449 -1.0554 -1.0606 -1.0601 -1.0545 -1.0460 -1.0366
 -1.0280 -1.0206 -1.0140 -1.0077 -1.0008 -0.9843 -0.9764 -0.9806 -1.0008 -1.0346
 -1.0737 -1.1131 -1.1511 -1.1878 -1.2237 -1.2590 -1.2943 -1.3311 -1.3697 -1.4098
 -1.4512
 -0.8829 -0.9079 -0.9330 -0.9538 -0.9720 -0.9867 -0.9965 -1.0010 -1.0010 -0.9978
 -0.9931 -0.9887 -0.9849 -0.9817 -0.9783 -0.9671 -0.9617 -0.9678 -0.9874 -1.0203
 -1.0615 -1.1054 -1.1488 -1.1905 -1.2304 -1.2687 -1.3062 -1.3431 -1.3840 -1.4219
 -1.4579
 -0.7678 -0.7960 -0.8307 -0.8604 -0.8831 -0.9043 -0.9223 -0.9362 -0.9455 -0.9507
 -0.9526 -0.9528 -0.9526 -0.9527 -0.9529 -0.9507 -0.9479 -0.9552 -0.9748 -1.0061
 -1.0465 -1.0921 -1.1395 -1.1862 -1.2310 -1.2737 -1.3146 -1.3540 -1.3926 -1.4310
 -1.4701
 -0.6506 -0.6789 -0.7240 -0.7656 -0.7923 -0.8180 -0.8417 -0.8627 -0.8803 -0.8942
 -0.9043 -0.9114 -0.9163 -0.9203 -0.9246 -0.9351 -0.9350 -0.9428 -0.9630
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = G_RP 
 -1.6083 -1.5703 -1.5478 -1.5371 -1.5297 -1.5199 -1.4901 -1.4735 -1.4466 -1.4075
 -1.3561 -1.2965 -1.2342 -1.1729 -1.1167 -1.0072 -0.9463 -0.9259 -0.9325
 -1.5488 -1.4882 -1.4609 -1.4403 -1.4224 -1.4102 -1.4019 -1.3933 -1.3792 -1.3564
 -1.3222 -1.2760 -1.2219 -1.1680 -1.1187 -1.0233 -0.9688 -0.9504 -0.9544 -0.9699
 -1.5358 -1.4539 -1.3933 -1.3567 -1.3482 -1.3527 -1.3506 -1.3404 -1.3269 -1.3112
 -1.2895 -1.2584 -1.2157 -1.1685 -1.1240 -1.0369 -0.9865 -0.9695 -0.9746 -0.9907
 -1.0132
 -1.5290 -1.4508 -1.3853 -1.3334 -1.2966 -1.2758 -1.2743 -1.2847 -1.2879 -1.2770
 -1.2589 -1.2368 -1.2068 -1.1680 -1.1291 -1.0486 -1.0014 -0.9852 -0.9911 -1.0079
 -1.0301 -1.0562
 -1.5064 -1.4395 -1.3802 -1.3283 -1.2847 -1.2510 -1.2279 -1.2155 -1.2155 -1.2216
 -1.2198 -1.2089 -1.1900 -1.1620 -1.1288 -1.0564 -1.0120 -0.9965 -1.0036 -1.0219
 -1.0448 -1.0709 -1.0997 -1.1311
 -1.4611 -1.4095 -1.3616 -1.3171 -1.2760 -1.2394 -1.2090 -1.1859 -1.1697 -1.1604
 -1.1579 -1.1567 -1.1524 -1.1404 -1.1198 -1.0587 -1.0174 -1.0025 -1.0108 -1.0317
 -1.0568 -1.0840 -1.1132 -1.1442 -1.1772 -1.2122 -1.2503 -1.2925 -1.3411 -1.3916
 -1.3933 -1.3578 -1.3241 -1.2908 -1.2575 -1.2248 -1.1941 -1.1672 -1.1454 -1.1282
 -1.1151 -1.1060 -1.1015 -1.0973 -1.0887 -1.0529 -1.0171 -1.0028 -1.0118 -1.0359
 -1.0648 -1.0946 -1.1253 -1.1571 -1.1900 -1.2242 -1.2603 -1.2990 -1.3421 -1.3922
 -1.4447
 -1.3078 -1.2867 -1.2669 -1.2463 -1.2238 -1.1993 -1.1736 -1.1481 -1.1249 -1.1052
 -1.0887 -1.0751 -1.0648 -1.0571 -1.0507 -1.0313 -1.0097 -0.9979 -1.0069 -1.0332
 -1.0667 -1.1008 -1.1346 -1.1684 -1.2024 -1.2368 -1.2724 -1.3094 -1.3487 -1.3930
 -1.4447
 -1.2109 -1.2012 -1.1929 -1.1840 -1.1731 -1.1589 -1.1414 -1.1216 -1.1013 -1.0821
 -1.0653 -1.0511 -1.0390 -1.0291 -1.0207 -1.0043 -0.9931 -0.9880 -0.9977 -1.0248
 -1.0619 -1.1013 -1.1397 -1.1770 -1.2135 -1.2496 -1.2858 -1.3226 -1.3606 -1.4010
 -1.4463
 -1.1105 -1.1083 -1.1084 -1.1088 -1.1078 -1.1038 -1.0961 -1.0847 -1.0706 -1.0552
 -1.0403 -1.0271 -1.0159 -1.0064 -0.9981 -0.9816 -0.9736 -0.9743 -0.9857 -1.0120
 -1.0504 -1.0937 -1.1373 -1.1794 -1.2198 -1.2588 -1.2971 -1.3349 -1.3729 -1.4119
 -1.4526
 -1.0111 -1.0133 -1.0179 -1.0247 -1.0313 -1.0360 -1.0374 -1.0350 -1.0292 -1.0205
 -1.0102 -0.9998 -0.9904 -0.9827 -0.9762 -0.9628 -0.9560 -0.9594 -0.9729 -0.9985
 -1.0360 -1.0807 -1.1280 -1.1751 -1.2203 -1.2635 -1.3052 -1.3454 -1.3849 -1.4242
 -1.4642
 -0.9163 -0.9202 -0.9272 -0.9367 -0.9477 -0.9587 -0.9676 -0.9734 -0.9760 -0.9753
 -0.9719 -0.9668 -0.9639 -0.9573 -0.9550 -0.9479 -0.9403 -0.9433 -0.9593
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -1.7936 -1.7307 -1.6850 -1.6510 -1.6232 -1.5952 -1.5614 -1.5188 -1.4701 -1.4164
 -1.3574 -1.2947 -1.2316 -1.1737 -1.1219 -1.0184 -0.9521 -0.9214 -0.9218
 -1.7028 -1.6303 -1.5777 -1.5409 -1.5145 -1.4930 -1.4710 -1.4441 -1.4123 -1.3755
 -1.3320 -1.2815 -1.2270 -1.1746 -1.1271 -1.0327 -0.9725 -0.9454 -0.9450 -0.9597
 -1.6224 -1.5425 -1.4978 -1.4666 -1.4395 -1.4183 -1.4007 -1.3823 -1.3614 -1.3367
 -1.3067 -1.2690 -1.2238 -1.1768 -1.1331 -1.0461 -0.9904 -0.9646 -0.9641 -0.9787
 -1.0011
 -1.6103 -1.5093 -1.4329 -1.3817 -1.3564 -1.3522 -1.3483 -1.3366 -1.3200 -1.3008
 -1.2786 -1.2521 -1.2179 -1.1776 -1.1378 -1.0570 -1.0050 -0.9804 -0.9796 -0.9943
 -1.0166 -1.0432
 -1.6109 -1.5095 -1.4259 -1.3600 -1.3109 -1.2796 -1.2663 -1.2667 -1.2726 -1.2677
 -1.2520 -1.2308 -1.2056 -1.1740 -1.1390 -1.0642 -1.0156 -0.9921 -0.9914 -1.0067
 -1.0298 -1.0566 -1.0861 -1.1185
 -1.6020 -1.5078 -1.4270 -1.3593 -1.3041 -1.2609 -1.2289 -1.2074 -1.1970 -1.1989
 -1.2032 -1.1994 -1.1852 -1.1630 -1.1349 -1.0672 -1.0216 -0.9995 -0.9991 -1.0154
 -1.0402 -1.0684 -1.0985 -1.1305 -1.1646 -1.2005 -1.2398 -1.2841 -1.3333 -1.3835
 -1.5727 -1.4915 -1.4192 -1.3563 -1.3020 -1.2557 -1.2174 -1.1868 -1.1636 -1.1472
 -1.1387 -1.1380 -1.1386 -1.1333 -1.1194 -1.0653 -1.0232 -1.0024 -1.0023 -1.0196
 -1.0470 -1.0776 -1.1094 -1.1422 -1.1763 -1.2118 -1.2494 -1.2895 -1.3339 -1.3845
 -1.4370
 -1.5199 -1.4541 -1.3943 -1.3405 -1.2923 -1.2490 -1.2104 -1.1765 -1.1479 -1.1245
 -1.1059 -1.0923 -1.0852 -1.0829 -1.0796 -1.0548 -1.0200 -1.0009 -1.0010 -1.0188
 -1.0486 -1.0828 -1.1175 -1.1524 -1.1876 -1.2234 -1.2604 -1.2989 -1.3396 -1.3850
 -1.4372
 -1.4457 -1.3950 -1.3487 -1.3065 -1.2676 -1.2312 -1.1970 -1.1648 -1.1353 -1.1093
 -1.0870 -1.0684 -1.0537 -1.0437 -1.0377 -1.0261 -1.0097 -0.9949 -0.9957 -1.0135
 -1.0450 -1.0829 -1.1219 -1.1602 -1.1978 -1.2351 -1.2728 -1.3110 -1.3505 -1.3930
 -1.4386
 -1.3603 -1.3217 -1.2868 -1.2557 -1.2269 -1.1995 -1.1726 -1.1458 -1.1196 -1.0946
 -1.0717 -1.0516 -1.0345 -1.0206 -1.0100 -0.9954 -0.9884 -0.9839 -0.9868 -1.0040
 -1.0355 -1.0759 -1.1192 -1.1620 -1.2033 -1.2435 -1.2831 -1.3223 -1.3617 -1.4022
 -1.4443
 -1.2718 -1.2406 -1.2137 -1.1910 -1.1711 -1.1527 -1.1342 -1.1148 -1.0946 -1.0739
 -1.0535 -1.0345 -1.0174 -1.0028 -0.9908 -0.9716 -0.9653 -0.9670 -0.9749 -0.9925
 -1.0229 -1.0639 -1.1101 -1.1573 -1.2033 -1.2475 -1.2903 -1.3319 -1.3728 -1.4135
 -1.4549
 -1.1844 -1.1580 -1.1361 -1.1184 -1.1045 -1.0931 -1.0823 -1.0708 -1.0579 -1.0437
 -1.0283 -1.0128 -0.9980 -0.9838 -0.9801 -0.9547 -0.9404 -0.9442 -0.9600
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = G_RP 
 -2.1170 -2.0368 -1.9704 -1.9110 -1.8536 -1.7886 -1.7070 -1.6088 -1.5167 -1.4335
 -1.3579 -1.2889 -1.2259 -1.1705 -1.1218 -1.0241 -0.9562 -0.9180 -0.9092
 -1.9827 -1.8951 -1.8265 -1.7705 -1.7211 -1.6709 -1.6094 -1.5383 -1.4693 -1.4039
 -1.3411 -1.2805 -1.2237 -1.1722 -1.1266 -1.0360 -0.9741 -0.9399 -0.9319 -0.9432
 -1.8862 -1.7922 -1.7187 -1.6615 -1.6150 -1.5738 -1.5291 -1.4776 -1.4258 -1.3751
 -1.3246 -1.2733 -1.2222 -1.1743 -1.1313 -1.0463 -0.9891 -0.9576 -0.9499 -0.9606
 -0.9824
 -1.7802 -1.6851 -1.6224 -1.5738 -1.5309 -1.4938 -1.4590 -1.4215 -1.3826 -1.3436
 -1.3041 -1.2628 -1.2191 -1.1754 -1.1349 -1.0546 -1.0010 -0.9716 -0.9642 -0.9745
 -0.9961 -1.0233
 -1.7451 -1.6222 -1.5302 -1.4660 -1.4268 -1.4073 -1.3919 -1.3697 -1.3417 -1.3112
 -1.2796 -1.2467 -1.2114 -1.1736 -1.1362 -1.0601 -1.0097 -0.9821 -0.9753 -0.9855
 -1.0072 -1.0348 -1.0656 -1.0993
 -1.7393 -1.6132 -1.5092 -1.4269 -1.3651 -1.3217 -1.2944 -1.2815 -1.2782 -1.2704
 -1.2521 -1.2266 -1.1979 -1.1670 -1.1342 -1.0627 -1.0152 -0.9892 -0.9831 -0.9935
 -1.0158 -1.0444 -1.0758 -1.1094 -1.1452 -1.1837 -1.2251 -1.2711 -1.3216 -1.3719
 -1.7367 -1.6125 -1.5067 -1.4189 -1.3484 -1.2934 -1.2517 -1.2211 -1.2003 -1.1906
 -1.1895 -1.1867 -1.1745 -1.1533 -1.1271 -1.0622 -1.0174 -0.9931 -0.9876 -0.9984
 -1.0213 -1.0515 -1.0846 -1.1191 -1.1550 -1.1926 -1.2324 -1.2749 -1.3213 -1.3728
 -1.4251
 -1.7220 -1.6063 -1.5048 -1.4179 -1.3453 -1.2858 -1.2377 -1.1993 -1.1688 -1.1455
 -1.1290 -1.1206 -1.1186 -1.1153 -1.1058 -1.0579 -1.0163 -0.9937 -0.9887 -0.9997
 -1.0233 -1.0553 -1.0907 -1.1273 -1.1644 -1.2023 -1.2416 -1.2824 -1.3256 -1.3727
 -1.4255
 -1.6856 -1.5828 -1.4905 -1.4096 -1.3402 -1.2814 -1.2316 -1.1896 -1.1546 -1.1256
 -1.1017 -1.0828 -1.0695 -1.0625 -1.0591 -1.0426 -1.0110 -0.9905 -0.9864 -0.9974
 -1.0215 -1.0552 -1.0937 -1.1333 -1.1729 -1.2123 -1.2523 -1.2928 -1.3347 -1.3793
 -1.4266
 -1.6298 -1.5419 -1.4605 -1.3890 -1.3261 -1.2714 -1.2241 -1.1828 -1.1466 -1.1150
 -1.0877 -1.0646 -1.0454 -1.0305 -1.0203 -1.0094 -0.9982 -0.9839 -0.9807 -0.9914
 -1.0152 -1.0497 -1.0909 -1.1341 -1.1771 -1.2192 -1.2610 -1.3024 -1.3442 -1.3870
 -1.4317
 -1.5610 -1.4853 -1.4146 -1.3522 -1.2973 -1.2493 -1.2072 -1.1696 -1.1358 -1.1050
