 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -7.1261 -6.9559 -6.8058 -6.6654 -6.5238 -6.3724 -6.2092 -6.0368 -5.8593 -5.6800
 -5.5007 -5.3225 -5.1468 -4.9732 -4.7993 -4.3527 -3.8992 -3.4942 -3.1412 -2.8479
 -2.6339 -2.4955 -2.4144 -2.3718 -2.3539 -2.3525 -2.3628 -2.3801 -2.4006 -2.4211
 -2.4399
 -6.9640 -6.8261 -6.7069 -6.5980 -6.4876 -6.3643 -6.2221 -6.0615 -5.8877 -5.7067
 -5.5226 -5.3382 -5.1549 -4.9735 -4.7939 -4.3566 -3.9253 -3.5215 -3.1703 -2.8722
 -2.6399 -2.4766 -2.3721 -2.3120 -2.2823 -2.2730 -2.2777 -2.2917 -2.3113 -2.3333
 -2.3562
 -6.8039 -6.6892 -6.5937 -6.5106 -6.4290 -6.3365 -6.2234 -6.0857 -5.9262 -5.7510
 -5.5670 -5.3793 -5.1908 -5.0032 -4.8173 -4.3713 -3.9533 -3.5566 -3.2031 -2.9028
 -2.6603 -2.4785 -2.3516 -2.2702 -2.2237 -2.2023 -2.1984 -2.2064 -2.2225 -2.2435
 -2.2666
 -6.6508 -6.5558 -6.4766 -6.4107 -6.3507 -6.2849 -6.2019 -6.0941 -5.9592 -5.8005
 -5.6243 -5.4379 -5.2351 -5.0411 -4.8695 -4.3968 -3.9832 -3.5995 -3.2396
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  u   
 -8.5859 -8.3490 -8.1395 -7.9499 -7.7722 -7.5977 -7.4188 -7.2337 -7.0562 -6.8907
 -6.7320 -6.5724 -6.4064 -6.2383 -6.0665 -5.6011 -5.0612 -4.5318 -4.0325
 -8.3037 -8.0422 -7.8128 -7.6135 -7.4389 -7.2816 -7.1319 -6.9821 -6.8356 -6.6915
 -6.5427 -6.3791 -6.1970 -6.0051 -5.8084 -5.2967 -4.7564 -4.2339 -3.8047 -3.4966
 -8.0087 -7.7295 -7.5170 -7.3336 -7.1653 -7.0150 -6.8779 -6.7453 -6.6135 -6.4792
 -6.3351 -6.1695 -5.9754 -5.7640 -5.5484 -5.0130 -4.4904 -4.0089 -3.6146 -3.3313
 -3.1451
 -7.8821 -7.5346 -7.2540 -7.0355 -6.8752 -6.7599 -6.6490 -6.5275 -6.3989 -6.2648
 -6.1211 -5.9590 -5.7658 -5.5466 -5.3211 -4.7793 -4.2786 -3.8304 -3.4625 -3.1951
 -3.0211 -2.9135
 -7.8525 -7.4751 -7.1563 -6.8963 -6.6876 -6.5245 -6.4005 -6.3014 -6.2070 -6.0852
 -5.9389 -5.7760 -5.5922 -5.3788 -5.1514 -4.6097 -4.1267 -3.7005 -3.3482 -3.0871
 -2.9164 -2.8126 -2.7531 -2.7224
 -7.8652 -7.4773 -7.1415 -6.8595 -6.6253 -6.4306 -6.2668 -6.1265 -6.0060 -5.9028
 -5.7908 -5.6446 -5.4676 -5.2666 -5.0459 -4.5052 -4.0319 -3.6182 -3.2713 -3.0069
 -2.8308 -2.7241 -2.6636 -2.6331 -2.6220 -2.6225 -2.6287 -2.6363 -2.6408 -2.6374
 -7.8771 -7.4995 -7.1630 -6.8729 -6.6245 -6.4105 -6.2241 -6.0588 -5.9088 -5.7694
 -5.6404 -5.5171 -5.3764 -5.1999 -4.9937 -4.4583 -3.9862 -3.5777 -3.2302 -2.9555
 -2.7651 -2.6484 -2.5822 -2.5482 -2.5353 -2.5360 -2.5449 -2.5568 -2.5681 -2.5761
 -2.5775
 -7.8479 -7.5021 -7.1860 -6.9044 -6.6552 -6.4330 -6.2328 -6.0496 -5.8801 -5.7205
 -5.5670 -5.4193 -5.2784 -5.1323 -4.9618 -4.4577 -3.9804 -3.5713 -3.2205 -2.9336
 -2.7226 -2.5878 -2.5100 -2.4691 -2.4516 -2.4498 -2.4582 -2.4720 -2.4873 -2.5015
 -2.5130
 -7.7554 -7.4528 -7.1743 -6.9207 -6.6883 -6.4722 -6.2687 -6.0759 -5.8924 -5.7173
 -5.5484 -5.3843 -5.2248 -5.0695 -4.9126 -4.4716 -4.0012 -3.5866 -3.2318 -2.9344
 -2.7035 -2.5450 -2.4490 -2.3966 -2.3720 -2.3657 -2.3717 -2.3852 -2.4026 -2.4202
 -2.4371
 -7.6129 -7.3565 -7.1207 -6.9062 -6.7060 -6.5126 -6.3203 -6.1285 -5.9388 -5.7532
 -5.5724 -5.3963 -5.2240 -5.0555 -4.8897 -4.4786 -4.0430 -3.6254 -3.2651 -2.9594
 -2.7118 -2.5291 -2.4087 -2.3377 -2.3007 -2.2861 -2.2868 -2.2973 -2.3141 -2.3337
 -2.3544
 -7.4406 -7.2215 -7.0249 -6.8492 -6.6877 -6.5292 -6.3638 -6.1877 -6.0027 -5.8139
