 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F360M
 -3.2256 -3.3774 -3.4111 -3.4312 -3.4875 -3.5586 -3.6401 -3.7144 -3.7965 -3.8774
 -3.9567 -4.0361 -4.1142 -4.1927 -4.2697 -4.4590 -4.6417 -4.8134 -4.9824
 -3.3150 -3.3764 -3.4405 -3.5080 -3.5747 -3.6289 -3.6876 -3.7569 -3.8328 -3.9109
 -3.9891 -4.0670 -4.1445 -4.2215 -4.2978 -4.4847 -4.6652 -4.8388 -5.0049 -5.1635
 -3.3633 -3.4219 -3.4844 -3.5498 -3.6166 -3.6851 -3.7474 -3.8041 -3.8686 -3.9402
 -4.0149 -4.0907 -4.1668 -4.2428 -4.3183 -4.5031 -4.6818 -4.8544 -5.0200 -5.1780
 -5.3291
 -3.4118 -3.4664 -3.5257 -3.5889 -3.6551 -3.7224 -3.7896 -3.8555 -3.9162 -3.9770
 -4.0427 -4.1130 -4.1857 -4.2596 -4.3338 -4.5167 -4.6939 -4.8658 -5.0312 -5.1890
 -5.3394 -5.4835
 -3.4669 -3.5133 -3.5678 -3.6271 -3.6903 -3.7563 -3.8233 -3.8895 -3.9556 -4.0196
 -4.0806 -4.1423 -4.2074 -4.2762 -4.3474 -4.5269 -4.7024 -4.8736 -5.0390 -5.1971
 -5.3473 -5.4908 -5.6284 -5.7609
 -3.5290 -3.5681 -3.6143 -3.6682 -3.7268 -3.7891 -3.8539 -3.9195 -3.9850 -4.0501
 -4.1138 -4.1758 -4.2370 -4.2995 -4.3643 -4.5358 -4.7085 -4.8781 -5.0433 -5.2024
 -5.3532 -5.4966 -5.6337 -5.7655 -5.8928 -6.0159 -6.1354 -6.2516 -6.3646 -6.4748
 -3.5964 -3.6306 -3.6682 -3.7153 -3.7679 -3.8251 -3.8857 -3.9485 -4.0125 -4.0766
 -4.1400 -4.2023 -4.2638 -4.3249 -4.3866 -4.5468 -4.7139 -4.8801 -5.0445 -5.2046
 -5.3568 -5.5009 -5.6381 -5.7694 -5.8957 -6.0176 -6.1356 -6.2502 -6.3618 -6.4707
 -6.5771
 -3.6676 -3.6985 -3.7314 -3.7713 -3.8167 -3.8674 -3.9225 -3.9807 -4.0414 -4.1032
 -4.1653 -4.2267 -4.2871 -4.3474 -4.4077 -4.5614 -4.7208 -4.8824 -5.0436 -5.2034
 -5.3574 -5.5032 -5.6412 -5.7727 -5.8987 -6.0199 -6.1368 -6.2501 -6.3602 -6.4675
 -6.5724
 -3.7410 -3.7698 -3.8011 -3.8383 -3.8762 -3.9198 -3.9681 -4.0205 -4.0762 -4.1341
 -4.1934 -4.2531 -4.3123 -4.3710 -4.4295 -4.5780 -4.7314 -4.8876 -5.0451 -5.2025
 -5.3573 -5.5054 -5.6452 -5.7778 -5.9042 -6.0253 -6.1420 -6.2546 -6.3637 -6.4698
 -6.5728
 -3.8150 -3.8426 -3.8734 -3.9071 -3.9434 -3.9819 -4.0230 -4.0684 -4.1176 -4.1701
 -4.2248 -4.2812 -4.3382 -4.3950 -4.4516 -4.5944 -4.7412 -4.8924 -5.0452 -5.1986
 -5.3515 -5.5007 -5.6430 -5.7775 -5.9051 -6.0267 -6.1435 -6.2558 -6.3642 -6.4692
 -6.5730
 -3.8877 -3.9173 -3.9488 -3.9820 -4.0165 -4.0524 -4.0893 -4.1278 -4.1699 -4.2154
 -4.2641 -4.3155 -4.3685 -4.4226 -4.4770 -4.6140 -4.7539 -4.8986 -5.0467 -5.1963
 -5.3458 -5.4937 -5.6373 -5.7743 -5.9040 -6.0271 -6.1446 -6.2573 -6.3657 -6.4703
 -6.5717
 -3.9565 -4.0031 -4.0418 -4.0752 -4.1058 -4.1356 -4.1662 -4.1990 -4.2344 -4.2727
 -4.3142 -4.3589 -4.4062 -4.4556 -4.5064 -4.6368 -4.7703 -4.9079 -5.0506
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F360M
 -3.2078 -3.2753 -3.3231 -3.3801 -3.4523 -3.5319 -3.6156 -3.7007 -3.7854 -3.8691
 -3.9509 -4.0314 -4.1107 -4.1890 -4.2664 -4.4556 -4.6385 -4.8133 -4.9814
 -3.2530 -3.3129 -3.3780 -3.4394 -3.4935 -3.5642 -3.6445 -3.7285 -3.8133 -3.8975
 -3.9799 -4.0608 -4.1402 -4.2184 -4.2954 -4.4825 -4.6624 -4.8356 -5.0015 -5.1601
 -3.2965 -3.3567 -3.4190 -3.4829 -3.5509 -3.6099 -3.6744 -3.7513 -3.8337 -3.9172
 -3.9997 -4.0807 -4.1602 -4.2384 -4.3153 -4.5018 -4.6801 -4.8516 -5.0165 -5.1743
 -5.3253
 -3.3387 -3.3968 -3.4587 -3.5229 -3.5890 -3.6569 -3.7241 -3.7858 -3.8556 -3.9339
 -4.0146 -4.0949 -4.1741 -4.2521 -4.3288 -4.5151 -4.6928 -4.8633 -5.0275 -5.1849
 -5.3353 -5.4794
 -3.3825 -3.4367 -3.4958 -3.5586 -3.6242 -3.6919 -3.7611 -3.8297 -3.8957 -3.9607
 -4.0320 -4.1077 -4.1850 -4.2620 -4.3382 -4.5238 -4.7013 -4.8712 -5.0351 -5.1925
 -5.3427 -5.4863 -5.6241 -5.7572
 -3.4311 -3.4794 -3.5342 -3.5936 -3.6566 -3.7226 -3.7908 -3.8598 -3.9288 -3.9973
 -4.0639 -4.1302 -4.1993 -4.2717 -4.3458 -4.5295 -4.7064 -4.8760 -5.0397 -5.1975
 -5.3481 -5.4917 -5.6290 -5.7610 -5.8885 -6.0120 -6.1319 -6.2485 -6.3620 -6.4721
 -3.4862 -3.5282 -3.5767 -3.6311 -3.6902 -3.7529 -3.8184 -3.8860 -3.9544 -4.0230
 -4.0914 -4.1588 -4.2245 -4.2902 -4.3575 -4.5340 -4.7095 -4.8783 -5.0415 -5.1997
