 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  i   
 -2.1913 -2.1368 -2.0966 -2.0775 -2.0794 -2.0801 -1.9853 -1.9461 -1.9027 -1.8498
 -1.7848 -1.7158 -1.6425 -1.5664 -1.4939 -1.3613 -1.2959 -1.2728 -1.2724
 -2.1216 -2.0113 -1.9400 -1.9038 -1.8939 -1.8829 -1.8623 -1.8362 -1.8072 -1.7748
 -1.7316 -1.6750 -1.6095 -1.5449 -1.4866 -1.3776 -1.3159 -1.2915 -1.2889 -1.2994
 -2.0613 -1.9663 -1.8878 -1.8268 -1.7856 -1.7667 -1.7659 -1.7616 -1.7432 -1.7124
 -1.6786 -1.6395 -1.5890 -1.5336 -1.4820 -1.3836 -1.3299 -1.3101 -1.3094 -1.3197
 -1.3376
 -2.0019 -1.9224 -1.8523 -1.7914 -1.7413 -1.7037 -1.6792 -1.6678 -1.6639 -1.6533
 -1.6304 -1.6032 -1.5683 -1.5244 -1.4796 -1.3904 -1.3413 -1.3252 -1.3269 -1.3376
 -1.3545 -1.3764
 -1.9245 -1.8641 -1.8086 -1.7568 -1.7094 -1.6683 -1.6353 -1.6107 -1.5933 -1.5813
 -1.5695 -1.5531 -1.5339 -1.5062 -1.4727 -1.3942 -1.3483 -1.3352 -1.3402 -1.3527
 -1.3699 -1.3910 -1.4157 -1.4432
 -1.8302 -1.7878 -1.7489 -1.7107 -1.6725 -1.6355 -1.6020 -1.5736 -1.5509 -1.5320
 -1.5156 -1.5002 -1.4868 -1.4702 -1.4492 -1.3917 -1.3499 -1.3384 -1.3475 -1.3637
 -1.3829 -1.4046 -1.4290 -1.4561 -1.4861 -1.5196 -1.5570 -1.5988 -1.6451 -1.6961
 -1.7269 -1.6971 -1.6728 -1.6488 -1.6230 -1.5952 -1.5667 -1.5397 -1.5162 -1.4962
 -1.4784 -1.4616 -1.4463 -1.4323 -1.4168 -1.3772 -1.3449 -1.3347 -1.3469 -1.3683
 -1.3917 -1.4159 -1.4415 -1.4687 -1.4975 -1.5273 -1.5597 -1.5969 -1.6403 -1.6901
 -1.7428
 -1.6166 -1.5984 -1.5846 -1.5721 -1.5588 -1.5425 -1.5228 -1.5016 -1.4810 -1.4621
 -1.4456 -1.4303 -1.4157 -1.4021 -1.3881 -1.3561 -1.3332 -1.3254 -1.3389 -1.3647
 -1.3938 -1.4226 -1.4512 -1.4802 -1.5098 -1.5401 -1.5709 -1.6040 -1.6416 -1.6854
 -1.7363
 -1.5061 -1.4970 -1.4903 -1.4858 -1.4819 -1.4759 -1.4667 -1.4542 -1.4397 -1.4247
 -1.4108 -1.3982 -1.3865 -1.3753 -1.3635 -1.3354 -1.3174 -1.3131 -1.3263 -1.3543
 -1.3883 -1.4230 -1.4566 -1.4891 -1.5211 -1.5527 -1.5847 -1.6187 -1.6549 -1.6930
 -1.7328
 -1.3955 -1.3929 -1.3941 -1.3954 -1.3975 -1.3994 -1.3994 -1.3962 -1.3902 -1.3818
 -1.3724 -1.3634 -1.3551 -1.3474 -1.3395 -1.3174 -1.3021 -1.2997 -1.3124 -1.3394
 -1.3755 -1.4150 -1.4542 -1.4918 -1.5277 -1.5623 -1.5961 -1.6296 -1.6674 -1.7025
 -1.7359
 -1.2847 -1.2861 -1.2960 -1.3047 -1.3103 -1.3172 -1.3236 -1.3284 -1.3308 -1.3306
 -1.3280 -1.3241 -1.3199 -1.3160 -1.3122 -1.3000 -1.2876 -1.2867 -1.2992 -1.3246
 -1.3599 -1.4010 -1.4444 -1.4873 -1.5283 -1.5673 -1.6045 -1.6403 -1.6753 -1.7103
 -1.7464
 -1.1738 -1.1766 -1.1960 -1.2143 -1.2232 -1.2336 -1.2443 -1.2544 -1.2635 -1.2709
 -1.2761 -1.2791 -1.2804 -1.2809 -1.2816 -1.2832 -1.2739 -1.2741 -1.2867
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  i   
